iteration,x0,x1,objective_true,objective_observed,objective_true_deployed,input_error_l2,input_error_applied,error_applied,error_magnitude,acquisition,fit_time_sec,acq_opt_failed,seed,run_id,error_model,jitter_std,jitter_iteration,oracle_model,objective,observation_noise,known_noise_var,param_columns,y_opt,best_true_so_far,regret_inst_true,regret_cum_true,simple_regret_true,regret_avg_true,inference_value_true,inference_simple_regret_true,dataset
1,-380.3441123643396,-0.7394688613222797,-1.3387277521627092,-1.3387277521627092,-1.3387277521627092,0.0,False,False,0.0,qnei,0.0,False,11,b2163503-ce93-4611-943c-96e9452260d9,slip,0.05,20,exact,value,learned,1e-06,"x0,x1",3.2050455310550587,-1.3387277521627092,4.543773283217768,4.543773283217768,4.543773283217768,4.543773283217768,-1.3387277521627092,4.543773283217768,eggholder
2,103.93431820631804,-482.6224554271288,-1.3260358375542693,-1.3260358375542693,-1.3260358375542693,0.0,False,False,0.0,qnei,0.0,False,11,b2163503-ce93-4611-943c-96e9452260d9,slip,0.05,20,exact,value,learned,1e-06,"x0,x1",3.2050455310550587,-1.3260358375542693,4.531081368609328,9.074854651827096,4.531081368609328,4.537427325913548,-1.3260358375542693,4.531081368609328,eggholder
3,-360.5236893926851,438.48808751141837,-0.7350220338372151,-0.7350220338372151,-0.7350220338372151,0.0,False,False,0.0,qnei,0.0,False,11,b2163503-ce93-4611-943c-96e9452260d9,slip,0.05,20,exact,value,learned,1e-06,"x0,x1",3.2050455310550587,-0.7350220338372151,3.940067564892274,13.01492221671937,3.940067564892274,4.338307405573123,-0.7350220338372151,3.940067564892274,eggholder
4,-439.88933001810244,-379.11147581511887,2.3037211741727988,2.3037211741727988,2.3037211741727988,0.0,False,False,0.0,qnei,0.0,False,11,b2163503-ce93-4611-943c-96e9452260d9,slip,0.05,20,exact,value,learned,1e-06,"x0,x1",3.2050455310550587,2.3037211741727988,0.90132435688226,13.91624657360163,0.90132435688226,3.4790616434004074,2.3037211741727988,0.90132435688226,eggholder
5,459.08833617077767,124.80879902349602,-0.9373089677051462,-0.9373089677051462,-0.9373089677051462,0.0,False,False,0.0,qnei,0.0,False,11,b2163503-ce93-4611-943c-96e9452260d9,slip,0.05,20,exact,value,learned,1e-06,"x0,x1",3.2050455310550587,2.3037211741727988,4.142354498760205,18.058601072361835,0.90132435688226,3.611720214472367,2.3037211741727988,0.90132435688226,eggholder
6,-512.0,-445.7913220835514,1.0067839142383266,1.0067839142383266,1.0067839142383266,0.0,False,False,0.0,qnei,0.174185200012289,False,11,b2163503-ce93-4611-943c-96e9452260d9,slip,0.05,20,exact,value,learned,1e-06,"x0,x1",3.2050455310550587,2.3037211741727988,2.1982616168167324,20.25686268917857,0.90132435688226,3.3761437815297612,2.3037211741727988,0.90132435688226,eggholder
7,-347.64975624797523,-345.5526255795596,-1.040629466423797,-1.040629466423797,-1.040629466423797,0.0,False,False,0.0,qnei,0.2051651999936439,False,11,b2163503-ce93-4611-943c-96e9452260d9,slip,0.05,20,exact,value,learned,1e-06,"x0,x1",3.2050455310550587,2.3037211741727988,4.245674997478856,24.502537686657426,0.90132435688226,3.5003625266653464,2.3037211741727988,0.90132435688226,eggholder
8,-454.8349356030899,-512.0,-1.385594372659161,-1.385594372659161,-1.385594372659161,0.0,False,False,0.0,qnei,0.2124848000239581,False,11,b2163503-ce93-4611-943c-96e9452260d9,slip,0.05,20,exact,value,learned,1e-06,"x0,x1",3.2050455310550587,2.3037211741727988,4.590639903714219,29.093177590371646,0.90132435688226,3.6366471987964557,2.3037211741727988,0.90132435688226,eggholder
9,-503.331443981198,-368.9344216603647,-0.33897336154795277,-0.33897336154795277,-0.33897336154795277,0.0,False,False,0.0,qnei,0.20828069999697618,False,11,b2163503-ce93-4611-943c-96e9452260d9,slip,0.05,20,exact,value,learned,1e-06,"x0,x1",3.2050455310550587,2.3037211741727988,3.5440188926030114,32.63719648297466,0.90132435688226,3.626355164774962,2.3037211741727988,0.90132435688226,eggholder
10,-454.1460415779698,-402.6868983098238,1.712544175965881,1.712544175965881,1.712544175965881,0.0,False,False,0.0,qnei,0.19654900001478381,False,11,b2163503-ce93-4611-943c-96e9452260d9,slip,0.05,20,exact,value,learned,1e-06,"x0,x1",3.2050455310550587,2.3037211741727988,1.4925013550891777,34.129697838063834,0.90132435688226,3.4129697838063833,2.3037211741727988,0.90132435688226,eggholder
