iteration,x0,x1,x2,x3,x4,x5,objective_true,objective_observed,objective_true_deployed,input_error_l2,input_error_applied,error_applied,error_magnitude,acquisition,fit_time_sec,acq_opt_failed,seed,run_id,error_model,jitter_std,jitter_iteration,oracle_model,objective,observation_noise,known_noise_var,param_columns,y_opt,best_true_so_far,regret_inst_true,regret_cum_true,simple_regret_true,regret_avg_true,inference_value_true,inference_simple_regret_true,dataset
1,0.9560017096289753,0.20768181007914688,0.8284448852745308,0.14928212308202027,0.5128046164365648,0.13591960402050662,-0.6347182568448025,-0.6347182568448025,-0.6267979259035751,0.027416650045660462,True,True,0.0,logei,0.0,False,10,8d72eaaa-9689-4b3c-bde7-074013212cca,slip,0.01,0,exact,value,learned,1e-06,"x0,x1,x2,x3,x4,x5",7.967163963291937,-0.6347182568448025,8.601882220136739,8.601882220136739,8.601882220136739,8.601882220136739,-0.6267979259035751,8.593961889195512,hartmann_6
2,0.6890364797811311,0.841747724312279,0.4255089974049766,0.9569260034533662,0.8253329063847983,0.338215312471576,-0.49415098556421044,-0.49415098556421044,-0.5446509982998606,0.02998891830342773,True,True,0.0,logei,0.0,False,10,8d72eaaa-9689-4b3c-bde7-074013212cca,slip,0.01,0,exact,value,learned,1e-06,"x0,x1,x2,x3,x4,x5",7.967163963291937,-0.49415098556421044,8.461314948856147,17.063197168992886,8.461314948856147,8.531598584496443,-0.5446509982998606,8.511814961591798,hartmann_6
3,0.5757605479445136,0.7533018647084769,0.8271039370247955,0.9334384708515814,0.1449946949362273,0.7455802110439375,-0.3427142308682666,-0.3427142308682666,-0.2824787103633238,0.021634529339388274,True,True,0.0,logei,0.0,False,10,8d72eaaa-9689-4b3c-bde7-074013212cca,slip,0.01,0,exact,value,learned,1e-06,"x0,x1,x2,x3,x4,x5",7.967163963291937,-0.3427142308682666,8.309878194160204,25.37307536315309,8.309878194160204,8.457691787717698,-0.2824787103633238,8.249642673655261,hartmann_6
4,0.13935139386782236,0.9065287561129268,0.22611443367452744,0.8532397499056062,0.3063178655321238,0.9698303682063217,-0.6552791902189243,-0.6552791902189243,-0.6526595761757241,0.02274922322078016,True,True,0.0,logei,0.0,False,10,8d72eaaa-9689-4b3c-bde7-074013212cca,slip,0.01,0,exact,value,learned,1e-06,"x0,x1,x2,x3,x4,x5",7.967163963291937,-0.3427142308682666,8.622443153510861,33.99551851666395,8.309878194160204,8.498879629165987,-0.2824787103633238,8.249642673655261,hartmann_6
5,0.5178342136168697,0.32247455876606135,0.28243351716467957,0.605864995819676,0.3337644567193383,0.6786487735081429,1.277670296695004,1.277670296695004,1.3151007595726205,0.03259007714240496,True,True,0.0,logei,0.0,False,10,8d72eaaa-9689-4b3c-bde7-074013212cca,slip,0.01,0,exact,value,learned,1e-06,"x0,x1,x2,x3,x4,x5",7.967163963291937,1.277670296695004,6.689493666596933,40.68501218326088,6.689493666596933,8.137002436652176,1.3151007595726205,6.652063203719317,hartmann_6
6,0.5040202670023793,0.16477379767798067,0.20718178658524986,0.6656597808006791,0.20246445045470637,0.7918707117172746,0.35240814926185804,0.35240814926185804,0.4063936547411745,0.021938079439748376,True,True,0.0,logei,0.4407257999991998,False,10,8d72eaaa-9689-4b3c-bde7-074013212cca,slip,0.01,0,exact,value,learned,1e-06,"x0,x1,x2,x3,x4,x5",7.967163963291937,1.277670296695004,7.6147558140300795,48.29976799729096,6.689493666596933,8.049961332881827,1.3151007595726205,6.652063203719317,hartmann_6
7,0.4476060503248667,0.40955524426400614,0.21179693809029126,0.6277919478659729,0.3811268245242309,0.7051697149347624,0.6453873364273481,0.6453873364273481,0.803603734638908,0.0326135304954284,True,True,0.0,logei,0.43343319999985397,False,10,8d72eaaa-9689-4b3c-bde7-074013212cca,slip,0.01,0,exact,value,learned,1e-06,"x0,x1,x2,x3,x4,x5",7.967163963291937,1.277670296695004,7.3217766268645885,55.62154462415555,6.689493666596933,7.945934946307935,1.3151007595726205,6.652063203719317,hartmann_6
8,0.6068720922639992,0.31153486550091913,0.44174367069440224,0.6892773975659098,0.25301380046761945,0.6709061579878433,0.33330727938798205,0.33330727938798205,0.27099943445490693,0.01240474798504954,True,True,0.0,logei,0.5766679999942426,False,10,8d72eaaa-9689-4b3c-bde7-074013212cca,slip,0.01,0,exact,value,learned,1e-06,"x0,x1,x2,x3,x4,x5",7.967163963291937,1.277670296695004,7.633856683903955,63.255401308059504,6.689493666596933,7.906925163507438,1.3151007595726205,6.652063203719317,hartmann_6
9,0.573500270006437,0.20067894750111395,0.3005454851046154,0.4926180858131004,0.32458185978979714,0.6252690998423854,2.8203568388037175,2.8203568388037175,2.882213414219166,0.010538756102682598,True,True,0.0,logei,0.5299381000077119,False,10,8d72eaaa-9689-4b3c-bde7-074013212cca,slip,0.01,0,exact,value,learned,1e-06,"x0,x1,x2,x3,x4,x5",7.967163963291937,2.8203568388037175,5.14680712448822,68.40220843254772,5.14680712448822,7.600245381394192,2.882213414219166,5.08495054907277,hartmann_6
10,0.7866418823188591,0.02572894960257199,0.5650949868065527,0.4654974993514653,0.20247432423923745,0.5321374051616908,0.7580099432076374,0.7580099432076374,0.8075556321899153,0.015750960614341065,True,True,0.0,logei,0.7819113000005018,False,10,8d72eaaa-9689-4b3c-bde7-074013212cca,slip,0.01,0,exact,value,learned,1e-06,"x0,x1,x2,x3,x4,x5",7.967163963291937,2.8203568388037175,7.209154020084299,75.61136245263202,5.14680712448822,7.561136245263202,2.882213414219166,5.08495054907277,hartmann_6
11,0.5374102962184294,0.24077202506718898,0.2490914602049088,0.44134649476009724,0.3880958443291005,0.6036345791469807,3.3039144095265023,3.3039144095265023,3.212026700759296,0.017487865125576058,True,True,0.0,logei,0.7146771000116132,False,10,8d72eaaa-9689-4b3c-bde7-074013212cca,slip,0.01,0,exact,value,learned,1e-06,"x0,x1,x2,x3,x4,x5",7.967163963291937,3.3039144095265023,4.663249553765435,80.27461200639746,4.663249553765435,7.297692000581588,3.212026700759296,4.7551372625326405,hartmann_6
12,0.5181839280568276,0.1886985452058069,0.23271704203380458,0.3673886138948208,0.35507557731810235,0.6207525205470722,4.7277565324846895,4.7277565324846895,4.635848568511406,0.029129686302426766,True,True,0.0,logei,0.5602851000003284,False,10,8d72eaaa-9689-4b3c-bde7-074013212cca,slip,0.01,0,exact,value,learned,1e-06,"x0,x1,x2,x3,x4,x5",7.967163963291937,4.7277565324846895,3.2394074308072476,83.51401943720471,3.2394074308072476,6.959501619767059,4.635848568511406,3.331315394780531,hartmann_6
13,0.4754841249117073,0.09493897029067132,0.21593992274455046,0.23470930106009347,0.26952322718141375,0.6700198506783561,5.53025960520861,5.53025960520861,5.369000828904796,0.014189503900137885,True,True,0.0,logei,0.5379545000032522,False,10,8d72eaaa-9689-4b3c-bde7-074013212cca,slip,0.01,0,exact,value,learned,1e-06,"x0,x1,x2,x3,x4,x5",7.967163963291937,5.53025960520861,2.4369043580833267,85.95092379528803,2.4369043580833267,6.611609522714464,5.369000828904796,2.598163134387141,hartmann_6
14,0.49123488427558526,0.0,0.0,0.16740834203094906,0.8272303693853703,0.7161481962531991,-0.6284355362504478,-0.6284355362504478,-0.6313200153950191,0.025735887957426463,True,True,0.0,logei,0.5565213999943808,False,10,8d72eaaa-9689-4b3c-bde7-074013212cca,slip,0.01,0,exact,value,learned,1e-06,"x0,x1,x2,x3,x4,x5",7.967163963291937,5.53025960520861,8.595599499542384,94.54652329483042,2.4369043580833267,6.7533230924878875,5.369000828904796,2.598163134387141,hartmann_6
15,0.440428879909532,0.346173256627526,0.18057251419900408,0.2275390995435524,0.2848502612069177,0.45163678018798725,3.286901274488801,3.286901274488801,3.1587740758921106,0.01584514476305974,True,True,0.0,logei,0.6861564999999246,False,10,8d72eaaa-9689-4b3c-bde7-074013212cca,slip,0.01,0,exact,value,learned,1e-06,"x0,x1,x2,x3,x4,x5",7.967163963291937,5.53025960520861,4.680262688803136,99.22678598363356,2.4369043580833267,6.615119065575571,5.369000828904796,2.598163134387141,hartmann_6
16,0.524605234855043,0.345213706739679,0.09035951478041954,0.2260936998439298,0.32192760039288837,0.7095061393801061,3.5552476003694493,3.5552476003694493,3.7531376523833804,0.027272441084710528,True,True,0.0,logei,0.6519550999946659,False,10,8d72eaaa-9689-4b3c-bde7-074013212cca,slip,0.01,0,exact,value,learned,1e-06,"x0,x1,x2,x3,x4,x5",7.967163963291937,5.53025960520861,4.411916362922488,103.63870234655604,2.4369043580833267,6.477418896659753,5.369000828904796,2.598163134387141,hartmann_6
