iteration,x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,objective_true,objective_observed,objective_true_deployed,input_error_l2,input_error_applied,error_applied,error_magnitude,acquisition,fit_time_sec,acq_opt_failed,seed,run_id,error_model,jitter_std,jitter_iteration,oracle_model,objective,observation_noise,known_noise_var,param_columns,y_opt,best_true_so_far,regret_inst_true,regret_cum_true,simple_regret_true,regret_avg_true,inference_value_true,inference_simple_regret_true,dataset
1,7.404984079401693,-4.263655818248893,2.062963001031237,5.550681658403576,4.321492592071305,8.307602409810151,7.207872983657694,8.36475258097525,-9.468245310648056,-1.2550399974098259,-0.30111346045423915,-2.2037665502149615,-2.2037665502149615,0.568215037462527,9.185098640824476,True,True,0.0,qnei,0.0,False,9,057f17cb-a0a5-4325-bebc-93922941e94f,slip,0.15,0,exact,value,learned,1e-06,"x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10",2.6244803317786123,-2.2037665502149615,4.828246881993573,4.828246881993573,4.828246881993573,4.828246881993573,0.568215037462527,2.056265294316085,levy_10
2,-8.69691605259785,-9.887478986412141,6.612428739425141,9.666044885723512,5.692197053453592,-3.687930200434537,4.106674091789076,-4.016378536035066,4.814969657514974,-4.40505560503426,5.65181830656263,-1.7823211235985819,-1.7823211235985819,-1.043746709453171,9.780691362872272,True,True,0.0,qnei,0.0,False,9,057f17cb-a0a5-4325-bebc-93922941e94f,slip,0.15,0,exact,value,learned,1e-06,"x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10",2.6244803317786123,-1.7823211235985819,4.406801455377194,9.235048337370767,4.406801455377194,4.617524168685383,-1.043746709453171,3.6682270412317832,levy_10
3,9.754814937891535,9.72477098560477,7.6572513399335165,8.256201035678359,4.164138282063449,1.0899375452701747,8.46476416140441,-8.205384402913749,-2.5973690971998504,2.118778870185258,-0.4454020616262877,-1.710876087748471,-1.710876087748471,-0.2721350099698567,7.735693742095357,True,True,0.0,qnei,0.0,False,9,057f17cb-a0a5-4325-bebc-93922941e94f,slip,0.15,0,exact,value,learned,1e-06,"x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10",2.6244803317786123,-1.710876087748471,4.335356419527083,13.570404756897851,4.335356419527083,4.523468252299284,-0.2721350099698567,2.896615341748469,levy_10
4,5.857157609944565,-6.098272130419069,-8.754930051666731,-7.469631855201635,9.255631698343254,-7.344509255411391,-5.478033452736573,-2.458872580875626,2.468432826815919,5.641922613386054,-8.427022124614377,-2.9554631848703687,-2.9554631848703687,-1.3651369152315098,8.675463099078467,True,True,0.0,qnei,0.0,False,9,057f17cb-a0a5-4325-bebc-93922941e94f,slip,0.15,0,exact,value,learned,1e-06,"x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10",2.6244803317786123,-1.710876087748471,5.5799435166489815,19.150348273546832,4.335356419527083,4.787587068386708,-0.2721350099698567,2.896615341748469,levy_10
5,8.624749062860705,5.255834486975727,-3.580717645513869,-6.213359611435381,1.9190577557406634,1.8937845352297913,-4.650632823390415,-6.612143738873215,5.32934514960316,3.453505051614414,6.004987014651622,-0.2894210166349718,-0.2894210166349718,0.09938149183251282,9.563489837608161,True,True,0.0,qnei,0.0,False,9,057f17cb-a0a5-4325-bebc-93922941e94f,slip,0.15,0,exact,value,learned,1e-06,"x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10",2.6244803317786123,-0.2894210166349718,2.9139013484135843,22.064249621960418,2.9139013484135843,4.412849924392083,0.09938149183251282,2.5250988399460996,levy_10
6,9.322480868333978,9.504850019871153,-1.896577945690708,-5.787617182410252,0.5602644015255045,2.1903181516349983,-4.598121600608959,-10.0,7.33936423543105,3.635497901641703,8.740043556053001,-2.5326311369120424,-2.5326311369120424,-1.678827372928415,7.399455318540811,True,True,0.0,qnei,0.350883299994166,False,9,057f17cb-a0a5-4325-bebc-93922941e94f,slip,0.15,0,exact,value,learned,1e-06,"x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10",2.6244803317786123,-0.2894210166349718,5.157111468690655,27.221361090651072,2.9139013484135843,4.536893515108512,0.09938149183251282,2.5250988399460996,levy_10
7,9.683995496759833,3.6690597718642968,-0.5357646560019811,-0.9519351648836247,3.1013339800007604,3.9056702842192372,1.003455792047035,-4.687713417838936,-1.321109784041985,2.2943648816323066,2.0849318140706887,0.3127098229509368,0.3127098229509368,1.3936532404810262,12.742652982387323,True,True,0.0,qnei,0.44476189999841154,False,9,057f17cb-a0a5-4325-bebc-93922941e94f,slip,0.15,0,exact,value,learned,1e-06,"x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10",2.6244803317786123,0.3127098229509368,2.3117705088276757,29.533131599478747,2.3117705088276757,4.219018799925535,1.3936532404810262,1.230827091297586,levy_10
8,10.0,2.7823060049777357,-4.507738318872778,-5.460926619877599,2.2663408311185322,7.907900136458675,-1.0250351354361213,-7.673662105929975,-4.7093298837781195,2.9898783074265203,1.4845899705807757,-1.5570840875646448,-1.5570840875646448,0.6083795071184465,6.902607543023206,True,True,0.0,qnei,0.8956252000061795,False,9,057f17cb-a0a5-4325-bebc-93922941e94f,slip,0.15,0,exact,value,learned,1e-06,"x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10",2.6244803317786123,0.3127098229509368,4.181564419343257,33.714696018822,2.3117705088276757,4.21433700235275,1.3936532404810262,1.230827091297586,levy_10
9,9.163802932547622,3.6974135342828496,2.4642656456346326,2.533941440201721,4.0457562150433155,-0.3616458271004143,2.087275151423155,-1.1506729160314626,2.5478521003153025,1.7196086578240941,2.673223665709395,1.1241155309935302,1.1241155309935302,1.7217050224319135,6.578698043309473,True,True,0.0,qnei,0.49296139999933075,False,9,057f17cb-a0a5-4325-bebc-93922941e94f,slip,0.15,0,exact,value,learned,1e-06,"x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10",2.6244803317786123,1.1241155309935302,1.500364800785082,35.21506081960709,1.500364800785082,3.9127845355118986,1.7217050224319135,0.9027753093466988,levy_10
10,10.0,3.461484920890695,2.689576770787754,5.845356083775448,4.872306187556107,-0.19495616687760228,-3.3081127199772946,1.0299301890944774,5.7159438847278,1.46845837195301,5.408463633778917,1.1855454253116402,1.1855454253116402,0.6121289938750621,10.42178704322809,True,True,0.0,qnei,0.7231485000083921,False,9,057f17cb-a0a5-4325-bebc-93922941e94f,slip,0.15,0,exact,value,learned,1e-06,"x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10",2.6244803317786123,1.1855454253116402,1.438934906466972,36.65399572607406,1.438934906466972,3.665399572607406,0.6121289938750621,2.0123513379035503,levy_10
