iteration,x0,x1,x2,x3,objective_true,objective_observed,objective_true_deployed,input_error_l2,input_error_applied,error_applied,error_magnitude,acquisition,fit_time_sec,acq_opt_failed,seed,run_id,error_model,jitter_std,jitter_iteration,oracle_model,objective,observation_noise,known_noise_var,param_columns,y_opt,best_true_so_far,regret_inst_true,regret_cum_true,simple_regret_true,regret_avg_true,inference_value_true,inference_simple_regret_true,dataset
1,0.8702492039700847,0.28681720908755537,0.6031481500515619,0.7775340829201788,0.7468933124848439,0.7468933124848439,0.7634498140369953,0.026288659924013615,True,True,0.0,qnei,0.0,False,9,7bf2b3b1-376a-4824-9f4b-055d0366ac33,slip,0.01,0,exact,value,learned,1e-06,"x0,x1,x2,x3",1.7175746997911816,0.7468933124848439,0.9706813873063377,0.9706813873063377,0.9706813873063377,0.9706813873063377,0.7634498140369953,0.9541248857541863,power_law_practice
2,0.7160746296035653,0.9153801204905075,0.8603936491828846,0.9182376290487624,1.3061598963164465,1.3061598963164465,1.3297853342314006,0.018574630922176517,True,True,0.0,qnei,0.0,False,9,7bf2b3b1-376a-4824-9f4b-055d0366ac33,slip,0.01,0,exact,value,learned,1e-06,"x0,x1,x2,x3",1.7175746997911816,1.3061598963164465,0.41141480347473514,1.382096190781073,0.41141480347473514,0.6910480953905365,1.3297853342314006,0.38778936555978105,power_law_practice
3,0.026587734467597213,0.4372480001295087,0.48494432697728806,0.06515419737010752,-1.240042670498738,-1.240042670498738,-1.1380886799766226,0.014922888401590563,True,True,0.0,qnei,0.0,False,9,7bf2b3b1-376a-4824-9f4b-055d0366ac33,slip,0.01,0,exact,value,learned,1e-06,"x0,x1,x2,x3",1.7175746997911816,1.3061598963164465,2.9576173702899196,4.339713561070992,0.41141480347473514,1.446571187023664,1.3297853342314006,0.38778936555978105,power_law_practice
4,0.005626050679392924,0.830621436971257,0.9833022442861755,0.7846098526726796,0.8033504544135255,0.8033504544135255,0.8002486987201438,0.023636674623184816,True,True,0.0,qnei,0.0,False,9,7bf2b3b1-376a-4824-9f4b-055d0366ac33,slip,0.01,0,exact,value,learned,1e-06,"x0,x1,x2,x3",1.7175746997911816,1.3061598963164465,0.9142242453776561,5.253937806448648,0.41141480347473514,1.313484451612162,1.3297853342314006,0.38778936555978105,power_law_practice
5,0.31560348997827314,0.7053337045894538,0.2991810731982467,0.7407484828757487,0.5575667620245031,0.5575667620245031,0.5536630991002472,0.017370482644104766,True,True,0.0,qnei,0.0,False,9,7bf2b3b1-376a-4824-9f4b-055d0366ac33,slip,0.01,0,exact,value,learned,1e-06,"x0,x1,x2,x3",1.7175746997911816,1.3061598963164465,1.1600079377666785,6.413945744215327,0.41141480347473514,1.2827891488430654,1.3297853342314006,0.38778936555978105,power_law_practice
6,1.0,1.0,1.0,1.0,1.7095986413461584,1.7095986413461584,1.7175746997911816,0.012873171378147691,True,True,0.0,qnei,0.3491838000045391,False,9,7bf2b3b1-376a-4824-9f4b-055d0366ac33,slip,0.01,0,exact,value,learned,1e-06,"x0,x1,x2,x3",1.7175746997911816,1.7095986413461584,0.007976058445023249,6.42192180266035,0.007976058445023249,1.0703203004433917,1.7175746997911816,0.0,power_law_practice
7,0.0,0.0,1.0,1.0,0.6775233691574774,0.6775233691574774,0.6799131573353222,0.019708004206412288,True,True,0.0,qnei,0.41336400000727735,False,9,7bf2b3b1-376a-4824-9f4b-055d0366ac33,slip,0.01,0,exact,value,learned,1e-06,"x0,x1,x2,x3",1.7175746997911816,1.7095986413461584,1.0400513306337043,7.461973133294054,0.007976058445023249,1.0659961618991507,1.7175746997911816,0.0,power_law_practice
8,1.0,1.0,0.0,1.0,1.119622119319212,1.119622119319212,1.1188308694678342,0.0013695432804506627,True,True,0.0,qnei,0.3480293000029633,False,9,7bf2b3b1-376a-4824-9f4b-055d0366ac33,slip,0.01,0,exact,value,learned,1e-06,"x0,x1,x2,x3",1.7175746997911816,1.7095986413461584,0.5979525804719696,8.059925713766024,0.007976058445023249,1.007490714220753,1.7175746997911816,0.0,power_law_practice
9,0.14188822833336034,0.6798766812287215,0.8780653504038328,0.6625824987330607,0.5841832391290113,0.5841832391290113,0.5892036171305732,0.025785345976223985,True,True,0.0,qnei,0.19948399999702815,False,9,7bf2b3b1-376a-4824-9f4b-055d0366ac33,slip,0.01,0,exact,value,learned,1e-06,"x0,x1,x2,x3",1.7175746997911816,1.7095986413461584,1.1333914606621702,9.193317174428195,0.007976058445023249,1.0214796860475772,1.7175746997911816,0.0,power_law_practice
10,1.0,1.0,1.0,0.9213590253551406,1.6330512844090612,1.6330512844090612,1.6366670772673793,0.004467708934840238,True,True,0.0,qnei,0.2936688000045251,False,9,7bf2b3b1-376a-4824-9f4b-055d0366ac33,slip,0.01,0,exact,value,learned,1e-06,"x0,x1,x2,x3",1.7175746997911816,1.7095986413461584,0.08452341538212038,9.277840589810316,0.007976058445023249,0.9277840589810316,1.7175746997911816,0.0,power_law_practice
11,0.2233818135150254,0.16679740189939352,0.8259628487453068,0.7270350740643428,0.5095043037495401,0.5095043037495401,0.5141300984232519,0.013276246011410623,True,True,0.0,qnei,0.2409460999915609,False,9,7bf2b3b1-376a-4824-9f4b-055d0366ac33,slip,0.01,0,exact,value,learned,1e-06,"x0,x1,x2,x3",1.7175746997911816,1.7095986413461584,1.2080703960416415,10.485910985851957,0.007976058445023249,0.9532646350774506,1.7175746997911816,0.0,power_law_practice
12,0.10864952314631704,0.10932172833646003,0.2096766418263134,0.2957230199711762,0.3332994998222697,0.3332994998222697,0.28592564055487174,0.030891473818596374,True,True,0.0,qnei,0.2807704000006197,False,9,7bf2b3b1-376a-4824-9f4b-055d0366ac33,slip,0.01,0,exact,value,learned,1e-06,"x0,x1,x2,x3",1.7175746997911816,1.7095986413461584,1.3842751999689118,11.870186185820868,0.007976058445023249,0.989182182151739,1.7175746997911816,0.0,power_law_practice
13,0.0,0.0,0.0,1.0,1.004180604458968,1.004180604458968,1.0049251627883082,0.0006883363421415564,True,True,0.0,qnei,0.3499341999995522,False,9,7bf2b3b1-376a-4824-9f4b-055d0366ac33,slip,0.01,0,exact,value,learned,1e-06,"x0,x1,x2,x3",1.7175746997911816,1.7095986413461584,0.7133940953322135,12.583580281153083,0.007976058445023249,0.9679677139348525,1.7175746997911816,0.0,power_law_practice
