iteration,x0,x1,x2,x3,objective_true,objective_observed,objective_true_deployed,input_error_l2,input_error_applied,error_applied,error_magnitude,acquisition,fit_time_sec,acq_opt_failed,seed,run_id,error_model,jitter_std,jitter_iteration,oracle_model,objective,observation_noise,known_noise_var,param_columns,y_opt,best_true_so_far,regret_inst_true,regret_cum_true,simple_regret_true,regret_avg_true,inference_value_true,inference_simple_regret_true,dataset
1,0.9560017096289753,0.20768181007914688,0.8284448852745308,0.14928212308202027,0.16226965084128867,0.16226965084128867,0.16226965084128867,0.0,False,False,0.0,qnei,0.0,False,10,6f66207a-d599-4a07-aa07-19fa370677fb,none,0.0,0,exact,value,learned,1e-06,"x0,x1,x2,x3",3.0593887562558817,0.16226965084128867,2.897119105414593,2.897119105414593,2.897119105414593,2.897119105414593,0.16226965084128867,2.897119105414593,stevens
2,0.5128046164365648,0.13591960402050662,0.6890364797811311,0.841747724312279,0.33701318528678437,0.33701318528678437,0.33701318528678437,0.0,False,False,0.0,qnei,0.0,False,10,6f66207a-d599-4a07-aa07-19fa370677fb,none,0.0,0,exact,value,learned,1e-06,"x0,x1,x2,x3",3.0593887562558817,0.33701318528678437,2.7223755709690973,5.61949467638369,2.7223755709690973,2.809747338191845,0.33701318528678437,2.7223755709690973,stevens
3,0.4255089974049766,0.9569260034533662,0.8253329063847983,0.338215312471576,0.9585980075205853,0.9585980075205853,0.9585980075205853,0.0,False,False,0.0,qnei,0.0,False,10,6f66207a-d599-4a07-aa07-19fa370677fb,none,0.0,0,exact,value,learned,1e-06,"x0,x1,x2,x3",3.0593887562558817,0.9585980075205853,2.1007907487352964,7.720285425118986,2.1007907487352964,2.573428475039662,0.9585980075205853,2.1007907487352964,stevens
4,0.5757605479445136,0.7533018647084769,0.8271039370247955,0.9334384708515814,1.826720419953148,1.826720419953148,1.826720419953148,0.0,False,False,0.0,qnei,0.0,False,10,6f66207a-d599-4a07-aa07-19fa370677fb,none,0.0,0,exact,value,learned,1e-06,"x0,x1,x2,x3",3.0593887562558817,1.826720419953148,1.2326683363027338,8.95295376142172,1.2326683363027338,2.23823844035543,1.826720419953148,1.2326683363027338,stevens
5,0.1449946949362273,0.7455802110439375,0.13935139386782236,0.9065287561129268,-0.18332295143431807,-0.18332295143431807,-0.18332295143431807,0.0,False,False,0.0,qnei,0.0,False,10,6f66207a-d599-4a07-aa07-19fa370677fb,none,0.0,0,exact,value,learned,1e-06,"x0,x1,x2,x3",3.0593887562558817,1.826720419953148,3.2427117076901997,12.195665469111919,1.2326683363027338,2.4391330938223836,1.826720419953148,1.2326683363027338,stevens
6,0.7391647688070376,0.7731800036855934,0.9590065520194798,1.0,2.3553819533622997,2.3553819533622997,2.3553819533622997,0.0,False,False,0.0,qnei,0.3931330999912461,False,10,6f66207a-d599-4a07-aa07-19fa370677fb,none,0.0,0,exact,value,learned,1e-06,"x0,x1,x2,x3",3.0593887562558817,2.3553819533622997,0.704006802893582,12.899672272005501,0.704006802893582,2.1499453786675837,2.3553819533622997,0.704006802893582,stevens
7,1.0,0.9822555605919921,1.0,1.0,3.036656989491341,3.036656989491341,3.036656989491341,0.0,False,False,0.0,qnei,0.34127150000131223,False,10,6f66207a-d599-4a07-aa07-19fa370677fb,none,0.0,0,exact,value,learned,1e-06,"x0,x1,x2,x3",3.0593887562558817,3.036656989491341,0.022731766764540584,12.922404038770042,0.022731766764540584,1.8460577198242916,3.036656989491341,0.022731766764540584,stevens
8,1.0,1.0,1.0,1.0,3.0593887562558817,3.0593887562558817,3.0593887562558817,0.0,False,False,0.0,qnei,0.28179669998644385,False,10,6f66207a-d599-4a07-aa07-19fa370677fb,none,0.0,0,exact,value,learned,1e-06,"x0,x1,x2,x3",3.0593887562558817,3.0593887562558817,0.0,12.922404038770042,0.0,1.6153005048462552,3.0593887562558817,0.0,stevens
9,1.0,1.0,0.7807322903820189,1.0,2.768053909396352,2.768053909396352,2.768053909396352,0.0,False,False,0.0,qnei,0.2988599000091199,False,10,6f66207a-d599-4a07-aa07-19fa370677fb,none,0.0,0,exact,value,learned,1e-06,"x0,x1,x2,x3",3.0593887562558817,3.0593887562558817,0.2913348468595296,13.21373888562957,0.0,1.4681932095143968,3.0593887562558817,0.0,stevens
10,1.0,1.0,1.0,0.8560443276854407,2.8708428153929,2.8708428153929,2.8708428153929,0.0,False,False,0.0,qnei,0.18279910000273958,False,10,6f66207a-d599-4a07-aa07-19fa370677fb,none,0.0,0,exact,value,learned,1e-06,"x0,x1,x2,x3",3.0593887562558817,3.0593887562558817,0.1885459408629817,13.402284826492552,0.0,1.3402284826492552,3.0593887562558817,0.0,stevens
