iteration,x0,x1,x2,x3,objective_true,objective_observed,objective_true_deployed,input_error_l2,input_error_applied,error_applied,error_magnitude,acquisition,fit_time_sec,acq_opt_failed,seed,run_id,error_model,jitter_std,jitter_iteration,oracle_model,objective,observation_noise,known_noise_var,param_columns,y_opt,best_true_so_far,regret_inst_true,regret_cum_true,simple_regret_true,regret_avg_true,inference_value_true,inference_simple_regret_true,dataset
1,0.9560017096289753,0.20768181007914688,0.8284448852745308,0.14928212308202027,-0.04258881988686087,-0.04258881988686087,0.16226965084128867,0.05791002184601715,True,True,0.0,qnei,0.0,False,10,04cf5a91-7f11-4d86-94ce-c0a4fc07ac05,slip,0.05,0,exact,value,learned,1e-06,"x0,x1,x2,x3",3.0593887562558817,-0.04258881988686087,3.1019775761427426,3.1019775761427426,3.1019775761427426,3.1019775761427426,0.16226965084128867,2.897119105414593,stevens
2,0.5128046164365648,0.13591960402050662,0.6890364797811311,0.841747724312279,0.5305303028347532,0.5305303028347532,0.33701318528678437,0.08915441964520109,True,True,0.0,qnei,0.0,False,10,04cf5a91-7f11-4d86-94ce-c0a4fc07ac05,slip,0.05,0,exact,value,learned,1e-06,"x0,x1,x2,x3",3.0593887562558817,0.5305303028347532,2.5288584534211287,5.630836029563872,2.5288584534211287,2.815418014781936,0.33701318528678437,2.7223755709690973,stevens
3,0.4255089974049766,0.9569260034533662,0.8253329063847983,0.338215312471576,0.6803014190529106,0.6803014190529106,0.9585980075205853,0.1662034051302976,True,True,0.0,qnei,0.0,False,10,04cf5a91-7f11-4d86-94ce-c0a4fc07ac05,slip,0.05,0,exact,value,learned,1e-06,"x0,x1,x2,x3",3.0593887562558817,0.6803014190529106,2.379087337202971,8.009923366766843,2.379087337202971,2.6699744555889477,0.9585980075205853,2.1007907487352964,stevens
4,0.5757605479445136,0.7533018647084769,0.8271039370247955,0.9334384708515814,1.7831182330491215,1.7831182330491215,1.826720419953148,0.060373497298309556,True,True,0.0,qnei,0.0,False,10,04cf5a91-7f11-4d86-94ce-c0a4fc07ac05,slip,0.05,0,exact,value,learned,1e-06,"x0,x1,x2,x3",3.0593887562558817,1.7831182330491215,1.2762705232067602,9.286193889973603,1.2762705232067602,2.321548472493401,1.826720419953148,1.2326683363027338,stevens
5,0.1449946949362273,0.7455802110439375,0.13935139386782236,0.9065287561129268,-0.35167627631471216,-0.35167627631471216,-0.18332295143431807,0.057535462094770465,True,True,0.0,qnei,0.0,False,10,04cf5a91-7f11-4d86-94ce-c0a4fc07ac05,slip,0.05,0,exact,value,learned,1e-06,"x0,x1,x2,x3",3.0593887562558817,1.7831182330491215,3.411065032570594,12.697258922544197,1.2762705232067602,2.5394517845088393,1.826720419953148,1.2326683363027338,stevens
6,0.5335637167564727,0.8069667110461544,0.9737074114016686,1.0,2.035200734030019,2.035200734030019,2.1155762569114627,0.0558149407776769,True,True,0.0,qnei,0.42920140000933316,False,10,04cf5a91-7f11-4d86-94ce-c0a4fc07ac05,slip,0.05,0,exact,value,learned,1e-06,"x0,x1,x2,x3",3.0593887562558817,2.035200734030019,1.0241880222258626,13.72144694477006,1.0241880222258626,2.286907824128343,2.1155762569114627,0.943812499344419,stevens
7,0.8759360489468173,1.0,1.0,1.0,2.799865107699423,2.799865107699423,2.897486140328709,0.10594700056106875,True,True,0.0,qnei,0.28799070000241045,False,10,04cf5a91-7f11-4d86-94ce-c0a4fc07ac05,slip,0.05,0,exact,value,learned,1e-06,"x0,x1,x2,x3",3.0593887562558817,2.799865107699423,0.2595236485564585,13.980970593326518,0.2595236485564585,1.9972815133323596,2.897486140328709,0.1619026159271728,stevens
8,1.0,1.0,1.0,1.0,2.9788787396610275,2.9788787396610275,3.0593887562558817,0.062371361078920606,True,True,0.0,qnei,0.22367029999441002,False,10,04cf5a91-7f11-4d86-94ce-c0a4fc07ac05,slip,0.05,0,exact,value,learned,1e-06,"x0,x1,x2,x3",3.0593887562558817,2.9788787396610275,0.08051001659485424,14.061480609921372,0.08051001659485424,1.7576850762401715,3.0593887562558817,0.0,stevens
9,1.0,1.0,1.0,0.8369120912123958,2.8365894903665887,2.8365894903665887,2.8450233208689037,0.006218479321826842,True,True,0.0,qnei,0.4506102000013925,False,10,04cf5a91-7f11-4d86-94ce-c0a4fc07ac05,slip,0.05,0,exact,value,learned,1e-06,"x0,x1,x2,x3",3.0593887562558817,2.9788787396610275,0.222799265889293,14.284279875810665,0.08051001659485424,1.5871422084234073,3.0593887562558817,0.0,stevens
10,1.0,1.0,0.8029515811110042,1.0,2.6780422055360544,2.6780422055360544,2.798707184824722,0.11114983359140011,True,True,0.0,qnei,0.4344188000104623,False,10,04cf5a91-7f11-4d86-94ce-c0a4fc07ac05,slip,0.05,0,exact,value,learned,1e-06,"x0,x1,x2,x3",3.0593887562558817,2.9788787396610275,0.38134655071982726,14.665626426530492,0.08051001659485424,1.4665626426530491,3.0593887562558817,0.0,stevens
11,0.7402940750587782,0.06310073664123628,0.8725443097165694,0.26539150452141913,-0.18852962325246492,-0.18852962325246492,-0.1845165056103973,0.04576722369359707,True,True,0.0,qnei,0.23052070000267122,False,10,04cf5a91-7f11-4d86-94ce-c0a4fc07ac05,slip,0.05,0,exact,value,learned,1e-06,"x0,x1,x2,x3",3.0593887562558817,2.9788787396610275,3.247918379508347,17.91354480603884,0.08051001659485424,1.6285040732762581,3.0593887562558817,0.0,stevens
12,1.0,0.7444853972904251,1.0,1.0,2.722408642325638,2.722408642325638,2.7174224701543634,0.033771492852892354,True,True,0.0,qnei,0.33302209999237675,False,10,04cf5a91-7f11-4d86-94ce-c0a4fc07ac05,slip,0.05,0,exact,value,learned,1e-06,"x0,x1,x2,x3",3.0593887562558817,2.9788787396610275,0.3369801139302435,18.25052491996908,0.08051001659485424,1.52087707666409,3.0593887562558817,0.0,stevens
13,0.7930557087331708,0.06428081433793953,0.9273815754226266,0.6913785982710411,0.667513377423871,0.667513377423871,0.6702617579581125,0.16760869395265227,True,True,0.0,qnei,0.29436400000122376,False,10,04cf5a91-7f11-4d86-94ce-c0a4fc07ac05,slip,0.05,0,exact,value,learned,1e-06,"x0,x1,x2,x3",3.0593887562558817,2.9788787396610275,2.391875378832011,20.642400298801093,0.08051001659485424,1.5878769460616224,3.0593887562558817,0.0,stevens
