iteration,x0,x1,x2,x3,objective_true,objective_observed,error_applied,error_magnitude,acquisition,fit_time_sec,acq_opt_failed,seed,run_id,error_model,jitter_std,jitter_iteration,oracle_model,objective,observation_noise,known_noise_var,param_columns,y_opt,best_true_so_far,regret_inst_true,regret_cum_true,simple_regret_true,regret_avg_true,inference_value_true,inference_simple_regret_true,dataset
1,125.09546660466697,397.21380096957546,275.68569024519354,-274.79281000940813,0.5738417291035465,0.9836216567928986,True,0.4097799276893521,logei,0.0,False,7,d08fa574-3914-4f67-bba1-2b4c9bdd74bc,gaussian,1.0,0,exact,value,learned,1.0,"x0,x1,x2,x3",4.328390371778852,0.5738417291035465,3.7545486426753056,3.7545486426753056,3.7545486426753056,3.7545486426753056,0.5738417291035465,3.7545486426753056,schwefel
2,-199.83371508877457,373.55344539626185,-494.73469543442525,321.2284183827662,-0.41778728342351684,0.786323871794901,True,1.2041111552184178,logei,0.0,False,7,d08fa574-3914-4f67-bba1-2b4c9bdd74bc,gaussian,1.0,0,exact,value,learned,1.0,"x0,x1,x2,x3",4.328390371778852,0.5738417291035465,4.746177655202369,8.500726297877675,3.7545486426753056,4.250363148938837,0.5738417291035465,3.7545486426753056,schwefel
3,297.0694287520462,-32.065047156279206,-196.9675731806865,-221.57438789922668,-1.6438031498001602,-2.1729002129423653,True,-0.5290970631422052,logei,0.0,False,7,d08fa574-3914-4f67-bba1-2b4c9bdd74bc,gaussian,1.0,0,exact,value,learned,1.0,"x0,x1,x2,x3",4.328390371778852,0.5738417291035465,5.972193521579012,14.472919819456687,3.7545486426753056,4.824306606485562,0.5738417291035465,3.7545486426753056,schwefel
4,-245.1304123458754,-54.92369411735342,4.548258957953294,53.49735207449248,-0.03217711789913872,1.3579536866754591,True,1.390130804574598,logei,0.0,False,7,d08fa574-3914-4f67-bba1-2b4c9bdd74bc,gaussian,1.0,0,exact,value,learned,1.0,"x0,x1,x2,x3",4.328390371778852,0.5738417291035465,4.36056748967799,18.833487309134675,3.7545486426753056,4.708371827283669,-0.03217711789913872,4.36056748967799,schwefel
5,495.5002834343927,292.6619192137531,122.17922944116265,488.9601476818849,-1.5523172952614734,-0.8420335571494074,True,0.710283738112066,logei,0.0,False,7,d08fa574-3914-4f67-bba1-2b4c9bdd74bc,gaussian,1.0,0,exact,value,learned,1.0,"x0,x1,x2,x3",4.328390371778852,0.5738417291035465,5.880707667040325,24.714194976175,3.7545486426753056,4.942838995235,-0.03217711789913872,4.36056748967799,schwefel
6,-145.4000376389668,335.5837050092621,172.13967081009713,-57.27188861330093,-0.16395524897655084,-2.0192638612760025,True,-1.8553086122994518,logei,0.641976999992039,False,7,d08fa574-3914-4f67-bba1-2b4c9bdd74bc,gaussian,1.0,0,exact,value,learned,1.0,"x0,x1,x2,x3",4.328390371778852,0.5738417291035465,4.492345620755403,29.206540596930402,3.7545486426753056,4.867756766155067,-0.03217711789913872,4.36056748967799,schwefel
7,-145.4000376389668,335.5837050092621,172.13967081009713,-57.27188861330093,-0.16395524897655084,-0.08591636746591612,True,0.07803888151063472,logei,0.0,False,7,d08fa574-3914-4f67-bba1-2b4c9bdd74bc,gaussian,1.0,0,exact,value,learned,1.0,"x0,x1,x2,x3",4.328390371778852,0.5738417291035465,4.492345620755403,33.6988862176858,3.7545486426753056,4.814126602526543,-0.03217711789913872,4.36056748967799,schwefel
8,-266.32226940303735,-24.341502039705464,-227.48595212968843,189.34944887679924,0.5669850124314171,2.4113076438807353,True,1.8443226314493182,logei,0.44152359999134205,False,7,d08fa574-3914-4f67-bba1-2b4c9bdd74bc,gaussian,1.0,0,exact,value,learned,1.0,"x0,x1,x2,x3",4.328390371778852,0.5738417291035465,3.761405359347435,37.46029157703324,3.7545486426753056,4.682536447129155,0.5669850124314171,3.761405359347435,schwefel
9,-266.32226940303735,-24.341502039705464,-227.48595212968843,189.34944887679924,0.5669850124314171,-0.7777300098159097,True,-1.3447150222473268,logei,0.0,False,7,d08fa574-3914-4f67-bba1-2b4c9bdd74bc,gaussian,1.0,0,exact,value,learned,1.0,"x0,x1,x2,x3",4.328390371778852,0.5738417291035465,3.761405359347435,41.221696936380674,3.7545486426753056,4.580188548486742,-0.03217711789913872,4.36056748967799,schwefel
10,-297.77040546174885,-289.9107890562845,129.20968555385573,1.2455529509213257,1.1858883022134254,1.0108723095705408,True,-0.1750159926428847,logei,0.33616730000358075,False,7,d08fa574-3914-4f67-bba1-2b4c9bdd74bc,gaussian,1.0,0,exact,value,learned,1.0,"x0,x1,x2,x3",4.328390371778852,1.1858883022134254,3.1425020695654267,44.3641990059461,3.1425020695654267,4.4364199005946094,-0.03217711789913872,4.36056748967799,schwefel
11,-297.77040546174885,-289.9107890562845,129.20968555385573,1.2455529509213257,1.1858883022134254,-0.21593301465703418,True,-1.4018213168704596,logei,0.0,False,7,d08fa574-3914-4f67-bba1-2b4c9bdd74bc,gaussian,1.0,0,exact,value,learned,1.0,"x0,x1,x2,x3",4.328390371778852,1.1858883022134254,3.1425020695654267,47.50670107551152,3.1425020695654267,4.318791006864684,-0.03217711789913872,4.36056748967799,schwefel
12,-293.7560728622961,500.0,-500.0,-353.21147481947935,0.8020382520891938,0.9846998469711805,True,0.18266159488198674,logei,0.40357559999392834,False,7,d08fa574-3914-4f67-bba1-2b4c9bdd74bc,gaussian,1.0,0,exact,value,learned,1.0,"x0,x1,x2,x3",4.328390371778852,1.1858883022134254,3.5263521196896583,51.03305319520118,3.1425020695654267,4.252754432933432,-0.03217711789913872,4.36056748967799,schwefel
13,-293.7560728622961,500.0,-500.0,-353.21147481947935,0.8020382520891938,0.4430300529863029,True,-0.3590081991028909,logei,0.0,False,7,d08fa574-3914-4f67-bba1-2b4c9bdd74bc,gaussian,1.0,0,exact,value,learned,1.0,"x0,x1,x2,x3",4.328390371778852,1.1858883022134254,3.5263521196896583,54.55940531489084,3.1425020695654267,4.1968773319146795,-0.03217711789913872,4.36056748967799,schwefel
14,83.78624319334357,-429.08172120180956,500.0,500.0,-1.9354691594225413,-1.3647157344758525,True,0.5707534249466888,logei,0.43024899999727495,False,7,d08fa574-3914-4f67-bba1-2b4c9bdd74bc,gaussian,1.0,0,exact,value,learned,1.0,"x0,x1,x2,x3",4.328390371778852,1.1858883022134254,6.263859531201393,60.82326484609223,3.1425020695654267,4.344518917578016,-0.03217711789913872,4.36056748967799,schwefel
15,83.78624319334357,-429.08172120180956,500.0,500.0,-1.9354691594225413,-2.873922018043786,True,-0.9384528586212446,logei,0.0,False,7,d08fa574-3914-4f67-bba1-2b4c9bdd74bc,gaussian,1.0,0,exact,value,learned,1.0,"x0,x1,x2,x3",4.328390371778852,1.1858883022134254,6.263859531201393,67.08712437729362,3.1425020695654267,4.4724749584862415,-0.03217711789913872,4.36056748967799,schwefel
16,-317.06349564368765,500.0,133.52584801353458,500.0,-0.5174749916921871,-2.661226776242372,True,-2.143751784550185,logei,0.35676369999418966,False,7,d08fa574-3914-4f67-bba1-2b4c9bdd74bc,gaussian,1.0,0,exact,value,learned,1.0,"x0,x1,x2,x3",4.328390371778852,1.1858883022134254,4.845865363471039,71.93298974076465,3.1425020695654267,4.495811858797791,-0.03217711789913872,4.36056748967799,schwefel
