iteration,x0,x1,x2,x3,x4,objective_true,objective_observed,error_applied,error_magnitude,acquisition,fit_time_sec,acq_opt_failed,seed,run_id,error_model,jitter_std,jitter_iteration,oracle_model,objective,observation_noise,known_noise_var,param_columns,y_opt,best_true_so_far,regret_inst_true,regret_cum_true,simple_regret_true,regret_avg_true,inference_value_true,inference_simple_regret_true,dataset
1,2.7339685059847834,0.9010628369925916,1.8948457972282609,2.4426953628177106,2.2496147957845927,0.595848047753563,0.595848047753563,False,0.0,qnei,0.0,False,9,db45da6f-0fe1-4c76-8295-9bdc146c3799,gaussian,5.0,20,exact,value,learned,1e-06,"x0,x1,x2,x3,x4",8.047721166688978,0.595848047753563,7.451873118935415,7.451873118935415,7.451873118935415,7.451873118935415,0.595848047753563,7.451873118935415,michalewicz
2,2.8757514617751183,2.703006367468264,2.8847285896693013,0.08352783127899953,1.3736551050036934,0.19303114101745533,0.19303114101745533,False,0.0,qnei,0.0,False,9,db45da6f-0fe1-4c76-8295-9bdc146c3799,gaussian,5.0,20,exact,value,learned,1e-06,"x0,x1,x2,x3,x4",8.047721166688978,0.595848047753563,7.854690025671523,15.306563144606939,7.451873118935415,7.653281572303469,0.595848047753563,7.451873118935415,michalewicz
3,1.5234975350318947,0.20468794780846922,0.017674759483104676,2.6094742043030985,3.089135106907805,-1.0527126446734347,-1.0527126446734347,False,0.0,qnei,0.0,False,9,db45da6f-0fe1-4c76-8295-9bdc146c3799,gaussian,5.0,20,exact,value,learned,1e-06,"x0,x1,x2,x3,x4",8.047721166688978,0.595848047753563,9.100433811362413,24.40699695596935,7.451873118935415,8.135665651989784,0.595848047753563,7.451873118935415,michalewicz
4,2.46492454909066,0.9914976055630428,2.215871184667501,0.939905061652722,2.327129991960237,1.006504808815746,1.006504808815746,False,0.0,qnei,0.0,False,9,db45da6f-0fe1-4c76-8295-9bdc146c3799,gaussian,5.0,20,exact,value,learned,1e-06,"x0,x1,x2,x3,x4",8.047721166688978,1.006504808815746,7.041216357873232,31.448213313842583,7.041216357873232,7.862053328460646,1.006504808815746,7.041216357873232,michalewicz
5,0.8788518104233879,2.4585818703609696,3.1030790740952976,3.0983597811058523,2.7735945546061833,-1.0537215195984087,-1.0537215195984087,False,0.0,qnei,0.0,False,9,db45da6f-0fe1-4c76-8295-9bdc146c3799,gaussian,5.0,20,exact,value,learned,1e-06,"x0,x1,x2,x3,x4",8.047721166688978,1.006504808815746,9.101442686287387,40.54965600012997,7.041216357873232,8.109931200025994,1.006504808815746,7.041216357873232,michalewicz
6,2.7958212717654725,0.29913179095948866,2.4664751724576757,0.0,2.3826487850067704,-1.0539067266514337,-1.0539067266514337,False,0.0,qnei,0.33954820000508334,False,9,db45da6f-0fe1-4c76-8295-9bdc146c3799,gaussian,5.0,20,exact,value,learned,1e-06,"x0,x1,x2,x3,x4",8.047721166688978,1.006504808815746,9.101627893340412,49.651283893470385,7.041216357873232,8.275213982245065,1.006504808815746,7.041216357873232,michalewicz
7,2.7958212717654725,0.29913179095948866,2.4664751724576757,0.0,2.3826487850067704,-1.0539067266514337,-1.0539067266514337,False,0.0,qnei,0.0,False,9,db45da6f-0fe1-4c76-8295-9bdc146c3799,gaussian,5.0,20,exact,value,learned,1e-06,"x0,x1,x2,x3,x4",8.047721166688978,1.006504808815746,9.101627893340412,58.7529117868108,7.041216357873232,8.393273112401543,1.006504808815746,7.041216357873232,michalewicz
8,2.413618668416764,1.2093247551124473,2.302738672590851,0.8824050345830706,2.2763082807909703,0.2955770280366551,0.2955770280366551,False,0.0,qnei,0.4153985000011744,False,9,db45da6f-0fe1-4c76-8295-9bdc146c3799,gaussian,5.0,20,exact,value,learned,1e-06,"x0,x1,x2,x3,x4",8.047721166688978,1.006504808815746,7.752144138652323,66.50505592546313,7.041216357873232,8.31313199068289,1.006504808815746,7.041216357873232,michalewicz
9,2.413618668416764,1.2093247551124473,2.302738672590851,0.8824050345830706,2.2763082807909703,0.2955770280366551,0.2955770280366551,False,0.0,qnei,0.0,False,9,db45da6f-0fe1-4c76-8295-9bdc146c3799,gaussian,5.0,20,exact,value,learned,1e-06,"x0,x1,x2,x3,x4",8.047721166688978,1.006504808815746,7.752144138652323,74.25720006411545,7.041216357873232,8.250800007123939,1.006504808815746,7.041216357873232,michalewicz
10,1.8526627405600882,0.924236259681524,2.24124967073536,0.2022330336593338,2.6664488485640567,0.8480332158210622,0.8480332158210622,False,0.0,qnei,0.6625213000079384,False,9,db45da6f-0fe1-4c76-8295-9bdc146c3799,gaussian,5.0,20,exact,value,learned,1e-06,"x0,x1,x2,x3,x4",8.047721166688978,1.006504808815746,7.199687950867916,81.45688801498336,7.041216357873232,8.145688801498336,1.006504808815746,7.041216357873232,michalewicz
11,1.8526627405600882,0.924236259681524,2.24124967073536,0.2022330336593338,2.6664488485640567,0.8480332158210622,0.8480332158210622,False,0.0,qnei,0.0,False,9,db45da6f-0fe1-4c76-8295-9bdc146c3799,gaussian,5.0,20,exact,value,learned,1e-06,"x0,x1,x2,x3,x4",8.047721166688978,1.006504808815746,7.199687950867916,88.65657596585127,7.041216357873232,8.059688724168298,1.006504808815746,7.041216357873232,michalewicz
12,3.141592653589793,0.9379483104989267,2.5639032139865083,0.0,1.7521455329924174,0.3563316772734431,0.3563316772734431,False,0.0,qnei,0.5727866999950493,False,9,db45da6f-0fe1-4c76-8295-9bdc146c3799,gaussian,5.0,20,exact,value,learned,1e-06,"x0,x1,x2,x3,x4",8.047721166688978,1.006504808815746,7.691389489415535,96.3479654552668,7.041216357873232,8.028997121272234,1.006504808815746,7.041216357873232,michalewicz
