iteration,x0,x1,x2,x3,objective_true,objective_observed,error_applied,error_magnitude,acquisition,fit_time_sec,acq_opt_failed,seed,run_id,error_model,jitter_std,jitter_iteration,oracle_model,objective,observation_noise,known_noise_var,param_columns,y_opt,best_true_so_far,regret_inst_true,regret_cum_true,simple_regret_true,regret_avg_true,inference_value_true,inference_simple_regret_true,dataset
1,0.12857020276919962,0.49927786244011496,0.6014983576233575,0.028689008371944547,-1.354200529761357,-0.8026351371334896,True,0.5515653926278675,logei,0.0,False,11,5010a82b-e05c-455a-abe6-7635ab09aa90,gaussian,1.0,0,exact,value,learned,1.0,"x0,x1,x2,x3",3.0593887562558817,-1.354200529761357,4.413589286017238,4.413589286017238,4.413589286017238,4.413589286017238,-1.354200529761357,4.413589286017238,stevens
2,0.14792608457745593,0.9282110229603695,0.07042057615419683,0.12977394939929798,-1.415234372616329,-1.1371438205938165,True,0.27809055202251254,logei,0.0,False,11,5010a82b-e05c-455a-abe6-7635ab09aa90,gaussian,1.0,0,exact,value,learned,1.0,"x0,x1,x2,x3",3.0593887562558817,-1.354200529761357,4.474623128872211,8.888212414889448,4.413589286017238,4.444106207444724,-1.354200529761357,4.413589286017238,stevens
3,0.9483284532917751,0.6218835927963828,0.368993123729791,0.5113900218032627,0.854258045732732,0.5855164337053731,True,-0.2687416120273589,logei,0.0,False,11,5010a82b-e05c-455a-abe6-7635ab09aa90,gaussian,1.0,0,exact,value,learned,1.0,"x0,x1,x2,x3",3.0593887562558817,0.854258045732732,2.2051307105231497,11.093343125412598,2.2051307105231497,3.6977810418041996,0.854258045732732,2.2051307105231497,stevens
4,0.6628429525167993,0.2753088157611293,0.13796807286695534,0.7880395945039919,-0.18475011597007665,-0.6927934687983683,True,-0.5080433528282917,logei,0.0,False,11,5010a82b-e05c-455a-abe6-7635ab09aa90,gaussian,1.0,0,exact,value,learned,1.0,"x0,x1,x2,x3",3.0593887562558817,0.854258045732732,3.2441388722259585,14.337481997638557,2.2051307105231497,3.5843704994096393,0.854258045732732,2.2051307105231497,stevens
5,0.6703605841024838,0.5123823134831604,0.8167364359696581,0.5490752688700263,1.0503943887504021,1.019041603995549,True,-0.03135278475485315,logei,0.0,False,11,5010a82b-e05c-455a-abe6-7635ab09aa90,gaussian,1.0,0,exact,value,learned,1.0,"x0,x1,x2,x3",3.0593887562558817,1.0503943887504021,2.0089943675054798,16.346476365144035,2.0089943675054798,3.269295273028807,1.0503943887504021,2.0089943675054798,stevens
6,0.601190482530048,0.2402214813265676,1.0,0.47767830555693325,0.59111915370961,0.08421591956682917,True,-0.5069032341427808,logei,0.32917309999174904,False,11,5010a82b-e05c-455a-abe6-7635ab09aa90,gaussian,1.0,0,exact,value,learned,1.0,"x0,x1,x2,x3",3.0593887562558817,1.0503943887504021,2.468269602546272,18.814745967690307,2.0089943675054798,3.1357909946150513,1.0503943887504021,2.0089943675054798,stevens
7,0.601190482530048,0.2402214813265676,1.0,0.47767830555693325,0.59111915370961,0.467853326552585,True,-0.123265827157025,logei,0.0,False,11,5010a82b-e05c-455a-abe6-7635ab09aa90,gaussian,1.0,0,exact,value,learned,1.0,"x0,x1,x2,x3",3.0593887562558817,1.0503943887504021,2.468269602546272,21.28301557023658,2.0089943675054798,3.0404307957480827,1.0503943887504021,2.0089943675054798,stevens
8,0.661583027799823,0.7532016064754512,0.9795052196811099,0.5588155992702437,1.626930163813641,2.486502559590728,True,0.8595723957770871,logei,0.3377757999987807,False,11,5010a82b-e05c-455a-abe6-7635ab09aa90,gaussian,1.0,0,exact,value,learned,1.0,"x0,x1,x2,x3",3.0593887562558817,1.626930163813641,1.4324585924422406,22.71547416267882,1.4324585924422406,2.8394342703348525,1.626930163813641,1.4324585924422406,stevens
9,0.661583027799823,0.7532016064754512,0.9795052196811099,0.5588155992702437,1.626930163813641,2.2836838382048064,True,0.6567536743911653,logei,0.0,False,11,5010a82b-e05c-455a-abe6-7635ab09aa90,gaussian,1.0,0,exact,value,learned,1.0,"x0,x1,x2,x3",3.0593887562558817,1.626930163813641,1.4324585924422406,24.14793275512106,1.4324585924422406,2.6831036394578955,1.626930163813641,1.4324585924422406,stevens
10,0.793979702262737,0.9796997300264405,1.0,0.6500976715782628,2.2825411582806576,2.8890062396319762,True,0.6064650813513186,logei,0.3458686999947531,False,11,5010a82b-e05c-455a-abe6-7635ab09aa90,gaussian,1.0,0,exact,value,learned,1.0,"x0,x1,x2,x3",3.0593887562558817,2.2825411582806576,0.7768475979752241,24.924780353096285,0.7768475979752241,2.4924780353096283,2.2825411582806576,0.7768475979752241,stevens
11,0.793979702262737,0.9796997300264405,1.0,0.6500976715782628,2.2825411582806576,3.656467589097769,True,1.3739264308171113,logei,0.0,False,11,5010a82b-e05c-455a-abe6-7635ab09aa90,gaussian,1.0,0,exact,value,learned,1.0,"x0,x1,x2,x3",3.0593887562558817,2.2825411582806576,0.7768475979752241,25.701627951071508,0.7768475979752241,2.3365116319155916,2.2825411582806576,0.7768475979752241,stevens
12,1.0,1.0,1.0,1.0,3.0593887562558817,1.800535768056678,True,-1.2588529881992037,logei,0.1978499999968335,False,11,5010a82b-e05c-455a-abe6-7635ab09aa90,gaussian,1.0,0,exact,value,learned,1.0,"x0,x1,x2,x3",3.0593887562558817,3.0593887562558817,0.0,25.701627951071508,0.0,2.141802329255959,2.2825411582806576,0.7768475979752241,stevens
13,1.0,1.0,1.0,1.0,3.0593887562558817,3.5072264275733493,True,0.44783767131746766,logei,0.0,False,11,5010a82b-e05c-455a-abe6-7635ab09aa90,gaussian,1.0,0,exact,value,learned,1.0,"x0,x1,x2,x3",3.0593887562558817,3.0593887562558817,0.0,25.701627951071508,0.0,1.9770483039285776,2.2825411582806576,0.7768475979752241,stevens
14,1.0,1.0,1.0,0.3293820197452174,2.058868186620477,0.3390991790205453,True,-1.719769007599932,logei,0.256673600000795,False,11,5010a82b-e05c-455a-abe6-7635ab09aa90,gaussian,1.0,0,exact,value,learned,1.0,"x0,x1,x2,x3",3.0593887562558817,3.0593887562558817,1.0005205696354045,26.702148520706913,0.0,1.9072963229076367,2.2825411582806576,0.7768475979752241,stevens
