iteration,x0,x1,x2,x3,objective_true,objective_observed,objective_true_deployed,input_error_l2,input_error_applied,error_applied,error_magnitude,acquisition,fit_time_sec,acq_opt_failed,seed,run_id,error_model,jitter_std,jitter_iteration,oracle_model,objective,observation_noise,known_noise_var,param_columns,y_opt,best_true_so_far,regret_inst_true,regret_cum_true,simple_regret_true,regret_avg_true,inference_value_true,inference_simple_regret_true,dataset
1,-24.342023191317736,-0.047326007124624425,6.651796365204355,-30.887837147336242,-1.0096140988772762,-1.0096140988772762,-0.30121434332175484,27.794037770560237,True,True,0.0,logei,0.0,False,11,49ef71ab-8c63-4875-804d-8a05fe97ed7f,slip,0.4,0,exact,value,learned,1e-06,"x0,x1,x2,x3",20.102447153853433,-1.0096140988772762,21.112061252730708,21.112061252730708,21.112061252730708,21.112061252730708,-0.30121434332175484,20.403661497175186,ackley
2,-23.07351612113185,28.06323760073078,-28.152917121158556,-24.263134452167606,-0.7496282447594788,-0.7496282447594788,0.04634656030053056,84.52692344614043,True,True,0.0,logei,0.0,False,11,49ef71ab-8c63-4875-804d-8a05fe97ed7f,slip,0.4,0,exact,value,learned,1e-06,"x0,x1,x2,x3",20.102447153853433,-0.7496282447594788,20.85207539861291,41.96413665134362,20.85207539861291,20.98206832567181,0.04634656030053056,20.0561005935529,ackley
3,29.381653514929774,7.987763137503748,-8.58566664324442,0.7464564688986215,3.341100481393898,3.341100481393898,-0.1365968378712567,31.809290877439118,True,True,0.0,logei,0.0,False,11,49ef71ab-8c63-4875-804d-8a05fe97ed7f,slip,0.4,0,exact,value,learned,1e-06,"x0,x1,x2,x3",20.102447153853433,3.341100481393898,16.761346672459535,58.72548332380316,16.761346672459535,19.575161107934388,-0.1365968378712567,20.23904399172469,ackley
4,10.672075736140954,-14.72536145027863,-23.726124376591216,18.87696286541361,-0.4113796317348089,-0.4113796317348089,-0.26446524072856786,19.4943554175649,True,True,0.0,logei,0.0,False,11,49ef71ab-8c63-4875-804d-8a05fe97ed7f,slip,0.4,0,exact,value,learned,1e-06,"x0,x1,x2,x3",20.102447153853433,3.341100481393898,20.513826785588243,79.2393101093914,16.761346672459535,19.80982752734785,-0.1365968378712567,20.23904399172469,ackley
5,11.164751239740376,0.8114872964324036,20.757639067707508,3.216196820666049,-0.9206619295742734,-0.9206619295742734,1.2897487109322534,58.52705583462476,True,True,0.0,logei,0.0,False,11,49ef71ab-8c63-4875-804d-8a05fe97ed7f,slip,0.4,0,exact,value,learned,1e-06,"x0,x1,x2,x3",20.102447153853433,3.341100481393898,21.023109083427705,100.2624191928191,16.761346672459535,20.05248383856382,-0.1365968378712567,20.23904399172469,ackley
6,32.768,17.973866033954373,-9.086930830547596,-4.43119014232288,-0.911148516314521,-0.911148516314521,-0.12302552432243874,43.253731325682224,True,True,0.0,logei,0.3631345999892801,False,11,49ef71ab-8c63-4875-804d-8a05fe97ed7f,slip,0.4,0,exact,value,learned,1e-06,"x0,x1,x2,x3",20.102447153853433,3.341100481393898,21.013595670167955,121.27601486298705,16.761346672459535,20.212669143831175,-0.1365968378712567,20.23904399172469,ackley
7,32.768,8.189782338900683,-22.912793685227367,8.092092650512635,-0.44781256281567544,-0.44781256281567544,0.183384123275267,25.465955014820516,True,True,0.0,logei,0.3575194000004558,False,11,49ef71ab-8c63-4875-804d-8a05fe97ed7f,slip,0.4,0,exact,value,learned,1e-06,"x0,x1,x2,x3",20.102447153853433,3.341100481393898,20.550259716669107,141.82627457965617,16.761346672459535,20.26089636852231,-0.1365968378712567,20.23904399172469,ackley
8,29.34987140709415,6.386754838622447,-6.384387874944515,1.0425625262500158,-0.4052005281752517,-0.4052005281752517,-0.15662907355505068,34.31010402060656,True,True,0.0,logei,0.24849430000176653,False,11,49ef71ab-8c63-4875-804d-8a05fe97ed7f,slip,0.4,0,exact,value,learned,1e-06,"x0,x1,x2,x3",20.102447153853433,3.341100481393898,20.507647682028683,162.33392226168485,16.761346672459535,20.291740282710606,-0.1365968378712567,20.23904399172469,ackley
9,29.184849610621058,7.898227183089956,-9.271838944982127,0.966897497760669,-0.4511663057538239,-0.4511663057538239,0.6435552116803215,34.058121108059375,True,True,0.0,logei,0.3194205000036163,False,11,49ef71ab-8c63-4875-804d-8a05fe97ed7f,slip,0.4,0,exact,value,learned,1e-06,"x0,x1,x2,x3",20.102447153853433,3.341100481393898,20.553613459607256,182.8875357212921,16.761346672459535,20.32083730236579,-0.1365968378712567,20.23904399172469,ackley
10,32.768,-6.706043979104961,-7.719250090617566,-10.32306441718281,-0.7846562187491847,-0.7846562187491847,-0.4509551043318431,58.88796333988526,True,True,0.0,logei,0.23083300000871532,False,11,49ef71ab-8c63-4875-804d-8a05fe97ed7f,slip,0.4,0,exact,value,learned,1e-06,"x0,x1,x2,x3",20.102447153853433,3.341100481393898,20.887103372602617,203.7746390938947,16.761346672459535,20.37746390938947,-0.1365968378712567,20.23904399172469,ackley
