iteration,x0,x1,x2,x3,objective_true,objective_observed,error_applied,error_magnitude,acquisition,fit_time_sec,acq_opt_failed,seed,run_id,error_model,jitter_std,jitter_iteration,oracle_model,objective,observation_noise,known_noise_var,param_columns,y_opt,best_true_so_far,regret_inst_true,regret_cum_true,simple_regret_true,regret_avg_true,inference_value_true,inference_simple_regret_true,dataset
1,0.9560017096289753,0.20768181007914688,0.8284448852745308,0.14928212308202027,-0.45908158349716477,7.724589109114055,True,8.18367069261122,logei,0.0,False,10,5d7fdc21-d7a3-4e58-adaa-cf137a066fee,gaussian,5.0,0,exact,value,learned,25.0,"x0,x1,x2,x3",2.9574997815819173,-0.45908158349716477,3.416581365079082,3.416581365079082,3.416581365079082,3.416581365079082,-0.45908158349716477,3.416581365079082,moving_peaks
2,0.5128046164365648,0.13591960402050662,0.6890364797811311,0.841747724312279,1.5216633217195823,4.524574184836915,True,3.0029108631173327,logei,0.0,False,10,5d7fdc21-d7a3-4e58-adaa-cf137a066fee,gaussian,5.0,0,exact,value,learned,25.0,"x0,x1,x2,x3",2.9574997815819173,1.5216633217195823,1.435836459862335,4.852417824941417,1.435836459862335,2.4262089124707087,-0.45908158349716477,3.416581365079082,moving_peaks
3,0.4255089974049766,0.9569260034533662,0.8253329063847983,0.338215312471576,-1.0730237634684212,1.7049843682741626,True,2.7780081317425838,logei,0.0,False,10,5d7fdc21-d7a3-4e58-adaa-cf137a066fee,gaussian,5.0,0,exact,value,learned,25.0,"x0,x1,x2,x3",2.9574997815819173,1.5216633217195823,4.030523545050339,8.882941369991755,1.435836459862335,2.9609804566639184,-0.45908158349716477,3.416581365079082,moving_peaks
4,0.5757605479445136,0.7533018647084769,0.8271039370247955,0.9334384708515814,-0.5079054385281176,-2.711586826059899,True,-2.2036813875317813,logei,0.0,False,10,5d7fdc21-d7a3-4e58-adaa-cf137a066fee,gaussian,5.0,0,exact,value,learned,25.0,"x0,x1,x2,x3",2.9574997815819173,1.5216633217195823,3.4654052201100347,12.34834659010179,1.435836459862335,3.0870866475254477,-0.45908158349716477,3.416581365079082,moving_peaks
5,0.1449946949362273,0.7455802110439375,0.13935139386782236,0.9065287561129268,0.2705169341372875,-3.8013788951962395,True,-4.071895829333527,logei,0.0,False,10,5d7fdc21-d7a3-4e58-adaa-cf137a066fee,gaussian,5.0,0,exact,value,learned,25.0,"x0,x1,x2,x3",2.9574997815819173,1.5216633217195823,2.6869828474446296,15.03532943754642,1.435836459862335,3.0070658875092837,-0.45908158349716477,3.416581365079082,moving_peaks
6,1.0,0.04426546802730927,1.0,0.0,-1.5314884044268358,-5.522734446618239,True,-3.9912460421914036,logei,0.33624620000773575,False,10,5d7fdc21-d7a3-4e58-adaa-cf137a066fee,gaussian,5.0,0,exact,value,learned,25.0,"x0,x1,x2,x3",2.9574997815819173,1.5216633217195823,4.488988186008753,19.524317623555174,1.435836459862335,3.2540529372591958,-0.45908158349716477,3.416581365079082,moving_peaks
7,0.8400698017133117,0.17180092647709877,0.7810960343673381,0.2366648291248063,0.1132665121637636,6.744788840925709,True,6.631522328761946,logei,0.3808347999874968,False,10,5d7fdc21-d7a3-4e58-adaa-cf137a066fee,gaussian,5.0,0,exact,value,learned,25.0,"x0,x1,x2,x3",2.9574997815819173,1.5216633217195823,2.8442332694181536,22.368550892973328,1.435836459862335,3.1955072704247613,-0.45908158349716477,3.416581365079082,moving_peaks
8,0.2317029310880503,0.2178976489405538,0.25070123292049906,0.5968428161474267,-1.2711529577372367,-0.4545558554356457,True,0.816597102301591,logei,0.42906729999231175,False,10,5d7fdc21-d7a3-4e58-adaa-cf137a066fee,gaussian,5.0,0,exact,value,learned,25.0,"x0,x1,x2,x3",2.9574997815819173,1.5216633217195823,4.228652739319154,26.597203632292484,1.435836459862335,3.3246504540365605,-0.45908158349716477,3.416581365079082,moving_peaks
9,0.9117943576924596,0.22637709928711172,0.755253917408513,0.8219074759987169,-0.1653641935402657,7.555696355160918,True,7.721060548701184,logei,0.45046999999613035,False,10,5d7fdc21-d7a3-4e58-adaa-cf137a066fee,gaussian,5.0,0,exact,value,learned,25.0,"x0,x1,x2,x3",2.9574997815819173,1.5216633217195823,3.122863975122183,29.720067607414666,1.435836459862335,3.3022297341571853,-0.45908158349716477,3.416581365079082,moving_peaks
10,0.2942543041150827,0.22501352457962873,0.8600678628268296,0.17257303156218826,0.5166965702350028,-4.0533189494397694,True,-4.570015519674772,logei,0.3424330999987433,False,10,5d7fdc21-d7a3-4e58-adaa-cf137a066fee,gaussian,5.0,0,exact,value,learned,25.0,"x0,x1,x2,x3",2.9574997815819173,1.5216633217195823,2.4408032113469145,32.16087081876158,1.435836459862335,3.216087081876158,-0.45908158349716477,3.416581365079082,moving_peaks
