iteration,x0,x1,x2,x3,objective_true,objective_observed,objective_true_deployed,input_error_l2,input_error_applied,error_applied,error_magnitude,acquisition,fit_time_sec,acq_opt_failed,seed,run_id,error_model,jitter_std,jitter_iteration,oracle_model,objective,observation_noise,known_noise_var,param_columns,y_opt,best_true_so_far,regret_inst_true,regret_cum_true,simple_regret_true,regret_avg_true,inference_value_true,inference_simple_regret_true,dataset
1,1.2809775780317896,4.067469321928454,2.823021468110782,-2.8138783744963396,1.5477951761934001,1.5477951761934001,0.7633776181059154,8.077655210169448,True,True,0.0,logei,0.0,False,7,aba6aa6d-7b13-4618-b7c8-dd96d67aa8d9,misclick,0.4,0,exact,value,learned,1e-06,"x0,x1,x2,x3",3.638939073438052,1.5477951761934001,2.0911438972446517,2.0911438972446517,2.0911438972446517,2.0911438972446517,0.7633776181059154,2.8755614553321363,rastrigin
2,-2.0462972425090515,3.8251872808577216,-5.066083281248515,3.2893790042395272,-0.018256045527367024,-0.018256045527367024,-0.018256045527367024,0.0,False,True,0.0,logei,0.0,False,7,aba6aa6d-7b13-4618-b7c8-dd96d67aa8d9,misclick,0.4,0,exact,value,learned,1e-06,"x0,x1,x2,x3",3.638939073438052,1.5477951761934001,3.6571951189654186,5.74833901621007,2.0911438972446517,2.874169508105035,0.7633776181059154,2.8755614553321363,rastrigin
3,3.0419909504209537,-0.3283460828802989,-2.0169479493702296,-2.268921732088081,-0.5760210103381752,-0.5760210103381752,1.4343726798783474,7.772302193062479,True,True,0.0,logei,0.0,False,7,aba6aa6d-7b13-4618-b7c8-dd96d67aa8d9,misclick,0.4,0,exact,value,learned,1e-06,"x0,x1,x2,x3",3.638939073438052,1.5477951761934001,4.214960083776227,9.963299099986298,2.0911438972446517,3.3210996999954325,0.7633776181059154,2.8755614553321363,rastrigin
4,-2.5101354224217642,-0.5624186277616987,0.04657417172944189,0.547812885242803,0.7268317568188023,0.7268317568188023,0.39208810311850745,5.4741965868098035,True,True,0.0,logei,0.0,False,7,aba6aa6d-7b13-4618-b7c8-dd96d67aa8d9,misclick,0.4,0,exact,value,learned,1e-06,"x0,x1,x2,x3",3.638939073438052,1.5477951761934001,2.9121073166192497,12.875406416605546,2.0911438972446517,3.2188516041513866,0.7633776181059154,2.8755614553321363,rastrigin
5,5.073922902368181,2.9968580527488315,1.2511153094775054,5.006951912262502,-0.5306073867960258,-0.5306073867960258,0.07855652029965372,11.85502645801427,True,True,0.0,logei,0.0,False,7,aba6aa6d-7b13-4618-b7c8-dd96d67aa8d9,misclick,0.4,0,exact,value,learned,1e-06,"x0,x1,x2,x3",3.638939073438052,1.5477951761934001,4.169546460234078,17.044952876839623,2.0911438972446517,3.4089905753679246,0.7633776181059154,2.8755614553321363,rastrigin
6,-0.7297482609475315,3.1977211607625113,2.7677350993301775,-2.2436490298701175,-1.0905761860310825,-1.0905761860310825,0.6932546837487108,10.784323735094578,True,True,0.0,logei,0.5440570999635383,False,7,aba6aa6d-7b13-4618-b7c8-dd96d67aa8d9,misclick,0.4,0,exact,value,learned,1e-06,"x0,x1,x2,x3",3.638939073438052,1.5477951761934001,4.729515259469134,21.77446813630876,2.0911438972446517,3.6290780227181263,0.7633776181059154,2.8755614553321363,rastrigin
7,1.550683191387813,5.12,4.525732645842252,-3.2529160859844213,-1.858313679919723,-1.858313679919723,-1.858313679919723,0.0,False,True,0.0,logei,0.9742707000114024,False,7,aba6aa6d-7b13-4618-b7c8-dd96d67aa8d9,misclick,0.4,0,exact,value,learned,1e-06,"x0,x1,x2,x3",3.638939073438052,1.5477951761934001,5.497252753357775,27.271720889666533,2.0911438972446517,3.895960127095219,0.7633776181059154,2.8755614553321363,rastrigin
8,2.5044919831422034,4.1277506655671425,0.9243731866927197,-2.7473706234408555,-1.0180613873802877,-1.0180613873802877,0.39613903042353044,11.740413902794042,True,True,0.0,logei,0.870362900022883,False,7,aba6aa6d-7b13-4618-b7c8-dd96d67aa8d9,misclick,0.4,0,exact,value,learned,1e-06,"x0,x1,x2,x3",3.638939073438052,1.5477951761934001,4.65700046081834,31.92872135048487,2.0911438972446517,3.991090168810609,0.7633776181059154,2.8755614553321363,rastrigin
9,1.619155504587376,3.080522658628829,2.5944634263109654,-2.8605219251759944,0.32446929314554224,0.32446929314554224,0.32446929314554224,0.0,False,True,0.0,logei,0.9209524000179954,False,7,aba6aa6d-7b13-4618-b7c8-dd96d67aa8d9,misclick,0.4,0,exact,value,learned,1e-06,"x0,x1,x2,x3",3.638939073438052,1.5477951761934001,3.3144697802925096,35.24319113077738,2.0911438972446517,3.9159101256419313,0.7633776181059154,2.8755614553321363,rastrigin
10,0.9761780652056374,3.7701583509760397,2.43114719194401,-2.6440282102943944,0.09470182867434819,0.09470182867434819,0.09470182867434819,0.0,False,True,0.0,logei,1.227946700004395,False,7,aba6aa6d-7b13-4618-b7c8-dd96d67aa8d9,misclick,0.4,0,exact,value,learned,1e-06,"x0,x1,x2,x3",3.638939073438052,1.5477951761934001,3.5442372447637034,38.78742837554108,2.0911438972446517,3.878742837554108,0.7633776181059154,2.8755614553321363,rastrigin
