iteration,x0,x1,x2,x3,objective_true,objective_observed,objective_true_deployed,input_error_l2,input_error_applied,error_applied,error_magnitude,acquisition,fit_time_sec,acq_opt_failed,seed,run_id,error_model,jitter_std,jitter_iteration,oracle_model,objective,observation_noise,known_noise_var,param_columns,y_opt,best_true_so_far,regret_inst_true,regret_cum_true,simple_regret_true,regret_avg_true,inference_value_true,inference_simple_regret_true,dataset
1,6.2509546660466695,8.972138009695755,7.756856902451935,2.2520718999059186,-0.8901868077722439,-0.8901868077722439,-0.8901868077722439,0.0,False,False,0.0,qnei,0.0,False,7,9775afa3-dceb-4b16-8b53-53b2766977b9,misclick,0.15,20,exact,value,learned,1e-06,"x0,x1,x2,x3",5.402837764670362,-0.8901868077722439,6.293024572442605,6.293024572442605,6.293024572442605,6.293024572442605,-0.8901868077722439,6.293024572442605,hicks_law
2,3.0016628491122543,8.735534453962618,0.052653045655747244,8.212284183827663,0.508382780263228,0.508382780263228,0.508382780263228,0.0,False,False,0.0,qnei,0.0,False,7,9775afa3-dceb-4b16-8b53-53b2766977b9,misclick,0.15,20,exact,value,learned,1e-06,"x0,x1,x2,x3",5.402837764670362,0.508382780263228,4.894454984407133,11.187479556849738,4.894454984407133,5.593739778424869,0.508382780263228,4.894454984407133,hicks_law
3,7.9706942875204625,4.679349528437208,3.0303242681931355,2.7842561210077332,-0.08639998359907117,-0.08639998359907117,-0.08639998359907117,0.0,False,False,0.0,qnei,0.0,False,7,9775afa3-dceb-4b16-8b53-53b2766977b9,misclick,0.15,20,exact,value,learned,1e-06,"x0,x1,x2,x3",5.402837764670362,0.508382780263228,5.489237748269432,16.67671730511917,4.894454984407133,5.558905768373056,0.508382780263228,4.894454984407133,hicks_law
4,2.548695876541246,4.450763058826466,5.045482589579533,5.534973520744924,-0.0726424012280375,-0.0726424012280375,-0.0726424012280375,0.0,False,False,0.0,qnei,0.0,False,7,9775afa3-dceb-4b16-8b53-53b2766977b9,misclick,0.15,20,exact,value,learned,1e-06,"x0,x1,x2,x3",5.402837764670362,0.508382780263228,5.475480165898399,22.15219747101757,4.894454984407133,5.538049367754392,0.508382780263228,4.894454984407133,hicks_law
5,9.955002834343926,7.92661919213753,6.221792294411626,9.889601476818848,-1.9769732287448387,-1.9769732287448387,-1.9769732287448387,0.0,False,False,0.0,qnei,0.0,False,7,9775afa3-dceb-4b16-8b53-53b2766977b9,misclick,0.15,20,exact,value,learned,1e-06,"x0,x1,x2,x3",5.402837764670362,0.508382780263228,7.3798109934152,29.53200846443277,4.894454984407133,5.906401692886554,0.508382780263228,4.894454984407133,hicks_law
6,2.7694194023052043,6.15640580555523,0.44543791026340074,5.052638998578153,0.8964429554059677,0.8964429554059677,0.8964429554059677,0.0,False,False,0.0,qnei,1.3861907999962568,False,7,9775afa3-dceb-4b16-8b53-53b2766977b9,misclick,0.15,20,exact,value,learned,1e-06,"x0,x1,x2,x3",5.402837764670362,0.8964429554059677,4.5063948092643935,34.03840327369716,4.5063948092643935,5.67306721228286,0.8964429554059677,4.5063948092643935,hicks_law
7,1.153120667981435,5.52734731476398,0.0,0.11027061028658161,3.136769949890968,3.136769949890968,3.136769949890968,0.0,False,False,0.0,qnei,1.6924363999860361,False,7,9775afa3-dceb-4b16-8b53-53b2766977b9,misclick,0.15,20,exact,value,learned,1e-06,"x0,x1,x2,x3",5.402837764670362,3.136769949890968,2.266067814779394,36.30447108847656,2.266067814779394,5.1863530126395085,3.136769949890968,2.266067814779394,hicks_law
8,0.0,1.61723210707025,0.0,0.0,4.609314531511996,4.609314531511996,4.609314531511996,0.0,False,False,0.0,qnei,1.8546734000265133,False,7,9775afa3-dceb-4b16-8b53-53b2766977b9,misclick,0.15,20,exact,value,learned,1e-06,"x0,x1,x2,x3",5.402837764670362,4.609314531511996,0.7935232331583659,37.09799432163493,0.7935232331583659,4.637249290204366,4.609314531511996,0.7935232331583659,hicks_law
9,0.0,0.0,0.0,0.0,5.402837764670362,5.402837764670362,5.402837764670362,0.0,False,False,0.0,qnei,1.7948008999810554,False,7,9775afa3-dceb-4b16-8b53-53b2766977b9,misclick,0.15,20,exact,value,learned,1e-06,"x0,x1,x2,x3",5.402837764670362,5.402837764670362,0.0,37.09799432163493,0.0,4.121999369070547,5.402837764670362,0.0,hicks_law
10,0.0,0.0,2.5536022694181195,0.0,4.357063881369841,4.357063881369841,4.357063881369841,0.0,False,False,0.0,qnei,0.8610776999848895,False,7,9775afa3-dceb-4b16-8b53-53b2766977b9,misclick,0.15,20,exact,value,learned,1e-06,"x0,x1,x2,x3",5.402837764670362,5.402837764670362,1.0457738833005203,38.14376820493545,0.0,3.814376820493545,5.402837764670362,0.0,hicks_law
