iteration,x0,x1,x2,x3,objective_true,objective_observed,objective_true_deployed,input_error_l2,input_error_applied,error_applied,error_magnitude,acquisition,fit_time_sec,acq_opt_failed,seed,run_id,error_model,jitter_std,jitter_iteration,oracle_model,objective,observation_noise,known_noise_var,param_columns,y_opt,best_true_so_far,regret_inst_true,regret_cum_true,simple_regret_true,regret_avg_true,inference_value_true,inference_simple_regret_true,dataset
1,0.9560017096289753,0.20768181007914688,0.8284448852745308,0.14928212308202027,1.8801989450659506,1.8801989450659506,-0.45908158349716477,1.282323868174187,True,True,0.0,qnei,0.0,False,10,7d129638-a46d-4f25-a42b-6d24ab401eae,misclick,0.4,0,exact,value,learned,1e-06,"x0,x1,x2,x3",2.9574997815819173,1.8801989450659506,1.0773008365159666,1.0773008365159666,1.0773008365159666,1.0773008365159666,-0.45908158349716477,3.416581365079082,moving_peaks
2,0.5128046164365648,0.13591960402050662,0.6890364797811311,0.841747724312279,-0.6120124450561782,-0.6120124450561782,1.5216633217195823,0.46180416277505143,True,True,0.0,qnei,0.0,False,10,7d129638-a46d-4f25-a42b-6d24ab401eae,misclick,0.4,0,exact,value,learned,1e-06,"x0,x1,x2,x3",2.9574997815819173,1.8801989450659506,3.5695122266380954,4.646813063154062,1.0773008365159666,2.323406531577031,-0.45908158349716477,3.416581365079082,moving_peaks
3,0.4255089974049766,0.9569260034533662,0.8253329063847983,0.338215312471576,-1.0730237634684212,-1.0730237634684212,-1.0730237634684212,0.0,False,True,0.0,qnei,0.0,False,10,7d129638-a46d-4f25-a42b-6d24ab401eae,misclick,0.4,0,exact,value,learned,1e-06,"x0,x1,x2,x3",2.9574997815819173,1.8801989450659506,4.030523545050339,8.677336608204401,1.0773008365159666,2.892445536068134,-0.45908158349716477,3.416581365079082,moving_peaks
4,0.5757605479445136,0.7533018647084769,0.8271039370247955,0.9334384708515814,-0.5079054385281176,-0.5079054385281176,-0.5079054385281176,0.0,False,True,0.0,qnei,0.0,False,10,7d129638-a46d-4f25-a42b-6d24ab401eae,misclick,0.4,0,exact,value,learned,1e-06,"x0,x1,x2,x3",2.9574997815819173,1.8801989450659506,3.4654052201100347,12.142741828314435,1.0773008365159666,3.0356854570786087,-0.45908158349716477,3.416581365079082,moving_peaks
5,0.1449946949362273,0.7455802110439375,0.13935139386782236,0.9065287561129268,0.2705169341372875,0.2705169341372875,0.2705169341372875,0.0,False,True,0.0,qnei,0.0,False,10,7d129638-a46d-4f25-a42b-6d24ab401eae,misclick,0.4,0,exact,value,learned,1e-06,"x0,x1,x2,x3",2.9574997815819173,1.8801989450659506,2.6869828474446296,14.829724675759064,1.0773008365159666,2.965944935151813,-0.45908158349716477,3.416581365079082,moving_peaks
6,1.0,0.0,0.47667301170707516,0.0,-1.8250123278844137,-1.8250123278844137,-1.173667624492172,0.8123452634842675,True,True,0.0,qnei,0.951499100017827,False,10,7d129638-a46d-4f25-a42b-6d24ab401eae,misclick,0.4,0,exact,value,learned,1e-06,"x0,x1,x2,x3",2.9574997815819173,1.8801989450659506,4.782512109466331,19.612236785225395,1.0773008365159666,3.2687061308708993,-0.45908158349716477,3.416581365079082,moving_peaks
7,1.0,0.13637619180333507,0.8859421214135054,0.1013244293697155,0.5993425053254224,0.5993425053254224,-1.1980928245271836,1.0082118076123785,True,True,0.0,qnei,1.0267856999998912,False,10,7d129638-a46d-4f25-a42b-6d24ab401eae,misclick,0.4,0,exact,value,learned,1e-06,"x0,x1,x2,x3",2.9574997815819173,1.8801989450659506,2.358157276256495,21.97039406148189,1.0773008365159666,3.1386277230688413,-0.45908158349716477,3.416581365079082,moving_peaks
8,0.9933751495367353,0.24816262088574403,0.7945521993429616,0.11713692337477964,-0.5635790046124854,-0.5635790046124854,-0.5635790046124854,0.0,False,True,0.0,qnei,1.0212553000019398,False,10,7d129638-a46d-4f25-a42b-6d24ab401eae,misclick,0.4,0,exact,value,learned,1e-06,"x0,x1,x2,x3",2.9574997815819173,1.8801989450659506,3.5210787861944026,25.49147284767629,1.0773008365159666,3.1864341059595365,-0.45908158349716477,3.416581365079082,moving_peaks
9,0.9462732183907246,0.18094531325215218,0.8420837007672209,0.16277967195778104,-0.4789421167562302,-0.4789421167562302,-0.4789421167562302,0.0,False,True,0.0,qnei,1.1745384000241756,False,10,7d129638-a46d-4f25-a42b-6d24ab401eae,misclick,0.4,0,exact,value,learned,1e-06,"x0,x1,x2,x3",2.9574997815819173,1.8801989450659506,3.4364418983381473,28.927914746014437,1.0773008365159666,3.2142127495571597,-0.45908158349716477,3.416581365079082,moving_peaks
10,1.0,0.05554367328854202,0.9688424903003006,0.021106131552010923,-1.562313811223644,-1.562313811223644,-1.562313811223644,0.0,False,True,0.0,qnei,1.4828946999914479,False,10,7d129638-a46d-4f25-a42b-6d24ab401eae,misclick,0.4,0,exact,value,learned,1e-06,"x0,x1,x2,x3",2.9574997815819173,1.8801989450659506,4.519813592805561,33.44772833882,1.0773008365159666,3.3447728338819998,-0.45908158349716477,3.416581365079082,moving_peaks
11,1.0,0.19784536361900895,0.8889122790223141,0.9159406583149662,-0.7552231899248271,-0.7552231899248271,-0.7552231899248271,0.0,False,True,0.0,qnei,2.4799233000085223,False,10,7d129638-a46d-4f25-a42b-6d24ab401eae,misclick,0.4,0,exact,value,learned,1e-06,"x0,x1,x2,x3",2.9574997815819173,1.8801989450659506,3.7127229715067442,37.16045131032674,1.0773008365159666,3.3782228463933404,-0.45908158349716477,3.416581365079082,moving_peaks
12,0.0,1.0,0.0,0.9972901335764167,0.26043341419083976,0.26043341419083976,-1.4370866372345408,0.8774373387088797,True,True,0.0,qnei,1.1112957999866921,False,10,7d129638-a46d-4f25-a42b-6d24ab401eae,misclick,0.4,0,exact,value,learned,1e-06,"x0,x1,x2,x3",2.9574997815819173,1.8801989450659506,2.6970663673910775,39.85751767771782,1.0773008365159666,3.321459806476485,-0.45908158349716477,3.416581365079082,moving_peaks
13,1.0,1.0,0.0,0.9013758033000611,-2.358167845366005,-2.358167845366005,-2.358167845366005,0.0,False,True,0.0,qnei,1.1292334999889135,False,10,7d129638-a46d-4f25-a42b-6d24ab401eae,misclick,0.4,0,exact,value,learned,1e-06,"x0,x1,x2,x3",2.9574997815819173,1.8801989450659506,5.315667626947922,45.17318530466574,1.0773008365159666,3.474860408051211,-0.45908158349716477,3.416581365079082,moving_peaks
14,0.0,0.2835316520941942,0.0,1.0,-2.426706292262677,-2.426706292262677,-2.426706292262677,0.0,False,True,0.0,qnei,1.0963756999990437,False,10,7d129638-a46d-4f25-a42b-6d24ab401eae,misclick,0.4,0,exact,value,learned,1e-06,"x0,x1,x2,x3",2.9574997815819173,1.8801989450659506,5.384206073844594,50.55739137851034,1.0773008365159666,3.611242241322167,-0.45908158349716477,3.416581365079082,moving_peaks
15,0.0,0.8689385588666272,0.18574400224192464,0.913053181694523,-0.6633494768426271,-0.6633494768426271,-0.6633494768426271,0.0,False,True,0.0,qnei,1.4719943999953102,False,10,7d129638-a46d-4f25-a42b-6d24ab401eae,misclick,0.4,0,exact,value,learned,1e-06,"x0,x1,x2,x3",2.9574997815819173,1.8801989450659506,3.6208492584245446,54.17824063693488,1.0773008365159666,3.611882709128992,-0.45908158349716477,3.416581365079082,moving_peaks
16,1.0,0.06638503033764286,1.0,0.11557299122465808,-1.841148654665624,-1.841148654665624,-1.841148654665624,0.0,False,True,0.0,qnei,1.1949634999909904,False,10,7d129638-a46d-4f25-a42b-6d24ab401eae,misclick,0.4,0,exact,value,learned,1e-06,"x0,x1,x2,x3",2.9574997815819173,1.8801989450659506,4.798648436247541,58.97688907318242,1.0773008365159666,3.6860555670739013,-0.45908158349716477,3.416581365079082,moving_peaks
17,0.0,0.9143085224805132,0.1265395862039532,0.0,-0.4976845860266338,-0.4976845860266338,-0.4976845860266338,0.0,False,True,0.0,qnei,1.2784042000130285,False,10,7d129638-a46d-4f25-a42b-6d24ab401eae,misclick,0.4,0,exact,value,learned,1e-06,"x0,x1,x2,x3",2.9574997815819173,1.8801989450659506,3.455184367608551,62.43207344079097,1.0773008365159666,3.672474908281822,-0.45908158349716477,3.416581365079082,moving_peaks
18,0.0,0.7167050811298653,0.0,0.0,-1.1094026011574505,-1.1094026011574505,-1.1094026011574505,0.0,False,True,0.0,qnei,1.4166870000190102,False,10,7d129638-a46d-4f25-a42b-6d24ab401eae,misclick,0.4,0,exact,value,learned,1e-06,"x0,x1,x2,x3",2.9574997815819173,1.8801989450659506,4.066902382739368,66.49897582353034,1.0773008365159666,3.694387545751686,-0.45908158349716477,3.416581365079082,moving_peaks
19,0.0,0.5921020112831459,0.19620074062687545,0.0,-0.260274124671532,-0.260274124671532,-0.260274124671532,0.0,False,True,0.0,qnei,1.1926656999858096,False,10,7d129638-a46d-4f25-a42b-6d24ab401eae,misclick,0.4,0,exact,value,learned,1e-06,"x0,x1,x2,x3",2.9574997815819173,1.8801989450659506,3.2177739062534494,69.7167497297838,1.0773008365159666,3.669302617357042,-0.45908158349716477,3.416581365079082,moving_peaks
20,0.0,0.6405652633482884,0.6661066991672149,1.0,0.875104471390904,0.875104471390904,0.2011164105089281,0.9533045726471847,True,True,0.0,qnei,1.261533499986399,False,10,7d129638-a46d-4f25-a42b-6d24ab401eae,misclick,0.4,0,exact,value,learned,1e-06,"x0,x1,x2,x3",2.9574997815819173,1.8801989450659506,2.0823953101910133,71.79914503997482,1.0773008365159666,3.589957251998741,-0.45908158349716477,3.416581365079082,moving_peaks
21,0.0,0.9938361912776211,0.6610975495116838,1.0,-0.06905246986326284,-0.06905246986326284,-0.06905246986326284,0.0,False,True,0.0,qnei,1.2604163000069093,False,10,7d129638-a46d-4f25-a42b-6d24ab401eae,misclick,0.4,0,exact,value,learned,1e-06,"x0,x1,x2,x3",2.9574997815819173,1.8801989450659506,3.02655225144518,74.82569729142,1.0773008365159666,3.5631284424485714,-0.45908158349716477,3.416581365079082,moving_peaks
22,1.0,0.0,0.15060858367779115,0.7803436096718801,-0.5362270155711357,-0.5362270155711357,-1.043790495856849,0.8810117136991235,True,True,0.0,qnei,1.2526568999746814,False,10,7d129638-a46d-4f25-a42b-6d24ab401eae,misclick,0.4,0,exact,value,learned,1e-06,"x0,x1,x2,x3",2.9574997815819173,1.8801989450659506,3.493726797153053,78.31942408857306,1.0773008365159666,3.559973822207866,-0.45908158349716477,3.416581365079082,moving_peaks
