iteration,x0,x1,x2,x3,objective_true,objective_observed,objective_true_deployed,input_error_l2,input_error_applied,error_applied,error_magnitude,acquisition,fit_time_sec,acq_opt_failed,seed,run_id,error_model,jitter_std,jitter_iteration,oracle_model,objective,observation_noise,known_noise_var,param_columns,y_opt,best_true_so_far,regret_inst_true,regret_cum_true,simple_regret_true,regret_avg_true,inference_value_true,inference_simple_regret_true,dataset
1,-1.7718038875590585,4.989714875780357,-1.8564010139083087,2.9547411027970965,1.0327178832228523,1.0327178832228523,1.0327178832228523,0.0,False,True,0.0,qnei,0.0,False,8,1ccf3f44-79bb-4f1e-8dd7-a4870cba2b8b,misclick,0.4,0,exact,value,learned,1e-06,"x0,x1,x2,x3",3.638939073438052,1.0327178832228523,2.6062211902151997,2.6062211902151997,2.6062211902151997,2.6062211902151997,1.0327178832228523,2.6062211902151997,rastrigin
2,3.7877402797692534,-1.1152915810386537,-0.63608961922254,-1.303051232365025,0.8059804770565494,0.8059804770565494,0.8059804770565494,0.0,False,True,0.0,qnei,0.0,False,8,1ccf3f44-79bb-4f1e-8dd7-a4870cba2b8b,misclick,0.4,0,exact,value,learned,1e-06,"x0,x1,x2,x3",3.638939073438052,1.0327178832228523,2.8329585963815025,5.439179786596702,2.6062211902151997,2.719589893298351,1.0327178832228523,2.6062211902151997,rastrigin
3,-4.0247951721187905,-0.21539374937377787,-2.6485540343328533,-2.4868326548364315,-0.25850219303594923,-0.25850219303594923,0.03811175389629434,7.8025126406398035,True,True,0.0,qnei,0.0,False,8,1ccf3f44-79bb-4f1e-8dd7-a4870cba2b8b,misclick,0.4,0,exact,value,learned,1e-06,"x0,x1,x2,x3",3.638939073438052,1.0327178832228523,3.897441266474001,9.336621053070703,2.6062211902151997,3.1122070176902343,1.0327178832228523,2.6062211902151997,rastrigin
4,-3.2283488580155915,-3.134827019219858,3.213595342387415,-0.7886419134031222,1.491270184624648,1.491270184624648,0.7637179221077934,7.279818189236386,True,True,0.0,qnei,0.0,False,8,1ccf3f44-79bb-4f1e-8dd7-a4870cba2b8b,misclick,0.4,0,exact,value,learned,1e-06,"x0,x1,x2,x3",3.638939073438052,1.491270184624648,2.1476688888134037,11.484289941884107,2.1476688888134037,2.871072485471027,0.7637179221077934,2.8752211513302584,rastrigin
5,-2.499374027179765,0.9308452020778146,1.0677483116385869,1.5038261970963243,0.05500639058466878,0.05500639058466878,1.0689624694041593,6.695101361241503,True,True,0.0,qnei,0.0,False,8,1ccf3f44-79bb-4f1e-8dd7-a4870cba2b8b,misclick,0.4,0,exact,value,learned,1e-06,"x0,x1,x2,x3",3.638939073438052,1.491270184624648,3.583932682853383,15.06822262473749,2.1476688888134037,3.013644524947498,0.7637179221077934,2.8752211513302584,rastrigin
6,-2.0315471406731587,-4.055545828068533,4.7454120754064055,-0.429144101141109,0.03493960533724841,0.03493960533724841,0.03493960533724841,0.0,False,True,0.0,qnei,1.148068999988027,False,8,1ccf3f44-79bb-4f1e-8dd7-a4870cba2b8b,misclick,0.4,0,exact,value,learned,1e-06,"x0,x1,x2,x3",3.638939073438052,1.491270184624648,3.6039994681008034,18.672222092838293,2.1476688888134037,3.112037015473049,0.7637179221077934,2.8752211513302584,rastrigin
7,-3.9826154931499977,-3.5230478370415272,2.8806842077650603,-1.4582792042510537,-0.3383953265268116,-0.3383953265268116,-0.3383953265268116,0.0,False,True,0.0,qnei,1.2090470000111964,False,8,1ccf3f44-79bb-4f1e-8dd7-a4870cba2b8b,misclick,0.4,0,exact,value,learned,1e-06,"x0,x1,x2,x3",3.638939073438052,1.491270184624648,3.9773343999648634,22.649556492803157,2.1476688888134037,3.235650927543308,0.7637179221077934,2.8752211513302584,rastrigin
8,-2.9594901304806585,-2.9963403185068938,3.3321902793367766,-0.5499016779247335,0.5001053926950338,0.5001053926950338,0.5001053926950338,0.0,False,True,0.0,qnei,1.3308589000080246,False,8,1ccf3f44-79bb-4f1e-8dd7-a4870cba2b8b,misclick,0.4,0,exact,value,learned,1e-06,"x0,x1,x2,x3",3.638939073438052,1.491270184624648,3.138833680743018,25.788390173546176,2.1476688888134037,3.223548771693272,0.7637179221077934,2.8752211513302584,rastrigin
9,-3.3409501714698733,-5.12,5.12,-0.21698366606612027,-0.1400604641610641,-0.1400604641610641,-0.8989652491924865,9.096750518624846,True,True,0.0,qnei,1.6026727000134997,False,8,1ccf3f44-79bb-4f1e-8dd7-a4870cba2b8b,misclick,0.4,0,exact,value,learned,1e-06,"x0,x1,x2,x3",3.638939073438052,1.491270184624648,3.778999537599116,29.567389711145292,2.1476688888134037,3.285265523460588,0.7637179221077934,2.8752211513302584,rastrigin
10,0.5581214284131504,-0.8342304926608499,-0.09525461820415859,-0.8855580006080699,2.1506600095102026,2.1506600095102026,2.1506600095102026,0.0,False,True,0.0,qnei,1.7858678000047803,False,8,1ccf3f44-79bb-4f1e-8dd7-a4870cba2b8b,misclick,0.4,0,exact,value,learned,1e-06,"x0,x1,x2,x3",3.638939073438052,2.1506600095102026,1.4882790639278491,31.05566877507314,1.4882790639278491,3.105566877507314,2.1506600095102026,1.4882790639278491,rastrigin
