iteration,x0,x1,x2,x3,objective_true,objective_observed,objective_true_deployed,input_error_l2,input_error_applied,error_applied,error_magnitude,acquisition,fit_time_sec,acq_opt_failed,seed,run_id,error_model,jitter_std,jitter_iteration,oracle_model,objective,observation_noise,known_noise_var,param_columns,y_opt,best_true_so_far,regret_inst_true,regret_cum_true,simple_regret_true,regret_avg_true,inference_value_true,inference_simple_regret_true,dataset
1,0.8702492039700847,0.28681720908755537,0.6031481500515619,0.7775340829201788,0.8287115000495673,0.8287115000495673,0.8287115000495673,0.0,False,True,0.0,qnei,0.0,False,9,4c65473a-09fc-4ca5-ae2f-f95df2c8e71f,misclick,0.15,0,exact,value,learned,1e-06,"x0,x1,x2,x3",1.290375177799024,0.8287115000495673,0.4616636777494567,0.4616636777494567,0.4616636777494567,0.4616636777494567,0.8287115000495673,0.4616636777494567,steering_law
2,0.7160746296035653,0.9153801204905075,0.8603936491828846,0.9182376290487624,0.05299718569918348,0.05299718569918348,0.05299718569918348,0.0,False,True,0.0,qnei,0.0,False,9,4c65473a-09fc-4ca5-ae2f-f95df2c8e71f,misclick,0.15,0,exact,value,learned,1e-06,"x0,x1,x2,x3",1.290375177799024,0.8287115000495673,1.2373779920998405,1.6990416698492972,0.4616636777494567,0.8495208349246486,0.8287115000495673,0.4616636777494567,steering_law
3,0.026587734467597213,0.4372480001295087,0.48494432697728806,0.06515419737010752,0.11586054616441449,0.11586054616441449,-0.8379527487344092,0.9581984104282207,True,True,0.0,qnei,0.0,False,9,4c65473a-09fc-4ca5-ae2f-f95df2c8e71f,misclick,0.15,0,exact,value,learned,1e-06,"x0,x1,x2,x3",1.290375177799024,0.8287115000495673,1.1745146316346096,2.873556301483907,0.4616636777494567,0.9578521004946356,0.8287115000495673,0.4616636777494567,steering_law
4,0.005626050679392924,0.830621436971257,0.9833022442861755,0.7846098526726796,-0.003691210985130886,-0.003691210985130886,-0.003691210985130886,0.0,False,True,0.0,qnei,0.0,False,9,4c65473a-09fc-4ca5-ae2f-f95df2c8e71f,misclick,0.15,0,exact,value,learned,1e-06,"x0,x1,x2,x3",1.290375177799024,0.8287115000495673,1.2940663887841548,4.167622690268062,0.4616636777494567,1.0419056725670155,0.8287115000495673,0.4616636777494567,steering_law
5,0.31560348997827314,0.7053337045894538,0.2991810731982467,0.7407484828757487,-0.2670631786253216,-0.2670631786253216,-0.2670631786253216,0.0,False,True,0.0,qnei,0.0,False,9,4c65473a-09fc-4ca5-ae2f-f95df2c8e71f,misclick,0.15,0,exact,value,learned,1e-06,"x0,x1,x2,x3",1.290375177799024,0.8287115000495673,1.5574383564243455,5.7250610466924075,0.4616636777494567,1.1450122093384816,0.8287115000495673,0.4616636777494567,steering_law
6,1.0,0.19364829231009828,0.6684289532087543,0.8332443118196626,0.9634715876233426,0.9634715876233426,0.9634715876233426,0.0,False,True,0.0,qnei,0.9714159999857657,False,9,4c65473a-09fc-4ca5-ae2f-f95df2c8e71f,misclick,0.15,0,exact,value,learned,1e-06,"x0,x1,x2,x3",1.290375177799024,0.9634715876233426,0.3269035901756814,6.051964636868089,0.3269035901756814,1.0086607728113481,0.9634715876233426,0.3269035901756814,steering_law
7,1.0,0.00916905561089826,0.3333729136186883,1.0,1.2779360275987972,1.2779360275987972,1.2779360275987972,0.0,False,True,0.0,qnei,1.0028862000035588,False,9,4c65473a-09fc-4ca5-ae2f-f95df2c8e71f,misclick,0.15,0,exact,value,learned,1e-06,"x0,x1,x2,x3",1.290375177799024,1.2779360275987972,0.01243915020022679,6.064403787068316,0.01243915020022679,0.8663433981526165,1.2779360275987972,0.01243915020022679,steering_law
8,1.0,0.0,0.0,0.4906221294439112,1.0822161648465598,1.0822161648465598,1.0822161648465598,0.0,False,True,0.0,qnei,0.8551364000013564,False,9,4c65473a-09fc-4ca5-ae2f-f95df2c8e71f,misclick,0.15,0,exact,value,learned,1e-06,"x0,x1,x2,x3",1.290375177799024,1.2779360275987972,0.2081590129524642,6.27256280002078,0.01243915020022679,0.7840703500025975,1.2779360275987972,0.01243915020022679,steering_law
9,0.2673183842097369,0.0,0.5701246046346334,1.0,1.2483037681116835,1.2483037681116835,1.2483037681116835,0.0,False,True,0.0,qnei,1.0411891000112519,False,9,4c65473a-09fc-4ca5-ae2f-f95df2c8e71f,misclick,0.15,0,exact,value,learned,1e-06,"x0,x1,x2,x3",1.290375177799024,1.2779360275987972,0.042071409687340466,6.314634209708121,0.01243915020022679,0.7016260233009023,1.2779360275987972,0.01243915020022679,steering_law
10,1.0,0.0,1.0,1.0,1.2298091073428479,1.2298091073428479,1.2298091073428479,0.0,False,True,0.0,qnei,0.8791276999982074,False,9,4c65473a-09fc-4ca5-ae2f-f95df2c8e71f,misclick,0.15,0,exact,value,learned,1e-06,"x0,x1,x2,x3",1.290375177799024,1.2779360275987972,0.060566070456176124,6.375200280164297,0.01243915020022679,0.6375200280164297,1.2779360275987972,0.01243915020022679,steering_law
