iteration,x0,x1,x2,x3,objective_true,objective_observed,error_applied,error_magnitude,acquisition,fit_time_sec,acq_opt_failed,ceiling_value,seed,run_id,error_model,jitter_std,jitter_iteration,oracle_model,objective,observation_noise,known_noise_var,param_columns,y_opt,best_true_so_far,regret_inst_true,regret_cum_true,simple_regret_true,regret_avg_true,inference_value_true,inference_simple_regret_true,dataset
1,0.625095466604667,0.8972138009695755,0.7756856902451935,0.22520718999059186,-0.5591188880501616,-0.08638839590414543,True,0.4727304921460162,logei,0.0,False,1.3019046467497477,7,4b653250-ff21-4225-b704-c5c3ef447f47,gaussian,0.25,0,exact,value,learned,0.0625,"x0,x1,x2,x3",3.5354125437868587,-0.5591188880501616,4.09453143183702,4.09453143183702,4.09453143183702,4.09453143183702,-0.5591188880501616,4.09453143183702,yerkes_dodson
2,0.30016628491122543,0.8735534453962619,0.005265304565574724,0.8212284183827663,-1.331678072195063,-0.9443551784593582,True,0.3873228937357047,logei,0.0,False,1.3019046467497477,7,4b653250-ff21-4225-b704-c5c3ef447f47,gaussian,0.25,0,exact,value,learned,0.0625,"x0,x1,x2,x3",3.5354125437868587,-0.5591188880501616,4.867090615981922,8.961622047818942,4.09453143183702,4.480811023909471,-0.5591188880501616,4.09453143183702,yerkes_dodson
3,0.7970694287520462,0.4679349528437208,0.3030324268193135,0.2784256121007733,0.5288477336449231,0.4808338538022004,True,-0.048013879842722706,logei,0.0,False,1.3019046467497477,7,4b653250-ff21-4225-b704-c5c3ef447f47,gaussian,0.25,0,exact,value,learned,0.0625,"x0,x1,x2,x3",3.5354125437868587,0.5288477336449231,3.0065648101419358,11.968186857960877,3.0065648101419358,3.9893956193202924,0.5288477336449231,3.0065648101419358,yerkes_dodson
4,0.2548695876541246,0.4450763058826466,0.5045482589579533,0.5534973520744925,2.3124859446444517,1.3019046467497477,True,-1.010581297894704,logei,0.0,False,1.3019046467497477,7,4b653250-ff21-4225-b704-c5c3ef447f47,gaussian,0.25,0,exact,value,learned,0.0625,"x0,x1,x2,x3",3.5354125437868587,2.3124859446444517,1.222926599142407,13.191113457103285,1.222926599142407,3.297778364275821,2.3124859446444517,1.222926599142407,yerkes_dodson
5,0.9955002834343927,0.7926619192137531,0.6221792294411627,0.9889601476818849,-0.8872648590242657,-0.8810252965986333,True,0.0062395624256323945,logei,0.0,False,1.3019046467497477,7,4b653250-ff21-4225-b704-c5c3ef447f47,gaussian,0.25,0,exact,value,learned,0.0625,"x0,x1,x2,x3",3.5354125437868587,2.3124859446444517,4.422677402811124,17.61379085991441,1.222926599142407,3.5227581719828818,2.3124859446444517,1.222926599142407,yerkes_dodson
6,0.0,0.35263607963416654,0.6656573505865013,0.6532186456147785,0.36146614553063794,0.13707932482003982,True,-0.22438682071059812,logei,0.2946258000447415,False,1.3019046467497477,7,4b653250-ff21-4225-b704-c5c3ef447f47,gaussian,0.25,0,exact,value,learned,0.0625,"x0,x1,x2,x3",3.5354125437868587,2.3124859446444517,3.173946398256221,20.78773725817063,1.222926599142407,3.4646228763617715,2.3124859446444517,1.222926599142407,yerkes_dodson
7,0.20107456735100268,0.5008526575456482,0.46704950318988325,0.5895210395264437,2.049363301685116,1.3019046467497477,True,-0.7474586549353683,logei,0.3087717000162229,False,1.3019046467497477,7,4b653250-ff21-4225-b704-c5c3ef447f47,gaussian,0.25,0,exact,value,learned,0.0625,"x0,x1,x2,x3",3.5354125437868587,2.3124859446444517,1.4860492421017426,22.273786500272372,1.222926599142407,3.1819695000389103,2.3124859446444517,1.222926599142407,yerkes_dodson
8,0.215187080235328,0.4321483467973333,0.432622123914115,0.4034534826862169,1.8147326987293328,1.3019046467497477,True,-0.5128280519795851,logei,0.291173700010404,False,1.3019046467497477,7,4b653250-ff21-4225-b704-c5c3ef447f47,gaussian,0.25,0,exact,value,learned,0.0625,"x0,x1,x2,x3",3.5354125437868587,2.3124859446444517,1.7206798450575258,23.994466345329897,1.222926599142407,2.999308293166237,2.3124859446444517,1.222926599142407,yerkes_dodson
9,0.3422431769609221,0.7214191123472016,0.463201104307877,0.14001016694864027,0.6163888099933842,1.0332967149195325,True,0.41690790492614827,logei,0.24161399999866262,False,1.3019046467497477,7,4b653250-ff21-4225-b704-c5c3ef447f47,gaussian,0.25,0,exact,value,learned,0.0625,"x0,x1,x2,x3",3.5354125437868587,2.3124859446444517,2.9190237337934746,26.91349007912337,1.222926599142407,2.990387786569263,2.3124859446444517,1.222926599142407,yerkes_dodson
10,0.34783062542817444,0.1213801275210373,0.42926270810471073,0.7460099718539991,0.41303116567417064,0.30650120102738243,True,-0.10652996464678821,logei,0.3181554999900982,False,1.3019046467497477,7,4b653250-ff21-4225-b704-c5c3ef447f47,gaussian,0.25,0,exact,value,learned,0.0625,"x0,x1,x2,x3",3.5354125437868587,2.3124859446444517,3.122381378112688,30.03587145723606,1.222926599142407,3.003587145723606,2.3124859446444517,1.222926599142407,yerkes_dodson
11,0.34805099583218707,0.4984073236268331,0.4589670961010319,0.14594039012050902,1.5867957338046428,1.3019046467497477,True,-0.2848910870548951,logei,0.355731800023932,False,1.3019046467497477,7,4b653250-ff21-4225-b704-c5c3ef447f47,gaussian,0.25,0,exact,value,learned,0.0625,"x0,x1,x2,x3",3.5354125437868587,2.3124859446444517,1.9486168099822159,31.984488267218275,1.222926599142407,2.9076807515652976,2.3124859446444517,1.222926599142407,yerkes_dodson
12,0.33525083408919976,0.5144876250558924,0.44263448656139165,0.49759306711986895,2.787615811556904,1.3019046467497477,True,-1.4857111648071564,logei,0.2818838999955915,False,1.3019046467497477,7,4b653250-ff21-4225-b704-c5c3ef447f47,gaussian,0.25,0,exact,value,learned,0.0625,"x0,x1,x2,x3",3.5354125437868587,2.787615811556904,0.7477967322299546,32.73228499944823,0.7477967322299546,2.727690416620686,2.3124859446444517,1.222926599142407,yerkes_dodson
