iteration,x0,x1,x2,x3,objective_true,objective_observed,error_applied,error_magnitude,acquisition,fit_time_sec,acq_opt_failed,seed,run_id,error_model,jitter_std,jitter_iteration,oracle_model,objective,observation_noise,known_noise_var,param_columns,y_opt,best_true_so_far,regret_inst_true,regret_cum_true,simple_regret_true,regret_avg_true,inference_value_true,inference_simple_regret_true,dataset
1,-1.7718038875590585,4.989714875780357,-1.8564010139083087,2.9547411027970965,1.0327178832228523,0.9592803601545196,True,-0.07343752306833273,qnei,0.0,False,8,3614def9-54ea-4861-b1b1-d091116dff08,gaussian,0.25,0,exact,value,learned,0.0625,"x0,x1,x2,x3",3.638939073438052,1.0327178832228523,2.6062211902151997,2.6062211902151997,2.6062211902151997,2.6062211902151997,1.0327178832228523,2.6062211902151997,rastrigin
2,3.7877402797692534,-1.1152915810386537,-0.63608961922254,-1.303051232365025,0.8059804770565494,0.39824415258826257,True,-0.40773632446828684,qnei,0.0,False,8,3614def9-54ea-4861-b1b1-d091116dff08,gaussian,0.25,0,exact,value,learned,0.0625,"x0,x1,x2,x3",3.638939073438052,1.0327178832228523,2.8329585963815025,5.439179786596702,2.6062211902151997,2.719589893298351,1.0327178832228523,2.6062211902151997,rastrigin
3,-4.0247951721187905,-0.21539374937377787,-2.6485540343328533,-2.4868326548364315,0.03811175389629434,0.29843796952730767,True,0.2603262156310133,qnei,0.0,False,8,3614def9-54ea-4861-b1b1-d091116dff08,gaussian,0.25,0,exact,value,learned,0.0625,"x0,x1,x2,x3",3.638939073438052,1.0327178832228523,3.6008273195417573,9.040007106138459,2.6062211902151997,3.013335702046153,1.0327178832228523,2.6062211902151997,rastrigin
4,-3.2283488580155915,-3.134827019219858,3.213595342387415,-0.7886419134031222,0.7637179221077934,0.783436934331015,True,0.019719012223221588,qnei,0.0,False,8,3614def9-54ea-4861-b1b1-d091116dff08,gaussian,0.25,0,exact,value,learned,0.0625,"x0,x1,x2,x3",3.638939073438052,1.0327178832228523,2.8752211513302584,11.915228257468717,2.6062211902151997,2.9788070643671793,1.0327178832228523,2.6062211902151997,rastrigin
5,-2.499374027179765,0.9308452020778146,1.0677483116385869,1.5038261970963243,1.0689624694041593,0.809476681270946,True,-0.2594857881332133,qnei,0.0,False,8,3614def9-54ea-4861-b1b1-d091116dff08,gaussian,0.25,0,exact,value,learned,0.0625,"x0,x1,x2,x3",3.638939073438052,1.0689624694041593,2.5699766040338927,14.48520486150261,2.5699766040338927,2.897040972300522,1.0327178832228523,2.6062211902151997,rastrigin
6,-5.071130979910698,5.12,-0.2097842687297343,5.037907937561032,-0.7232930631271779,-1.3901668363460087,True,-0.6668737732188308,qnei,0.31974469998385757,False,8,3614def9-54ea-4861-b1b1-d091116dff08,gaussian,0.25,0,exact,value,learned,0.0625,"x0,x1,x2,x3",3.638939073438052,1.0689624694041593,4.36223213656523,18.84743699806784,2.5699766040338927,3.141239499677973,1.0327178832228523,2.6062211902151997,rastrigin
7,-1.4664911031447754,-2.2166035201251955,0.9887949795388667,-2.356221252117663,0.8150618590796376,0.43435309212608897,True,-0.3807087669535486,qnei,0.3280158000125084,False,8,3614def9-54ea-4861-b1b1-d091116dff08,gaussian,0.25,0,exact,value,learned,0.0625,"x0,x1,x2,x3",3.638939073438052,1.0689624694041593,2.823877214358414,21.671314212426253,2.5699766040338927,3.0959020303466076,1.0327178832228523,2.6062211902151997,rastrigin
8,-1.1493752569355233,5.12,5.12,5.12,-0.8880748621506471,-0.925426148847144,True,-0.0373512866964969,qnei,0.37680700002238154,False,8,3614def9-54ea-4861-b1b1-d091116dff08,gaussian,0.25,0,exact,value,learned,0.0625,"x0,x1,x2,x3",3.638939073438052,1.0689624694041593,4.527013935588699,26.19832814801495,2.5699766040338927,3.274791018501869,1.0327178832228523,2.6062211902151997,rastrigin
9,4.979233981651134,5.12,-4.047334161351677,2.366246136907161,-0.9228202962191163,-1.0728552452637672,True,-0.15003494904465087,qnei,0.4327305000042543,False,8,3614def9-54ea-4861-b1b1-d091116dff08,gaussian,0.25,0,exact,value,learned,0.0625,"x0,x1,x2,x3",3.638939073438052,1.0689624694041593,4.561759369657168,30.76008751767212,2.5699766040338927,3.4177875019635686,1.0327178832228523,2.6062211902151997,rastrigin
10,-1.730710743706849,2.6517374989271225,-2.6587886149383366,1.0665906898915591,0.6179867527143664,-0.3923171081221827,True,-1.010303860836549,qnei,0.27801010000985116,False,8,3614def9-54ea-4861-b1b1-d091116dff08,gaussian,0.25,0,exact,value,learned,0.0625,"x0,x1,x2,x3",3.638939073438052,1.0689624694041593,3.0209523207236852,33.781039838395806,2.5699766040338927,3.3781039838395808,1.0327178832228523,2.6062211902151997,rastrigin
