iteration,x0,x1,x2,x3,objective_true,objective_observed,error_applied,error_magnitude,acquisition,fit_time_sec,acq_opt_failed,seed,run_id,error_model,jitter_std,jitter_iteration,oracle_model,objective,observation_noise,known_noise_var,param_columns,y_opt,best_true_so_far,regret_inst_true,regret_cum_true,simple_regret_true,regret_avg_true,inference_value_true,inference_simple_regret_true,dataset
1,0.9560017096289753,0.20768181007914688,0.8284448852745308,0.14928212308202027,0.7142809852228206,0.8306420291838521,True,0.11636104396103153,logei,0.0,False,10,41795642-f9d4-4749-ac52-83fdf2442764,bias,1.0,0,exact,value,learned,1.0,"x0,x1,x2,x3",1.290375177799024,0.7142809852228206,0.5760941925762034,0.5760941925762034,0.5760941925762034,0.5760941925762034,0.7142809852228206,0.5760941925762034,steering_law
2,0.5128046164365648,0.13591960402050662,0.6890364797811311,0.841747724312279,1.0555494397353797,2.2807488719862494,True,1.2251994322508697,logei,0.0,False,10,41795642-f9d4-4749-ac52-83fdf2442764,bias,1.0,0,exact,value,learned,1.0,"x0,x1,x2,x3",1.290375177799024,1.0555494397353797,0.23482573806364426,0.8109199306398477,0.23482573806364426,0.40545996531992384,1.0555494397353797,0.23482573806364426,steering_law
3,0.4255089974049766,0.9569260034533662,0.8253329063847983,0.338215312471576,-0.5015102953474607,-0.35340480586003503,True,0.1481054894874257,logei,0.0,False,10,41795642-f9d4-4749-ac52-83fdf2442764,bias,1.0,0,exact,value,learned,1.0,"x0,x1,x2,x3",1.290375177799024,1.0555494397353797,1.7918854731464848,2.6028054037863324,0.23482573806364426,0.8676018012621108,1.0555494397353797,0.23482573806364426,steering_law
4,0.5757605479445136,0.7533018647084769,0.8271039370247955,0.9334384708515814,0.2977711637211183,-0.3217589358416582,True,-0.6195300995627765,logei,0.0,False,10,41795642-f9d4-4749-ac52-83fdf2442764,bias,1.0,0,exact,value,learned,1.0,"x0,x1,x2,x3",1.290375177799024,1.0555494397353797,0.9926040140779058,3.5954094178642384,0.23482573806364426,0.8988523544660596,1.0555494397353797,0.23482573806364426,steering_law
5,0.1449946949362273,0.7455802110439375,0.13935139386782236,0.9065287561129268,-1.2653420042427632,-0.8290504002518612,True,0.43629160399090205,logei,0.0,False,10,41795642-f9d4-4749-ac52-83fdf2442764,bias,1.0,0,exact,value,learned,1.0,"x0,x1,x2,x3",1.290375177799024,1.0555494397353797,2.5557171820417874,6.151126599906026,0.23482573806364426,1.2302253199812052,1.0555494397353797,0.23482573806364426,steering_law
6,0.2853723071077893,0.0,0.8110108837023912,1.0,1.2856612433654013,0.03729328348264893,True,-1.2483679598827524,logei,0.29262700001709163,False,10,41795642-f9d4-4749-ac52-83fdf2442764,bias,1.0,0,exact,value,learned,1.0,"x0,x1,x2,x3",1.290375177799024,1.2856612433654013,0.0047139344336226685,6.1558405343396485,0.0047139344336226685,1.0259734223899415,1.0555494397353797,0.23482573806364426,steering_law
7,0.5892706373124855,0.11125437020635241,0.6562090549625947,0.7525475205392791,1.0572431993146363,1.2779562960539121,True,0.22071309673927586,logei,0.22449090000009164,False,10,41795642-f9d4-4749-ac52-83fdf2442764,bias,1.0,0,exact,value,learned,1.0,"x0,x1,x2,x3",1.290375177799024,1.2856612433654013,0.23313197848438771,6.388972512824036,0.0047139344336226685,0.9127103589748623,1.0555494397353797,0.23482573806364426,steering_law
8,0.4837946832556164,0.15420806270420878,0.56608094258248,0.9947372099649525,1.0851967358485153,2.332095272856721,True,1.2468985370082057,logei,0.3565868000150658,False,10,41795642-f9d4-4749-ac52-83fdf2442764,bias,1.0,0,exact,value,learned,1.0,"x0,x1,x2,x3",1.290375177799024,1.2856612433654013,0.20517844195050872,6.594150954774545,0.0047139344336226685,0.8242688693468181,1.0851967358485153,0.20517844195050872,steering_law
9,0.46593101277134336,0.19687356062875244,0.6041708439368113,0.46504142371026047,0.7680765208306959,0.7940014533025664,True,0.025924932471870554,logei,0.32510450002155267,False,10,41795642-f9d4-4749-ac52-83fdf2442764,bias,1.0,0,exact,value,learned,1.0,"x0,x1,x2,x3",1.290375177799024,1.2856612433654013,0.5222986569683281,7.116449611742873,0.0047139344336226685,0.7907166235269858,1.0851967358485153,0.20517844195050872,steering_law
10,0.495523071909163,0.1318369893145884,0.9744720245329825,1.0,1.117731035915288,3.082548555614804,True,1.964817519699516,logei,0.35092459997395054,False,10,41795642-f9d4-4749-ac52-83fdf2442764,bias,1.0,0,exact,value,learned,1.0,"x0,x1,x2,x3",1.290375177799024,1.2856612433654013,0.1726441418837359,7.2890937536266085,0.0047139344336226685,0.7289093753626609,1.117731035915288,0.1726441418837359,steering_law
