iteration,x0,x1,x2,x3,objective_true,objective_observed,error_applied,error_magnitude,acquisition,fit_time_sec,acq_opt_failed,seed,run_id,error_model,jitter_std,jitter_iteration,oracle_model,objective,observation_noise,known_noise_var,param_columns,y_opt,best_true_so_far,regret_inst_true,regret_cum_true,simple_regret_true,regret_avg_true,inference_value_true,inference_simple_regret_true,dataset
1,0.12857020276919962,0.49927786244011496,0.6014983576233575,0.028689008371944547,0.4905120302476643,-1.0055297612437921,True,-1.4960417914914563,qnei,0.0,False,11,d5fc6cf8-102b-4480-aae9-047ca76e827b,gaussian,1.0,0,exact,value,learned,1.0,"x0,x1,x2,x3",3.5354125437868587,0.4905120302476643,3.0449005135391944,3.0449005135391944,3.0449005135391944,3.0449005135391944,0.4905120302476643,3.0449005135391944,yerkes_dodson
2,0.14792608457745593,0.9282110229603695,0.07042057615419683,0.12977394939929798,-1.922423152278595,-1.5262469851130755,True,0.3961761671655195,qnei,0.0,False,11,d5fc6cf8-102b-4480-aae9-047ca76e827b,gaussian,1.0,0,exact,value,learned,1.0,"x0,x1,x2,x3",3.5354125437868587,0.4905120302476643,5.4578356960654535,8.502736209604649,3.0449005135391944,4.251368104802324,0.4905120302476643,3.0449005135391944,yerkes_dodson
3,0.9483284532917751,0.6218835927963828,0.368993123729791,0.5113900218032627,1.2849654156782424,1.5762386655653045,True,0.29127324988706205,qnei,0.0,False,11,d5fc6cf8-102b-4480-aae9-047ca76e827b,gaussian,1.0,0,exact,value,learned,1.0,"x0,x1,x2,x3",3.5354125437868587,1.2849654156782424,2.2504471281086165,10.753183337713265,2.2504471281086165,3.584394445904422,1.2849654156782424,2.2504471281086165,yerkes_dodson
4,0.6628429525167993,0.2753088157611293,0.13796807286695534,0.7880395945039919,-0.5800672184088173,0.8064547611217777,True,1.386521979530595,qnei,0.0,False,11,d5fc6cf8-102b-4480-aae9-047ca76e827b,gaussian,1.0,0,exact,value,learned,1.0,"x0,x1,x2,x3",3.5354125437868587,1.2849654156782424,4.115479762195676,14.868663099908941,2.2504471281086165,3.7171657749772353,1.2849654156782424,2.2504471281086165,yerkes_dodson
5,0.6703605841024838,0.5123823134831604,0.8167364359696581,0.5490752688700263,1.5205660746098035,-0.25229630959541716,True,-1.7728623842052207,qnei,0.0,False,11,d5fc6cf8-102b-4480-aae9-047ca76e827b,gaussian,1.0,0,exact,value,learned,1.0,"x0,x1,x2,x3",3.5354125437868587,1.5205660746098035,2.014846469177055,16.883509569085994,2.014846469177055,3.376701913817199,1.2849654156782424,2.2504471281086165,yerkes_dodson
6,1.0,0.5245620446105155,0.0,0.6378496189497858,0.2085023610561598,-1.1015317684175965,True,-1.3100341294737563,qnei,0.30863980000140145,False,11,d5fc6cf8-102b-4480-aae9-047ca76e827b,gaussian,1.0,0,exact,value,learned,1.0,"x0,x1,x2,x3",3.5354125437868587,1.5205660746098035,3.326910182730699,20.210419751816694,2.014846469177055,3.368403291969449,1.2849654156782424,2.2504471281086165,yerkes_dodson
7,0.7936393745597484,0.45277003761461904,0.33880262256241084,0.6400858022369736,1.1382526095186416,2.955474264963927,True,1.8172216554452854,qnei,0.40227509997203015,False,11,d5fc6cf8-102b-4480-aae9-047ca76e827b,gaussian,1.0,0,exact,value,learned,1.0,"x0,x1,x2,x3",3.5354125437868587,1.5205660746098035,2.397159934268217,22.60757968608491,2.014846469177055,3.229654240869273,1.1382526095186416,2.397159934268217,yerkes_dodson
8,0.7181992466856728,0.3367536699791413,0.3781861648170835,0.7489352202995233,0.5223596098477711,-0.6244744621596313,True,-1.1468340720074024,qnei,0.39009150001220405,False,11,d5fc6cf8-102b-4480-aae9-047ca76e827b,gaussian,1.0,0,exact,value,learned,1.0,"x0,x1,x2,x3",3.5354125437868587,1.5205660746098035,3.0130529339390875,25.620632620023997,2.014846469177055,3.2025790775029996,1.1382526095186416,2.397159934268217,yerkes_dodson
9,0.8782733446586887,0.5589097888585913,0.3333596875464728,0.5509680999309695,1.3422221787629314,2.0817056796313045,True,0.7394835008683731,qnei,0.3989020999870263,False,11,d5fc6cf8-102b-4480-aae9-047ca76e827b,gaussian,1.0,0,exact,value,learned,1.0,"x0,x1,x2,x3",3.5354125437868587,1.5205660746098035,2.193190365023927,27.813822985047924,2.014846469177055,3.090424776116436,1.1382526095186416,2.397159934268217,yerkes_dodson
10,0.8646950757631502,0.5083933604091143,0.39308358610192945,0.6120349597956961,1.5290286913035638,1.7523409737480922,True,0.2233122824445284,qnei,0.4386534999939613,False,11,d5fc6cf8-102b-4480-aae9-047ca76e827b,gaussian,1.0,0,exact,value,learned,1.0,"x0,x1,x2,x3",3.5354125437868587,1.5290286913035638,2.006383852483295,29.82020683753122,2.006383852483295,2.982020683753122,1.1382526095186416,2.397159934268217,yerkes_dodson
11,0.782707273502086,0.4502104895190273,0.2966890986580633,0.6350657025259395,0.9609991020294538,-0.3044751760997956,True,-1.2654742781292494,qnei,0.35214420000556856,False,11,d5fc6cf8-102b-4480-aae9-047ca76e827b,gaussian,1.0,0,exact,value,learned,1.0,"x0,x1,x2,x3",3.5354125437868587,1.5290286913035638,2.5744134417574047,32.394620279288624,2.006383852483295,2.9449654799353295,1.1382526095186416,2.397159934268217,yerkes_dodson
12,0.829440068315619,0.4929337218327686,0.3528711744980053,0.609498370889279,1.373354688519089,1.8871281864131446,True,0.5137734978940556,qnei,0.4360519000038039,False,11,d5fc6cf8-102b-4480-aae9-047ca76e827b,gaussian,1.0,0,exact,value,learned,1.0,"x0,x1,x2,x3",3.5354125437868587,1.5290286913035638,2.1620578552677694,34.55667813455639,2.006383852483295,2.8797231778796992,1.1382526095186416,2.397159934268217,yerkes_dodson
13,0.6660551328804435,0.4163587860136928,0.3330927926019134,0.5993670457751924,1.7506611155513474,2.32771363515086,True,0.5770525195995126,qnei,0.6899824000138324,False,11,d5fc6cf8-102b-4480-aae9-047ca76e827b,gaussian,1.0,0,exact,value,learned,1.0,"x0,x1,x2,x3",3.5354125437868587,1.7506611155513474,1.7847514282355113,36.3414295627919,1.7847514282355113,2.795494581753223,1.1382526095186416,2.397159934268217,yerkes_dodson
14,0.9700542804409599,0.5019504450646037,0.33313115307380425,0.6974979838249706,0.6561714896269147,0.435061069975344,True,-0.22111041965157074,qnei,0.4477208000025712,False,11,d5fc6cf8-102b-4480-aae9-047ca76e827b,gaussian,1.0,0,exact,value,learned,1.0,"x0,x1,x2,x3",3.5354125437868587,1.7506611155513474,2.879241054159944,39.22067061695184,1.7847514282355113,2.8014764726394175,1.1382526095186416,2.397159934268217,yerkes_dodson
15,0.766021602496549,0.4765607161415313,0.33392167117861804,0.356940127590045,1.2302511301505166,-0.1835536505341384,True,-1.413804780684655,qnei,0.4935379000089597,False,11,d5fc6cf8-102b-4480-aae9-047ca76e827b,gaussian,1.0,0,exact,value,learned,1.0,"x0,x1,x2,x3",3.5354125437868587,1.7506611155513474,2.305161413636342,41.525832030588184,1.7847514282355113,2.7683888020392122,1.1382526095186416,2.397159934268217,yerkes_dodson
16,0.7571136280015425,0.6341072418425414,0.333395231800471,0.6413265730791047,0.8199954843102064,0.7086883184915465,True,-0.11130716581865996,qnei,0.402003200026229,False,11,d5fc6cf8-102b-4480-aae9-047ca76e827b,gaussian,1.0,0,exact,value,learned,1.0,"x0,x1,x2,x3",3.5354125437868587,1.7506611155513474,2.7154170594766525,44.241249090064834,1.7847514282355113,2.765078068129052,1.1382526095186416,2.397159934268217,yerkes_dodson
17,0.7961359406041454,0.4214380199936029,0.33384318199541413,0.6003015942441674,1.2071562628566355,0.1278560568210323,True,-1.0793002060356032,qnei,0.5967576999973971,False,11,d5fc6cf8-102b-4480-aae9-047ca76e827b,gaussian,1.0,0,exact,value,learned,1.0,"x0,x1,x2,x3",3.5354125437868587,1.7506611155513474,2.328256280930223,46.56950537099506,1.7847514282355113,2.739382668882062,1.1382526095186416,2.397159934268217,yerkes_dodson
18,0.37615958479578204,0.40463578178527965,0.36611770131132465,0.5617359734884043,2.2874110964477623,2.6579161737712282,True,0.37050507732346594,qnei,0.5766866999911144,False,11,d5fc6cf8-102b-4480-aae9-047ca76e827b,gaussian,1.0,0,exact,value,learned,1.0,"x0,x1,x2,x3",3.5354125437868587,2.2874110964477623,1.2480014473390963,47.81750681833416,1.2480014473390963,2.65652815657412,1.1382526095186416,2.397159934268217,yerkes_dodson
19,0.0,0.7043761751971709,0.3662788340484036,0.5723022538984,0.6495918166410009,1.8414276524840425,True,1.1918358358430416,qnei,0.4736523999890778,False,11,d5fc6cf8-102b-4480-aae9-047ca76e827b,gaussian,1.0,0,exact,value,learned,1.0,"x0,x1,x2,x3",3.5354125437868587,2.2874110964477623,2.885820727145858,50.703327545480015,1.2480014473390963,2.668596186604211,1.1382526095186416,2.397159934268217,yerkes_dodson
20,0.37249814951508664,0.027998072453914745,0.367053017565525,0.5654996771778933,1.111929245289747,0.9472333803488313,True,-0.1646958649409156,qnei,0.426137899979949,False,11,d5fc6cf8-102b-4480-aae9-047ca76e827b,gaussian,1.0,0,exact,value,learned,1.0,"x0,x1,x2,x3",3.5354125437868587,2.2874110964477623,2.4234832984971115,53.126810843977125,1.2480014473390963,2.656340542198856,1.1382526095186416,2.397159934268217,yerkes_dodson
21,0.0,0.4571222832746712,0.3721547713887592,0.5730452301495573,1.4790792363931424,-0.1321652754712841,True,-1.6112445118644265,qnei,0.35094659999595024,False,11,d5fc6cf8-102b-4480-aae9-047ca76e827b,gaussian,1.0,0,exact,value,learned,1.0,"x0,x1,x2,x3",3.5354125437868587,2.2874110964477623,2.0563333073937162,55.18314415137084,1.2480014473390963,2.627768769112897,1.1382526095186416,2.397159934268217,yerkes_dodson
