iteration,x0,x1,objective_true,objective_observed,error_applied,error_magnitude,acquisition,fit_time_sec,acq_opt_failed,seed,run_id,error_model,jitter_std,jitter_iteration,oracle_model,objective,observation_noise,known_noise_var,param_columns,y_opt,best_true_so_far,regret_inst_true,regret_cum_true,simple_regret_true,regret_avg_true,inference_value_true,inference_simple_regret_true,dataset
1,466.94575066007076,-299.3338264789536,2.331166856074644,2.331166856074644,False,0.0,logei,0.0,False,10,77204c16-8209-4a6d-bdfa-2ca056f8cc9c,gaussian,0.25,20,exact,value,learned,1e-06,"x0,x1",3.2050455310550587,2.331166856074644,0.8738786749804146,0.8738786749804146,0.8738786749804146,0.8738786749804146,2.331166856074644,0.8738786749804146,eggholder
2,336.3275625211195,-359.13510596401125,0.9168162679127149,0.9168162679127149,False,0.0,logei,0.0,False,10,77204c16-8209-4a6d-bdfa-2ca056f8cc9c,gaussian,0.25,20,exact,value,learned,1e-06,"x0,x1",3.2050455310550587,2.331166856074644,2.2882292631423438,3.1621079381227584,0.8738786749804146,1.5810539690613792,2.331166856074644,0.8738786749804146,eggholder
3,13.111927231042387,-372.8183254830012,0.8759976497847213,0.8759976497847213,False,0.0,logei,0.0,False,10,77204c16-8209-4a6d-bdfa-2ca056f8cc9c,gaussian,0.25,20,exact,value,learned,1e-06,"x0,x1",3.2050455310550587,2.331166856074644,2.3290478812703377,5.4911558193930965,0.8738786749804146,1.8303852731310322,2.331166856074644,0.8738786749804146,eggholder
4,193.5733552958783,349.94966969577365,0.3280943587556729,0.3280943587556729,False,0.0,logei,0.0,False,10,77204c16-8209-4a6d-bdfa-2ca056f8cc9c,gaussian,0.25,20,exact,value,learned,1e-06,"x0,x1",3.2050455310550587,2.331166856074644,2.876951172299386,8.368106991692482,0.8738786749804146,2.0920267479231205,2.331166856074644,0.8738786749804146,eggholder
5,-76.27878665730395,467.892227536247,0.4420618529814177,0.4420618529814177,False,0.0,logei,0.0,False,10,77204c16-8209-4a6d-bdfa-2ca056f8cc9c,gaussian,0.25,20,exact,value,learned,1e-06,"x0,x1",3.2050455310550587,2.331166856074644,2.762983678073641,11.131090669766124,0.8738786749804146,2.2262181339532248,2.331166856074644,0.8738786749804146,eggholder
6,512.0,-247.03358217936847,1.0782885441097871,1.0782885441097871,False,0.0,logei,0.17183729997486807,False,10,77204c16-8209-4a6d-bdfa-2ca056f8cc9c,gaussian,0.25,20,exact,value,learned,1e-06,"x0,x1",3.2050455310550587,2.331166856074644,2.1267569869452716,13.257847656711395,0.8738786749804146,2.2096412761185658,2.331166856074644,0.8738786749804146,eggholder
7,512.0,-479.8237252195579,-2.0605436840896183,-2.0605436840896183,False,0.0,logei,0.16531470001791604,False,10,77204c16-8209-4a6d-bdfa-2ca056f8cc9c,gaussian,0.25,20,exact,value,learned,1e-06,"x0,x1",3.2050455310550587,2.331166856074644,5.2655892151446775,18.52343687185607,0.8738786749804146,2.64620526740801,2.331166856074644,0.8738786749804146,eggholder
8,-48.40636686821667,-301.2355081652636,0.5347732127284256,0.5347732127284256,False,0.0,logei,0.16697689998545684,False,10,77204c16-8209-4a6d-bdfa-2ca056f8cc9c,gaussian,0.25,20,exact,value,learned,1e-06,"x0,x1",3.2050455310550587,2.331166856074644,2.6702723183266333,21.1937091901827,0.8738786749804146,2.6492136487728377,2.331166856074644,0.8738786749804146,eggholder
9,512.0,-307.5803972983032,0.04142734661412377,0.04142734661412377,False,0.0,logei,0.22543550000409596,False,10,77204c16-8209-4a6d-bdfa-2ca056f8cc9c,gaussian,0.25,20,exact,value,learned,1e-06,"x0,x1",3.2050455310550587,2.331166856074644,3.163618184440935,24.357327374623637,0.8738786749804146,2.7063697082915152,2.331166856074644,0.8738786749804146,eggholder
10,134.6301403956985,-307.1320987925061,-0.47453149351354346,-0.47453149351354346,False,0.0,logei,0.0,False,10,77204c16-8209-4a6d-bdfa-2ca056f8cc9c,gaussian,0.25,20,exact,value,learned,1e-06,"x0,x1",3.2050455310550587,2.331166856074644,3.6795770245686024,28.036904399192238,0.8738786749804146,2.8036904399192237,2.331166856074644,0.8738786749804146,eggholder
11,470.9596255747374,-211.00684905312693,-0.3640707938886067,-0.3640707938886067,False,0.0,logei,0.25433399999747053,False,10,77204c16-8209-4a6d-bdfa-2ca056f8cc9c,gaussian,0.25,20,exact,value,learned,1e-06,"x0,x1",3.2050455310550587,2.331166856074644,3.5691163249436655,31.606020724135902,0.8738786749804146,2.873274611285082,2.331166856074644,0.8738786749804146,eggholder
12,452.87086421567017,-305.599097358837,2.0027237423291817,2.0027237423291817,False,0.0,logei,0.30257430000347085,False,10,77204c16-8209-4a6d-bdfa-2ca056f8cc9c,gaussian,0.25,20,exact,value,learned,1e-06,"x0,x1",3.2050455310550587,2.331166856074644,1.202321788725877,32.80834251286178,0.8738786749804146,2.7340285427384816,2.331166856074644,0.8738786749804146,eggholder
13,464.7525897609767,-281.6728916059239,0.707872395272169,0.707872395272169,False,0.0,logei,0.3363838999939617,False,10,77204c16-8209-4a6d-bdfa-2ca056f8cc9c,gaussian,0.25,20,exact,value,learned,1e-06,"x0,x1",3.2050455310550587,2.331166856074644,2.49717313578289,35.305515648644665,0.8738786749804146,2.7158088960495896,2.331166856074644,0.8738786749804146,eggholder
14,469.3371843416187,-311.76472799619563,2.077056393756693,2.077056393756693,False,0.0,logei,0.3429075999883935,False,10,77204c16-8209-4a6d-bdfa-2ca056f8cc9c,gaussian,0.25,20,exact,value,learned,1e-06,"x0,x1",3.2050455310550587,2.331166856074644,1.127989137298366,36.43350478594303,0.8738786749804146,2.6023931989959306,2.331166856074644,0.8738786749804146,eggholder
15,250.6171894895425,251.8861662291621,1.491545483602042,1.491545483602042,False,0.0,logei,0.0,False,10,77204c16-8209-4a6d-bdfa-2ca056f8cc9c,gaussian,0.25,20,exact,value,learned,1e-06,"x0,x1",3.2050455310550587,2.331166856074644,1.7135000474530167,38.147004833396046,0.8738786749804146,2.5431336555597364,2.331166856074644,0.8738786749804146,eggholder
