dataset,objective,oracle_model,error_model,jitter_iteration,jitter_std,variant,acquisition,metric,n_pairs,mean_diff,median_diff,std_diff,cohens_dz,ci95_low,ci95_high,dz_ci95_low,dz_ci95_high,t_stat,p_value_t,wilcoxon_stat,p_value_wilcoxon,p_value_t_fdr_bh,p_value_wilcoxon_fdr_bh
hicks_law,value,exact,drift,0,0.05,anch5x3-detrend,logei,auc_simple_regret_excess_true,5,1.1575908241550514,-0.02126156209525476,2.5724905375835294,0.44998837011950105,-2.036578062082264,4.3517597103923675,-0.5006491588390803,1.3528584647052417,1.0062045846715395,0.371245439620001,6.0,0.8125,0.49499391949333466,0.9285714285714286
hicks_law,value,exact,drift,0,0.05,anch5x3-detrend,qnei,auc_simple_regret_excess_true,5,0.5332736696138894,0.07442218927323552,1.0606812097570089,0.5027652651035998,-0.7837360021126035,1.8502833413403823,-0.4619705683481794,1.4156483513166083,1.124217309497352,0.323822140499124,3.0,0.3125,0.47101402254418034,0.45454545454545453
hicks_law,value,exact,drift,0,0.25,anch5x3-detrend,logei,auc_simple_regret_excess_true,5,1.865242105684502,-0.18868906363784532,5.74191369058129,0.3248467682027578,-5.264285404703593,8.994769616072597,-0.596461891373137,1.209634363203758,0.7263794559724837,0.5078325223130592,7.0,1.0,0.580380025500639,1.0
hicks_law,value,exact,drift,0,0.25,anch5x3-detrend,qnei,auc_simple_regret_excess_true,5,1.9028411570600021,1.0827796718650937,3.3563316162270436,0.5669407480060165,-2.2645949768421705,6.070277290962174,-0.4162121784852989,1.4938256716219225,1.2677180517560311,0.273670284701407,3.0,0.3125,0.448056383791316,0.45454545454545453
hicks_law,value,exact,drift,0,1.0,anch5x3-detrend,logei,auc_simple_regret_excess_true,5,55.54775194063243,34.214850976010325,61.52708864496208,0.9028178183623639,-20.848218944108588,131.94372282537344,-0.1962455074274609,1.9320485196476367,2.0187620131563033,0.11365795083926132,1.0,0.125,0.2597896019183116,0.2857142857142857
hicks_law,value,exact,drift,0,1.0,anch5x3-detrend,qnei,auc_simple_regret_excess_true,5,82.81855877825055,97.10446746008765,47.36245039836793,1.7486122040067504,24.01030925188556,141.62680830461554,0.2614965264662926,3.1763808667306654,3.910015754444824,0.01739360153729173,0.0,0.0625,0.06957440614916692,0.2
hicks_law,value,exact,drift,0,5.0,anch5x3-detrend,logei,auc_simple_regret_excess_true,5,68.99925941320082,59.08617406565039,57.573287052055704,1.1984596146267306,-2.487418377587673,140.4859372039893,-0.023884417508881463,2.3497091604828215,2.679837166593571,0.055237931606216595,0.0,0.0625,0.14730115094991092,0.2
hicks_law,value,exact,drift,0,5.0,anch5x3-detrend,qnei,auc_simple_regret_excess_true,5,135.11866001184765,146.37737778620306,33.43911921550207,4.040736215001975,93.59850955031504,176.63881047338026,1.2330127869179055,6.863127062360374,9.035360855889623,0.0008312103850982277,0.0,0.0625,0.013299366161571643,0.2
hicks_law,value,exact,drift,20,0.05,anch5x3-detrend,logei,auc_simple_regret_excess_true,5,0.0,0.0,0.0,,,,,,,,,,,
hicks_law,value,exact,drift,20,0.05,anch5x3-detrend,qnei,auc_simple_regret_excess_true,5,0.0,0.0,0.0,,,,,,,,,,,
