iteration,x0,x1,x2,x3,objective_true,objective_observed,error_applied,error_magnitude,acquisition,fit_time_sec,acq_opt_failed,seed,run_id,error_model,jitter_std,jitter_iteration,oracle_model,objective,observation_noise,known_noise_var,param_columns,y_opt,best_true_so_far,regret_inst_true,regret_cum_true,simple_regret_true,regret_avg_true,inference_value_true,inference_simple_regret_true,dataset
1,0.625095466604667,0.8972138009695755,0.7756856902451935,0.22520718999059186,-0.5591188880501616,-0.6772581974833505,True,-0.11813930943318884,qnei,0.0,False,7,24334dc2-b85d-4752-93b2-0ab181fb49b8,gaussian,1.0,0,exact,value,learned,1.0,"x0,x1,x2,x3",3.5354125437868587,-0.5591188880501616,4.09453143183702,4.09453143183702,4.09453143183702,4.09453143183702,-0.5591188880501616,4.09453143183702,yerkes_dodson
2,0.30016628491122543,0.8735534453962619,0.005265304565574724,0.8212284183827663,-1.331678072195063,-0.5632522788079797,True,0.7684257933870833,qnei,0.0,False,7,24334dc2-b85d-4752-93b2-0ab181fb49b8,gaussian,1.0,0,exact,value,learned,1.0,"x0,x1,x2,x3",3.5354125437868587,-0.5591188880501616,4.867090615981922,8.961622047818942,4.09453143183702,4.480811023909471,-1.331678072195063,4.867090615981922,yerkes_dodson
3,0.7970694287520462,0.4679349528437208,0.3030324268193135,0.2784256121007733,0.5288477336449231,0.47914328155589336,True,-0.04970445208902974,qnei,0.0,False,7,24334dc2-b85d-4752-93b2-0ab181fb49b8,gaussian,1.0,0,exact,value,learned,1.0,"x0,x1,x2,x3",3.5354125437868587,0.5288477336449231,3.0065648101419358,11.968186857960877,3.0065648101419358,3.9893956193202924,0.5288477336449231,3.0065648101419358,yerkes_dodson
4,0.2548695876541246,0.4450763058826466,0.5045482589579533,0.5534973520744925,2.3124859446444517,2.6669231269315987,True,0.35443718228714705,qnei,0.0,False,7,24334dc2-b85d-4752-93b2-0ab181fb49b8,gaussian,1.0,0,exact,value,learned,1.0,"x0,x1,x2,x3",3.5354125437868587,2.3124859446444517,1.222926599142407,13.191113457103285,1.222926599142407,3.297778364275821,2.3124859446444517,1.222926599142407,yerkes_dodson
5,0.9955002834343927,0.7926619192137531,0.6221792294411627,0.9889601476818849,-0.8872648590242657,-0.4293733313542877,True,0.457891527669978,qnei,0.0,False,7,24334dc2-b85d-4752-93b2-0ab181fb49b8,gaussian,1.0,0,exact,value,learned,1.0,"x0,x1,x2,x3",3.5354125437868587,2.3124859446444517,4.422677402811124,17.61379085991441,1.222926599142407,3.5227581719828818,2.3124859446444517,1.222926599142407,yerkes_dodson
6,0.1389291696833902,0.9873260232514752,0.8983765820762613,0.3711964185864195,-1.021206341481055,-0.9907093813639769,True,0.030496960117078142,qnei,0.2417827000026591,False,7,24334dc2-b85d-4752-93b2-0ab181fb49b8,gaussian,1.0,0,exact,value,learned,1.0,"x0,x1,x2,x3",3.5354125437868587,2.3124859446444517,4.5566188852679135,22.170409745182322,1.222926599142407,3.6950682908637202,2.3124859446444517,1.222926599142407,yerkes_dodson
7,0.8972124902999074,0.03798036313347086,0.3335064827167159,0.1248654942038675,-1.2458458420688343,-2.077589204427854,True,-0.8317433623590196,qnei,0.28625710000051185,False,7,24334dc2-b85d-4752-93b2-0ab181fb49b8,gaussian,1.0,0,exact,value,learned,1.0,"x0,x1,x2,x3",3.5354125437868587,2.3124859446444517,4.781258385855693,26.951668131038016,1.222926599142407,3.850238304434002,2.3124859446444517,1.222926599142407,yerkes_dodson
8,0.8136608013718304,0.2565941019167802,0.02241656192882957,0.7437834791647562,-1.202001011377861,1.3792285572563436,True,2.5812295686342046,qnei,0.3507496000092942,False,7,24334dc2-b85d-4752-93b2-0ab181fb49b8,gaussian,1.0,0,exact,value,learned,1.0,"x0,x1,x2,x3",3.5354125437868587,2.3124859446444517,4.73741355516472,31.689081686202734,1.222926599142407,3.9611352107753417,2.3124859446444517,1.222926599142407,yerkes_dodson
9,0.5978025380591175,0.9971253953229923,0.04203378094062804,0.7143035072328224,-0.4533177682411437,-0.03838741844897087,True,0.41493034979217286,qnei,0.2814244999899529,False,7,24334dc2-b85d-4752-93b2-0ab181fb49b8,gaussian,1.0,0,exact,value,learned,1.0,"x0,x1,x2,x3",3.5354125437868587,2.3124859446444517,3.9887303120280024,35.67781199823074,1.222926599142407,3.9642013331367485,2.3124859446444517,1.222926599142407,yerkes_dodson
10,0.9215183960994934,0.6169446241074328,0.9724183539070758,0.03019041606433892,-1.0349356375288323,-1.3514689595467515,True,-0.31653332201791917,qnei,0.3898083999811206,False,7,24334dc2-b85d-4752-93b2-0ab181fb49b8,gaussian,1.0,0,exact,value,learned,1.0,"x0,x1,x2,x3",3.5354125437868587,2.3124859446444517,4.5703481813156905,40.24816017954643,1.222926599142407,4.0248160179546435,2.3124859446444517,1.222926599142407,yerkes_dodson
