iteration,x0,x1,x2,x3,objective_true,objective_observed,error_applied,error_magnitude,acquisition,fit_time_sec,acq_opt_failed,seed,run_id,error_model,jitter_std,jitter_iteration,oracle_model,objective,observation_noise,known_noise_var,param_columns,y_opt,best_true_so_far,regret_inst_true,regret_cum_true,simple_regret_true,regret_avg_true,inference_value_true,inference_simple_regret_true,dataset
1,-24.342023191317736,-0.047326007124624425,6.651796365204355,-30.887837147336242,-0.30121434332175484,0.2503510493061127,True,0.5515653926278675,logei,0.0,False,11,dcdb331c-b2bb-4d55-9345-25e2140a8961,gaussian,1.0,0,exact,value,self_report,0.1723166619616373,"x0,x1,x2,x3",20.102447153853433,-0.30121434332175484,20.403661497175186,20.403661497175186,20.403661497175186,20.403661497175186,-0.30121434332175484,20.403661497175186,ackley
2,-23.07351612113185,28.06323760073078,-28.152917121158556,-24.263134452167606,0.04634656030053056,0.324437112323043,True,0.2780905520225124,logei,0.0,False,11,dcdb331c-b2bb-4d55-9345-25e2140a8961,gaussian,1.0,0,exact,value,self_report,0.39575387899039655,"x0,x1,x2,x3",20.102447153853433,0.04634656030053056,20.0561005935529,40.45976209072809,20.0561005935529,20.229881045364046,0.04634656030053056,20.0561005935529,ackley
3,29.381653514929774,7.987763137503748,-8.58566664324442,0.7464564688986215,-0.1365968378712567,-0.4053384498986156,True,-0.2687416120273589,logei,0.0,False,11,dcdb331c-b2bb-4d55-9345-25e2140a8961,gaussian,1.0,0,exact,value,self_report,0.7363830523044129,"x0,x1,x2,x3",20.102447153853433,0.04634656030053056,20.23904399172469,60.698806082452776,20.0561005935529,20.232935360817592,0.04634656030053056,20.0561005935529,ackley
4,10.672075736140954,-14.72536145027863,-23.726124376591216,18.87696286541361,-0.26446524072856786,-0.7725085935568596,True,-0.5080433528282917,logei,0.0,False,11,dcdb331c-b2bb-4d55-9345-25e2140a8961,gaussian,1.0,0,exact,value,self_report,0.7037551229810295,"x0,x1,x2,x3",20.102447153853433,0.04634656030053056,20.366912394582002,81.06571847703478,20.0561005935529,20.266429619258695,0.04634656030053056,20.0561005935529,ackley
5,11.164751239740376,0.8114872964324036,20.757639067707508,3.216196820666049,1.2897487109322534,1.2583959261774003,True,-0.03135278475485315,logei,0.0,False,11,dcdb331c-b2bb-4d55-9345-25e2140a8961,gaussian,1.0,0,exact,value,self_report,0.15877285884498268,"x0,x1,x2,x3",20.102447153853433,1.2897487109322534,18.812698442921178,99.87841691995595,18.812698442921178,19.97568338399119,1.2897487109322534,18.812698442921178,ackley
6,10.96711191518541,-0.23667450311325863,29.87190883188925,6.954282833780035,0.8647327623336797,0.35782952819089886,True,-0.5069032341427808,logei,0.14670879999175668,False,11,dcdb331c-b2bb-4d55-9345-25e2140a8961,gaussian,1.0,0,exact,value,self_report,0.02098814986946587,"x0,x1,x2,x3",20.102447153853433,1.2897487109322534,19.237714391519752,119.1161313114757,18.812698442921178,19.852688551912617,1.2897487109322534,18.812698442921178,ackley
7,11.721958720239313,1.3073091810754303,15.222957552469827,1.5798140979644624,1.7215714500004267,1.5983056228434016,True,-0.12326582715702505,logei,0.20563049998600036,False,11,dcdb331c-b2bb-4d55-9345-25e2140a8961,gaussian,1.0,0,exact,value,self_report,0.4235773454106161,"x0,x1,x2,x3",20.102447153853433,1.7215714500004267,18.380875703853008,137.4970070153287,18.380875703853008,19.642429573618386,1.7215714500004267,18.380875703853008,ackley
8,10.880847887746855,-0.640685283755403,12.815724946482556,3.537380398209737,2.5323729594728093,3.3919453552498964,True,0.8595723957770871,logei,0.21764520002761856,False,11,dcdb331c-b2bb-4d55-9345-25e2140a8961,gaussian,1.0,0,exact,value,self_report,2.1668370051987984,"x0,x1,x2,x3",20.102447153853433,2.5323729594728093,17.570074194380624,155.06708120970933,17.570074194380624,19.383385151213666,2.5323729594728093,17.570074194380624,ackley
9,3.4279311634858596,-9.600647556109509,9.708895539216915,11.413970617956332,1.845630480753579,2.5023841551447443,True,0.6567536743911653,logei,0.17442420002771541,False,11,dcdb331c-b2bb-4d55-9345-25e2140a8961,gaussian,1.0,0,exact,value,self_report,0.2081662279228161,"x0,x1,x2,x3",20.102447153853433,2.5323729594728093,18.256816673099856,173.32389788280918,17.570074194380624,19.258210875867686,2.5323729594728093,17.570074194380624,ackley
10,4.981132010515837,-27.12587769579407,9.528449686020767,13.508969106753092,-0.10533846852900502,0.5011266128223137,True,0.6064650813513188,logei,0.14719530002912506,False,11,dcdb331c-b2bb-4d55-9345-25e2140a8961,gaussian,1.0,0,exact,value,self_report,0.6025011907500961,"x0,x1,x2,x3",20.102447153853433,2.5323729594728093,20.20778562238244,193.5316835051916,17.570074194380624,19.353168350519162,2.5323729594728093,17.570074194380624,ackley
