iteration,x0,x1,x2,x3,objective_true,objective_observed,error_applied,error_magnitude,acquisition,fit_time_sec,acq_opt_failed,seed,run_id,error_model,jitter_std,jitter_iteration,oracle_model,objective,observation_noise,known_noise_var,param_columns,y_opt,best_true_so_far,regret_inst_true,regret_cum_true,simple_regret_true,regret_avg_true,inference_value_true,inference_simple_regret_true,dataset
1,125.09546660466697,397.21380096957546,275.68569024519354,-274.79281000940813,0.5738417291035465,0.8048500003372908,True,0.23100827123374434,qnei,0.0,False,7,1397fa33-8443-40f0-95d7-439ef4dc3e17,gaussian,0.25,0,exact,value,self_report,1e-06,"x0,x1,x2,x3",4.328390371778852,0.5738417291035465,3.7545486426753056,3.7545486426753056,3.7545486426753056,3.7545486426753056,0.5738417291035465,3.7545486426753056,schwefel
2,-199.83371508877457,373.55344539626185,-494.73469543442525,321.2284183827662,-0.41778728342351684,-0.48722453349531036,True,-0.06943725007179352,qnei,0.0,False,7,1397fa33-8443-40f0-95d7-439ef4dc3e17,gaussian,0.25,0,exact,value,self_report,0.028487791389642716,"x0,x1,x2,x3",4.328390371778852,0.5738417291035465,4.746177655202369,8.500726297877675,3.7545486426753056,4.250363148938837,0.5738417291035465,3.7545486426753056,schwefel
3,297.0694287520462,-32.065047156279206,-196.9675731806865,-221.57438789922668,-1.6438031498001602,-1.6023970167329786,True,0.04140613306718155,qnei,0.0,False,7,1397fa33-8443-40f0-95d7-439ef4dc3e17,gaussian,0.25,0,exact,value,self_report,0.0647797010455703,"x0,x1,x2,x3",4.328390371778852,0.5738417291035465,5.972193521579012,14.472919819456687,3.7545486426753056,4.824306606485562,0.5738417291035465,3.7545486426753056,schwefel
4,-245.1304123458754,-54.92369411735342,4.548258957953294,53.49735207449248,-0.03217711789913872,0.2651675214551665,True,0.2973446393543052,qnei,0.0,False,7,1397fa33-8443-40f0-95d7-439ef4dc3e17,gaussian,0.25,0,exact,value,self_report,0.008549034758640273,"x0,x1,x2,x3",4.328390371778852,0.5738417291035465,4.36056748967799,18.833487309134675,3.7545486426753056,4.708371827283669,0.5738417291035465,3.7545486426753056,schwefel
5,495.5002834343927,292.6619192137531,122.17922944116265,488.9601476818849,-1.5523172952614734,-1.3558013827386672,True,0.1965159125228062,qnei,0.0,False,7,1397fa33-8443-40f0-95d7-439ef4dc3e17,gaussian,0.25,0,exact,value,self_report,0.016938497280665706,"x0,x1,x2,x3",4.328390371778852,0.5738417291035465,5.880707667040325,24.714194976175,3.7545486426753056,4.942838995235,0.5738417291035465,3.7545486426753056,schwefel
6,-73.5056747168128,292.04018072628116,251.40921749911965,-190.9241201310591,-1.4473305563112422,-1.4323221084243376,True,0.015008447886904586,qnei,0.18304409994743764,False,7,1397fa33-8443-40f0-95d7-439ef4dc3e17,gaussian,0.25,0,exact,value,self_report,0.0002926320918194483,"x0,x1,x2,x3",4.328390371778852,0.5738417291035465,5.775720928090094,30.489915904265096,3.7545486426753056,5.08165265071085,0.5738417291035465,3.7545486426753056,schwefel
7,143.05961701834923,500.0,500.0,-352.67127590678336,-1.0794218464162437,-1.0555327864246222,True,0.023889059991621497,qnei,0.34777809999650344,False,7,1397fa33-8443-40f0-95d7-439ef4dc3e17,gaussian,0.25,0,exact,value,self_report,0.023190444349015182,"x0,x1,x2,x3",4.328390371778852,0.5738417291035465,5.407812218195096,35.897728122460194,3.7545486426753056,5.1282468746371705,0.5738417291035465,3.7545486426753056,schwefel
8,162.25049892817185,394.03444310486907,228.29650241874788,-276.0529566780457,1.8219057950922162,2.1909231474783812,True,0.36901735238616507,qnei,0.18815050000557676,False,7,1397fa33-8443-40f0-95d7-439ef4dc3e17,gaussian,0.25,0,exact,value,self_report,0.05456277820876892,"x0,x1,x2,x3",4.328390371778852,1.8219057950922162,2.5064845766866357,38.40421269914683,2.5064845766866357,4.800526587393354,1.8219057950922162,2.5064845766866357,schwefel
9,199.82250364370762,399.8472161773123,198.45634291437696,-286.4588401711974,2.6631947256001687,2.596085238394581,True,-0.06710948720558774,qnei,0.2651761999586597,False,7,1397fa33-8443-40f0-95d7-439ef4dc3e17,gaussian,0.25,0,exact,value,self_report,0.11476516837497357,"x0,x1,x2,x3",4.328390371778852,2.6631947256001687,1.6651956461786832,40.06940834532551,1.6651956461786832,4.452156482813946,2.6631947256001687,1.6651956461786832,schwefel
10,173.51832006842122,463.4583353710196,144.16673479682854,-209.89881329126192,0.08332789210345817,0.5388008892012056,True,0.45547299709774747,qnei,0.33071300003211945,False,7,1397fa33-8443-40f0-95d7-439ef4dc3e17,gaussian,0.25,0,exact,value,self_report,0.021210529859879,"x0,x1,x2,x3",4.328390371778852,2.6631947256001687,4.2450624796753935,44.31447082500091,1.6651956461786832,4.431447082500091,2.6631947256001687,1.6651956461786832,schwefel
