iteration,x0,x1,objective_true,objective_observed,error_applied,error_magnitude,acquisition,fit_time_sec,acq_opt_failed,seed,run_id,error_model,jitter_std,jitter_iteration,oracle_model,objective,observation_noise,known_noise_var,param_columns,y_opt,best_true_so_far,regret_inst_true,regret_cum_true,simple_regret_true,regret_avg_true,inference_value_true,inference_simple_regret_true,dataset
1,1.2857020276919962,4.99277862440115,0.6286520689813629,-0.57968986393051,True,-1.208341932911873,qnei,0.0,False,11,1768ef2f-a3c1-4c95-9437-00e90c104d5e,gaussian,1.0,0,exact,value,self_report,1.04440092297542,"x0,x1",1.2500554659000687,0.6286520689813629,0.6214033969187057,0.6214033969187057,0.6214033969187057,0.6214033969187057,0.6286520689813629,0.6214033969187057,branin
2,6.014983576233575,0.28689008371944547,0.31569466412453523,0.6033945227041186,True,0.2876998585795834,qnei,0.0,False,11,1768ef2f-a3c1-4c95-9437-00e90c104d5e,gaussian,1.0,0,exact,value,self_report,0.07939903582364966,"x0,x1",1.2500554659000687,0.6286520689813629,0.9343608017755334,1.5557641986942392,0.6214033969187057,0.7778820993471196,0.31569466412453523,0.9343608017755334,branin
3,1.4792608457745593,9.282110229603695,-0.6232490171577227,-0.4836906801124865,True,0.13955833704523624,qnei,0.0,False,11,1768ef2f-a3c1-4c95-9437-00e90c104d5e,gaussian,1.0,0,exact,value,self_report,0.02253964949431101,"x0,x1",1.2500554659000687,0.6286520689813629,1.8733044830577914,3.429068681752031,0.6214033969187057,1.1430228939173437,0.31569466412453523,0.9343608017755334,branin
4,0.7042057615419683,1.2977394939929798,-0.19576267605595013,-0.4523805061762335,True,-0.2566178301202834,qnei,0.0,False,11,1768ef2f-a3c1-4c95-9437-00e90c104d5e,gaussian,1.0,0,exact,value,self_report,0.06924474718055876,"x0,x1",1.2500554659000687,0.6286520689813629,1.4458181419560188,4.874886823708049,0.6214033969187057,1.2187217059270123,0.31569466412453523,0.9343608017755334,branin
5,9.48328453291775,6.218835927963829,0.5961916848094132,0.8206057111445242,True,0.22441402633511098,qnei,0.0,False,11,1768ef2f-a3c1-4c95-9437-00e90c104d5e,gaussian,1.0,0,exact,value,self_report,0.04662155508362425,"x0,x1",1.2500554659000687,0.6286520689813629,0.6538637810906555,5.528750604798705,0.6214033969187057,1.105750120959741,0.5961916848094132,0.6538637810906555,branin
6,10.0,0.0,0.7445238005749768,0.6776645770230256,True,-0.06685922355195117,qnei,0.10553250001976267,False,11,1768ef2f-a3c1-4c95-9437-00e90c104d5e,gaussian,1.0,0,exact,value,self_report,0.0022003275461122216,"x0,x1",1.2500554659000687,0.7445238005749768,0.5055316653250919,6.034282270123796,0.5055316653250919,1.0057137116872994,0.5961916848094132,0.6538637810906555,branin
7,8.051394110458688,10.0,-2.5283545509458625,-2.0767540679736864,True,0.45160048297217603,qnei,0.12209710001479834,False,11,1768ef2f-a3c1-4c95-9437-00e90c104d5e,gaussian,1.0,0,exact,value,self_report,0.21618777819079035,"x0,x1",1.2500554659000687,0.7445238005749768,3.778410016845931,9.812692286969728,0.5055316653250919,1.4018131838528183,0.5961916848094132,0.6538637810906555,branin
8,4.590166522040893,6.991494367269273,-0.6409952351814315,-1.5759167317398501,True,-0.9349214965584186,qnei,0.13582110000425018,False,11,1768ef2f-a3c1-4c95-9437-00e90c104d5e,gaussian,1.0,0,exact,value,self_report,1.2973948756872467,"x0,x1",1.2500554659000687,0.7445238005749768,1.8910507010815003,11.703742988051228,0.5055316653250919,1.4629678735064036,0.5961916848094132,0.6538637810906555,branin
9,10.0,4.849075913628003,1.0129916387139177,-0.2621550185953381,True,-1.2751466573092558,qnei,0.11504159998730756,False,11,1768ef2f-a3c1-4c95-9437-00e90c104d5e,gaussian,1.0,0,exact,value,self_report,1.1807647508268138,"x0,x1",1.2500554659000687,1.0129916387139177,0.23706382718615093,11.94080681523738,0.23706382718615093,1.3267563128041533,0.5961916848094132,0.6538637810906555,branin
10,9.0523394678171,1.2493886308650877,1.1772133254613142,1.674929052357279,True,0.4977157268959649,qnei,0.12465630000224337,False,11,1768ef2f-a3c1-4c95-9437-00e90c104d5e,gaussian,1.0,0,exact,value,self_report,0.24154335423104134,"x0,x1",1.2500554659000687,1.1772133254613142,0.07284214043875448,12.013648955676135,0.07284214043875448,1.2013648955676135,1.1772133254613142,0.07284214043875448,branin
11,7.497693631705481,2.097555094887278,0.6019689491528838,0.47106529052854407,True,-0.13090365862433972,qnei,0.1260896000021603,False,11,1768ef2f-a3c1-4c95-9437-00e90c104d5e,gaussian,1.0,0,exact,value,self_report,0.011573577613701097,"x0,x1",1.2500554659000687,1.1772133254613142,0.6480865167471849,12.66173547242332,0.07284214043875448,1.1510668611293928,1.1772133254613142,0.07284214043875448,branin
12,10.0,1.3615927386834987,1.0471666427571287,2.2262971136065453,True,1.1791304708494166,qnei,0.1136656999879051,False,11,1768ef2f-a3c1-4c95-9437-00e90c104d5e,gaussian,1.0,0,exact,value,self_report,0.9235037736530396,"x0,x1",1.2500554659000687,1.1772133254613142,0.20288882314294,12.86462429556626,0.07284214043875448,1.0720520246305216,1.0471666427571287,0.20288882314294,branin
13,10.0,7.256651627608246,0.3101498582778502,0.5167935101320278,True,0.2066436518541776,qnei,0.11430410001776181,False,11,1768ef2f-a3c1-4c95-9437-00e90c104d5e,gaussian,1.0,0,exact,value,self_report,0.06738515142096729,"x0,x1",1.2500554659000687,1.1772133254613142,0.9399056076222185,13.80452990318848,0.07284214043875448,1.061886915629883,1.0471666427571287,0.20288882314294,branin
14,8.358812231995335,0.8751701481483695,0.9784025471532287,-0.6321754564378788,True,-1.6105780035911075,qnei,0.12526950001483783,False,11,1768ef2f-a3c1-4c95-9437-00e90c104d5e,gaussian,1.0,0,exact,value,self_report,2.2884562232340255,"x0,x1",1.2500554659000687,1.1772133254613142,0.27165291874683994,14.076182821935319,0.07284214043875448,1.0054416301382372,1.0471666427571287,0.20288882314294,branin
15,10.0,3.465788467293119,1.1658496428498966,1.1763646159774634,True,0.010514973127566885,qnei,0.11233430000720546,False,11,1768ef2f-a3c1-4c95-9437-00e90c104d5e,gaussian,1.0,0,exact,value,self_report,0.00011675423959261325,"x0,x1",1.2500554659000687,1.1772133254613142,0.0842058230501721,14.160388644985492,0.07284214043875448,0.9440259096656994,1.0471666427571287,0.20288882314294,branin
16,3.762696424230446,0.0,1.0021174963504975,2.159466541485467,True,1.1573490451349693,qnei,0.11661169998114929,False,11,1768ef2f-a3c1-4c95-9437-00e90c104d5e,gaussian,1.0,0,exact,value,self_report,2.363200704778244,"x0,x1",1.2500554659000687,1.1772133254613142,0.24793796954957115,14.408326614535063,0.07284214043875448,0.9005204134084415,1.0471666427571287,0.20288882314294,branin
17,9.52113702231461,3.0897201691252585,1.2343662705921383,2.6692506360700303,True,1.434884365477892,qnei,0.1270399000204634,False,11,1768ef2f-a3c1-4c95-9437-00e90c104d5e,gaussian,1.0,0,exact,value,self_report,1.2477789472637415,"x0,x1",1.2500554659000687,1.2343662705921383,0.015689195307930337,14.424015809842993,0.015689195307930337,0.8484715182260585,1.2343662705921383,0.015689195307930337,branin
18,3.2387201290676995,0.0,1.01615377424477,1.711554638854289,True,0.6954008646095191,qnei,0.12107049999758601,False,11,1768ef2f-a3c1-4c95-9437-00e90c104d5e,gaussian,1.0,0,exact,value,self_report,0.6793616546596286,"x0,x1",1.2500554659000687,1.2343662705921383,0.23390169165529873,14.657917501498293,0.015689195307930337,0.8143287500832385,1.2343662705921383,0.015689195307930337,branin
19,3.8697592614853,2.027030949628559,1.1304881690846669,1.572424730056131,True,0.44193656097146405,qnei,0.1463709999807179,False,11,1768ef2f-a3c1-4c95-9437-00e90c104d5e,gaussian,1.0,0,exact,value,self_report,0.12548847889842316,"x0,x1",1.2500554659000687,1.2343662705921383,0.11956729681540179,14.777484798313695,0.015689195307930337,0.777762357805984,1.2343662705921383,0.015689195307930337,branin
20,4.2426619515294846,0.0,0.8801114706165671,1.0987357491435028,True,0.21862427852693567,qnei,0.12926759998663329,False,11,1768ef2f-a3c1-4c95-9437-00e90c104d5e,gaussian,1.0,0,exact,value,self_report,0.020628656460288237,"x0,x1",1.2500554659000687,1.2343662705921383,0.3699439952835015,15.147428793597197,0.015689195307930337,0.7573714396798599,1.2343662705921383,0.015689195307930337,branin
21,3.245081929663937,2.3551545115488293,1.2463795734554626,1.2505485499349651,True,0.00416897647950254,qnei,0.14118730000336654,False,11,1768ef2f-a3c1-4c95-9437-00e90c104d5e,gaussian,1.0,0,exact,value,self_report,1.6353403398267743e-05,"x0,x1",1.2500554659000687,1.2463795734554626,0.003675892444606088,15.151104686041803,0.003675892444606088,0.7214811755258002,1.2343662705921383,0.015689195307930337,branin
22,4.088348632057945,3.0614623432247408,0.9640177137804746,2.2336609683892266,True,1.269643254608752,qnei,0.14748809998854995,False,11,1768ef2f-a3c1-4c95-9437-00e90c104d5e,gaussian,1.0,0,exact,value,self_report,0.9324014020537928,"x0,x1",1.2500554659000687,1.2463795734554626,0.28603775211959404,15.437142438161397,0.003675892444606088,0.7016882926436998,1.2343662705921383,0.015689195307930337,branin
23,3.6246592442142176,1.1652509190458404,1.1695975569548942,0.2657148540572202,True,-0.903882702897674,qnei,0.1271388000168372,False,11,1768ef2f-a3c1-4c95-9437-00e90c104d5e,gaussian,1.0,0,exact,value,self_report,0.34816256302488013,"x0,x1",1.2500554659000687,1.2463795734554626,0.08045790894517446,15.51760034710657,0.003675892444606088,0.6746782759611553,1.2343662705921383,0.015689195307930337,branin
24,3.504370635676932,3.9535717678244047,1.039190806770005,-0.37846539402172463,True,-1.4176562007917297,qnei,0.13815810001688078,False,11,1768ef2f-a3c1-4c95-9437-00e90c104d5e,gaussian,1.0,0,exact,value,self_report,2.282595881494249,"x0,x1",1.2500554659000687,1.2463795734554626,0.21086465913006358,15.728465006236634,0.003675892444606088,0.6553527085931931,1.2343662705921383,0.015689195307930337,branin
25,3.0952352066376014,1.0932823074753453,1.1785449984011096,1.264719158643041,True,0.08617416024193147,qnei,0.13348030002089217,False,11,1768ef2f-a3c1-4c95-9437-00e90c104d5e,gaussian,1.0,0,exact,value,self_report,0.002884363787143543,"x0,x1",1.2500554659000687,1.2463795734554626,0.07151046749895906,15.799975473735593,0.003675892444606088,0.6319990189494237,1.2343662705921383,0.015689195307930337,branin
26,3.3861879464943185,1.394769209088361,1.213113109752454,0.7222347503948726,True,-0.4908783593575813,qnei,0.13993390000541694,False,11,1768ef2f-a3c1-4c95-9437-00e90c104d5e,gaussian,1.0,0,exact,value,self_report,0.11660573472643102,"x0,x1",1.2500554659000687,1.2463795734554626,0.03694235614761476,15.836917829883207,0.003675892444606088,0.6091122242262772,1.2343662705921383,0.015689195307930337,branin
27,9.26232161906491,2.7742859914906015,1.235035275875106,0.92280934333582,True,-0.312225932539286,qnei,0.14899240000522695,False,11,1768ef2f-a3c1-4c95-9437-00e90c104d5e,gaussian,1.0,0,exact,value,self_report,0.1227546724258002,"x0,x1",1.2500554659000687,1.2463795734554626,0.015020190024962687,15.85193801990817,0.003675892444606088,0.5871088155521544,1.2343662705921383,0.015689195307930337,branin
28,3.8664002357617933,1.409202574814518,1.128042429104569,1.0369269162168537,True,-0.09111551288771524,qnei,0.14921709999907762,False,11,1768ef2f-a3c1-4c95-9437-00e90c104d5e,gaussian,1.0,0,exact,value,self_report,0.009005456986709013,"x0,x1",1.2500554659000687,1.2463795734554626,0.12201303679549969,15.973951056703669,0.003675892444606088,0.570498252025131,1.2343662705921383,0.015689195307930337,branin
29,2.889057214642364,2.16422654259802,1.2307020291165227,0.3854675721955557,True,-0.845234456920967,qnei,0.16096660000039265,False,11,1768ef2f-a3c1-4c95-9437-00e90c104d5e,gaussian,1.0,0,exact,value,self_report,0.5300051493904352,"x0,x1",1.2500554659000687,1.2463795734554626,0.019353436783545952,15.993304493487216,0.003675892444606088,0.5514932583961109,1.2343662705921383,0.015689195307930337,branin
30,3.1361633797145845,1.6733894135510994,1.2324820228008389,1.801052346564527,True,0.5685703237636881,qnei,0.13757200000691228,False,11,1768ef2f-a3c1-4c95-9437-00e90c104d5e,gaussian,1.0,0,exact,value,self_report,0.5668183012355889,"x0,x1",1.2500554659000687,1.2463795734554626,0.017573443099229813,16.010877936586446,0.003675892444606088,0.5336959312195482,1.2343662705921383,0.015689195307930337,branin
31,8.469766087189168,0.0,0.9030700884724937,1.1814615854283241,True,0.27839149695583043,qnei,0.12911129998974502,False,11,1768ef2f-a3c1-4c95-9437-00e90c104d5e,gaussian,1.0,0,exact,value,self_report,0.10723065568094216,"x0,x1",1.2500554659000687,1.2463795734554626,0.34698537742757496,16.357863314014022,0.003675892444606088,0.5276730101294845,1.2343662705921383,0.015689195307930337,branin
32,3.471792163560566,8.106108077584523,-0.5407537573211258,-0.1510550945466353,True,0.38969866277449056,qnei,0.1273710000095889,False,11,1768ef2f-a3c1-4c95-9437-00e90c104d5e,gaussian,1.0,0,exact,value,self_report,0.06260406778602351,"x0,x1",1.2500554659000687,1.2463795734554626,1.7908092232211945,18.148672537235218,0.003675892444606088,0.5671460167886005,1.2343662705921383,0.015689195307930337,branin
33,2.7662049134250757,2.974867478686821,1.2108164799119454,0.7056681545606416,True,-0.5051483253513038,qnei,0.14340500000980683,False,11,1768ef2f-a3c1-4c95-9437-00e90c104d5e,gaussian,1.0,0,exact,value,self_report,0.3543767815131607,"x0,x1",1.2500554659000687,1.2463795734554626,0.039238985988123254,18.18791152322334,0.003675892444606088,0.5511488340370709,1.2343662705921383,0.015689195307930337,branin
34,9.211127148901383,2.169018068903487,1.238777344060441,1.8129292247447406,True,0.5741518806842996,qnei,0.1648544000054244,False,11,1768ef2f-a3c1-4c95-9437-00e90c104d5e,gaussian,1.0,0,exact,value,self_report,1.0334476519316251,"x0,x1",1.2500554659000687,1.2463795734554626,0.01127812183962762,18.19918964506297,0.003675892444606088,0.5352702836783226,1.2343662705921383,0.015689195307930337,branin
35,7.913575040479271,0.0,0.7108732233725968,1.4097423481706755,True,0.6988691247980786,qnei,0.12764940000488423,False,11,1768ef2f-a3c1-4c95-9437-00e90c104d5e,gaussian,1.0,0,exact,value,self_report,0.38166753012875254,"x0,x1",1.2500554659000687,1.2463795734554626,0.5391822425274718,18.73837188759044,0.003675892444606088,0.5353820539311555,1.2343662705921383,0.015689195307930337,branin
36,2.7466655634520962,0.0,0.8903759899182847,1.2187400373928976,True,0.3283640474746129,qnei,0.14553360000718385,False,11,1768ef2f-a3c1-4c95-9437-00e90c104d5e,gaussian,1.0,0,exact,value,self_report,0.16236771894862806,"x0,x1",1.2500554659000687,1.2463795734554626,0.35967947598178396,19.098051363572225,0.003675892444606088,0.5305014267658952,1.2343662705921383,0.015689195307930337,branin
