iteration,x0,x1,x2,x3,x4,x5,objective_true,objective_observed,error_applied,error_magnitude,acquisition,fit_time_sec,acq_opt_failed,seed,run_id,error_model,jitter_std,jitter_iteration,oracle_model,objective,observation_noise,known_noise_var,param_columns,y_opt,best_true_so_far,regret_inst_true,regret_cum_true,simple_regret_true,regret_avg_true,inference_value_true,inference_simple_regret_true,dataset
1,80.30020665523807,-83.10702541177727,-487.11140944617057,-182.30453947680542,145.8108460568153,-574.0139961807474,0.3247784199342257,0.3247784199342257,False,0.0,logei,0.0,False,16,27cb285b-e775-42e5-ba50-391644f9184c,gaussian,1.0,20,exact,value,self_report,1e-06,"x0,x1,x2,x3,x4,x5",2.7538558156589708,0.3247784199342257,2.429077395724745,2.429077395724745,2.429077395724745,2.429077395724745,0.3247784199342257,2.429077395724745,griewank
2,449.5588535346453,424.8594378323305,-546.8349410540583,362.905155439085,-378.24580621578167,234.7486978783129,-1.1088218700966845,-1.1088218700966845,False,0.0,logei,0.0,False,16,27cb285b-e775-42e5-ba50-391644f9184c,gaussian,1.0,20,exact,value,self_report,1e-06,"x0,x1,x2,x3,x4,x5",2.7538558156589708,0.3247784199342257,3.8626776857556555,6.2917550814804,2.429077395724745,3.1458775407402,0.3247784199342257,2.429077395724745,griewank
3,-413.99969416119995,229.94370717991978,550.3605972773044,581.9819852999372,195.95432039184038,-403.6942052133157,-1.3204264869168842,-1.3204264869168842,False,0.0,logei,0.0,False,16,27cb285b-e775-42e5-ba50-391644f9184c,gaussian,1.0,20,exact,value,self_report,1e-06,"x0,x1,x2,x3,x4,x5",2.7538558156589708,0.3247784199342257,4.074282302575855,10.366037384056256,2.429077395724745,3.4553457946854187,0.3247784199342257,2.429077395724745,griewank
4,-126.1072232691962,-266.4057448261183,546.8036343358303,-240.78592380031438,73.29239367159562,-111.16164576067467,0.9829684450360517,0.9829684450360517,False,0.0,logei,0.0,False,16,27cb285b-e775-42e5-ba50-391644f9184c,gaussian,1.0,20,exact,value,self_report,1e-06,"x0,x1,x2,x3,x4,x5",2.7538558156589708,0.9829684450360517,1.7708873706229191,12.136924754679175,1.7708873706229191,3.0342311886697937,0.9829684450360517,1.7708873706229191,griewank
5,-433.52693903909085,-138.31018576137365,323.2980645944573,-103.6807710427554,215.17750470982344,98.22465179550295,1.2997239297557068,1.2997239297557068,False,0.0,logei,0.0,False,16,27cb285b-e775-42e5-ba50-391644f9184c,gaussian,1.0,20,exact,value,self_report,1e-06,"x0,x1,x2,x3,x4,x5",2.7538558156589708,1.2997239297557068,1.454131885903264,13.591056640582439,1.454131885903264,2.718211328116488,1.2997239297557068,1.454131885903264,griewank
6,-600.0,-226.35471471056283,346.4014469519028,-216.10701681072734,529.2212125215515,525.921762709396,-1.5775548820980752,-1.5775548820980752,False,0.0,logei,0.22669719997793436,False,16,27cb285b-e775-42e5-ba50-391644f9184c,gaussian,1.0,20,exact,value,self_report,1e-06,"x0,x1,x2,x3,x4,x5",2.7538558156589708,1.2997239297557068,4.331410697757046,17.922467338339484,1.454131885903264,2.9870778897232473,1.2997239297557068,1.454131885903264,griewank
7,-443.71635897889024,-134.93475847722715,30.347127481104785,-167.90352474391997,191.87092691346555,-48.42659765880763,1.6605929216525004,1.6605929216525004,False,0.0,logei,0.1853082000161521,False,16,27cb285b-e775-42e5-ba50-391644f9184c,gaussian,1.0,20,exact,value,self_report,1e-06,"x0,x1,x2,x3,x4,x5",2.7538558156589708,1.6605929216525004,1.0932628940064704,19.015730232345955,1.0932628940064704,2.7165328903351367,1.6605929216525004,1.0932628940064704,griewank
8,-600.0,-49.944742279620044,-447.53040095176345,-205.0059778993689,108.58360290037626,65.15274262035405,0.37721288641927325,0.37721288641927325,False,0.0,logei,0.21223120001377538,False,16,27cb285b-e775-42e5-ba50-391644f9184c,gaussian,1.0,20,exact,value,self_report,1e-06,"x0,x1,x2,x3,x4,x5",2.7538558156589708,1.6605929216525004,2.3766429292396976,21.392373161585652,1.0932628940064704,2.6740466451982066,1.6605929216525004,1.0932628940064704,griewank
9,-600.0,-281.4381237611241,154.31217858206242,-294.3056330617145,176.39039815158816,-474.6813982917113,-0.32601480401032384,-0.32601480401032384,False,0.0,logei,0.2995277000009082,False,16,27cb285b-e775-42e5-ba50-391644f9184c,gaussian,1.0,20,exact,value,self_report,1e-06,"x0,x1,x2,x3,x4,x5",2.7538558156589708,1.6605929216525004,3.0798706196692947,24.472243781254946,1.0932628940064704,2.719138197917216,1.6605929216525004,1.0932628940064704,griewank
10,-162.79393998261517,-97.78451339568115,126.68405242391067,-64.72585876273227,298.82526756361506,-83.8747920050277,2.1575297032473197,2.1575297032473197,False,0.0,logei,0.19398099998943508,False,16,27cb285b-e775-42e5-ba50-391644f9184c,gaussian,1.0,20,exact,value,self_report,1e-06,"x0,x1,x2,x3,x4,x5",2.7538558156589708,2.1575297032473197,0.596326112411651,25.0685698936666,0.596326112411651,2.5068569893666597,2.1575297032473197,0.596326112411651,griewank
11,-600.0,-91.58154429349398,229.77455603688676,-24.640588260398495,127.75908349617995,-171.378691483385,0.9626188702283937,0.9626188702283937,False,0.0,logei,0.3275994000141509,False,16,27cb285b-e775-42e5-ba50-391644f9184c,gaussian,1.0,20,exact,value,self_report,1e-06,"x0,x1,x2,x3,x4,x5",2.7538558156589708,2.1575297032473197,1.791236945430577,26.859806839097175,0.596326112411651,2.441800621736107,2.1575297032473197,0.596326112411651,griewank
12,58.90485957905103,-233.59615339644182,173.63950792009592,-214.65475705749662,446.80562328575445,-60.79807164644375,1.4552017412514715,1.4552017412514715,False,0.0,logei,0.2754850999917835,False,16,27cb285b-e775-42e5-ba50-391644f9184c,gaussian,1.0,20,exact,value,self_report,1e-06,"x0,x1,x2,x3,x4,x5",2.7538558156589708,2.1575297032473197,1.2986540744074992,28.158460913504673,0.596326112411651,2.3465384094587227,2.1575297032473197,0.596326112411651,griewank
13,-121.99599185072606,-34.72085363506614,125.76723347889411,-345.28638484593995,372.27158682412977,-78.2795005299373,1.6220952499431698,1.6220952499431698,False,0.0,logei,0.21697760000824928,False,16,27cb285b-e775-42e5-ba50-391644f9184c,gaussian,1.0,20,exact,value,self_report,1e-06,"x0,x1,x2,x3,x4,x5",2.7538558156589708,2.1575297032473197,1.131760565715801,29.290221479220474,0.596326112411651,2.2530939599400366,2.1575297032473197,0.596326112411651,griewank
14,215.07893201630822,54.13241142279582,-113.85843073911495,-30.811525746013306,260.20068539828566,-82.87632274561687,2.2160241014200297,2.2160241014200297,False,0.0,logei,0.2355428999871947,False,16,27cb285b-e775-42e5-ba50-391644f9184c,gaussian,1.0,20,exact,value,self_report,1e-06,"x0,x1,x2,x3,x4,x5",2.7538558156589708,2.2160241014200297,0.537831714238941,29.828053193459414,0.537831714238941,2.130575228104244,2.2160241014200297,0.537831714238941,griewank
15,431.18674550832293,-600.0,85.44438710305927,5.921428385254652,269.520644546305,-75.75384578356606,0.3338784900049343,0.3338784900049343,False,0.0,logei,0.2795353999827057,False,16,27cb285b-e775-42e5-ba50-391644f9184c,gaussian,1.0,20,exact,value,self_report,1e-06,"x0,x1,x2,x3,x4,x5",2.7538558156589708,2.2160241014200297,2.4199773256540364,32.24803051911345,0.537831714238941,2.14986870127423,2.2160241014200297,0.537831714238941,griewank
16,1.069808364306773,25.016496476502827,-15.871355758396689,-44.4677095710194,243.4492378413165,-73.85005198624218,2.4812138553530576,2.4812138553530576,False,0.0,logei,0.2260107000474818,False,16,27cb285b-e775-42e5-ba50-391644f9184c,gaussian,1.0,20,exact,value,self_report,1e-06,"x0,x1,x2,x3,x4,x5",2.7538558156589708,2.4812138553530576,0.27264196030591314,32.52067247941936,0.27264196030591314,2.03254202996371,2.4812138553530576,0.27264196030591314,griewank
17,-18.50230827059411,221.6329796282531,30.999373452907474,-65.9739563821589,134.88144064687114,-58.7384122899443,2.4479645733354087,2.4479645733354087,False,0.0,logei,0.1982966000214219,False,16,27cb285b-e775-42e5-ba50-391644f9184c,gaussian,1.0,20,exact,value,self_report,1e-06,"x0,x1,x2,x3,x4,x5",2.7538558156589708,2.4812138553530576,0.305891242323562,32.82656372174292,0.27264196030591314,1.9309743365731131,2.4812138553530576,0.27264196030591314,griewank
18,-29.55174063173409,30.421352690223408,-41.32553256679653,-45.77870978229007,96.34012018470978,-48.20281683527232,2.672890711353827,2.672890711353827,False,0.0,logei,0.27191479998873547,False,16,27cb285b-e775-42e5-ba50-391644f9184c,gaussian,1.0,20,exact,value,self_report,1e-06,"x0,x1,x2,x3,x4,x5",2.7538558156589708,2.672890711353827,0.08096510430514359,32.907528826048065,0.08096510430514359,1.8281960458915592,2.672890711353827,0.08096510430514359,griewank
19,-13.83003155246412,-6.061831148243446,1.6494754775493667,-53.0234511782874,-127.3507287858034,-50.53044853151413,2.655708862384281,2.655708862384281,False,0.0,logei,0.18588530004490167,False,16,27cb285b-e775-42e5-ba50-391644f9184c,gaussian,1.0,20,exact,value,self_report,1e-06,"x0,x1,x2,x3,x4,x5",2.7538558156589708,2.672890711353827,0.0981469532746897,33.00567577932276,0.08096510430514359,1.7371408304906715,2.672890711353827,0.08096510430514359,griewank
20,-13.481099220799427,1.2275027695316563,-74.40141682387782,-92.41557850253359,-17.767314362453718,-39.5257908173605,2.677102043163767,2.677102043163767,False,0.0,logei,0.23384870000882074,False,16,27cb285b-e775-42e5-ba50-391644f9184c,gaussian,1.0,20,exact,value,self_report,1e-06,"x0,x1,x2,x3,x4,x5",2.7538558156589708,2.677102043163767,0.07675377249520388,33.08242955181796,0.07675377249520388,1.654121477590898,2.677102043163767,0.07675377249520388,griewank
21,-29.217646979232853,2.117267509888317,-27.119531894064473,-3.183306373381653,-6.368616898852467,-41.691902214331066,2.7257717767425764,1.9830418850064844,True,-0.742729891736092,logei,0.2790297999745235,False,16,27cb285b-e775-42e5-ba50-391644f9184c,gaussian,1.0,20,exact,value,self_report,1.0733401822463131,"x0,x1,x2,x3,x4,x5",2.7538558156589708,2.7257717767425764,0.028084038916394327,33.11051359073436,0.028084038916394327,1.5766911233683027,2.677102043163767,0.07675377249520388,griewank
22,-37.187373633642125,12.119926345994047,-117.89007488195382,37.07738529254216,-41.55074260171832,-95.24498779043877,2.6321614467768493,2.159622378474302,True,-0.47253906830254744,logei,0.23342479998245835,False,16,27cb285b-e775-42e5-ba50-391644f9184c,gaussian,1.0,20,exact,value,self_report,0.175851809864865,"x0,x1,x2,x3,x4,x5",2.7538558156589708,2.7257717767425764,0.12169436888212148,33.23220795961648,0.028084038916394327,1.5105549072552946,2.677102043163767,0.07675377249520388,griewank
23,23.20058840214244,9.06035637438612,55.7100790549956,-37.18194578972,-1.2222585052415467,25.332494500929773,2.718735808440678,1.4502786910605496,True,-1.2684571173801285,logei,0.27260430000023916,False,16,27cb285b-e775-42e5-ba50-391644f9184c,gaussian,1.0,20,exact,value,self_report,0.7391199218574865,"x0,x1,x2,x3,x4,x5",2.7538558156589708,2.7257717767425764,0.03512000721829267,33.26732796683477,0.028084038916394327,1.4464055637754247,2.677102043163767,0.07675377249520388,griewank
24,13.184871535360415,6.080835001814436,46.619029399509486,-29.026013206536476,-1.3472959485017755,21.913034184240345,2.7248153341948824,3.2379480437987955,True,0.5131327096039131,logei,0.3057688999688253,False,16,27cb285b-e775-42e5-ba50-391644f9184c,gaussian,1.0,20,exact,value,self_report,0.1637252395012115,"x0,x1,x2,x3,x4,x5",2.7538558156589708,2.7257717767425764,0.02904048146408833,33.29636844829886,0.028084038916394327,1.3873486853457857,2.7248153341948824,0.02904048146408833,griewank
25,26.102769468201757,9.684863599435303,58.44600908672861,-40.523187061802325,-1.0577892376234355,25.943777428202544,2.714165132390079,2.103778776036507,True,-0.6103863563535716,logei,0.21907540003303438,False,16,27cb285b-e775-42e5-ba50-391644f9184c,gaussian,1.0,20,exact,value,self_report,0.2112271823872319,"x0,x1,x2,x3,x4,x5",2.7538558156589708,2.7257717767425764,0.03969068326889191,33.33605913156775,0.028084038916394327,1.33344236526271,2.7248153341948824,0.02904048146408833,griewank
26,9.63386105931232,4.3130125967304584,43.46790592707998,-27.52340337491112,-1.3908247495594013,21.024901502158382,2.7235187252305737,2.4479861758370065,True,-0.2755325493935672,logei,0.3264259999850765,False,16,27cb285b-e775-42e5-ba50-391644f9184c,gaussian,1.0,20,exact,value,self_report,0.09009515218299846,"x0,x1,x2,x3,x4,x5",2.7538558156589708,2.7257717767425764,0.03033709042839705,33.36639622199615,0.028084038916394327,1.2833229316152364,2.7248153341948824,0.02904048146408833,griewank
27,-35.16449143310223,16.02765797437492,-100.91197367644212,20.983813112369823,-34.980438634017645,-90.86394738190253,2.656726281646375,1.1953636955760185,True,-1.4613625860703565,logei,0.32659059995785356,False,16,27cb285b-e775-42e5-ba50-391644f9184c,gaussian,1.0,20,exact,value,self_report,1.8379021334327206,"x0,x1,x2,x3,x4,x5",2.7538558156589708,2.7257717767425764,0.09712953401259572,33.46352575600874,0.028084038916394327,1.2393898428151386,2.7248153341948824,0.02904048146408833,griewank
28,0.5509887264586765,3.4676159070613157,35.598855342821714,-24.428898988385793,-1.2833455779405534,14.250615591107985,2.7316571697862564,1.6112923996502853,True,-1.1203647701359711,logei,0.28334530000574887,False,16,27cb285b-e775-42e5-ba50-391644f9184c,gaussian,1.0,20,exact,value,self_report,1.121992463757223,"x0,x1,x2,x3,x4,x5",2.7538558156589708,2.7316571697862564,0.022198645872714362,33.485724401881455,0.022198645872714362,1.1959187286386235,2.7248153341948824,0.02904048146408833,griewank
29,-31.337348353846625,24.56532838116539,-97.99667404463999,9.497788826572792,-34.81773082680664,-95.15909125688853,2.6566646576897326,3.132811470219547,True,0.4761468125298145,logei,0.29442170000402257,False,16,27cb285b-e775-42e5-ba50-391644f9184c,gaussian,1.0,20,exact,value,self_report,0.0881327412675529,"x0,x1,x2,x3,x4,x5",2.7538558156589708,2.7316571697862564,0.09719115796923816,33.58291555985069,0.022198645872714362,1.158031571029334,2.7248153341948824,0.02904048146408833,griewank
30,-39.20674398235621,21.038834953824146,-128.6163402892265,31.86141285602579,-45.478714437212766,-96.55901119341536,2.620994027023383,3.470078675084067,True,0.8490846480606837,logei,0.2909131000051275,False,16,27cb285b-e775-42e5-ba50-391644f9184c,gaussian,1.0,20,exact,value,self_report,0.2845824201598554,"x0,x1,x2,x3,x4,x5",2.7538558156589708,2.7316571697862564,0.13286178863558762,33.71577734848628,0.022198645872714362,1.1238592449495426,2.620994027023383,0.13286178863558762,griewank
31,-43.334715242657815,20.74694598802016,-168.66191886720551,57.54471014515139,-61.71751883475304,-104.70025769664475,2.5542596097124184,2.011083428050153,True,-0.5431761816622656,logei,0.27653799997642636,False,16,27cb285b-e775-42e5-ba50-391644f9184c,gaussian,1.0,20,exact,value,self_report,0.3032513740472264,"x0,x1,x2,x3,x4,x5",2.7538558156589708,2.7316571697862564,0.19959620594655236,33.91537355443283,0.022198645872714362,1.0940443082075106,2.620994027023383,0.13286178863558762,griewank
32,-38.371494264840486,20.379014404252285,-120.31465701434585,28.052496763645284,-42.27921128084111,-95.4552951293632,2.63185160606114,2.6359630596536614,True,0.004111453592521297,logei,0.28502920002210885,False,16,27cb285b-e775-42e5-ba50-391644f9184c,gaussian,1.0,20,exact,value,self_report,7.237951814036518e-06,"x0,x1,x2,x3,x4,x5",2.7538558156589708,2.7316571697862564,0.12200420959783065,34.037377764030666,0.022198645872714362,1.0636680551259583,2.620994027023383,0.13286178863558762,griewank
