iteration,x0,x1,x2,objective_true,objective_observed,error_applied,error_magnitude,acquisition,fit_time_sec,acq_opt_failed,seed,run_id,error_model,jitter_std,jitter_iteration,oracle_model,objective,observation_noise,known_noise_var,param_columns,y_opt,best_true_so_far,regret_inst_true,regret_cum_true,simple_regret_true,regret_avg_true,inference_value_true,inference_simple_regret_true,dataset
1,0.5669168388793651,0.4307441454901856,0.09407382546152454,-0.8456599765051661,-0.5844810571547641,True,0.26117891935040205,logei,0.0,False,16,3987d769-4a19-4abe-9e6a-9f13e9f40ebb,gaussian,0.25,0,exact,value,self_report,0.0549924605439552,"x0,x1,x2",3.0549009421557276,-0.8456599765051661,3.9005609186608936,3.9005609186608936,3.9005609186608936,3.9005609186608936,-0.8456599765051661,3.9005609186608936,hartmann_3
2,0.3480795504359955,0.6215090383806794,0.02165500318271052,-0.9736858423146517,-0.6745082408471221,True,0.2991776014675296,logei,0.0,False,16,3987d769-4a19-4abe-9e6a-9f13e9f40ebb,gaussian,0.25,0,exact,value,self_report,0.1477520160663041,"x0,x1,x2",3.0549009421557276,-0.8456599765051661,4.028586784470379,7.929147703131273,3.9005609186608936,3.9645738515656364,-0.8456599765051661,3.9005609186608936,hartmann_3
3,0.8746323779455377,0.8540495315269422,0.044304215788284806,-0.9866837189224773,-1.200188533514313,True,-0.21350481459183568,logei,0.0,False,16,3987d769-4a19-4abe-9e6a-9f13e9f40ebb,gaussian,0.25,0,exact,value,self_report,0.019653951121608542,"x0,x1,x2",3.0549009421557276,-0.8456599765051661,4.041584661078205,11.970732364209479,3.9005609186608936,3.9902441214031596,-0.8456599765051661,3.9005609186608936,hartmann_3
4,0.8024209628659041,0.1847951614868486,0.6956239148985941,-0.1839140154963831,-0.1911554987156819,True,-0.007241483219298822,logei,0.0,False,16,3987d769-4a19-4abe-9e6a-9f13e9f40ebb,gaussian,0.25,0,exact,value,self_report,4.3642432578052304e-05,"x0,x1,x2",3.0549009421557276,-0.1839140154963831,3.2388149576521106,15.209547321861589,3.2388149576521106,3.802386830465397,-0.1839140154963831,3.2388149576521106,hartmann_3
5,0.1550002548656667,0.6916197559832665,0.9586338310644203,1.549012966658608,1.382315815958675,True,-0.16669715069993307,logei,0.0,False,16,3987d769-4a19-4abe-9e6a-9f13e9f40ebb,gaussian,0.25,0,exact,value,self_report,0.019918568586122867,"x0,x1,x2",3.0549009421557276,1.549012966658608,1.5058879754971195,16.71543529735871,1.5058879754971195,3.343087059471742,1.549012966658608,1.5058879754971195,hartmann_3
6,0.0,1.0,1.0,-0.6369908231132015,-1.0378779919774332,True,-0.4008871688642317,logei,0.09896209998987615,False,16,3987d769-4a19-4abe-9e6a-9f13e9f40ebb,gaussian,0.25,0,exact,value,self_report,0.1675305301449659,"x0,x1,x2",3.0549009421557276,1.549012966658608,3.691891765268929,20.407327062627637,1.5058879754971195,3.401221177104606,1.549012966658608,1.5058879754971195,hartmann_3
7,0.18314740524370665,0.6142081460144256,0.9814085545440647,1.493235233103152,1.3699014168557369,True,-0.12333381624741513,logei,0.27788449998479337,False,16,3987d769-4a19-4abe-9e6a-9f13e9f40ebb,gaussian,0.25,0,exact,value,self_report,0.011879846567143883,"x0,x1,x2",3.0549009421557276,1.549012966658608,1.5616657090525756,21.968992771680213,1.5058879754971195,3.138427538811459,1.549012966658608,1.5058879754971195,hartmann_3
8,0.022910647999605835,0.6229682810551488,0.7866896476651134,2.535613270564084,2.6661391529051555,True,0.13052588234107132,logei,0.2924781999900006,False,16,3987d769-4a19-4abe-9e6a-9f13e9f40ebb,gaussian,0.25,0,exact,value,self_report,0.014830341850339197,"x0,x1,x2",3.0549009421557276,2.535613270564084,0.5192876715916435,22.488280443271858,0.5192876715916435,2.8110350554089822,2.535613270564084,0.5192876715916435,hartmann_3
9,0.25374465686111686,0.6418711182133793,0.7034790234071834,1.7090857666981023,1.3470538268701018,True,-0.3620319398280005,logei,0.23290110001107678,False,16,3987d769-4a19-4abe-9e6a-9f13e9f40ebb,gaussian,0.25,0,exact,value,self_report,0.045108992282992075,"x0,x1,x2",3.0549009421557276,2.535613270564084,1.3458151754576253,23.834095618729485,0.5192876715916435,2.6482328465254983,2.535613270564084,0.5192876715916435,hartmann_3
10,0.0,0.5597530758412421,0.6773135485867515,1.392920150079154,1.5123104127702631,True,0.1193902626911092,logei,0.19547650002641603,False,16,3987d769-4a19-4abe-9e6a-9f13e9f40ebb,gaussian,0.25,0,exact,value,self_report,0.00824277498242654,"x0,x1,x2",3.0549009421557276,2.535613270564084,1.6619807920765737,25.496076410806058,0.5192876715916435,2.549607641080606,2.535613270564084,0.5192876715916435,hartmann_3
11,0.0,0.512246218095581,0.8369884515420445,2.95805093252476,2.7329637452451947,True,-0.22508718727956545,logei,0.23010509996674955,False,16,3987d769-4a19-4abe-9e6a-9f13e9f40ebb,gaussian,0.25,0,exact,value,self_report,0.04074361216423496,"x0,x1,x2",3.0549009421557276,2.95805093252476,0.09685000963096746,25.592926420437024,0.09685000963096746,2.326629674585184,2.95805093252476,0.09685000963096746,hartmann_3
12,0.0,0.5283571842263796,0.8346374622519925,2.9894479710137825,3.1115498365674994,True,0.12210186555371694,logei,0.2451788999605924,False,16,3987d769-4a19-4abe-9e6a-9f13e9f40ebb,gaussian,0.25,0,exact,value,self_report,0.018259139395491203,"x0,x1,x2",3.0549009421557276,2.9894479710137825,0.06545297114194515,25.65837939157897,0.06545297114194515,2.138198282631581,2.9894479710137825,0.06545297114194515,hartmann_3
13,0.0,0.43762058128742665,0.8451419173634241,2.5687817988750172,2.7617767754437565,True,0.19299497656873932,logei,0.23404829995706677,False,16,3987d769-4a19-4abe-9e6a-9f13e9f40ebb,gaussian,0.25,0,exact,value,self_report,0.020355024463006584,"x0,x1,x2",3.0549009421557276,2.9894479710137825,0.4861191432807104,26.14449853485968,0.06545297114194515,2.011115271912283,2.9894479710137825,0.06545297114194515,hartmann_3
14,0.0,0.5417056551402455,0.8390282764735476,3.0211874896377227,3.1931755639546893,True,0.1719880743169666,logei,0.268490299989935,False,16,3987d769-4a19-4abe-9e6a-9f13e9f40ebb,gaussian,0.25,0,exact,value,self_report,0.03439935023417807,"x0,x1,x2",3.0549009421557276,3.0211874896377227,0.03371345251800495,26.178211987377683,0.03371345251800495,1.8698722848126916,3.0211874896377227,0.03371345251800495,hartmann_3
15,0.0,0.547687022868396,0.842127343382512,3.0329102085178286,3.1591242277034968,True,0.1262140191856682,logei,0.30104289995506406,False,16,3987d769-4a19-4abe-9e6a-9f13e9f40ebb,gaussian,0.25,0,exact,value,self_report,0.009316437790217258,"x0,x1,x2",3.0549009421557276,3.0329102085178286,0.02199073363789905,26.200202721015582,0.02199073363789905,1.7466801814010389,3.0211874896377227,0.03371345251800495,hartmann_3
16,0.4055988026096586,0.5332614826153719,0.8476465828033973,2.9868035855527837,3.371318716508814,True,0.3845151309560304,logei,0.22952649998478591,False,16,3987d769-4a19-4abe-9e6a-9f13e9f40ebb,gaussian,0.25,0,exact,value,self_report,0.02896748970147357,"x0,x1,x2",3.0549009421557276,3.0329102085178286,0.06809735660294391,26.268300077618527,0.02199073363789905,1.641768754851158,2.9868035855527837,0.06809735660294391,hartmann_3
17,1.0,0.5425213415945851,0.8493692606784236,2.685595856340956,2.555392571245589,True,-0.13020328509536716,logei,0.2543236999772489,False,16,3987d769-4a19-4abe-9e6a-9f13e9f40ebb,gaussian,0.25,0,exact,value,self_report,0.01747495508064231,"x0,x1,x2",3.0549009421557276,3.0329102085178286,0.3693050858147715,26.6376051634333,0.02199073363789905,1.566917950790194,2.9868035855527837,0.06809735660294391,hartmann_3
18,0.3418607346837041,0.5416297194829173,0.8482865231988863,3.0157481655372003,3.6704588863523897,True,0.6547107208151894,logei,0.20465740002691746,False,16,3987d769-4a19-4abe-9e6a-9f13e9f40ebb,gaussian,0.25,0,exact,value,self_report,0.187732984972901,"x0,x1,x2",3.0549009421557276,3.0329102085178286,0.03915277661852734,26.67675794005183,0.02199073363789905,1.4820421077806571,3.0157481655372003,0.03915277661852734,hartmann_3
19,0.3675002088173363,0.5428310140354511,0.8523581742094343,3.011522374030843,3.2551455003134744,True,0.24362312628263139,logei,0.2773235999629833,False,16,3987d769-4a19-4abe-9e6a-9f13e9f40ebb,gaussian,0.25,0,exact,value,self_report,0.03242605914645286,"x0,x1,x2",3.0549009421557276,3.0329102085178286,0.04337856812488461,26.720136508176715,0.02199073363789905,1.406322974114564,3.0157481655372003,0.03915277661852734,hartmann_3
20,0.3544975331902483,0.5414045422446156,0.8485792437170607,3.01236507584788,2.6100680231690347,True,-0.4022970526788452,logei,0.2849716999917291,False,16,3987d769-4a19-4abe-9e6a-9f13e9f40ebb,gaussian,0.25,0,exact,value,self_report,0.14855361188224078,"x0,x1,x2",3.0549009421557276,3.0329102085178286,0.04253586630784767,26.762672374484563,0.02199073363789905,1.338133618724228,3.0157481655372003,0.03915277661852734,hartmann_3
21,0.3264795964878566,0.5412561571338814,0.8458758371934395,3.016785027570585,3.3763356851691957,True,0.3595506575986107,logei,0.3236172999604605,False,16,3987d769-4a19-4abe-9e6a-9f13e9f40ebb,gaussian,0.25,0,exact,value,self_report,0.2515334556904725,"x0,x1,x2",3.0549009421557276,3.0329102085178286,0.03811591458514263,26.800788289069704,0.02199073363789905,1.276228013765224,3.0157481655372003,0.03915277661852734,hartmann_3
22,0.3302455246592408,0.5411705464978559,0.845835485981496,3.0157043032157955,2.9562569532299583,True,-0.05944734998583723,logei,0.4617751000332646,False,16,3987d769-4a19-4abe-9e6a-9f13e9f40ebb,gaussian,0.25,0,exact,value,self_report,0.00278314863335054,"x0,x1,x2",3.0549009421557276,3.0329102085178286,0.03919663893993208,26.839984928009635,0.02199073363789905,1.219999314909529,3.0157481655372003,0.03915277661852734,hartmann_3
23,0.0,0.5500336110006567,0.8483521627825993,3.043423187302936,2.3779662716933143,True,-0.6654569156096217,logei,0.2905085000093095,False,16,3987d769-4a19-4abe-9e6a-9f13e9f40ebb,gaussian,0.25,0,exact,value,self_report,0.2034244799201194,"x0,x1,x2",3.0549009421557276,3.043423187302936,0.011477754852791566,26.851462682862426,0.011477754852791566,1.167454899254888,3.0157481655372003,0.03915277661852734,hartmann_3
24,0.0,0.5454734985628805,0.8426856842565398,3.0327491694135267,3.011798825758566,True,-0.020950343654960513,logei,0.24612129997694865,False,16,3987d769-4a19-4abe-9e6a-9f13e9f40ebb,gaussian,0.25,0,exact,value,self_report,0.00027292199526715057,"x0,x1,x2",3.0549009421557276,3.043423187302936,0.022151772742200926,26.873614455604628,0.011477754852791566,1.1197339356501927,3.0157481655372003,0.03915277661852734,hartmann_3
25,0.14822886983903102,0.523083553514174,0.8251460858793758,2.949769283272927,3.406048420545777,True,0.45627913727284986,logei,0.2879548000055365,False,16,3987d769-4a19-4abe-9e6a-9f13e9f40ebb,gaussian,0.25,0,exact,value,self_report,0.11803244252077479,"x0,x1,x2",3.0549009421557276,3.043423187302936,0.1051316588828004,26.97874611448743,0.011477754852791566,1.0791498445794971,3.0157481655372003,0.03915277661852734,hartmann_3
26,0.15592258726215402,0.5207479060270918,0.8225745051067708,2.9312186185365685,3.182264888432253,True,0.25104626989568457,logei,0.23755900003015995,False,16,3987d769-4a19-4abe-9e6a-9f13e9f40ebb,gaussian,0.25,0,exact,value,self_report,0.07479337791875004,"x0,x1,x2",3.0549009421557276,3.043423187302936,0.1236823236191591,27.10242843810659,0.011477754852791566,1.0424010937733303,3.0157481655372003,0.03915277661852734,hartmann_3
27,0.16179048870699367,0.5189958808313344,0.8206422456797611,2.9163379671099223,2.7447298318123874,True,-0.17160813529753494,logei,0.23708520003128797,False,16,3987d769-4a19-4abe-9e6a-9f13e9f40ebb,gaussian,0.25,0,exact,value,self_report,0.02534440837842772,"x0,x1,x2",3.0549009421557276,3.043423187302936,0.13856297504580528,27.240991413152393,0.011477754852791566,1.008925607894533,3.0157481655372003,0.03915277661852734,hartmann_3
28,0.16422236192939577,0.5292647470388296,0.8345516203750395,2.999899546962404,3.0108072643135486,True,0.010907717351144708,logei,0.3041890000458807,False,16,3987d769-4a19-4abe-9e6a-9f13e9f40ebb,gaussian,0.25,0,exact,value,self_report,0.00010635032053793571,"x0,x1,x2",3.0549009421557276,3.043423187302936,0.0550013951933237,27.295992808345716,0.011477754852791566,0.974856886012347,3.0157481655372003,0.03915277661852734,hartmann_3
29,0.18684583638951718,0.5221424042562622,0.8575937615881157,3.007391812074001,2.993874422560307,True,-0.013517389513693967,logei,0.24482159997569397,False,16,3987d769-4a19-4abe-9e6a-9f13e9f40ebb,gaussian,0.25,0,exact,value,self_report,7.10298950195454e-05,"x0,x1,x2",3.0549009421557276,3.043423187302936,0.047509130081726525,27.343501938427444,0.011477754852791566,0.9428793771871532,3.0157481655372003,0.03915277661852734,hartmann_3
30,0.17111249854969673,0.5608872609486558,0.8432806646848875,3.043077651298322,3.0713623923972526,True,0.02828474109893042,logei,0.24372339999536052,False,16,3987d769-4a19-4abe-9e6a-9f13e9f40ebb,gaussian,0.25,0,exact,value,self_report,0.000315798822789977,"x0,x1,x2",3.0549009421557276,3.043423187302936,0.01182329085740541,27.35532522928485,0.011477754852791566,0.911844174309495,3.0157481655372003,0.03915277661852734,hartmann_3
31,0.0,0.38712035517012644,0.4104858567482259,-0.6295459068348276,-0.7603221913482245,True,-0.13077628451339696,logei,0.2304040000308305,False,16,3987d769-4a19-4abe-9e6a-9f13e9f40ebb,gaussian,0.25,0,exact,value,self_report,0.01757839951044443,"x0,x1,x2",3.0549009421557276,3.043423187302936,3.684446848990555,31.039772078275405,0.011477754852791566,1.0012829702669486,3.0157481655372003,0.03915277661852734,hartmann_3
32,0.26852139599385777,0.5875592277647853,0.8459274805232557,2.9956941095820615,2.753810030870412,True,-0.2418840787116494,logei,0.26308000000426546,False,16,3987d769-4a19-4abe-9e6a-9f13e9f40ebb,gaussian,0.25,0,exact,value,self_report,0.0250518307359932,"x0,x1,x2",3.0549009421557276,3.043423187302936,0.0592068325736661,31.09897891084907,0.011477754852791566,0.9718430909640334,3.0157481655372003,0.03915277661852734,hartmann_3
33,1.0,0.0,1.0,-0.8986706747820983,-0.9413755190116854,True,-0.04270484422958709,logei,0.1983201999682933,False,16,3987d769-4a19-4abe-9e6a-9f13e9f40ebb,gaussian,0.25,0,exact,value,self_report,0.0032458239670564606,"x0,x1,x2",3.0549009421557276,3.043423187302936,3.953571616937826,35.0525505277869,0.011477754852791566,1.0621985008420272,3.0157481655372003,0.03915277661852734,hartmann_3
34,0.23815725582827416,0.5784911712200126,0.8454103482053269,3.0193819586748294,2.8729823448291327,True,-0.14639961384569666,logei,0.26939669996500015,False,16,3987d769-4a19-4abe-9e6a-9f13e9f40ebb,gaussian,0.25,0,exact,value,self_report,0.005621371160160326,"x0,x1,x2",3.0549009421557276,3.043423187302936,0.035518983480898214,35.0880695112678,0.011477754852791566,1.0320020444490527,3.0157481655372003,0.03915277661852734,hartmann_3
35,0.0,0.0,0.0,-0.916246405827454,-1.1462518915691107,True,-0.2300054857416567,logei,0.16894340002909303,False,16,3987d769-4a19-4abe-9e6a-9f13e9f40ebb,gaussian,0.25,0,exact,value,self_report,0.03103612442252746,"x0,x1,x2",3.0549009421557276,3.043423187302936,3.9711473479831816,39.05921685925098,0.011477754852791566,1.115977624550028,3.0157481655372003,0.03915277661852734,hartmann_3
36,0.0,1.0,0.36534522317360046,-0.10704369568104927,-0.2963890854657576,True,-0.18934538978470833,logei,0.2530148000223562,False,16,3987d769-4a19-4abe-9e6a-9f13e9f40ebb,gaussian,0.25,0,exact,value,self_report,0.05182382790664032,"x0,x1,x2",3.0549009421557276,3.043423187302936,3.161944637836777,42.221161497087756,0.011477754852791566,1.172810041585771,3.0157481655372003,0.03915277661852734,hartmann_3
37,0.1824576690578884,0.5682124734900517,0.8440332016964458,3.0382968415244944,2.8543959815439734,True,-0.18390085998052097,logei,0.2537446999922395,False,16,3987d769-4a19-4abe-9e6a-9f13e9f40ebb,gaussian,0.25,0,exact,value,self_report,0.01253252698593263,"x0,x1,x2",3.0549009421557276,3.043423187302936,0.016604100631233187,42.23776559771899,0.011477754852791566,1.1415612323707836,3.0157481655372003,0.03915277661852734,hartmann_3
38,0.16839727539474905,0.565131800145318,0.8436299648846636,3.041378740424421,2.937177222694213,True,-0.1042015177302078,logei,0.272927800018806,False,16,3987d769-4a19-4abe-9e6a-9f13e9f40ebb,gaussian,0.25,0,exact,value,self_report,0.008976939483581485,"x0,x1,x2",3.0549009421557276,3.043423187302936,0.013522201731306804,42.251287799450296,0.011477754852791566,1.1118759947223762,3.0157481655372003,0.03915277661852734,hartmann_3
39,0.1592450999362146,0.5631292061509446,0.8433653839100504,3.042841607819986,3.518408771338734,True,0.47556716351874817,logei,0.2416269999812357,False,16,3987d769-4a19-4abe-9e6a-9f13e9f40ebb,gaussian,0.25,0,exact,value,self_report,0.527360489542819,"x0,x1,x2",3.0549009421557276,3.043423187302936,0.012059334335741578,42.263347133786034,0.011477754852791566,1.0836755675329752,3.0157481655372003,0.03915277661852734,hartmann_3
40,0.15994614820878109,0.5632661322669521,0.8433875822572888,3.0427581694406114,2.938936830305883,True,-0.10382133913472824,logei,0.27321289997780696,False,16,3987d769-4a19-4abe-9e6a-9f13e9f40ebb,gaussian,0.25,0,exact,value,self_report,0.008840770185232032,"x0,x1,x2",3.0549009421557276,3.043423187302936,0.012142772715116212,42.27548990650115,0.011477754852791566,1.0568872476625288,3.0157481655372003,0.03915277661852734,hartmann_3
41,0.15170163216367796,0.5614727534635553,0.8431483725765033,3.043734173211198,2.922696790359139,True,-0.12103738285205878,logei,0.22146500000962988,False,16,3987d769-4a19-4abe-9e6a-9f13e9f40ebb,gaussian,0.25,0,exact,value,self_report,0.006665327472774364,"x0,x1,x2",3.0549009421557276,3.043734173211198,0.011166768944529615,42.28665667544568,0.011166768944529615,1.0313818701328215,3.0157481655372003,0.03915277661852734,hartmann_3
42,0.14020404577217874,0.5592160858466544,0.842821216021223,3.044464456537771,3.082643195897379,True,0.03817873935960758,logei,0.24564729997655377,False,16,3987d769-4a19-4abe-9e6a-9f13e9f40ebb,gaussian,0.25,0,exact,value,self_report,0.0022994092675148654,"x0,x1,x2",3.0549009421557276,3.044464456537771,0.010436485617956404,42.297093161063636,0.010436485617956404,1.0070736466919914,3.0157481655372003,0.03915277661852734,hartmann_3
43,0.15489369853266455,0.5623404055821021,0.8432849011430789,3.0433850282865107,2.794756353838778,True,-0.24862867444773284,logei,0.23149049998028204,False,16,3987d769-4a19-4abe-9e6a-9f13e9f40ebb,gaussian,0.25,0,exact,value,self_report,0.06618333605028616,"x0,x1,x2",3.0549009421557276,3.044464456537771,0.01151591386921691,42.30860907493285,0.010436485617956404,0.9839211412775082,3.0157481655372003,0.03915277661852734,hartmann_3
44,0.15271219497943753,0.561822163725277,0.843230107705659,3.0436657259880673,2.949700403109604,True,-0.09396532287846338,logei,0.2305288999923505,False,16,3987d769-4a19-4abe-9e6a-9f13e9f40ebb,gaussian,0.25,0,exact,value,self_report,0.008164113714528465,"x0,x1,x2",3.0549009421557276,3.044464456537771,0.011235216167660322,42.319844291100516,0.010436485617956404,0.9618146429795572,3.0157481655372003,0.03915277661852734,hartmann_3
45,1.0,0.0,0.2971015844637951,-0.7181909919045562,-0.653538817892487,True,0.06465217401206913,logei,0.27318130002822727,False,16,3987d769-4a19-4abe-9e6a-9f13e9f40ebb,gaussian,0.25,0,exact,value,self_report,0.0020807450566857582,"x0,x1,x2",3.0549009421557276,3.044464456537771,3.7730919340602838,46.0929362251608,0.010436485617956404,1.02428747167024,3.0157481655372003,0.03915277661852734,hartmann_3
46,0.1404636257716707,0.5606140439384547,0.8428125334923453,3.043924811893333,2.763006705985548,True,-0.280918105907785,logei,0.27977250004187226,False,16,3987d769-4a19-4abe-9e6a-9f13e9f40ebb,gaussian,0.25,0,exact,value,self_report,0.10747443859283072,"x0,x1,x2",3.0549009421557276,3.044464456537771,0.010976130262394523,46.10391235542319,0.010436485617956404,1.0022589642483302,3.0157481655372003,0.03915277661852734,hartmann_3
47,0.1396208762147362,0.5602620236297496,0.8427918183651641,3.044053724092435,2.8937337242088095,True,-0.15031999988362532,logei,0.37717009999323636,False,16,3987d769-4a19-4abe-9e6a-9f13e9f40ebb,gaussian,0.25,0,exact,value,self_report,0.009491552842195515,"x0,x1,x2",3.0549009421557276,3.044464456537771,0.010847218063292807,46.11475957348648,0.010436485617956404,0.981165097308223,3.0157481655372003,0.03915277661852734,hartmann_3
48,0.12622688055751172,0.5583865473664391,0.8424822201676994,3.044336386992295,2.9176162691708494,True,-0.12672011782144565,logei,0.2939464999944903,False,16,3987d769-4a19-4abe-9e6a-9f13e9f40ebb,gaussian,0.25,0,exact,value,self_report,0.009269401134350024,"x0,x1,x2",3.0549009421557276,3.044464456537771,0.010564555163432576,46.125324128649915,0.010436485617956404,0.9609442526802066,3.0157481655372003,0.03915277661852734,hartmann_3
49,0.11828721834734975,0.5572956388594948,0.8422979146562254,3.0442511824314926,3.1129049443056007,True,0.0686537618741081,logei,0.2883534000138752,False,16,3987d769-4a19-4abe-9e6a-9f13e9f40ebb,gaussian,0.25,0,exact,value,self_report,0.001654293760774367,"x0,x1,x2",3.0549009421557276,3.044464456537771,0.010649759724234986,46.13597388837415,0.010436485617956404,0.9415504875178399,3.0157481655372003,0.03915277661852734,hartmann_3
50,0.12595500467861173,0.5618114707433794,0.8428615946915949,3.043789930509747,3.299647925023347,True,0.25585799451360014,logei,0.2741485000005923,False,16,3987d769-4a19-4abe-9e6a-9f13e9f40ebb,gaussian,0.25,0,exact,value,self_report,0.045016424315294484,"x0,x1,x2",3.0549009421557276,3.044464456537771,0.011111011645980717,46.14708490002013,0.010436485617956404,0.9229416980004026,3.0157481655372003,0.03915277661852734,hartmann_3
