iteration,x0,x1,x2,x3,objective_true,objective_observed,error_applied,error_magnitude,acquisition,fit_time_sec,acq_opt_failed,seed,run_id,error_model,jitter_std,jitter_iteration,oracle_model,objective,observation_noise,known_noise_var,param_columns,y_opt,best_true_so_far,regret_inst_true,regret_cum_true,simple_regret_true,regret_avg_true,inference_value_true,inference_simple_regret_true,dataset
1,5.669168388793651,4.307441454901856,0.9407382546152454,3.4807955043599548,0.6773528817505451,5.725386989536562,True,5.048034107786017,logei,0.0,False,16,8b1fd69a-f6a3-4cd0-9235-db321fd9d401,gaussian,5.0,0,exact,value,self_report,20.54335977008574,"x0,x1,x2,x3",5.402837764670362,0.6773528817505451,4.725484882919816,4.725484882919816,4.725484882919816,4.725484882919816,0.6773528817505451,4.725484882919816,hicks_law
2,6.215090383806794,0.2165500318271052,8.746323779455377,8.540495315269421,-0.12692357944571206,7.719596563603787,True,7.846520143049499,logei,0.0,False,16,8b1fd69a-f6a3-4cd0-9235-db321fd9d401,gaussian,5.0,0,exact,value,self_report,101.63176112309948,"x0,x1,x2,x3",5.402837764670362,0.6773528817505451,5.529761344116074,10.25524622703589,4.725484882919816,5.127623113517945,-0.12692357944571206,5.529761344116074,hicks_law
3,0.44304215788284806,8.024209628659042,1.847951614868486,6.956239148985941,0.7122020007465004,-4.441552724242054,True,-5.153754724988554,logei,0.0,False,16,8b1fd69a-f6a3-4cd0-9235-db321fd9d401,gaussian,5.0,0,exact,value,self_report,11.452017888461492,"x0,x1,x2,x3",5.402837764670362,0.7122020007465004,4.690635763923861,14.945881990959752,4.690635763923861,4.9819606636532505,-0.12692357944571206,5.529761344116074,hicks_law
4,1.550002548656667,6.916197559832665,9.586338310644203,9.849849877499476,-0.9880565693584145,-13.774637273320083,True,-12.786580703961668,logei,0.0,False,16,8b1fd69a-f6a3-4cd0-9235-db321fd9d401,gaussian,5.0,0,exact,value,self_report,136.0701114678683,"x0,x1,x2,x3",5.402837764670362,0.7122020007465004,6.390894334028776,21.336776324988527,4.690635763923861,5.334194081247132,-0.12692357944571206,5.529761344116074,hicks_law
5,6.632952669932003,1.6358816232223694,3.9491064727566982,2.7799521264490146,0.5114617934660467,-2.945369434323443,True,-3.4568312277894897,logei,0.0,False,16,8b1fd69a-f6a3-4cd0-9235-db321fd9d401,gaussian,5.0,0,exact,value,self_report,8.565606619118025,"x0,x1,x2,x3",5.402837764670362,0.7122020007465004,4.891375971204315,26.228152296192842,4.690635763923861,5.245630459238568,-0.12692357944571206,5.529761344116074,hicks_law
6,6.567876691079338,6.656194335803061,0.0,3.0596289833048624,0.8991782137672417,0.5681689710314746,True,-0.33100924273576715,logei,0.193780500034336,False,16,8b1fd69a-f6a3-4cd0-9235-db321fd9d401,gaussian,5.0,0,exact,value,self_report,0.11421677466029395,"x0,x1,x2,x3",5.402837764670362,0.8991782137672417,4.503659550903119,30.731811847095962,4.503659550903119,5.121968641182661,-0.12692357944571206,5.529761344116074,hicks_law
7,5.22556774263038,3.706852523655721,0.0,7.035856726471776,0.8982886780686652,1.869245264981096,True,0.9709565869124308,logei,0.20989779999945313,False,16,8b1fd69a-f6a3-4cd0-9235-db321fd9d401,gaussian,5.0,0,exact,value,self_report,0.7362852774873802,"x0,x1,x2,x3",5.402837764670362,0.8991782137672417,4.504549086601696,35.23636093369766,4.503659550903119,5.033765847671094,-0.12692357944571206,5.529761344116074,hicks_law
8,6.50809205626065,10.0,0.0,10.0,-0.21529135144294864,-1.7813630638817384,True,-1.5660717124387897,logei,0.2118365000351332,False,16,8b1fd69a-f6a3-4cd0-9235-db321fd9d401,gaussian,5.0,0,exact,value,self_report,2.1349178912671074,"x0,x1,x2,x3",5.402837764670362,0.8991782137672417,5.618129116113311,40.85449004981097,4.503659550903119,5.106811256226371,-0.12692357944571206,5.529761344116074,hicks_law
9,10.0,0.0,0.0,10.0,1.4474248714720572,-0.35460255297625665,True,-1.8020274244483139,logei,0.17570369999157265,False,16,8b1fd69a-f6a3-4cd0-9235-db321fd9d401,gaussian,5.0,0,exact,value,self_report,1.1176147960183735,"x0,x1,x2,x3",5.402837764670362,1.4474248714720572,3.9554128931983046,44.80990294300928,3.9554128931983046,4.978878104778809,-0.12692357944571206,5.529761344116074,hicks_law
10,0.0,0.0,0.0,0.0,5.402837764670362,6.842966804003269,True,1.4401290393329074,logei,0.15617739997105673,False,16,8b1fd69a-f6a3-4cd0-9235-db321fd9d401,gaussian,5.0,0,exact,value,self_report,1.1993293014675999,"x0,x1,x2,x3",5.402837764670362,5.402837764670362,0.0,44.80990294300928,0.0,4.480990294300928,-0.12692357944571206,5.529761344116074,hicks_law
