iteration,x0,x1,x2,x3,objective_true,objective_observed,error_applied,error_magnitude,acquisition,fit_time_sec,acq_opt_failed,seed,run_id,error_model,jitter_std,jitter_iteration,oracle_model,objective,observation_noise,known_noise_var,param_columns,y_opt,best_true_so_far,regret_inst_true,regret_cum_true,simple_regret_true,regret_avg_true,inference_value_true,inference_simple_regret_true,dataset
1,3.269722766055607,9.872768433379255,3.1871083848551676,7.88548935820029,-0.7451783695735681,-0.8889054390300981,True,-0.14372706945653002,qnei,0.0,False,8,59f55a7b-4b57-4cd0-9492-be3ec45bd769,gaussian,0.25,0,exact,value,self_report,0.018058620883335128,"x0,x1,x2,x3",5.402837764670362,-0.7451783695735681,6.14801613424393,6.14801613424393,6.14801613424393,6.14801613424393,-0.7451783695735681,6.14801613424393,hicks_law
2,8.69896511696216,3.9108480653919395,4.378818731227988,3.7274890308935307,-0.45245897907849875,-0.522748525466696,True,-0.07028954638819729,qnei,0.0,False,8,59f55a7b-4b57-4cd0-9492-be3ec45bd769,gaussian,0.25,0,exact,value,self_report,0.004185188368245511,"x0,x1,x2,x3",5.402837764670362,-0.45245897907849875,5.855296743748861,12.00331287799279,5.855296743748861,6.001656438996395,-0.45245897907849875,5.855296743748861,hicks_law
3,1.0695359647277436,4.789654541627169,2.413521450846823,2.5714524855112977,1.2921019029701162,0.9382798029203907,True,-0.3538221000497255,qnei,0.0,False,8,59f55a7b-4b57-4cd0-9492-be3ec45bd769,gaussian,0.25,0,exact,value,self_report,0.1628085461661485,"x0,x1,x2,x3",5.402837764670362,1.2921019029701162,4.110735861700245,16.114048739693036,4.110735861700245,5.371349579897679,1.2921019029701162,4.110735861700245,hicks_law
4,1.847315568344149,1.938645489043107,8.13827670155021,4.229841881442264,0.4615077489425049,0.5154219733610663,True,0.05391422441856142,qnei,0.0,False,8,59f55a7b-4b57-4cd0-9492-be3ec45bd769,gaussian,0.25,0,exact,value,self_report,0.001503349514234571,"x0,x1,x2,x3",5.402837764670362,1.2921019029701162,4.941330015727857,21.055378755420893,4.110735861700245,5.263844688855223,1.2921019029701162,4.110735861700245,hicks_law
5,2.5592050515822606,5.909028517654116,6.042722960584558,6.468580270601879,-0.5066769243475129,-0.4485634341403416,True,0.05811349020717127,qnei,0.0,False,8,59f55a7b-4b57-4cd0-9492-be3ec45bd769,gaussian,0.25,0,exact,value,self_report,0.010553784389112617,"x0,x1,x2,x3",5.402837764670362,1.2921019029701162,5.9095146890178745,26.96489344443877,4.110735861700245,5.392978688887753,1.2921019029701162,4.110735861700245,hicks_law
6,0.2082722996449442,0.0,10.0,1.846569194230594,2.406290921268151,2.2040781958443088,True,-0.20221272542384217,qnei,0.1929046000004746,False,8,59f55a7b-4b57-4cd0-9492-be3ec45bd769,gaussian,0.25,0,exact,value,self_report,0.030703408621217242,"x0,x1,x2,x3",5.402837764670362,2.406290921268151,2.9965468434022107,29.96144028784098,2.9965468434022107,4.99357338130683,2.406290921268151,2.9965468434022107,hicks_law
7,0.0,0.0,10.0,0.0,3.42513131807121,3.4752108194527893,True,0.05007950138157913,qnei,0.21646779999719,False,8,59f55a7b-4b57-4cd0-9492-be3ec45bd769,gaussian,0.25,0,exact,value,self_report,0.0013246733963038747,"x0,x1,x2,x3",5.402837764670362,3.42513131807121,1.9777064465991514,31.93914673444013,1.9777064465991514,4.562735247777161,3.42513131807121,1.9777064465991514,hicks_law
8,0.0,10.0,10.0,0.0,1.4474248714720572,1.4777853606304148,True,0.03036048915835754,qnei,0.230587199999718,False,8,59f55a7b-4b57-4cd0-9492-be3ec45bd769,gaussian,0.25,0,exact,value,self_report,0.0005588662954454464,"x0,x1,x2,x3",5.402837764670362,3.42513131807121,3.9554128931983046,35.894559627638436,1.9777064465991514,4.4868199534548046,3.42513131807121,1.9777064465991514,hicks_law
9,0.0,0.0,0.0,0.0,5.402837764670362,5.469894904445717,True,0.06705713977535499,qnei,0.23294720001285896,False,8,59f55a7b-4b57-4cd0-9492-be3ec45bd769,gaussian,0.25,0,exact,value,self_report,0.002545610820437694,"x0,x1,x2,x3",5.402837764670362,5.402837764670362,0.0,35.894559627638436,0.0,3.9882844030709372,5.402837764670362,0.0,hicks_law
10,4.32161522991264,0.0,0.0,0.0,4.0240102844328645,4.350553212341433,True,0.32654292790856854,qnei,0.2303830999881029,False,8,59f55a7b-4b57-4cd0-9492-be3ec45bd769,gaussian,0.25,0,exact,value,self_report,0.0742393378169059,"x0,x1,x2,x3",5.402837764670362,5.402837764670362,1.3788274802374971,37.273387107875934,0.0,3.7273387107875933,5.402837764670362,0.0,hicks_law
11,10.0,0.0,10.0,10.0,-0.5302815751270965,-0.8962875339782521,True,-0.3660059588511556,qnei,0.124878099974012,False,8,59f55a7b-4b57-4cd0-9492-be3ec45bd769,gaussian,0.25,0,exact,value,self_report,0.1158404685743682,"x0,x1,x2,x3",5.402837764670362,5.402837764670362,5.933119339797458,43.20650644767339,0.0,3.9278642225157627,5.402837764670362,0.0,hicks_law
12,3.4853031617085395,7.201881839368975,0.6115739104035844,2.312998932891964,1.0478709267145592,1.3487387410822342,True,0.30086781436767507,qnei,0.14044409999041818,False,8,59f55a7b-4b57-4cd0-9492-be3ec45bd769,gaussian,0.25,0,exact,value,self_report,0.11673763129352062,"x0,x1,x2,x3",5.402837764670362,5.402837764670362,4.354966837955803,47.56147328562919,0.0,3.963456107135766,5.402837764670362,0.0,hicks_law
