iteration,x0,x1,x2,x3,objective_true,objective_observed,error_applied,error_magnitude,acquisition,fit_time_sec,acq_opt_failed,seed,run_id,error_model,jitter_std,jitter_iteration,oracle_model,objective,observation_noise,known_noise_var,param_columns,y_opt,best_true_so_far,regret_inst_true,regret_cum_true,simple_regret_true,regret_avg_true,inference_value_true,inference_simple_regret_true,dataset
1,0.6927433679651523,0.8158171113360575,0.3444067577928567,0.04483817569041881,0.9253361562464695,0.8714694535989335,True,-0.05386670264753601,logei,0.0,False,15,90669eb9-f34c-4812-a4ed-7bf057b596cd,gaussian,0.05,0,exact,value,self_report,0.0023034851311731943,"x0,x1,x2,x3",2.9574997815819173,0.9253361562464695,2.032163625335448,2.032163625335448,2.032163625335448,2.032163625335448,0.9253361562464695,2.032163625335448,moving_peaks
2,0.571597257033731,0.14624542672359753,0.7187713768754712,0.34535650407583973,1.8077517400092717,1.791302040422198,True,-0.016449699587073763,logei,0.0,False,15,90669eb9-f34c-4812-a4ed-7bf057b596cd,gaussian,0.05,0,exact,value,self_report,0.0002224291699696965,"x0,x1,x2,x3",2.9574997815819173,1.8077517400092717,1.1497480415726455,3.1819116669080936,1.1497480415726455,1.5909558334540468,1.8077517400092717,1.1497480415726455,moving_peaks
3,0.4570096756088713,0.9759378873901753,0.7814660277720307,0.8437900452639759,-0.6862025702607194,-0.6801864616963871,True,0.006016108564332323,logei,0.0,False,15,90669eb9-f34c-4812-a4ed-7bf057b596cd,gaussian,0.05,0,exact,value,self_report,4.967523466986354e-05,"x0,x1,x2,x3",2.9574997815819173,1.8077517400092717,3.6437023518426366,6.825614018750731,1.1497480415726455,2.27520467291691,1.8077517400092717,1.1497480415726455,moving_peaks
4,0.5551143840748602,0.9416213625858931,0.018325819375109798,0.8891839058918612,-0.09476822693891783,-0.033406321979411374,True,0.061361904959506455,logei,0.0,False,15,90669eb9-f34c-4812-a4ed-7bf057b596cd,gaussian,0.05,0,exact,value,self_report,0.001957616239028673,"x0,x1,x2,x3",2.9574997815819173,1.8077517400092717,3.052268008520835,9.877882027271566,1.1497480415726455,2.4694705068178915,1.8077517400092717,1.1497480415726455,moving_peaks
5,0.3897584833499136,0.23174012788381404,0.5343942272533609,0.9446902786527566,0.09406028655517867,0.06100503181990258,True,-0.033055254735276096,logei,0.0,False,15,90669eb9-f34c-4812-a4ed-7bf057b596cd,gaussian,0.05,0,exact,value,self_report,0.0005744553079927533,"x0,x1,x2,x3",2.9574997815819173,1.8077517400092717,2.863439495026739,12.741321522298305,1.1497480415726455,2.548264304459661,1.8077517400092717,1.1497480415726455,moving_peaks
6,0.2991989712982324,0.0,1.0,0.2639550825576361,-0.6678071796915744,-0.6249874486686411,True,0.04281973102293335,logei,0.29443429998354986,False,15,90669eb9-f34c-4812-a4ed-7bf057b596cd,gaussian,0.05,0,exact,value,self_report,0.0014004829119748008,"x0,x1,x2,x3",2.9574997815819173,1.8077517400092717,3.6253069612734916,16.366628483571798,1.1497480415726455,2.727771413928633,1.8077517400092717,1.1497480415726455,moving_peaks
7,0.6375525344968266,0.09621586004365944,0.6128140113014309,0.2650320768060963,1.0693133151167633,0.9811604625508227,True,-0.08815285256594063,logei,0.28958560002502054,False,15,90669eb9-f34c-4812-a4ed-7bf057b596cd,gaussian,0.05,0,exact,value,self_report,0.008127696228913503,"x0,x1,x2,x3",2.9574997815819173,1.8077517400092717,1.888186466465154,18.254814950036952,1.1497480415726455,2.607830707148136,1.8077517400092717,1.1497480415726455,moving_peaks
8,0.7664732109428045,0.19385978144469684,0.7447640046497374,0.3758731511930656,1.8707142448565461,1.8745268059135054,True,0.0038125610569592627,logei,0.34323460003361106,False,15,90669eb9-f34c-4812-a4ed-7bf057b596cd,gaussian,0.05,0,exact,value,self_report,1.9330160629278934e-05,"x0,x1,x2,x3",2.9574997815819173,1.8707142448565461,1.0867855367253711,19.341600486762324,1.0867855367253711,2.4177000608452905,1.8707142448565461,1.0867855367253711,moving_peaks
9,0.7614234001838242,0.26233733279070115,0.7382311175325136,0.0,0.9149459752126229,0.977753194757006,True,0.06280721954438306,logei,0.3228898999514058,False,15,90669eb9-f34c-4812-a4ed-7bf057b596cd,gaussian,0.05,0,exact,value,self_report,0.0016336213251096487,"x0,x1,x2,x3",2.9574997815819173,1.8707142448565461,2.0425538063692943,21.38415429313162,1.0867855367253711,2.376017143681291,1.8707142448565461,1.0867855367253711,moving_peaks
10,1.0,0.0645243230376414,0.7424316075738618,0.5175218569029504,-0.24045479777874143,-0.2651210127272121,True,-0.024666214948470683,logei,0.30424839997431263,False,15,90669eb9-f34c-4812-a4ed-7bf057b596cd,gaussian,0.05,0,exact,value,self_report,0.0008269162690680121,"x0,x1,x2,x3",2.9574997815819173,1.8707142448565461,3.1979545793606587,24.582108872492277,1.0867855367253711,2.4582108872492276,1.8707142448565461,1.0867855367253711,moving_peaks
