iteration,x0,x1,x2,x3,objective_true,objective_observed,error_applied,error_magnitude,acquisition,fit_time_sec,acq_opt_failed,seed,run_id,error_model,jitter_std,jitter_iteration,oracle_model,objective,observation_noise,known_noise_var,param_columns,y_opt,best_true_so_far,regret_inst_true,regret_cum_true,simple_regret_true,regret_avg_true,inference_value_true,inference_simple_regret_true,dataset
1,0.2508244581084461,0.9467529428594246,0.1893203845397613,0.1792914104181076,0.07383462332734715,0.07383462332734715,False,0.0,qnei,0.0,False,12,677e3d05-c048-4283-b950-4ece3c8c97d2,gaussian,1.0,20,exact,value,self_report,1e-06,"x0,x1,x2,x3",2.9574997815819173,0.07383462332734715,2.88366515825457,2.88366515825457,2.88366515825457,2.88366515825457,0.07383462332734715,2.88366515825457,moving_peaks
2,0.3498892405959575,0.23054124658990593,0.6704457427727847,0.11507938212344748,0.9232234025278043,0.9232234025278043,False,0.0,qnei,0.0,False,12,677e3d05-c048-4283-b950-4ece3c8c97d2,gaussian,1.0,20,exact,value,self_report,1e-06,"x0,x1,x2,x3",2.9574997815819173,0.9232234025278043,2.0342763790541127,4.917941537308683,2.0342763790541127,2.4589707686543414,0.9232234025278043,2.0342763790541127,moving_peaks
3,0.8963093737046804,0.8581304890839089,0.00282703218662006,0.5414661617187942,-1.0299080647193186,-1.0299080647193186,False,0.0,qnei,0.0,False,12,677e3d05-c048-4283-b950-4ece3c8c97d2,gaussian,1.0,20,exact,value,self_report,1e-06,"x0,x1,x2,x3",2.9574997815819173,0.9232234025278043,3.987407846301236,8.905349383609918,2.0342763790541127,2.9684497945366393,0.9232234025278043,2.0342763790541127,moving_peaks
4,0.10685127402373995,0.2579549587609903,0.4168960406331027,0.4536161218532765,-0.6912467665018129,-0.6912467665018129,False,0.0,qnei,0.0,False,12,677e3d05-c048-4283-b950-4ece3c8c97d2,gaussian,1.0,20,exact,value,self_report,1e-06,"x0,x1,x2,x3",2.9574997815819173,0.9232234025278043,3.6487465480837304,12.554095931693649,2.0342763790541127,3.138523982923412,0.9232234025278043,2.0342763790541127,moving_peaks
5,0.46814659094390065,0.9275167008723263,0.25877108942215044,0.18789021078453794,1.0290962242214798,1.0290962242214798,False,0.0,qnei,0.0,False,12,677e3d05-c048-4283-b950-4ece3c8c97d2,gaussian,1.0,20,exact,value,self_report,1e-06,"x0,x1,x2,x3",2.9574997815819173,1.0290962242214798,1.9284035573604374,14.482499489054087,1.9284035573604374,2.896499897810817,1.0290962242214798,1.9284035573604374,moving_peaks
6,0.4719286205846607,0.37340042083745373,0.8131706000662543,0.0,0.5547788531826283,0.5547788531826283,False,0.0,qnei,0.24421450000954792,False,12,677e3d05-c048-4283-b950-4ece3c8c97d2,gaussian,1.0,20,exact,value,self_report,1e-06,"x0,x1,x2,x3",2.9574997815819173,1.0290962242214798,2.402720928399289,16.885220417453375,1.9284035573604374,2.814203402908896,1.0290962242214798,1.9284035573604374,moving_peaks
7,0.4301517367350582,0.11560867296985917,0.35926077148277163,0.2988140735381986,0.29201543257771867,0.29201543257771867,False,0.0,qnei,0.19779070001095533,False,12,677e3d05-c048-4283-b950-4ece3c8c97d2,gaussian,1.0,20,exact,value,self_report,1e-06,"x0,x1,x2,x3",2.9574997815819173,1.0290962242214798,2.6654843490041986,19.550704766457574,1.9284035573604374,2.7929578237796533,1.0290962242214798,1.9284035573604374,moving_peaks
8,0.4758755438239605,0.7956261378821752,0.6180145540991377,0.14621925837472566,0.0845044826756179,0.0845044826756179,False,0.0,qnei,0.32141160004539415,False,12,677e3d05-c048-4283-b950-4ece3c8c97d2,gaussian,1.0,20,exact,value,self_report,1e-06,"x0,x1,x2,x3",2.9574997815819173,1.0290962242214798,2.8729952989062992,22.423700065363875,1.9284035573604374,2.8029625081704843,1.0290962242214798,1.9284035573604374,moving_peaks
9,0.5062121308818442,0.9242357672564332,0.12561080943420436,0.0817098778936412,0.8209245969508806,0.8209245969508806,False,0.0,qnei,0.3065266999765299,False,12,677e3d05-c048-4283-b950-4ece3c8c97d2,gaussian,1.0,20,exact,value,self_report,1e-06,"x0,x1,x2,x3",2.9574997815819173,1.0290962242214798,2.136575184631037,24.560275249994913,1.9284035573604374,2.7289194722216568,1.0290962242214798,1.9284035573604374,moving_peaks
10,0.4772760122989655,1.0,0.20747053050156408,0.4584845385962345,-0.21168105371079082,-0.21168105371079082,False,0.0,qnei,0.2349042000132613,False,12,677e3d05-c048-4283-b950-4ece3c8c97d2,gaussian,1.0,20,exact,value,self_report,1e-06,"x0,x1,x2,x3",2.9574997815819173,1.0290962242214798,3.169180835292708,27.72945608528762,1.9284035573604374,2.772945608528762,1.0290962242214798,1.9284035573604374,moving_peaks
11,0.5520247781338057,1.0,0.25617110494569484,0.1687803399976892,0.8748780502614641,0.8748780502614641,False,0.0,qnei,0.22399770002812147,False,12,677e3d05-c048-4283-b950-4ece3c8c97d2,gaussian,1.0,20,exact,value,self_report,1e-06,"x0,x1,x2,x3",2.9574997815819173,1.0290962242214798,2.082621731320453,29.812077816608074,1.9284035573604374,2.7101888924189157,1.0290962242214798,1.9284035573604374,moving_peaks
12,0.4876002228231293,0.6685007613402871,0.24504231752901162,0.15690329020839855,2.0936325579258472,2.0936325579258472,False,0.0,qnei,0.34457430004840717,False,12,677e3d05-c048-4283-b950-4ece3c8c97d2,gaussian,1.0,20,exact,value,self_report,1e-06,"x0,x1,x2,x3",2.9574997815819173,2.0936325579258472,0.86386722365607,30.675945040264143,0.86386722365607,2.5563287533553454,2.0936325579258472,0.86386722365607,moving_peaks
13,0.5728140063657166,0.5851879810070055,0.26690513287294,0.13121534504449262,1.1868170197500356,1.1868170197500356,False,0.0,qnei,0.22047170001314953,False,12,677e3d05-c048-4283-b950-4ece3c8c97d2,gaussian,1.0,20,exact,value,self_report,1e-06,"x0,x1,x2,x3",2.9574997815819173,2.0936325579258472,1.7706827618318817,32.446627802096025,0.86386722365607,2.495894446315079,2.0936325579258472,0.86386722365607,moving_peaks
14,0.41855883865813176,0.6627151310747574,0.2229299115195659,0.17342846991930108,1.6954647846806201,1.6954647846806201,False,0.0,qnei,0.23099000001093373,False,12,677e3d05-c048-4283-b950-4ece3c8c97d2,gaussian,1.0,20,exact,value,self_report,1e-06,"x0,x1,x2,x3",2.9574997815819173,2.0936325579258472,1.2620349969012972,33.708662798997324,0.86386722365607,2.407761628499809,2.0936325579258472,0.86386722365607,moving_peaks
15,0.47139355184906373,0.6622073228941923,0.2864067090029902,0.06973257460173884,1.3830502103446094,1.3830502103446094,False,0.0,qnei,0.3241209000116214,False,12,677e3d05-c048-4283-b950-4ece3c8c97d2,gaussian,1.0,20,exact,value,self_report,1e-06,"x0,x1,x2,x3",2.9574997815819173,2.0936325579258472,1.5744495712373079,35.28311237023463,0.86386722365607,2.3522074913489757,2.0936325579258472,0.86386722365607,moving_peaks
16,0.4943932592319641,0.6464796547809265,0.18077333307679677,0.20224626443679414,1.8724305402459671,1.8724305402459671,False,0.0,qnei,0.28073150001000613,False,12,677e3d05-c048-4283-b950-4ece3c8c97d2,gaussian,1.0,20,exact,value,self_report,1e-06,"x0,x1,x2,x3",2.9574997815819173,2.0936325579258472,1.0850692413359502,36.368181611570584,0.86386722365607,2.2730113507231615,2.0936325579258472,0.86386722365607,moving_peaks
