iteration,x0,x1,x2,x3,objective_true,objective_observed,error_applied,error_magnitude,acquisition,fit_time_sec,acq_opt_failed,seed,run_id,error_model,jitter_std,jitter_iteration,oracle_model,objective,observation_noise,known_noise_var,param_columns,y_opt,best_true_so_far,regret_inst_true,regret_cum_true,simple_regret_true,regret_avg_true,inference_value_true,inference_simple_regret_true,dataset
1,4.6694575066007085,-2.993338264789536,3.3632756252111955,-3.591351059640113,-1.505493670994009,6.67817702161721,True,8.18367069261122,logei,0.0,False,10,e4e61075-e879-496b-a8d7-353989e39811,gaussian,5.0,0,exact,value,self_report,24.524589856723896,"x0,x1,x2,x3",3.638939073438052,-1.505493670994009,5.144432744432061,5.144432744432061,5.144432744432061,5.144432744432061,-1.505493670994009,5.144432744432061,rastrigin
2,0.13111927231042397,-3.7281832548300122,1.9357335529587827,3.4994966969577375,0.4328650376496048,3.435775900766938,True,3.002910863117333,logei,0.0,False,10,e4e61075-e879-496b-a8d7-353989e39811,gaussian,5.0,0,exact,value,self_report,2.9684940820736645,"x0,x1,x2,x3",3.638939073438052,0.4328650376496048,3.206074035788447,8.350506780220508,3.206074035788447,4.175253390110254,-1.505493670994009,5.144432744432061,rastrigin
3,-0.7627878665730394,4.67892227536247,3.331408961380334,-1.6566752002910619,-0.793597498364218,1.9844106333783658,True,2.7780081317425838,logei,0.0,False,10,e4e61075-e879-496b-a8d7-353989e39811,gaussian,5.0,0,exact,value,self_report,15.716011414067532,"x0,x1,x2,x3",3.638939073438052,0.4328650376496048,4.43253657180227,12.783043352022778,3.206074035788447,4.261014450674259,-1.505493670994009,5.144432744432061,rastrigin
4,0.7757880109518194,2.5938110946148036,3.3495443151339055,4.438409941520194,-1.2749206251678302,-3.4786020126996116,True,-2.2036813875317813,logei,0.0,False,10,e4e61075-e879-496b-a8d7-353989e39811,gaussian,5.0,0,exact,value,self_report,1.6832057935990936,"x0,x1,x2,x3",3.638939073438052,0.4328650376496048,4.913859698605882,17.69690305062866,3.206074035788447,4.424225762657165,-1.505493670994009,5.144432744432061,rastrigin
5,-3.6352543238530326,2.5147413610899196,-3.693041726793499,4.16285446259637,-1.5351377859513058,-5.607033615284832,True,-4.071895829333527,logei,0.0,False,10,e4e61075-e879-496b-a8d7-353989e39811,gaussian,5.0,0,exact,value,self_report,9.571619888494974,"x0,x1,x2,x3",3.638939073438052,0.4328650376496048,5.174076859389357,22.870979910018015,3.206074035788447,4.574195982003603,-1.505493670994009,5.144432744432061,rastrigin
6,4.605410152718074,-3.9986613476117534,3.6407368257803108,-3.2784867631039902,-1.6257597242875514,-5.617005766478955,True,-3.9912460421914036,logei,0.20819080001092516,False,10,e4e61075-e879-496b-a8d7-353989e39811,gaussian,5.0,0,exact,value,self_report,11.750300213268622,"x0,x1,x2,x3",3.638939073438052,0.4328650376496048,5.264698797725603,28.13567870774362,3.206074035788447,4.6892797846239365,-1.505493670994009,5.144432744432061,rastrigin
7,4.469877070946636,-2.4469093607074437,3.1274011292988053,-3.4033200628689424,-1.6572159596207636,4.974306369141182,True,6.631522328761946,logei,0.3076475000125356,False,10,e4e61075-e879-496b-a8d7-353989e39811,gaussian,5.0,0,exact,value,self_report,41.79994937663196,"x0,x1,x2,x3",3.638939073438052,0.4328650376496048,5.296155033058815,33.43183374080243,3.206074035788447,4.775976248686062,-1.505493670994009,5.144432744432061,rastrigin
8,4.576160281724904,-2.352641084159218,3.137734820776525,-3.5858242333735317,-1.574586417549597,-0.757989315248006,True,0.816597102301591,logei,0.27870070000062697,False,10,e4e61075-e879-496b-a8d7-353989e39811,gaussian,5.0,0,exact,value,self_report,0.6563762381074414,"x0,x1,x2,x3",3.638939073438052,0.4328650376496048,5.2135254909876485,38.64535923179008,3.206074035788447,4.83066990397376,-1.505493670994009,5.144432744432061,rastrigin
9,1.1193593402712065,-5.12,5.12,5.089209182193978,-0.7422165122931812,6.978844036408002,True,7.721060548701184,logei,0.20896190000348724,False,10,e4e61075-e879-496b-a8d7-353989e39811,gaussian,5.0,0,exact,value,self_report,77.0517092535432,"x0,x1,x2,x3",3.638939073438052,0.4328650376496048,4.381155585731233,43.02651481752132,3.206074035788447,4.78072386861348,-0.7422165122931812,4.381155585731233,rastrigin
10,2.302060131098731,-5.12,5.12,5.12,-1.53143308420486,-6.101448603879632,True,-4.570015519674772,logei,0.22125950001645833,False,10,e4e61075-e879-496b-a8d7-353989e39811,gaussian,5.0,0,exact,value,self_report,11.07021801866018,"x0,x1,x2,x3",3.638939073438052,0.4328650376496048,5.170372157642912,48.196886975164226,3.206074035788447,4.819688697516423,-0.7422165122931812,4.381155585731233,rastrigin
