iteration,x0,x1,x2,x3,objective_true,objective_observed,error_applied,error_magnitude,acquisition,fit_time_sec,acq_opt_failed,seed,run_id,error_model,jitter_std,jitter_iteration,oracle_model,objective,observation_noise,known_noise_var,param_columns,y_opt,best_true_so_far,regret_inst_true,regret_cum_true,simple_regret_true,regret_avg_true,inference_value_true,inference_simple_regret_true,dataset
1,0.625095466604667,0.8972138009695755,0.7756856902451935,0.22520718999059186,-0.44300571206653283,-9.04682464950267,True,-8.603818937436136,logei,0.0,False,7,d5181306-31cd-4362-ace3-58612c27b31b,gaussian,5.0,0,exact,value,self_report,14.118489250471804,"x0,x1,x2,x3",1.290375177799024,-0.44300571206653283,1.7333808898655567,1.7333808898655567,1.7333808898655567,1.7333808898655567,-0.44300571206653283,1.7333808898655567,steering_law
2,0.30016628491122543,0.8735534453962619,0.005265304565574724,0.8212284183827663,-1.6789703354766992,7.813375632096871,True,9.49234596757357,logei,0.0,False,7,d5181306-31cd-4362-ace3-58612c27b31b,gaussian,5.0,0,exact,value,self_report,89.8886206936255,"x0,x1,x2,x3",1.290375177799024,-0.44300571206653283,2.969345513275723,4.70272640314128,1.7333808898655567,2.35136320157064,-1.6789703354766992,2.969345513275723,steering_law
3,0.7970694287520462,0.4679349528437208,0.3030324268193135,0.2784256121007733,0.20951670616831453,-0.9414390351740571,True,-1.1509557413423717,logei,0.0,False,7,d5181306-31cd-4362-ace3-58612c27b31b,gaussian,5.0,0,exact,value,self_report,1.8113479167475035,"x0,x1,x2,x3",1.290375177799024,0.20951670616831453,1.0808584716307095,5.783584874771989,1.0808584716307095,1.9278616249239964,-1.6789703354766992,2.969345513275723,steering_law
4,0.2548695876541246,0.4450763058826466,0.5045482589579533,0.5534973520744925,0.2016846240186062,5.554583013666973,True,5.3528983896483675,logei,0.0,False,7,d5181306-31cd-4362-ace3-58612c27b31b,gaussian,5.0,0,exact,value,self_report,16.843392009195746,"x0,x1,x2,x3",1.290375177799024,0.20951670616831453,1.0886905537804177,6.872275428552407,1.0808584716307095,1.7180688571381018,-1.6789703354766992,2.969345513275723,steering_law
5,0.9955002834343927,0.7926619192137531,0.6221792294411627,0.9889601476818849,0.2515146882902269,2.5394592813181713,True,2.2879445930279445,logei,0.0,False,7,d5181306-31cd-4362-ace3-58612c27b31b,gaussian,5.0,0,exact,value,self_report,3.92323577481048,"x0,x1,x2,x3",1.290375177799024,0.2515146882902269,1.0388604895087972,7.911135918061204,1.0388604895087972,1.5822271836122408,-1.6789703354766992,2.969345513275723,steering_law
6,0.24467750072986702,0.5250658108270756,0.22264163327552922,0.7860918293286596,-0.19360398728637843,1.24694688992567,True,1.4405508772120483,logei,0.14796480000950396,False,7,d5181306-31cd-4362-ace3-58612c27b31b,gaussian,5.0,0,exact,value,self_report,1.0275763199184313,"x0,x1,x2,x3",1.290375177799024,0.2515146882902269,1.4839791650854024,9.395115083146607,1.0388604895087972,1.5658525138577677,-1.6789703354766992,2.969345513275723,steering_law
7,0.06896426322203855,0.18658328293395454,0.71165439700782,0.5069375870860477,0.6556983040738463,4.049914655141382,True,3.394216351067536,logei,0.17691190002369694,False,7,d5181306-31cd-4362-ace3-58612c27b31b,gaussian,5.0,0,exact,value,self_report,12.041996126557812,"x0,x1,x2,x3",1.290375177799024,0.6556983040738463,0.6346768737251777,10.029791956871785,0.6346768737251777,1.432827422410255,-1.6789703354766992,2.969345513275723,steering_law
8,0.5619362207583775,0.09434336875839094,0.8945292237340468,0.6259220285149686,1.045447452256698,0.49608941770529635,True,-0.5493580345514018,logei,0.1847225000092294,False,7,d5181306-31cd-4362-ace3-58612c27b31b,gaussian,5.0,0,exact,value,self_report,0.2749547144560357,"x0,x1,x2,x3",1.290375177799024,1.045447452256698,0.2449277255423259,10.27471968241411,0.2449277255423259,1.2843399603017638,-1.6789703354766992,2.969345513275723,steering_law
9,0.0,0.12047835352440489,0.10709538270542404,0.4188408471065573,-2.0538841953163804,-9.188030512257193,True,-7.134146316940813,logei,0.17013179999776185,False,7,d5181306-31cd-4362-ace3-58612c27b31b,gaussian,5.0,0,exact,value,self_report,83.07626142186156,"x0,x1,x2,x3",1.290375177799024,1.045447452256698,3.3442593731154044,13.618979055529515,0.2449277255423259,1.513219895058835,-1.6789703354766992,2.969345513275723,steering_law
10,0.0,0.49372454283064066,0.7994971409939359,0.8227931886161312,0.40772208879661626,-4.3265044345191415,True,-4.734226523315757,logei,0.21148040000116453,False,7,d5181306-31cd-4362-ace3-58612c27b31b,gaussian,5.0,0,exact,value,self_report,14.46000738017143,"x0,x1,x2,x3",1.290375177799024,1.045447452256698,0.8826530890024078,14.501632144531923,0.2449277255423259,1.4501632144531924,-1.6789703354766992,2.969345513275723,steering_law
11,0.9955061087861741,0.9251501188654476,0.0019128603775845812,0.7904836222744268,-0.1286382428130381,-7.403524187585347,True,-7.2748859447723095,logei,0.17997989998548292,False,7,d5181306-31cd-4362-ace3-58612c27b31b,gaussian,5.0,0,exact,value,self_report,80.90489208021035,"x0,x1,x2,x3",1.290375177799024,1.045447452256698,1.4190134206120621,15.920645565143985,0.2449277255423259,1.4473314150130896,-1.6789703354766992,2.969345513275723,steering_law
12,0.42764712470022836,0.377714422792628,0.429915275443821,0.5552918241928879,0.4121184184974492,2.8256974148373404,True,2.4135789963398913,logei,0.25602600001730025,False,7,d5181306-31cd-4362-ace3-58612c27b31b,gaussian,5.0,0,exact,value,self_report,4.651550184140614,"x0,x1,x2,x3",1.290375177799024,1.045447452256698,0.8782567593015749,16.79890232444556,0.2449277255423259,1.39990852703713,-1.6789703354766992,2.969345513275723,steering_law
