iteration,x0,x1,x2,x3,objective_true,objective_observed,error_applied,error_magnitude,acquisition,fit_time_sec,acq_opt_failed,seed,run_id,error_model,jitter_std,jitter_iteration,oracle_model,objective,observation_noise,known_noise_var,param_columns,y_opt,best_true_so_far,regret_inst_true,regret_cum_true,simple_regret_true,regret_avg_true,inference_value_true,inference_simple_regret_true,dataset
1,0.8309833188891115,0.3609466668342566,0.7027393055820549,0.8601187866525944,1.2037780369866071,1.328840712852645,True,0.1250626758660378,qnei,0.0,False,14,6d5fb479-c15d-44c7-a06b-986b55a0268f,gaussian,0.05,0,exact,value,self_report,0.011608777082083455,"x0,x1,x2,x3",2.153305282720616,1.2037780369866071,0.9495272457340087,0.9495272457340087,0.9495272457340087,0.9495272457340087,1.2037780369866071,0.9495272457340087,weber_fechner
2,0.6413174807881646,0.5483632088133139,0.7623134225311933,0.7163143826400404,1.2336924446145252,1.2656498347812166,True,0.03195739016669141,qnei,0.0,False,14,6d5fb479-c15d-44c7-a06b-986b55a0268f,gaussian,0.05,0,exact,value,self_report,0.00044898241824187815,"x0,x1,x2,x3",2.153305282720616,1.2336924446145252,0.9196128381060906,1.8691400838400993,0.9196128381060906,0.9345700419200497,1.2037780369866071,0.9495272457340087,weber_fechner
3,0.467168753910852,0.572458938182647,0.7463223600913117,0.0635639191391969,-0.2221800093509209,-0.18745312352521454,True,0.03472688582570635,qnei,0.0,False,14,6d5fb479-c15d-44c7-a06b-986b55a0268f,gaussian,0.05,0,exact,value,self_report,0.0011760147714893695,"x0,x1,x2,x3",2.153305282720616,1.2336924446145252,2.3754852920715366,4.244625375911636,0.9196128381060906,1.4148751253038787,1.2037780369866071,0.9495272457340087,weber_fechner
4,0.646876042708874,0.7360571428957442,0.39875884512794135,0.5071825303221235,0.8512951498821353,0.9050928797286308,True,0.05379772984649556,qnei,0.0,False,14,6d5fb479-c15d-44c7-a06b-986b55a0268f,gaussian,0.05,0,exact,value,self_report,0.006331799771596862,"x0,x1,x2,x3",2.153305282720616,1.2336924446145252,1.3020101328384805,5.546635508750117,0.9196128381060906,1.3866588771875292,1.2037780369866071,0.9495272457340087,weber_fechner
5,0.228720627763624,0.6501941808471887,0.9712842642006733,0.2987130847246813,0.41406634143428395,0.42106733871823476,True,0.007000997283950816,qnei,0.0,False,14,6d5fb479-c15d-44c7-a06b-986b55a0268f,gaussian,0.05,0,exact,value,self_report,3.025809258843336e-05,"x0,x1,x2,x3",2.153305282720616,1.2336924446145252,1.7392389412863318,7.285874450036449,0.9196128381060906,1.4571748900072898,1.2037780369866071,0.9495272457340087,weber_fechner
6,0.0,0.949654416850795,0.5868755410737725,0.934861874429095,-0.81468429211499,-0.7667923918907679,True,0.047891900224222184,qnei,0.2348954000044614,False,14,6d5fb479-c15d-44c7-a06b-986b55a0268f,gaussian,0.05,0,exact,value,self_report,0.001324565439795415,"x0,x1,x2,x3",2.153305282720616,1.2336924446145252,2.967989574835606,10.253864024872055,0.9196128381060906,1.7089773374786759,1.2037780369866071,0.9495272457340087,weber_fechner
7,0.927682270088764,0.5196588744260431,1.0,0.6919220228889098,1.5417225923629758,1.4500725826152059,True,-0.09165000974776993,qnei,0.3119701000396162,False,14,6d5fb479-c15d-44c7-a06b-986b55a0268f,gaussian,0.05,0,exact,value,self_report,0.02488070049535012,"x0,x1,x2,x3",2.153305282720616,1.5417225923629758,0.61158269035764,10.865446715229695,0.61158269035764,1.5522066736042421,1.5417225923629758,0.61158269035764,weber_fechner
8,0.925876620066774,0.3283255352675832,0.3198154844921447,0.6376839727198337,0.6106520565991114,0.6249652259064445,True,0.014313169307333173,qnei,0.2630831000278704,False,14,6d5fb479-c15d-44c7-a06b-986b55a0268f,gaussian,0.05,0,exact,value,self_report,0.00013307545557018837,"x0,x1,x2,x3",2.153305282720616,1.5417225923629758,1.5426532261215045,12.4080999413512,0.61158269035764,1.5510124926689,1.5417225923629758,0.61158269035764,weber_fechner
9,0.9440342026917153,0.652219219818121,1.0,0.8839971431737755,1.814050588608567,1.872975929241248,True,0.05892534063268107,qnei,0.17543449997901917,False,14,6d5fb479-c15d-44c7-a06b-986b55a0268f,gaussian,0.05,0,exact,value,self_report,0.012473044290838628,"x0,x1,x2,x3",2.153305282720616,1.814050588608567,0.3392546941120489,12.747354635463248,0.3392546941120489,1.4163727372736943,1.814050588608567,0.3392546941120489,weber_fechner
10,0.948648997647813,0.9539976449974098,1.0,0.8550286186796717,2.0101011095049754,1.910252297894103,True,-0.09984881161087245,qnei,0.2586936000152491,False,14,6d5fb479-c15d-44c7-a06b-986b55a0268f,gaussian,0.05,0,exact,value,self_report,0.01165911568627132,"x0,x1,x2,x3",2.153305282720616,2.0101011095049754,0.14320417321564038,12.890558808678888,0.14320417321564038,1.2890558808678887,2.0101011095049754,0.14320417321564038,weber_fechner
11,0.9303863904608878,0.9061720708236097,1.0,1.0,2.0579735861161064,2.0921539515234353,True,0.03418036540732894,qnei,0.33681879995856434,False,14,6d5fb479-c15d-44c7-a06b-986b55a0268f,gaussian,0.05,0,exact,value,self_report,0.0004596364829506867,"x0,x1,x2,x3",2.153305282720616,2.0579735861161064,0.09533169660450946,12.985890505283397,0.09533169660450946,1.1805355004803089,2.0579735861161064,0.09533169660450946,weber_fechner
12,0.8066347540296362,1.0,1.0,1.0,2.033368345980533,2.0109104837195133,True,-0.022457862261019645,qnei,0.24892400001408532,False,14,6d5fb479-c15d-44c7-a06b-986b55a0268f,gaussian,0.05,0,exact,value,self_report,0.00035819539747406116,"x0,x1,x2,x3",2.153305282720616,2.0579735861161064,0.11993693674008288,13.105827442023479,0.09533169660450946,1.09215228683529,2.0579735861161064,0.09533169660450946,weber_fechner
13,0.9710261909875652,1.0,1.0,1.0,2.1368783926433776,2.1459815826388513,True,0.00910318999547366,qnei,0.2759502999833785,False,14,6d5fb479-c15d-44c7-a06b-986b55a0268f,gaussian,0.05,0,exact,value,self_report,0.0001324666138234969,"x0,x1,x2,x3",2.153305282720616,2.1368783926433776,0.016426890077238188,13.122254332100717,0.016426890077238188,1.0094041793923627,2.1368783926433776,0.016426890077238188,weber_fechner
14,0.9954667358752354,1.0,0.7058855471742405,1.0,1.956517635585955,1.9389087566548164,True,-0.017608878931138605,qnei,0.2433469999814406,False,14,6d5fb479-c15d-44c7-a06b-986b55a0268f,gaussian,0.05,0,exact,value,self_report,0.000485363882825034,"x0,x1,x2,x3",2.153305282720616,2.1368783926433776,0.1967876471346608,13.319041979235378,0.016426890077238188,0.9513601413739555,2.1368783926433776,0.016426890077238188,weber_fechner
15,0.741075908792858,0.10850096072188109,0.8845013325411387,0.9017925100204478,0.6505409050388989,0.5430663838064329,True,-0.10747452123246604,qnei,0.14478100003907457,False,14,6d5fb479-c15d-44c7-a06b-986b55a0268f,gaussian,0.05,0,exact,value,self_report,0.021574998590400143,"x0,x1,x2,x3",2.153305282720616,2.1368783926433776,1.502764377681717,14.821806356917094,0.016426890077238188,0.988120423794473,2.1368783926433776,0.016426890077238188,weber_fechner
