iteration,x0,x1,x2,x3,objective_true,objective_observed,error_applied,error_magnitude,acquisition,fit_time_sec,acq_opt_failed,seed,run_id,error_model,jitter_std,jitter_iteration,oracle_model,objective,observation_noise,known_noise_var,param_columns,y_opt,best_true_so_far,regret_inst_true,regret_cum_true,simple_regret_true,regret_avg_true,inference_value_true,inference_simple_regret_true,dataset
1,0.9560017096289753,0.20768181007914688,0.8284448852745308,0.14928212308202027,-1.6806185785061696,-2.165522413240412,True,-0.48490383473424226,logei,0.0,False,10,0fc5addf-2ae8-4627-854a-a536170145df,gaussian,1.0,0,exact,value,self_report,0.08610268605184364,"x0,x1,x2,x3",3.5354125437868587,-1.6806185785061696,5.216031122293028,5.216031122293028,5.216031122293028,5.216031122293028,-1.6806185785061696,5.216031122293028,yerkes_dodson
2,0.5128046164365648,0.13591960402050662,0.6890364797811311,0.841747724312279,0.10312950119280213,-0.7190286789473298,True,-0.822158180140132,logei,0.0,False,10,0fc5addf-2ae8-4627-854a-a536170145df,gaussian,1.0,0,exact,value,self_report,0.2225164229468076,"x0,x1,x2,x3",3.5354125437868587,0.10312950119280213,3.4322830425940567,8.648314164887084,3.4322830425940567,4.324157082443542,0.10312950119280213,3.4322830425940567,yerkes_dodson
3,0.4255089974049766,0.9569260034533662,0.8253329063847983,0.338215312471576,0.06387010951413295,-2.486077100198422,True,-2.549947209712555,logei,0.0,False,10,0fc5addf-2ae8-4627-854a-a536170145df,gaussian,1.0,0,exact,value,self_report,13.241515380626257,"x0,x1,x2,x3",3.5354125437868587,0.10312950119280213,3.4715424342727257,12.11985659915981,3.4322830425940567,4.039952199719937,0.10312950119280213,3.4322830425940567,yerkes_dodson
4,0.5757605479445136,0.7533018647084769,0.8271039370247955,0.9334384708515814,-0.38787478938887227,-0.5200534182128655,True,-0.13217862882399328,logei,0.0,False,10,0fc5addf-2ae8-4627-854a-a536170145df,gaussian,1.0,0,exact,value,self_report,0.006055668525843643,"x0,x1,x2,x3",3.5354125437868587,0.10312950119280213,3.9232873331757308,16.04314393233554,3.4322830425940567,4.010785983083885,-0.38787478938887227,3.9232873331757308,yerkes_dodson
5,0.1449946949362273,0.7455802110439375,0.13935139386782236,0.9065287561129268,-1.5560653927689365,-0.28575377241226474,True,1.2703116203566718,logei,0.0,False,10,0fc5addf-2ae8-4627-854a-a536170145df,gaussian,1.0,0,exact,value,self_report,0.9315639360901896,"x0,x1,x2,x3",3.5354125437868587,0.10312950119280213,5.091477936555795,21.134621868891333,3.4322830425940567,4.2269243737782665,-1.5560653927689365,5.091477936555795,yerkes_dodson
6,0.0,1.0,0.5703475886648296,1.0,-0.8426592783445038,-1.8624090110810667,True,-1.019749732736563,logei,0.16102889998001046,False,10,0fc5addf-2ae8-4627-854a-a536170145df,gaussian,1.0,0,exact,value,self_report,0.7670420291853596,"x0,x1,x2,x3",3.5354125437868587,0.10312950119280213,4.378071822131362,25.512693691022697,3.4322830425940567,4.25211561517045,-1.5560653927689365,5.091477936555795,yerkes_dodson
7,0.587939461430085,0.8399546829282558,0.13535602121690088,0.9510705158200946,-0.7374964500940046,-0.12079438852541746,True,0.6167020615685871,logei,0.2405049999943003,False,10,0fc5addf-2ae8-4627-854a-a536170145df,gaussian,1.0,0,exact,value,self_report,0.3614931596207119,"x0,x1,x2,x3",3.5354125437868587,0.10312950119280213,4.272908993880863,29.78560268490356,3.4322830425940567,4.255086097843366,-0.7374964500940046,4.272908993880863,yerkes_dodson
8,0.8012285415211665,0.7050691390467767,0.0,1.0,-1.3718675650392185,-2.660975786436616,True,-1.2891082213973974,logei,0.2205637999868486,False,10,0fc5addf-2ae8-4627-854a-a536170145df,gaussian,1.0,0,exact,value,self_report,1.6357462669304186,"x0,x1,x2,x3",3.5354125437868587,0.10312950119280213,4.907280108826077,34.69288279372964,3.4322830425940567,4.336610349216205,-0.7374964500940046,4.272908993880863,yerkes_dodson
9,0.41010023775271665,0.9773247561414968,0.0,0.9435185334541039,-0.9120625218068094,-1.810990870816448,True,-0.8989283490096386,logei,0.26526190000004135,False,10,0fc5addf-2ae8-4627-854a-a536170145df,gaussian,1.0,0,exact,value,self_report,1.0444280192346291,"x0,x1,x2,x3",3.5354125437868587,0.10312950119280213,4.447475065593668,39.1403578593233,3.4322830425940567,4.348928651035923,-0.7374964500940046,4.272908993880863,yerkes_dodson
10,0.48112652431807956,1.0,0.6328468490078032,0.7223580806876407,0.7109107784203996,1.488738524886871,True,0.7778277464664713,logei,0.22437569999601692,False,10,0fc5addf-2ae8-4627-854a-a536170145df,gaussian,1.0,0,exact,value,self_report,0.32069167531415893,"x0,x1,x2,x3",3.5354125437868587,0.7109107784203996,2.824501765366459,41.96485962468976,2.824501765366459,4.196485962468976,0.7109107784203996,2.824501765366459,yerkes_dodson
