iteration,x0,x1,objective_true,objective_observed,objective_true_deployed,input_error_l2,input_error_applied,error_applied,error_magnitude,acquisition,fit_time_sec,acq_opt_failed,seed,run_id,error_model,jitter_std,jitter_iteration,oracle_model,objective,observation_noise,known_noise_var,param_columns,y_opt,best_true_so_far,regret_inst_true,regret_cum_true,simple_regret_true,regret_avg_true,inference_value_true,inference_simple_regret_true,dataset
1,3.269722766055607,9.872768433379255,-1.587991309213067,-1.587991309213067,-1.587991309213067,0.0,False,False,0.0,random,0.0,False,8,0bebba8d-a518-4bda-923e-6e684386696a,misclick,0.4,20,exact,value,learned,1e-06,"x0,x1",1.2500554659000687,-1.587991309213067,2.8380467751131357,2.8380467751131357,2.8380467751131357,2.8380467751131357,-1.587991309213067,2.8380467751131357,branin
2,3.1871083848551676,7.88548935820029,-0.2758751336528205,-0.2758751336528205,-0.2758751336528205,0.0,False,False,0.0,random,0.0,False,8,0bebba8d-a518-4bda-923e-6e684386696a,misclick,0.4,20,exact,value,learned,1e-06,"x0,x1",1.2500554659000687,-0.2758751336528205,1.5259305995528891,4.363977374666025,1.5259305995528891,2.1819886873330123,-0.2758751336528205,1.5259305995528891,branin
3,8.69896511696216,3.9108480653919395,0.9466005748160842,0.9466005748160842,0.9466005748160842,0.0,False,False,0.0,random,0.0,False,8,0bebba8d-a518-4bda-923e-6e684386696a,misclick,0.4,20,exact,value,learned,1e-06,"x0,x1",1.2500554659000687,0.9466005748160842,0.3034548910839845,4.667432265750009,0.3034548910839845,1.5558107552500031,0.9466005748160842,0.3034548910839845,branin
4,4.378818731227988,3.7274890308935307,0.7051912849198183,0.7051912849198183,0.7051912849198183,0.0,False,False,0.0,random,0.0,False,8,0bebba8d-a518-4bda-923e-6e684386696a,misclick,0.4,20,exact,value,learned,1e-06,"x0,x1",1.2500554659000687,0.9466005748160842,0.5448641809802504,5.21229644673026,0.3034548910839845,1.303074111682565,0.9466005748160842,0.3034548910839845,branin
5,1.0695359647277436,4.789654541627169,0.5640184516399775,0.5640184516399775,0.5640184516399775,0.0,False,False,0.0,random,0.0,False,8,0bebba8d-a518-4bda-923e-6e684386696a,misclick,0.4,20,exact,value,learned,1e-06,"x0,x1",1.2500554659000687,0.9466005748160842,0.6860370142600911,5.898333460990351,0.3034548910839845,1.17966669219807,0.9466005748160842,0.3034548910839845,branin
6,2.413521450846823,2.5714524855112977,1.1280155414400028,1.1280155414400028,1.1280155414400028,0.0,False,False,0.0,random,0.0,False,8,0bebba8d-a518-4bda-923e-6e684386696a,misclick,0.4,20,exact,value,learned,1e-06,"x0,x1",1.2500554659000687,1.1280155414400028,0.12203992446006584,6.020373385450417,0.12203992446006584,1.003395564241736,1.1280155414400028,0.12203992446006584,branin
7,1.847315568344149,1.938645489043107,0.7991858833018366,0.7991858833018366,0.7991858833018366,0.0,False,False,0.0,random,0.0,False,8,0bebba8d-a518-4bda-923e-6e684386696a,misclick,0.4,20,exact,value,learned,1e-06,"x0,x1",1.2500554659000687,1.1280155414400028,0.45086958259823207,6.4712429680486485,0.12203992446006584,0.9244632811498069,1.1280155414400028,0.12203992446006584,branin
8,8.13827670155021,4.229841881442264,0.589320795155374,0.589320795155374,0.589320795155374,0.0,False,False,0.0,random,0.0,False,8,0bebba8d-a518-4bda-923e-6e684386696a,misclick,0.4,20,exact,value,learned,1e-06,"x0,x1",1.2500554659000687,1.1280155414400028,0.6607346707446946,7.131977638793343,0.12203992446006584,0.8914972048491678,1.1280155414400028,0.12203992446006584,branin
9,2.5592050515822606,5.909028517654116,0.7036244234422532,0.7036244234422532,0.7036244234422532,0.0,False,False,0.0,random,0.0,False,8,0bebba8d-a518-4bda-923e-6e684386696a,misclick,0.4,20,exact,value,learned,1e-06,"x0,x1",1.2500554659000687,1.1280155414400028,0.5464310424578155,7.678408681251158,0.12203992446006584,0.8531565201390175,1.1280155414400028,0.12203992446006584,branin
10,6.042722960584558,6.468580270601879,-1.0352739894746152,-1.0352739894746152,-1.0352739894746152,0.0,False,False,0.0,random,0.0,False,8,0bebba8d-a518-4bda-923e-6e684386696a,misclick,0.4,20,exact,value,learned,1e-06,"x0,x1",1.2500554659000687,1.1280155414400028,2.2853294553746837,9.963738136625842,0.12203992446006584,0.9963738136625843,1.1280155414400028,0.12203992446006584,branin
11,9.11356380448524,1.5020611196196842,1.2029674059927036,1.2029674059927036,1.2029674059927036,0.0,False,False,0.0,random,0.0,False,8,0bebba8d-a518-4bda-923e-6e684386696a,misclick,0.4,20,exact,value,learned,1e-06,"x0,x1",1.2500554659000687,1.2029674059927036,0.04708805990736509,10.010826196533207,0.04708805990736509,0.9100751087757462,1.2029674059927036,0.04708805990736509,branin
12,3.713871284423962,2.8462063751081255,1.131321930067796,1.131321930067796,1.131321930067796,0.0,False,False,0.0,random,0.0,False,8,0bebba8d-a518-4bda-923e-6e684386696a,misclick,0.4,20,exact,value,learned,1e-06,"x0,x1",1.2500554659000687,1.2029674059927036,0.11873353583227275,10.12955973236548,0.04708805990736509,0.8441299776971234,1.2029674059927036,0.04708805990736509,branin
13,0.16782052324450736,1.8155393736272951,-0.39837092326753004,-0.39837092326753004,-0.39837092326753004,0.0,False,False,0.0,random,0.0,False,8,0bebba8d-a518-4bda-923e-6e684386696a,misclick,0.4,20,exact,value,learned,1e-06,"x0,x1",1.2500554659000687,1.2029674059927036,1.6484263891675988,11.777986121533079,0.04708805990736509,0.9059989324256215,1.2029674059927036,0.04708805990736509,branin
14,3.9466858129860283,3.9331071008632423,0.8768890049084928,0.8768890049084928,0.8768890049084928,0.0,False,False,0.0,random,0.0,False,8,0bebba8d-a518-4bda-923e-6e684386696a,misclick,0.4,20,exact,value,learned,1e-06,"x0,x1",1.2500554659000687,1.2029674059927036,0.3731664609915759,12.151152582524656,0.04708805990736509,0.8679394701803326,1.2029674059927036,0.04708805990736509,branin
15,6.16727944407001,4.5226652882714635,-0.2272384431277587,-0.2272384431277587,-0.2272384431277587,0.0,False,False,0.0,random,0.0,False,8,0bebba8d-a518-4bda-923e-6e684386696a,misclick,0.4,20,exact,value,learned,1e-06,"x0,x1",1.2500554659000687,1.2029674059927036,1.4772939090278274,13.628446491552483,0.04708805990736509,0.9085630994368322,1.2029674059927036,0.04708805990736509,branin
16,6.073306675714749,2.230599854133728,0.27976723862277947,0.27976723862277947,0.27976723862277947,0.0,False,False,0.0,random,0.0,False,8,0bebba8d-a518-4bda-923e-6e684386696a,misclick,0.4,20,exact,value,learned,1e-06,"x0,x1",1.2500554659000687,1.2029674059927036,0.9702882272772893,14.598734718829771,0.04708805990736509,0.9124209199268607,1.2029674059927036,0.04708805990736509,branin
17,1.3398713179937904,3.2928937671175387,0.6541975032424227,0.6541975032424227,0.6541975032424227,0.0,False,False,0.0,random,0.0,False,8,0bebba8d-a518-4bda-923e-6e684386696a,misclick,0.4,20,exact,value,learned,1e-06,"x0,x1",1.2500554659000687,1.2029674059927036,0.595857962657646,15.194592681487418,0.04708805990736509,0.8937995694992599,1.2029674059927036,0.04708805990736509,branin
18,0.9610843352814702,3.6583991466779597,0.48585100169866086,0.48585100169866086,0.48585100169866086,0.0,False,False,0.0,random,0.0,False,8,0bebba8d-a518-4bda-923e-6e684386696a,misclick,0.4,20,exact,value,learned,1e-06,"x0,x1",1.2500554659000687,1.2029674059927036,0.7642044642014079,15.958797145688825,0.04708805990736509,0.886599841427157,1.2029674059927036,0.04708805990736509,branin
19,4.601793074899579,7.189886438895141,-0.7566518669709421,-0.7566518669709421,-0.7566518669709421,0.0,False,False,0.0,random,0.0,False,8,0bebba8d-a518-4bda-923e-6e684386696a,misclick,0.4,20,exact,value,learned,1e-06,"x0,x1",1.2500554659000687,1.2029674059927036,2.0067073328710108,17.965504478559836,0.04708805990736509,0.945552867292623,1.2029674059927036,0.04708805990736509,branin
20,8.670248693354129,0.518356525166741,1.03236770533049,1.03236770533049,1.03236770533049,0.0,False,False,0.0,random,0.0,False,8,0bebba8d-a518-4bda-923e-6e684386696a,misclick,0.4,20,exact,value,learned,1e-06,"x0,x1",1.2500554659000687,1.2029674059927036,0.21768776056957861,18.183192239129415,0.04708805990736509,0.9091596119564708,1.2029674059927036,0.04708805990736509,branin
21,9.560959106658995,7.201014252153678,0.22925561961222993,0.22925561961222993,0.22925561961222993,0.0,False,True,0.0,random,0.0,False,8,0bebba8d-a518-4bda-923e-6e684386696a,misclick,0.4,20,exact,value,learned,1e-06,"x0,x1",1.2500554659000687,1.2029674059927036,1.0207998462878387,19.203992085417255,0.04708805990736509,0.9144758135912978,1.2029674059927036,0.04708805990736509,branin
22,9.887735986731542,1.1877710929829022,0.7439203632576401,0.7439203632576401,1.0624846691210463,8.039148217751846,True,True,0.0,random,0.0,False,8,0bebba8d-a518-4bda-923e-6e684386696a,misclick,0.4,20,exact,value,learned,1e-06,"x0,x1",1.2500554659000687,1.2029674059927036,0.5061351026424286,19.710127188059683,0.04708805990736509,0.895914872184531,1.2029674059927036,0.04708805990736509,branin
23,3.7502175569829954,5.022540119050812,0.6852955345607638,0.6852955345607638,0.6852955345607638,0.0,False,True,0.0,random,0.0,False,8,0bebba8d-a518-4bda-923e-6e684386696a,misclick,0.4,20,exact,value,learned,1e-06,"x0,x1",1.2500554659000687,1.2029674059927036,0.5647599313393049,20.27488711939899,0.04708805990736509,0.881516831278217,1.2029674059927036,0.04708805990736509,branin
24,7.472234620184785,3.110309498232615,0.4659984803445219,0.4659984803445219,0.4659984803445219,0.0,False,True,0.0,random,0.0,False,8,0bebba8d-a518-4bda-923e-6e684386696a,misclick,0.4,20,exact,value,learned,1e-06,"x0,x1",1.2500554659000687,1.2029674059927036,0.7840569855555468,21.058944104954538,0.04708805990736509,0.8774560043731058,1.2029674059927036,0.04708805990736509,branin
25,4.499042760845989,2.761593526006465,0.8060350392833171,0.8060350392833171,0.8060350392833171,0.0,False,True,0.0,random,0.0,False,8,0bebba8d-a518-4bda-923e-6e684386696a,misclick,0.4,20,exact,value,learned,1e-06,"x0,x1",1.2500554659000687,1.2029674059927036,0.44402042661675156,21.50296453157129,0.04708805990736509,0.8601185812628516,1.2029674059927036,0.04708805990736509,branin
26,4.491651627010732,5.09974007901371,1.0694573437374224,1.0694573437374224,0.2562741947346977,4.301746310531778,True,True,0.0,random,0.0,False,8,0bebba8d-a518-4bda-923e-6e684386696a,misclick,0.4,20,exact,value,learned,1e-06,"x0,x1",1.2500554659000687,1.2029674059927036,0.18059812216264626,21.683562653733937,0.04708805990736509,0.8339831789897668,1.2029674059927036,0.04708805990736509,branin
27,5.650279397645245,7.041907150920404,-1.251812587636942,-1.251812587636942,-1.251812587636942,0.0,False,True,0.0,random,0.0,False,8,0bebba8d-a518-4bda-923e-6e684386696a,misclick,0.4,20,exact,value,learned,1e-06,"x0,x1",1.2500554659000687,1.2029674059927036,2.5018680535370104,24.185430707270946,0.04708805990736509,0.8957566928618869,1.2029674059927036,0.04708805990736509,branin
28,2.4181998657881287,6.304904817854313,0.9000202709641533,0.9000202709641533,0.5823214834053725,3.2761243198681127,True,True,0.0,random,0.0,False,8,0bebba8d-a518-4bda-923e-6e684386696a,misclick,0.4,20,exact,value,learned,1e-06,"x0,x1",1.2500554659000687,1.2029674059927036,0.3500351949359154,24.535465902206862,0.04708805990736509,0.8762666393645308,1.2029674059927036,0.04708805990736509,branin
29,0.9014617866131558,6.1104196443224215,0.4061176160830064,0.4061176160830064,0.4061176160830064,0.0,False,True,0.0,random,0.0,False,8,0bebba8d-a518-4bda-923e-6e684386696a,misclick,0.4,20,exact,value,learned,1e-06,"x0,x1",1.2500554659000687,1.2029674059927036,0.8439378498170622,25.379403752023926,0.04708805990736509,0.8751518535180665,1.2029674059927036,0.04708805990736509,branin
30,4.590375943814291,1.3485422157411453,0.846222366597543,0.846222366597543,0.846222366597543,0.0,False,True,0.0,random,0.0,False,8,0bebba8d-a518-4bda-923e-6e684386696a,misclick,0.4,20,exact,value,learned,1e-06,"x0,x1",1.2500554659000687,1.2029674059927036,0.40383309930252564,25.78323685132645,0.04708805990736509,0.8594412283775483,1.2029674059927036,0.04708805990736509,branin
31,2.5669475793344865,0.6487322037921994,0.0051666452229410294,0.0051666452229410294,0.9617439586073601,2.2209253173450834,True,True,0.0,random,0.0,False,8,0bebba8d-a518-4bda-923e-6e684386696a,misclick,0.4,20,exact,value,learned,1e-06,"x0,x1",1.2500554659000687,1.2029674059927036,1.2448888206771276,27.028125672003576,0.04708805990736509,0.8718750216775347,1.2029674059927036,0.04708805990736509,branin
32,3.7232196260785386,4.037796818421797,0.9485731400312293,0.9485731400312293,0.9485731400312293,0.0,False,True,0.0,random,0.0,False,8,0bebba8d-a518-4bda-923e-6e684386696a,misclick,0.4,20,exact,value,learned,1e-06,"x0,x1",1.2500554659000687,1.2029674059927036,0.3014823258688394,27.329607997872415,0.04708805990736509,0.854050249933513,1.2029674059927036,0.04708805990736509,branin
33,4.887823985103782,0.6985739658056511,0.6925804917128396,0.6925804917128396,0.6925804917128396,0.0,False,True,0.0,random,0.0,False,8,0bebba8d-a518-4bda-923e-6e684386696a,misclick,0.4,20,exact,value,learned,1e-06,"x0,x1",1.2500554659000687,1.2029674059927036,0.557474974187229,27.887082972059645,0.04708805990736509,0.8450631203654437,1.2029674059927036,0.04708805990736509,branin
34,7.156829698612962,3.18933607129104,0.31106264402092787,0.31106264402092787,0.31106264402092787,0.0,False,True,0.0,random,0.0,False,8,0bebba8d-a518-4bda-923e-6e684386696a,misclick,0.4,20,exact,value,learned,1e-06,"x0,x1",1.2500554659000687,1.2029674059927036,0.9389928218791408,28.826075793938784,0.04708805990736509,0.8478257586452583,1.2029674059927036,0.04708805990736509,branin
35,2.8180362257344105,8.913654203826432,-0.7174567085709185,-0.7174567085709185,-0.7174567085709185,0.0,False,True,0.0,random,0.0,False,8,0bebba8d-a518-4bda-923e-6e684386696a,misclick,0.4,20,exact,value,learned,1e-06,"x0,x1",1.2500554659000687,1.2029674059927036,1.9675121744709871,30.79358796840977,0.04708805990736509,0.879816799097422,1.2029674059927036,0.04708805990736509,branin
36,6.011123336801122,6.586733536551222,-1.0924081724727843,-1.0924081724727843,-1.0924081724727843,0.0,False,True,0.0,random,0.0,False,8,0bebba8d-a518-4bda-923e-6e684386696a,misclick,0.4,20,exact,value,learned,1e-06,"x0,x1",1.2500554659000687,1.2029674059927036,2.3424636383728528,33.13605160678262,0.04708805990736509,0.9204458779661839,1.2029674059927036,0.04708805990736509,branin
37,5.31422441488708,2.161970649939531,0.716096533021321,0.716096533021321,0.485164641717975,0.8121798563119532,True,True,0.0,random,0.0,False,8,0bebba8d-a518-4bda-923e-6e684386696a,misclick,0.4,20,exact,value,learned,1e-06,"x0,x1",1.2500554659000687,1.2029674059927036,0.5339589328787476,33.67001053966137,0.04708805990736509,0.9100002848557127,1.2029674059927036,0.04708805990736509,branin
38,1.5086429423376224,1.8414657885742036,0.5605503278149786,0.5605503278149786,0.5605503278149786,0.0,False,True,0.0,random,0.0,False,8,0bebba8d-a518-4bda-923e-6e684386696a,misclick,0.4,20,exact,value,learned,1e-06,"x0,x1",1.2500554659000687,1.2029674059927036,0.6895051380850901,34.35951567774646,0.04708805990736509,0.9041977809933278,1.2029674059927036,0.04708805990736509,branin
39,3.4068432043519357,1.7005881864777384,1.2271944916007225,1.2271944916007225,1.2271944916007225,0.0,False,True,0.0,random,0.0,False,8,0bebba8d-a518-4bda-923e-6e684386696a,misclick,0.4,20,exact,value,learned,1e-06,"x0,x1",1.2500554659000687,1.2271944916007225,0.022860974299346193,34.38237665204581,0.022860974299346193,0.8815994013345079,1.2271944916007225,0.022860974299346193,branin
40,4.777832453535927,9.673686969994442,-2.559496854098953,-2.559496854098953,-2.559496854098953,0.0,False,True,0.0,random,0.0,False,8,0bebba8d-a518-4bda-923e-6e684386696a,misclick,0.4,20,exact,value,learned,1e-06,"x0,x1",1.2500554659000687,1.2271944916007225,3.809552319999022,38.19192897204483,0.022860974299346193,0.9547982243011207,1.2271944916007225,0.022860974299346193,branin
41,7.395751466563604,3.1094259068409915,0.42972356209031715,0.42972356209031715,0.42972356209031715,0.0,False,True,0.0,random,0.0,False,8,0bebba8d-a518-4bda-923e-6e684386696a,misclick,0.4,20,exact,value,learned,1e-06,"x0,x1",1.2500554659000687,1.2271944916007225,0.8203319038097515,39.01226087585458,0.022860974299346193,0.9515185579476727,1.2271944916007225,0.022860974299346193,branin
42,3.064566682924059,7.821136862164224,-0.9024395791358343,-0.9024395791358343,-0.19130524653552478,3.281932367413986,True,True,0.0,random,0.0,False,8,0bebba8d-a518-4bda-923e-6e684386696a,misclick,0.4,20,exact,value,learned,1e-06,"x0,x1",1.2500554659000687,1.2271944916007225,2.152495045035903,41.164755920890485,0.022860974299346193,0.9801132362116782,1.2271944916007225,0.022860974299346193,branin
43,9.744879794871709,6.144686070729244,-0.08639308374671434,-0.08639308374671434,0.6778707252644054,5.017186327564692,True,True,0.0,random,0.0,False,8,0bebba8d-a518-4bda-923e-6e684386696a,misclick,0.4,20,exact,value,learned,1e-06,"x0,x1",1.2500554659000687,1.2271944916007225,1.336448549646783,42.50120447053727,0.022860974299346193,0.988400103965983,1.2271944916007225,0.022860974299346193,branin
