iteration,x0,x1,objective_true,objective_observed,objective_true_deployed,input_error_l2,input_error_applied,error_applied,error_magnitude,acquisition,fit_time_sec,acq_opt_failed,seed,run_id,error_model,jitter_std,jitter_iteration,oracle_model,objective,observation_noise,known_noise_var,param_columns,y_opt,best_true_so_far,regret_inst_true,regret_cum_true,simple_regret_true,regret_avg_true,inference_value_true,inference_simple_regret_true,dataset
1,-380.3441123643396,-0.7394688613222797,-1.3387277521627092,-1.3387277521627092,-1.3387277521627092,0.0,False,True,0.0,logei,0.0,False,11,e05a9247-bbbf-4ae2-968d-9fac642e52fa,misclick,0.15,0,exact,value,learned,1e-06,"x0,x1",3.2050455310550587,-1.3387277521627092,4.543773283217768,4.543773283217768,4.543773283217768,4.543773283217768,-1.3387277521627092,4.543773283217768,eggholder
2,103.93431820631804,-482.6224554271288,-1.3260358375542693,-1.3260358375542693,-1.3260358375542693,0.0,False,True,0.0,logei,0.0,False,11,e05a9247-bbbf-4ae2-968d-9fac642e52fa,misclick,0.15,0,exact,value,learned,1e-06,"x0,x1",3.2050455310550587,-1.3260358375542693,4.531081368609328,9.074854651827096,4.531081368609328,4.537427325913548,-1.3260358375542693,4.531081368609328,eggholder
3,-360.5236893926851,438.48808751141837,-0.7350220338372151,-0.7350220338372151,-0.7350220338372151,0.0,False,True,0.0,logei,0.0,False,11,e05a9247-bbbf-4ae2-968d-9fac642e52fa,misclick,0.15,0,exact,value,learned,1e-06,"x0,x1",3.2050455310550587,-0.7350220338372151,3.940067564892274,13.01492221671937,3.940067564892274,4.338307405573123,-0.7350220338372151,3.940067564892274,eggholder
4,-439.88933001810244,-379.11147581511887,2.3037211741727988,2.3037211741727988,2.3037211741727988,0.0,False,True,0.0,logei,0.0,False,11,e05a9247-bbbf-4ae2-968d-9fac642e52fa,misclick,0.15,0,exact,value,learned,1e-06,"x0,x1",3.2050455310550587,2.3037211741727988,0.90132435688226,13.91624657360163,0.90132435688226,3.4790616434004074,2.3037211741727988,0.90132435688226,eggholder
5,459.08833617077767,124.80879902349602,-0.9373089677051462,-0.9373089677051462,-0.9373089677051462,0.0,False,True,0.0,logei,0.0,False,11,e05a9247-bbbf-4ae2-968d-9fac642e52fa,misclick,0.15,0,exact,value,learned,1e-06,"x0,x1",3.2050455310550587,2.3037211741727988,4.142354498760205,18.058601072361835,0.90132435688226,3.611720214472367,2.3037211741727988,0.90132435688226,eggholder
6,-512.0,-444.58972230681843,1.0679485156007775,1.0679485156007775,1.0679485156007775,0.0,False,True,0.0,logei,0.3132604999700561,False,11,e05a9247-bbbf-4ae2-968d-9fac642e52fa,misclick,0.15,0,exact,value,learned,1e-06,"x0,x1",3.2050455310550587,2.3037211741727988,2.137097015454281,20.195698087816115,0.90132435688226,3.365949681302686,2.3037211741727988,0.90132435688226,eggholder
7,-358.54336957396885,-350.4101592327294,-1.1292536478023536,-1.1292536478023536,-1.1292536478023536,0.0,False,True,0.0,logei,0.3009524999652058,False,11,e05a9247-bbbf-4ae2-968d-9fac642e52fa,misclick,0.15,0,exact,value,learned,1e-06,"x0,x1",3.2050455310550587,2.3037211741727988,4.334299178857412,24.529997266673526,0.90132435688226,3.5042853238105036,2.3037211741727988,0.90132435688226,eggholder
8,-457.2000873625148,-512.0,0.13117594469657776,0.13117594469657776,-1.9938177479960453,524.2039043528154,True,True,0.0,logei,0.41854240000247955,False,11,e05a9247-bbbf-4ae2-968d-9fac642e52fa,misclick,0.15,0,exact,value,learned,1e-06,"x0,x1",3.2050455310550587,2.3037211741727988,3.073869586358481,27.603866853032006,0.90132435688226,3.4504833566290007,2.3037211741727988,0.90132435688226,eggholder
9,-465.59626073481,-372.4077833319535,2.112458246346997,2.112458246346997,2.112458246346997,0.0,False,True,0.0,logei,0.3436064999550581,False,11,e05a9247-bbbf-4ae2-968d-9fac642e52fa,misclick,0.15,0,exact,value,learned,1e-06,"x0,x1",3.2050455310550587,2.3037211741727988,1.0925872847080615,28.69645413774007,0.90132435688226,3.188494904193341,2.3037211741727988,0.90132435688226,eggholder
10,-450.63716349997964,-404.1341269860351,1.3597773074033852,1.3597773074033852,1.3597773074033852,0.0,False,True,0.0,logei,0.36889899999368936,False,11,e05a9247-bbbf-4ae2-968d-9fac642e52fa,misclick,0.15,0,exact,value,learned,1e-06,"x0,x1",3.2050455310550587,2.3037211741727988,1.8452682236516735,30.54172236139174,0.90132435688226,3.0541722361391743,2.3037211741727988,0.90132435688226,eggholder
