iteration,x0,x1,x2,x3,objective_true,objective_observed,objective_true_deployed,input_error_l2,input_error_applied,error_applied,error_magnitude,acquisition,fit_time_sec,acq_opt_failed,seed,run_id,error_model,jitter_std,jitter_iteration,oracle_model,objective,observation_noise,known_noise_var,param_columns,y_opt,best_true_so_far,regret_inst_true,regret_cum_true,simple_regret_true,regret_avg_true,inference_value_true,inference_simple_regret_true,dataset
1,9.560017096289753,2.076818100791469,8.284448852745307,1.4928212308202027,-0.059373050959702744,-0.059373050959702744,-0.059373050959702744,0.0,False,True,0.0,ei,0.0,False,10,3aa06264-69f8-48de-a5d2-c9fce5565d1a,misclick,0.05,0,exact,value,learned,1e-06,"x0,x1,x2,x3",5.402837764670362,-0.059373050959702744,5.462210815630065,5.462210815630065,5.462210815630065,5.462210815630065,-0.059373050959702744,5.462210815630065,hicks_law
2,5.1280461643656485,1.3591960402050662,6.890364797811311,8.41747724312279,-0.35355090833254604,-0.35355090833254604,-0.35355090833254604,0.0,False,True,0.0,ei,0.0,False,10,3aa06264-69f8-48de-a5d2-c9fce5565d1a,misclick,0.05,0,exact,value,learned,1e-06,"x0,x1,x2,x3",5.402837764670362,-0.059373050959702744,5.756388673002908,11.218599488632972,5.462210815630065,5.609299744316486,-0.059373050959702744,5.462210815630065,hicks_law
3,4.255089974049766,9.569260034533663,8.253329063847982,3.38215312471576,-0.9640967137952154,-0.9640967137952154,-0.9640967137952154,0.0,False,True,0.0,ei,0.0,False,10,3aa06264-69f8-48de-a5d2-c9fce5565d1a,misclick,0.05,0,exact,value,learned,1e-06,"x0,x1,x2,x3",5.402837764670362,-0.059373050959702744,6.366934478465577,17.58553396709855,5.462210815630065,5.8618446556995165,-0.059373050959702744,5.462210815630065,hicks_law
4,5.757605479445136,7.533018647084769,8.271039370247955,9.334384708515813,-1.7041718247559223,-1.7041718247559223,-1.7041718247559223,0.0,False,True,0.0,ei,0.0,False,10,3aa06264-69f8-48de-a5d2-c9fce5565d1a,misclick,0.05,0,exact,value,learned,1e-06,"x0,x1,x2,x3",5.402837764670362,-0.059373050959702744,7.1070095894262835,24.692543556524832,5.462210815630065,6.173135889131208,-0.059373050959702744,5.462210815630065,hicks_law
5,1.449946949362273,7.455802110439374,1.3935139386782236,9.065287561129269,0.2787424296685079,0.2787424296685079,0.2787424296685079,0.0,False,True,0.0,ei,0.0,False,10,3aa06264-69f8-48de-a5d2-c9fce5565d1a,misclick,0.05,0,exact,value,learned,1e-06,"x0,x1,x2,x3",5.402837764670362,0.2787424296685079,5.124095335001853,29.816638891526686,5.124095335001853,5.963327778305337,0.2787424296685079,5.124095335001853,hicks_law
6,0.0,7.926586204070161,0.0,4.472022070058325,2.1955784466262376,2.1955784466262376,2.1955784466262376,0.0,False,True,0.0,ei,0.48794200003612787,False,10,3aa06264-69f8-48de-a5d2-c9fce5565d1a,misclick,0.05,0,exact,value,learned,1e-06,"x0,x1,x2,x3",5.402837764670362,2.1955784466262376,3.207259318044124,33.02389820957081,3.207259318044124,5.503983034928468,2.1955784466262376,3.207259318044124,hicks_law
7,0.0,7.615821598971834,0.0,1.4743908059023016,2.8793832346697976,2.8793832346697976,2.8793832346697976,0.0,False,True,0.0,ei,0.261726800003089,False,10,3aa06264-69f8-48de-a5d2-c9fce5565d1a,misclick,0.05,0,exact,value,learned,1e-06,"x0,x1,x2,x3",5.402837764670362,2.8793832346697976,2.523454530000564,35.54735273957137,2.523454530000564,5.078193248510196,2.8793832346697976,2.523454530000564,hicks_law
8,0.0,2.350343431787167,0.0,0.0,4.405641834216822,4.405641834216822,4.405641834216822,0.0,False,True,0.0,ei,0.2518089000368491,False,10,3aa06264-69f8-48de-a5d2-c9fce5565d1a,misclick,0.05,0,exact,value,learned,1e-06,"x0,x1,x2,x3",5.402837764670362,4.405641834216822,0.9971959304535396,36.54454867002491,0.9971959304535396,4.568068583753114,4.405641834216822,0.9971959304535396,hicks_law
9,0.0,0.0,0.0,0.0,5.402837764670362,5.402837764670362,5.402837764670362,0.0,False,True,0.0,ei,0.31977209995966405,False,10,3aa06264-69f8-48de-a5d2-c9fce5565d1a,misclick,0.05,0,exact,value,learned,1e-06,"x0,x1,x2,x3",5.402837764670362,5.402837764670362,0.0,36.54454867002491,0.0,4.060505407780545,5.402837764670362,0.0,hicks_law
10,0.0,0.0,0.0,0.0,5.402837764670362,5.402837764670362,5.402837764670362,0.0,False,True,0.0,ei,0.4096973000559956,False,10,3aa06264-69f8-48de-a5d2-c9fce5565d1a,misclick,0.05,0,exact,value,learned,1e-06,"x0,x1,x2,x3",5.402837764670362,5.402837764670362,0.0,36.54454867002491,0.0,3.654454867002491,5.402837764670362,0.0,hicks_law
