iteration,x0,x1,x2,x3,objective_true,objective_observed,objective_true_deployed,input_error_l2,input_error_applied,error_applied,error_magnitude,acquisition,fit_time_sec,acq_opt_failed,seed,run_id,error_model,jitter_std,jitter_iteration,oracle_model,objective,observation_noise,known_noise_var,param_columns,y_opt,best_true_so_far,regret_inst_true,regret_cum_true,simple_regret_true,regret_avg_true,inference_value_true,inference_simple_regret_true,dataset
1,0.8702492039700847,0.28681720908755537,0.6031481500515619,0.7775340829201788,-0.771044681408064,-0.771044681408064,0.9656064429703742,0.788100105120048,True,True,0.0,sobol,0.0,False,9,ea282612-8868-4f85-9099-f355717bc50c,misclick,0.4,0,exact,value,learned,1e-06,"x0,x1,x2,x3",3.0593887562558817,-0.771044681408064,3.8304334376639457,3.8304334376639457,3.8304334376639457,3.8304334376639457,0.9656064429703742,2.0937823132855073,stevens
2,0.7160746296035653,0.9153801204905075,0.8603936491828846,0.9182376290487624,2.2789126054337765,2.2789126054337765,2.2789126054337765,0.0,False,True,0.0,sobol,0.0,False,9,ea282612-8868-4f85-9099-f355717bc50c,misclick,0.4,0,exact,value,learned,1e-06,"x0,x1,x2,x3",3.0593887562558817,2.2789126054337765,0.7804761508221052,4.6109095884860505,0.7804761508221052,2.3054547942430252,2.2789126054337765,0.7804761508221052,stevens
3,0.026587734467597213,0.4372480001295087,0.48494432697728806,0.06515419737010752,-1.8234589136171075,-1.8234589136171075,-1.8234589136171075,0.0,False,True,0.0,sobol,0.0,False,9,ea282612-8868-4f85-9099-f355717bc50c,misclick,0.4,0,exact,value,learned,1e-06,"x0,x1,x2,x3",3.0593887562558817,2.2789126054337765,4.882847669872989,9.49375725835904,0.7804761508221052,3.1645857527863464,2.2789126054337765,0.7804761508221052,stevens
4,0.005626050679392924,0.830621436971257,0.9833022442861755,0.7846098526726796,0.6820016884416973,0.6820016884416973,0.6820016884416973,0.0,False,True,0.0,sobol,0.0,False,9,ea282612-8868-4f85-9099-f355717bc50c,misclick,0.4,0,exact,value,learned,1e-06,"x0,x1,x2,x3",3.0593887562558817,2.2789126054337765,2.377387067814184,11.871144326173223,0.7804761508221052,2.9677860815433057,2.2789126054337765,0.7804761508221052,stevens
5,0.31560348997827314,0.7053337045894538,0.2991810731982467,0.7407484828757487,0.23144022521995936,0.23144022521995936,0.23144022521995936,0.0,False,True,0.0,sobol,0.0,False,9,ea282612-8868-4f85-9099-f355717bc50c,misclick,0.4,0,exact,value,learned,1e-06,"x0,x1,x2,x3",3.0593887562558817,2.2789126054337765,2.8279485310359225,14.699092857209145,0.7804761508221052,2.939818571441829,2.2789126054337765,0.7804761508221052,stevens
6,0.5331161692738533,0.2320396900177002,0.8208925146609545,0.02188500575721264,0.03648440143539128,0.03648440143539128,-0.7815292608787281,1.4363960774173445,True,True,0.0,sobol,0.0,False,9,ea282612-8868-4f85-9099-f355717bc50c,misclick,0.4,0,exact,value,learned,1e-06,"x0,x1,x2,x3",3.0593887562558817,2.2789126054337765,3.0229043548204904,17.721997212029635,0.7804761508221052,2.953666202004939,2.2789126054337765,0.7804761508221052,stevens
7,0.07433640398085117,0.6875492930412292,0.26000488456338644,0.9080120855942369,-1.2420830735199746,-1.2420830735199746,-0.188695714531018,0.8528794157013557,True,True,0.0,sobol,0.0,False,9,ea282612-8868-4f85-9099-f355717bc50c,misclick,0.4,0,exact,value,learned,1e-06,"x0,x1,x2,x3",3.0593887562558817,2.2789126054337765,4.301471829775856,22.02346904180549,0.7804761508221052,3.1462098631150703,2.2789126054337765,0.7804761508221052,stevens
8,0.4095826894044876,0.4049849761649966,0.7480065049603581,0.4944414710626006,1.8781852418215619,1.8781852418215619,0.28109528147143237,0.6268036974575093,True,True,0.0,sobol,0.0,False,9,ea282612-8868-4f85-9099-f355717bc50c,misclick,0.4,0,exact,value,learned,1e-06,"x0,x1,x2,x3",3.0593887562558817,2.2789126054337765,1.1812035144343198,23.20467255623981,0.7804761508221052,2.9005840695299763,2.2789126054337765,0.7804761508221052,stevens
9,0.9517756421118975,0.9249395979568362,0.1868433728814125,0.5760887116193771,-0.059068155235316014,-0.059068155235316014,1.0244412382149506,1.027791255604555,True,True,0.0,sobol,0.0,False,9,ea282612-8868-4f85-9099-f355717bc50c,misclick,0.4,0,exact,value,learned,1e-06,"x0,x1,x2,x3",3.0593887562558817,2.2789126054337765,3.1184569114911977,26.323129467731007,0.7804761508221052,2.9247921630812233,2.2789126054337765,0.7804761508221052,stevens
10,0.8026127247139812,0.2711685402318835,0.4682991001754999,0.6305250953882933,0.4206174225796109,0.4206174225796109,0.4206174225796109,0.0,False,True,0.0,sobol,0.0,False,9,ea282612-8868-4f85-9099-f355717bc50c,misclick,0.4,0,exact,value,learned,1e-06,"x0,x1,x2,x3",3.0593887562558817,2.2789126054337765,2.638771333676271,28.96190080140728,0.7804761508221052,2.8961900801407277,2.2789126054337765,0.7804761508221052,stevens
