iteration,x0,x1,x2,x3,objective_true,objective_observed,objective_true_deployed,input_error_l2,input_error_applied,error_applied,error_magnitude,acquisition,fit_time_sec,acq_opt_failed,seed,run_id,error_model,jitter_std,jitter_iteration,oracle_model,objective,observation_noise,known_noise_var,param_columns,y_opt,best_true_so_far,regret_inst_true,regret_cum_true,simple_regret_true,regret_avg_true,inference_value_true,inference_simple_regret_true,dataset
1,0.8702492039700847,0.28681720908755537,0.6031481500515619,0.7775340829201788,-0.1711665843417412,-0.1711665843417412,-0.1711665843417412,0.0,False,True,0.0,pi,0.0,False,9,471b82db-a25e-4a16-9171-0d03e861784e,misclick,0.4,0,exact,value,learned,1e-06,"x0,x1,x2,x3",3.5354125437868587,-0.1711665843417412,3.7065791281286,3.7065791281286,3.7065791281286,3.7065791281286,-0.1711665843417412,3.7065791281286,yerkes_dodson
2,0.7160746296035653,0.9153801204905075,0.8603936491828846,0.9182376290487624,-1.4871070437632754,-1.4871070437632754,-1.4871070437632754,0.0,False,True,0.0,pi,0.0,False,9,471b82db-a25e-4a16-9171-0d03e861784e,misclick,0.4,0,exact,value,learned,1e-06,"x0,x1,x2,x3",3.5354125437868587,-0.1711665843417412,5.022519587550134,8.729098715678735,3.7065791281286,4.364549357839367,-0.1711665843417412,3.7065791281286,yerkes_dodson
3,0.026587734467597213,0.4372480001295087,0.48494432697728806,0.06515419737010752,0.6092236690021531,0.6092236690021531,0.6092236690021531,0.0,False,True,0.0,pi,0.0,False,9,471b82db-a25e-4a16-9171-0d03e861784e,misclick,0.4,0,exact,value,learned,1e-06,"x0,x1,x2,x3",3.5354125437868587,0.6092236690021531,2.926188874784706,11.655287590463441,2.926188874784706,3.885095863487814,0.6092236690021531,2.926188874784706,yerkes_dodson
4,0.005626050679392924,0.830621436971257,0.9833022442861755,0.7846098526726796,-0.9509203297533042,-0.9509203297533042,-1.7545133720092059,1.0691404370963054,True,True,0.0,pi,0.0,False,9,471b82db-a25e-4a16-9171-0d03e861784e,misclick,0.4,0,exact,value,learned,1e-06,"x0,x1,x2,x3",3.5354125437868587,0.6092236690021531,4.486332873540163,16.141620464003605,2.926188874784706,4.035405116000901,0.6092236690021531,2.926188874784706,yerkes_dodson
5,0.31560348997827314,0.7053337045894538,0.2991810731982467,0.7407484828757487,0.06061560326276627,0.06061560326276627,0.06061560326276627,0.0,False,True,0.0,pi,0.0,False,9,471b82db-a25e-4a16-9171-0d03e861784e,misclick,0.4,0,exact,value,learned,1e-06,"x0,x1,x2,x3",3.5354125437868587,0.6092236690021531,3.4747969405240924,19.6164174045277,2.926188874784706,3.92328348090554,0.6092236690021531,2.926188874784706,yerkes_dodson
6,0.0,0.4083843792006606,0.44107910865163785,0.05142089381139815,-1.8053355587221063,-1.8053355587221063,0.3796904642918067,1.02798589403843,True,True,0.0,pi,0.29312179994303733,False,9,471b82db-a25e-4a16-9171-0d03e861784e,misclick,0.4,0,exact,value,learned,1e-06,"x0,x1,x2,x3",3.5354125437868587,0.6092236690021531,5.3407481025089645,24.957165507036663,2.926188874784706,4.159527584506111,0.6092236690021531,2.926188874784706,yerkes_dodson
7,0.02878027892698546,0.4396281324763286,0.4885616103209744,0.06628674757760591,-1.281806961836242,-1.281806961836242,0.621627497629391,0.42342881491997664,True,True,0.0,pi,0.3666252000257373,False,9,471b82db-a25e-4a16-9171-0d03e861784e,misclick,0.4,0,exact,value,learned,1e-06,"x0,x1,x2,x3",3.5354125437868587,0.6092236690021531,4.8172195056231,29.774385012659764,2.926188874784706,4.2534835732371095,0.6092236690021531,2.926188874784706,yerkes_dodson
8,0.3869273747124362,0.6512659870448151,0.32138093295260983,0.7554518745028547,0.8183809310243791,0.8183809310243791,0.8183809310243791,0.0,False,True,0.0,pi,0.18155119998846203,False,9,471b82db-a25e-4a16-9171-0d03e861784e,misclick,0.4,0,exact,value,learned,1e-06,"x0,x1,x2,x3",3.5354125437868587,0.8183809310243791,2.7170316127624794,32.49141662542225,2.7170316127624794,4.061427078177781,0.8183809310243791,2.7170316127624794,yerkes_dodson
9,0.46266790898186505,0.591336490931025,0.34042121478866,0.7723088622711486,1.4976823945816315,1.4976823945816315,1.4976823945816315,0.0,False,True,0.0,pi,0.21967150003183633,False,9,471b82db-a25e-4a16-9171-0d03e861784e,misclick,0.4,0,exact,value,learned,1e-06,"x0,x1,x2,x3",3.5354125437868587,1.4976823945816315,2.037730149205227,34.52914677462747,2.037730149205227,3.836571863847497,1.4976823945816315,2.037730149205227,yerkes_dodson
10,0.4960290052163811,0.5690366783101889,0.34865946576666906,0.7832480607376242,-0.6462328847635176,-0.6462328847635176,1.6503087629561985,0.5247645470857918,True,True,0.0,pi,0.21745730005204678,False,9,471b82db-a25e-4a16-9171-0d03e861784e,misclick,0.4,0,exact,value,learned,1e-06,"x0,x1,x2,x3",3.5354125437868587,1.4976823945816315,4.181645428550376,38.710792203177846,2.037730149205227,3.8710792203177844,1.4976823945816315,2.037730149205227,yerkes_dodson
11,0.40793520402586,0.5858367771331698,0.29355543807514817,0.7454038198669047,-0.35057853200511246,-0.35057853200511246,1.1676066657291424,0.8808791273504606,True,True,0.0,pi,0.20232859998941422,False,9,471b82db-a25e-4a16-9171-0d03e861784e,misclick,0.4,0,exact,value,learned,1e-06,"x0,x1,x2,x3",3.5354125437868587,1.4976823945816315,3.885991075791971,42.596783278969816,2.037730149205227,3.8724348435427105,1.4976823945816315,2.037730149205227,yerkes_dodson
12,0.4192800219361336,0.6525535294224084,0.34814486242932835,0.7716050149859823,1.0644021067948337,1.0644021067948337,1.0644021067948337,0.0,False,True,0.0,pi,0.2141144999768585,False,9,471b82db-a25e-4a16-9171-0d03e861784e,misclick,0.4,0,exact,value,learned,1e-06,"x0,x1,x2,x3",3.5354125437868587,1.4976823945816315,2.471010436992025,45.06779371596184,2.037730149205227,3.7556494763301536,1.4976823945816315,2.037730149205227,yerkes_dodson
13,0.41578469849672567,0.708216479290933,0.3844081810448221,0.7859662755123358,1.5615609182247534,1.5615609182247534,0.9041385090030033,0.2837817992421738,True,True,0.0,pi,0.23544449999462813,False,9,471b82db-a25e-4a16-9171-0d03e861784e,misclick,0.4,0,exact,value,learned,1e-06,"x0,x1,x2,x3",3.5354125437868587,1.5615609182247534,1.9738516255621052,47.041645341523946,1.9738516255621052,3.6185881031941496,0.9041385090030033,2.6312740347838552,yerkes_dodson
14,0.43709224735393293,0.7114932449559308,0.4079573947005188,0.7932390659345895,-1.4061716386396028,-1.4061716386396028,1.075318989699194,0.8292067113689642,True,True,0.0,pi,0.263959200005047,False,9,471b82db-a25e-4a16-9171-0d03e861784e,misclick,0.4,0,exact,value,learned,1e-06,"x0,x1,x2,x3",3.5354125437868587,1.5615609182247534,4.941584182426461,51.983229523950406,1.9738516255621052,3.7130878231393147,0.9041385090030033,2.6312740347838552,yerkes_dodson
15,0.36858303583903024,0.6206677349382024,0.2565287717191633,0.7582201340142466,0.40510600895621796,0.40510600895621796,0.5623883672827611,0.7244125054341084,True,True,0.0,pi,0.22425400000065565,False,9,471b82db-a25e-4a16-9171-0d03e861784e,misclick,0.4,0,exact,value,learned,1e-06,"x0,x1,x2,x3",3.5354125437868587,1.5615609182247534,3.1303065348306407,55.113536058781044,1.9738516255621052,3.6742357372520695,0.9041385090030033,2.6312740347838552,yerkes_dodson
16,0.3593964544890237,0.61688046620745,0.2401061438363464,0.7557767336122407,0.4764426283019984,0.4764426283019984,0.4764426283019984,0.0,False,True,0.0,pi,0.27721990004647523,False,9,471b82db-a25e-4a16-9171-0d03e861784e,misclick,0.4,0,exact,value,learned,1e-06,"x0,x1,x2,x3",3.5354125437868587,1.5615609182247534,3.05896991548486,58.1725059742659,1.9738516255621052,3.635781623391619,0.9041385090030033,2.6312740347838552,yerkes_dodson
17,0.349589033342401,0.6130143701886966,0.22192176166004968,0.7531438064478881,0.38955898508704256,0.38955898508704256,0.38955898508704256,0.0,False,True,0.0,pi,0.2926883999025449,False,9,471b82db-a25e-4a16-9171-0d03e861784e,misclick,0.4,0,exact,value,learned,1e-06,"x0,x1,x2,x3",3.5354125437868587,1.5615609182247534,3.145853558699816,61.318359532965715,1.9738516255621052,3.6069623254685714,0.9041385090030033,2.6312740347838552,yerkes_dodson
18,0.34615245900388986,0.6112806283556901,0.21602832046057388,0.7507329406222184,0.37044891615527165,0.37044891615527165,0.37044891615527165,0.0,False,True,0.0,pi,0.21381029998883605,False,9,471b82db-a25e-4a16-9171-0d03e861784e,misclick,0.4,0,exact,value,learned,1e-06,"x0,x1,x2,x3",3.5354125437868587,1.5615609182247534,3.164963627631587,64.48332316059731,1.9738516255621052,3.582406842255406,0.9041385090030033,2.6312740347838552,yerkes_dodson
19,0.3451600513269621,0.6108431996249667,0.21509163183917882,0.7490871691564295,0.34067984751109337,0.34067984751109337,0.3707790867164874,0.7916875462075059,True,True,0.0,pi,0.21619690000079572,False,9,471b82db-a25e-4a16-9171-0d03e861784e,misclick,0.4,0,exact,value,learned,1e-06,"x0,x1,x2,x3",3.5354125437868587,1.5615609182247534,3.194732696275765,67.67805585687307,1.9738516255621052,3.5620029398354247,0.9041385090030033,2.6312740347838552,yerkes_dodson
20,0.3460048518402728,0.6114630504467019,0.21824769639427513,0.7482129744617382,-0.8464963544277384,-0.8464963544277384,0.3852295047581056,0.8714488602847316,True,True,0.0,pi,0.2235831000143662,False,9,471b82db-a25e-4a16-9171-0d03e861784e,misclick,0.4,0,exact,value,learned,1e-06,"x0,x1,x2,x3",3.5354125437868587,1.5615609182247534,4.381908898214597,72.05996475508766,1.9738516255621052,3.602998237754383,0.9041385090030033,2.6312740347838552,yerkes_dodson
21,0.39182458499019635,0.6245179625731467,0.308272692809212,0.7580956381951629,0.9148904652591725,0.9148904652591725,0.9148904652591725,0.0,False,True,0.0,pi,0.2198357000015676,False,9,471b82db-a25e-4a16-9171-0d03e861784e,misclick,0.4,0,exact,value,learned,1e-06,"x0,x1,x2,x3",3.5354125437868587,1.5615609182247534,2.620522078527686,74.68048683361535,1.9738516255621052,3.556213658743588,0.9041385090030033,2.6312740347838552,yerkes_dodson
22,0.3836152820628814,0.6187862859470296,0.3234655081521436,0.7526374721779856,0.8650228429457449,0.8650228429457449,1.0060451984126182,0.4130784852255092,True,True,0.0,pi,0.22156030009500682,False,9,471b82db-a25e-4a16-9171-0d03e861784e,misclick,0.4,0,exact,value,learned,1e-06,"x0,x1,x2,x3",3.5354125437868587,1.5615609182247534,2.6703897008411137,77.35087653445646,1.9738516255621052,3.5159489333843847,0.9041385090030033,2.6312740347838552,yerkes_dodson
