iteration,x0,x1,x2,x3,objective_true,objective_observed,objective_true_deployed,input_error_l2,input_error_applied,error_applied,error_magnitude,acquisition,fit_time_sec,acq_opt_failed,seed,run_id,error_model,jitter_std,jitter_iteration,oracle_model,objective,observation_noise,known_noise_var,param_columns,y_opt,best_true_so_far,regret_inst_true,regret_cum_true,simple_regret_true,regret_avg_true,inference_value_true,inference_simple_regret_true,dataset
1,0.8702492039700847,0.28681720908755537,0.6031481500515619,0.7775340829201788,-1.5695484340087174,-1.5695484340087174,-0.1711665843417412,0.8673678071785719,True,True,0.0,qucb,0.0,False,9,2f977a52-50dd-4061-be20-58eb1348fd45,misclick,0.4,0,exact,value,learned,1e-06,"x0,x1,x2,x3",3.5354125437868587,-1.5695484340087174,5.104960977795576,5.104960977795576,5.104960977795576,5.104960977795576,-0.1711665843417412,3.7065791281286,yerkes_dodson
2,0.7160746296035653,0.9153801204905075,0.8603936491828846,0.9182376290487624,1.3531054672404135,1.3531054672404135,-1.4871070437632754,0.7976814186581389,True,True,0.0,qucb,0.0,False,9,2f977a52-50dd-4061-be20-58eb1348fd45,misclick,0.4,0,exact,value,learned,1e-06,"x0,x1,x2,x3",3.5354125437868587,1.3531054672404135,2.1823070765464454,7.287268054342022,2.1823070765464454,3.643634027171011,-1.4871070437632754,5.022519587550134,yerkes_dodson
3,0.026587734467597213,0.4372480001295087,0.48494432697728806,0.06515419737010752,0.6092236690021531,0.6092236690021531,0.6092236690021531,0.0,False,True,0.0,qucb,0.0,False,9,2f977a52-50dd-4061-be20-58eb1348fd45,misclick,0.4,0,exact,value,learned,1e-06,"x0,x1,x2,x3",3.5354125437868587,1.3531054672404135,2.926188874784706,10.213456929126728,2.1823070765464454,3.4044856430422428,-1.4871070437632754,5.022519587550134,yerkes_dodson
4,0.005626050679392924,0.830621436971257,0.9833022442861755,0.7846098526726796,-1.7545133720092059,-1.7545133720092059,-1.7545133720092059,0.0,False,True,0.0,qucb,0.0,False,9,2f977a52-50dd-4061-be20-58eb1348fd45,misclick,0.4,0,exact,value,learned,1e-06,"x0,x1,x2,x3",3.5354125437868587,1.3531054672404135,5.289925915796065,15.503382844922793,2.1823070765464454,3.8758457112306983,-1.4871070437632754,5.022519587550134,yerkes_dodson
5,0.31560348997827314,0.7053337045894538,0.2991810731982467,0.7407484828757487,0.06061560326276627,0.06061560326276627,0.06061560326276627,0.0,False,True,0.0,qucb,0.0,False,9,2f977a52-50dd-4061-be20-58eb1348fd45,misclick,0.4,0,exact,value,learned,1e-06,"x0,x1,x2,x3",3.5354125437868587,1.3531054672404135,3.4747969405240924,18.978179785446887,2.1823070765464454,3.7956359570893774,-1.4871070437632754,5.022519587550134,yerkes_dodson
6,0.7148316433367299,1.0,0.474300637928396,1.0,-0.21369498650866922,-0.21369498650866922,-0.21369498650866922,0.0,False,True,0.0,qucb,0.3562742000212893,False,9,2f977a52-50dd-4061-be20-58eb1348fd45,misclick,0.4,0,exact,value,learned,1e-06,"x0,x1,x2,x3",3.5354125437868587,1.3531054672404135,3.749107530295528,22.727287315742416,2.1823070765464454,3.787881219290403,-1.4871070437632754,5.022519587550134,yerkes_dodson
7,0.9100273492698484,1.0,1.0,1.0,-2.077152311344936,-2.077152311344936,-2.077152311344936,0.0,False,True,0.0,qucb,0.5522868999978527,False,9,2f977a52-50dd-4061-be20-58eb1348fd45,misclick,0.4,0,exact,value,learned,1e-06,"x0,x1,x2,x3",3.5354125437868587,1.3531054672404135,5.612564855131795,28.33985217087421,2.1823070765464454,4.048550310124887,-1.4871070437632754,5.022519587550134,yerkes_dodson
8,0.6489537423065835,0.9030601835695706,1.0,0.8180199001384644,-1.069334233076953,-1.069334233076953,-1.069334233076953,0.0,False,True,0.0,qucb,0.36189959989860654,False,9,2f977a52-50dd-4061-be20-58eb1348fd45,misclick,0.4,0,exact,value,learned,1e-06,"x0,x1,x2,x3",3.5354125437868587,1.3531054672404135,4.604746776863812,32.94459894773802,2.1823070765464454,4.118074868467253,-1.4871070437632754,5.022519587550134,yerkes_dodson
9,0.6215399692758639,0.9463152779866201,0.8026093598419147,0.8152304769142672,-0.7502806938977421,-0.7502806938977421,-0.7502806938977421,0.0,False,True,0.0,qucb,0.5160414000274613,False,9,2f977a52-50dd-4061-be20-58eb1348fd45,misclick,0.4,0,exact,value,learned,1e-06,"x0,x1,x2,x3",3.5354125437868587,1.3531054672404135,4.285693237684601,37.23029218542263,2.1823070765464454,4.136699131713625,-1.4871070437632754,5.022519587550134,yerkes_dodson
10,0.7518269624701968,0.9300728084172483,0.9524969096350366,0.9648007446769997,-1.7316262847407187,-1.7316262847407187,-1.7316262847407187,0.0,False,True,0.0,qucb,0.41846089996397495,False,9,2f977a52-50dd-4061-be20-58eb1348fd45,misclick,0.4,0,exact,value,learned,1e-06,"x0,x1,x2,x3",3.5354125437868587,1.3531054672404135,5.2670388285275775,42.4973310139502,2.1823070765464454,4.24973310139502,-1.4871070437632754,5.022519587550134,yerkes_dodson
11,1.0,0.6033174018582506,0.8609815414788947,1.0,-0.9259949872391339,-0.9259949872391339,-0.9214286206787248,0.9482423381260848,True,True,0.0,qucb,0.44637149991467595,False,9,2f977a52-50dd-4061-be20-58eb1348fd45,misclick,0.4,0,exact,value,learned,1e-06,"x0,x1,x2,x3",3.5354125437868587,1.3531054672404135,4.461407531025992,46.95873854497619,2.1823070765464454,4.268976231361472,-1.4871070437632754,5.022519587550134,yerkes_dodson
12,0.5216118905217131,1.0,0.7937358763216146,0.9171526758919758,-0.48307439438918476,-0.48307439438918476,-0.48307439438918476,0.0,False,True,0.0,qucb,0.5179297000868246,False,9,2f977a52-50dd-4061-be20-58eb1348fd45,misclick,0.4,0,exact,value,learned,1e-06,"x0,x1,x2,x3",3.5354125437868587,1.3531054672404135,4.018486938176044,50.97722548315224,2.1823070765464454,4.24810212359602,-1.4871070437632754,5.022519587550134,yerkes_dodson
13,0.41154558297753296,1.0,0.8639044184590355,1.0,-0.8520047259841281,-0.8520047259841281,-0.8520047259841281,0.0,False,True,0.0,qucb,0.6986885999795049,False,9,2f977a52-50dd-4061-be20-58eb1348fd45,misclick,0.4,0,exact,value,learned,1e-06,"x0,x1,x2,x3",3.5354125437868587,1.3531054672404135,4.387417269770987,55.364642752923224,2.1823070765464454,4.2588186733017865,-1.4871070437632754,5.022519587550134,yerkes_dodson
14,0.7505914898285599,1.0,0.8711535675718988,0.6677040862526663,0.5909685643561866,0.5909685643561866,-0.9471049180453011,0.6965821143296084,True,True,0.0,qucb,0.5940371999749914,False,9,2f977a52-50dd-4061-be20-58eb1348fd45,misclick,0.4,0,exact,value,learned,1e-06,"x0,x1,x2,x3",3.5354125437868587,1.3531054672404135,2.9444439794306723,58.3090867323539,2.1823070765464454,4.164934766596707,-1.4871070437632754,5.022519587550134,yerkes_dodson
15,0.6892321755365044,0.6491796015695841,0.8705255308109107,0.9569923544523955,-0.4232086183932805,-0.4232086183932805,-0.5445154206785776,0.8589775219684678,True,True,0.0,qucb,0.5698582000331953,False,9,2f977a52-50dd-4061-be20-58eb1348fd45,misclick,0.4,0,exact,value,learned,1e-06,"x0,x1,x2,x3",3.5354125437868587,1.3531054672404135,3.958621162180139,62.267707894534034,2.1823070765464454,4.1511805263022685,-1.4871070437632754,5.022519587550134,yerkes_dodson
16,0.8471482401014,0.9176776099523422,0.8587440406336383,1.0,-0.7767569755065095,-0.7767569755065095,-1.9141961641972502,1.0056257870080112,True,True,0.0,qucb,0.40167859999928623,False,9,2f977a52-50dd-4061-be20-58eb1348fd45,misclick,0.4,0,exact,value,learned,1e-06,"x0,x1,x2,x3",3.5354125437868587,1.3531054672404135,4.312169519293368,66.5798774138274,2.1823070765464454,4.161242338364213,-1.4871070437632754,5.022519587550134,yerkes_dodson
17,0.9942886767555771,1.0,0.8839231780465986,0.8902181362375181,-0.8477206200528918,-0.8477206200528918,-2.014121236870581,1.3574774681987625,True,True,0.0,qucb,0.5203725000610575,False,9,2f977a52-50dd-4061-be20-58eb1348fd45,misclick,0.4,0,exact,value,learned,1e-06,"x0,x1,x2,x3",3.5354125437868587,1.3531054672404135,4.383133163839751,70.96301057766715,2.1823070765464454,4.174294739862773,-1.4871070437632754,5.022519587550134,yerkes_dodson
18,0.6679610457685061,0.9850164368554232,0.8698866362941214,1.0,-1.2902503345337848,-1.2902503345337848,-1.2902503345337848,0.0,False,True,0.0,qucb,0.35326240002177656,False,9,2f977a52-50dd-4061-be20-58eb1348fd45,misclick,0.4,0,exact,value,learned,1e-06,"x0,x1,x2,x3",3.5354125437868587,1.3531054672404135,4.825662878320643,75.78867345598779,2.1823070765464454,4.210481858665989,-1.4871070437632754,5.022519587550134,yerkes_dodson
19,0.6659962564813597,0.8666707308449054,0.829317635185598,0.9129282332884981,-0.8118518339794554,-0.8118518339794554,-1.1293860715678952,0.41269083627572245,True,True,0.0,qucb,0.5320382999489084,False,9,2f977a52-50dd-4061-be20-58eb1348fd45,misclick,0.4,0,exact,value,learned,1e-06,"x0,x1,x2,x3",3.5354125437868587,1.3531054672404135,4.347264377766314,80.1359378337541,2.1823070765464454,4.217680938618637,-1.4871070437632754,5.022519587550134,yerkes_dodson
