iteration,x0,x1,x2,x3,objective_true,objective_observed,objective_true_deployed,input_error_l2,input_error_applied,error_applied,error_magnitude,acquisition,fit_time_sec,acq_opt_failed,missing,seed,run_id,error_model,jitter_std,jitter_iteration,oracle_model,objective,observation_noise,known_noise_var,param_columns,y_opt,best_true_so_far,regret_inst_true,regret_cum_true,simple_regret_true,regret_avg_true,inference_value_true,inference_simple_regret_true,dataset
1,-371.4297972308004,-0.7221375598850273,101.49835762335749,-471.31099162805543,-0.8918499759923152,-0.8918499759923152,-0.8918499759923152,0.0,False,True,0.0,logei,0.0,False,False,11,5895dde6-94b3-45f5-8d39-016744ae9b92,missing_mcar,0.15,0,exact,value,learned,1e-06,"x0,x1,x2,x3",4.328390371778852,-0.8918499759923152,5.220240347771167,5.220240347771167,5.220240347771167,5.220240347771167,-0.8918499759923152,5.220240347771167,schwefel
2,-352.0739154225441,428.2110229603695,-429.57942384580315,-370.226050600702,-0.27994160524838874,-0.27994160524838874,-0.27994160524838874,0.0,False,True,0.0,logei,0.0,False,False,11,5895dde6-94b3-45f5-8d39-016744ae9b92,missing_mcar,0.15,0,exact,value,learned,1e-06,"x0,x1,x2,x3",4.328390371778852,-0.27994160524838874,4.608331977027241,9.828572324798408,4.608331977027241,4.914286162399204,-0.27994160524838874,4.608331977027241,schwefel
3,448.3284532917751,121.8835927963828,-131.00687627020903,11.390021803262641,0.8278653217722474,0.8278653217722474,0.8278653217722474,0.0,False,True,0.0,logei,0.0,False,False,11,5895dde6-94b3-45f5-8d39-016744ae9b92,missing_mcar,0.15,0,exact,value,learned,1e-06,"x0,x1,x2,x3",4.328390371778852,0.8278653217722474,3.5005250500066047,13.329097374805013,3.5005250500066047,4.443032458268338,0.8278653217722474,3.5005250500066047,schwefel
4,162.8429525167993,-224.69118423887068,-362.03192713304463,288.0395945039919,-1.1748409618089777,-1.1748409618089777,-1.1748409618089777,0.0,False,True,0.0,logei,0.0,False,False,11,5895dde6-94b3-45f5-8d39-016744ae9b92,missing_mcar,0.15,0,exact,value,learned,1e-06,"x0,x1,x2,x3",4.328390371778852,0.8278653217722474,5.50323133358783,18.832328708392843,3.5005250500066047,4.708082177098211,0.8278653217722474,3.5005250500066047,schwefel
5,170.3605841024838,12.382313483160488,316.73643596965803,49.07526887002632,-0.433117793205971,-0.433117793205971,-0.433117793205971,0.0,False,True,0.0,logei,0.0,False,False,11,5895dde6-94b3-45f5-8d39-016744ae9b92,missing_mcar,0.15,0,exact,value,learned,1e-06,"x0,x1,x2,x3",4.328390371778852,0.8278653217722474,4.761508164984823,23.59383687337767,3.5005250500066047,4.718767374675534,0.8278653217722474,3.5005250500066047,schwefel
6,500.0,212.44995280506936,-178.29118374288998,-29.61705002944282,-0.23847542672597874,-0.23847542672597874,-0.23847542672597874,0.0,False,True,0.0,logei,0.34866890002740547,False,False,11,5895dde6-94b3-45f5-8d39-016744ae9b92,missing_mcar,0.15,0,exact,value,learned,1e-06,"x0,x1,x2,x3",4.328390371778852,0.8278653217722474,4.56686579850483,28.160702671882497,3.5005250500066047,4.69345044531375,0.8278653217722474,3.5005250500066047,schwefel
7,500.0,93.61770161432052,-259.5622894989348,99.80323392933373,-0.4016235671609469,-0.4016235671609469,-0.4016235671609469,0.0,False,True,0.0,logei,0.3429390999954194,False,False,11,5895dde6-94b3-45f5-8d39-016744ae9b92,missing_mcar,0.15,0,exact,value,learned,1e-06,"x0,x1,x2,x3",4.328390371778852,0.8278653217722474,4.730013938939798,32.890716610822295,3.5005250500066047,4.698673801546042,0.8278653217722474,3.5005250500066047,schwefel
8,427.87374353182327,94.69789618812177,-99.48302301309558,16.717687438707053,1.091862347278153,,1.091862347278153,0.0,False,True,,logei,0.3092602000106126,False,True,11,5895dde6-94b3-45f5-8d39-016744ae9b92,missing_mcar,0.15,0,exact,value,learned,1e-06,"x0,x1,x2,x3",4.328390371778852,1.091862347278153,3.236528024500699,36.127244635322995,3.236528024500699,4.515905579415374,0.8278653217722474,3.5005250500066047,schwefel
9,427.86553445985385,94.69171585297966,-99.48639171383198,16.76782789763397,1.091760234252519,1.091760234252519,1.091760234252519,0.0,False,True,0.0,logei,0.2918063999968581,False,False,11,5895dde6-94b3-45f5-8d39-016744ae9b92,missing_mcar,0.15,0,exact,value,learned,1e-06,"x0,x1,x2,x3",4.328390371778852,1.091862347278153,3.236630137526333,39.36387477284933,3.236528024500699,4.373763863649925,1.091760234252519,3.236630137526333,schwefel
10,395.8534669530656,39.27866745705628,-91.0119572238847,-121.2681951754122,1.2236067335364118,1.2236067335364118,1.2236067335364118,0.0,False,True,0.0,logei,0.4199817000189796,False,False,11,5895dde6-94b3-45f5-8d39-016744ae9b92,missing_mcar,0.15,0,exact,value,learned,1e-06,"x0,x1,x2,x3",4.328390371778852,1.2236067335364118,3.10478363824244,42.468658411091766,3.10478363824244,4.246865841109177,1.2236067335364118,3.10478363824244,schwefel
11,483.7743946602541,-14.165555934391223,-79.1047620686614,205.08718992013087,0.4340268068756968,0.4340268068756968,0.4340268068756968,0.0,False,True,0.0,logei,0.5385741000063717,False,False,11,5895dde6-94b3-45f5-8d39-016744ae9b92,missing_mcar,0.15,0,exact,value,learned,1e-06,"x0,x1,x2,x3",4.328390371778852,1.2236067335364118,3.894363564903155,46.36302197599492,3.10478363824244,4.214820179635901,1.2236067335364118,3.10478363824244,schwefel
12,409.307097455367,-276.9840503650115,37.73479314541507,21.072061023250455,1.5461578056337755,1.5461578056337755,1.5461578056337755,0.0,False,True,0.0,logei,0.39394239999819547,False,False,11,5895dde6-94b3-45f5-8d39-016744ae9b92,missing_mcar,0.15,0,exact,value,learned,1e-06,"x0,x1,x2,x3",4.328390371778852,1.5461578056337755,2.782232566145076,49.145254542139995,2.782232566145076,4.0954378785116665,1.5461578056337755,2.782232566145076,schwefel
13,410.14747391088656,-131.5262082467001,242.20810017511926,436.3046590899194,2.4429629258791987,2.4429629258791987,2.4429629258791987,0.0,False,True,0.0,logei,0.4508365000365302,False,False,11,5895dde6-94b3-45f5-8d39-016744ae9b92,missing_mcar,0.15,0,exact,value,learned,1e-06,"x0,x1,x2,x3",4.328390371778852,2.4429629258791987,1.8854274458996532,51.030681988039646,1.8854274458996532,3.9254370760030497,2.4429629258791987,1.8854274458996532,schwefel
14,400.44963791288626,279.3430163172703,494.58386565991907,500.0,-0.4404367411296688,-0.4404367411296688,-0.4404367411296688,0.0,False,True,0.0,logei,0.6647813000017777,False,False,11,5895dde6-94b3-45f5-8d39-016744ae9b92,missing_mcar,0.15,0,exact,value,learned,1e-06,"x0,x1,x2,x3",4.328390371778852,2.4429629258791987,4.768827112908521,55.799509100948164,1.8854274458996532,3.9856792214962975,2.4429629258791987,1.8854274458996532,schwefel
15,409.3433913722434,-246.9941988136769,343.45284419064956,500.0,0.3007400618605829,0.3007400618605829,0.3007400618605829,0.0,False,True,0.0,logei,0.47230170003604144,False,False,11,5895dde6-94b3-45f5-8d39-016744ae9b92,missing_mcar,0.15,0,exact,value,learned,1e-06,"x0,x1,x2,x3",4.328390371778852,2.4429629258791987,4.027650309918269,59.827159410866436,1.8854274458996532,3.988477294057762,2.4429629258791987,1.8854274458996532,schwefel
