iteration,x0,x1,x2,x3,objective_true,objective_observed,objective_true_deployed,input_error_l2,input_error_applied,error_applied,error_magnitude,acquisition,fit_time_sec,acq_opt_failed,missing,imputed_value,seed,run_id,error_model,jitter_std,jitter_iteration,oracle_model,objective,observation_noise,known_noise_var,param_columns,y_opt,best_true_so_far,regret_inst_true,regret_cum_true,simple_regret_true,regret_avg_true,inference_value_true,inference_simple_regret_true,dataset
1,8.05373805955127,-0.6977418636866695,4.047222250773428,6.663011243802682,-0.15556254506428835,-0.15556254506428835,-0.15556254506428835,0.0,False,True,0.0,logei,0.0,False,False,,9,13ec4cd2-303a-4629-a719-c8da7e76ba47,missing_low,0.3,0,exact,value,learned,1e-06,"x0,x1,x2,x3",1.0256232505714238,-0.15556254506428835,1.1811857956357121,1.1811857956357121,1.1811857956357121,1.1811857956357121,-0.15556254506428835,1.1811857956357121,rosenbrock
2,5.74111944405348,8.730701807357613,7.905904737743269,8.773564435731435,-1.1573982064299804,,-1.1573982064299804,0.0,False,True,,logei,0.0,False,True,-0.15556254506428835,9,13ec4cd2-303a-4629-a719-c8da7e76ba47,missing_low,0.3,0,exact,value,learned,1e-06,"x0,x1,x2,x3",1.0256232505714238,-0.15556254506428835,2.183021457001404,3.364207252637116,1.1811857956357121,1.682103626318558,-0.15556254506428835,1.1811857956357121,rosenbrock
3,-4.601183982986042,1.5587200019426302,2.2741649046593206,-4.022687039448387,0.8997447222979248,0.8997447222979248,0.8997447222979248,0.0,False,True,0.0,logei,0.0,False,False,,9,13ec4cd2-303a-4629-a719-c8da7e76ba47,missing_low,0.3,0,exact,value,learned,1e-06,"x0,x1,x2,x3",1.0256232505714238,0.8997447222979248,0.125878528273499,3.490085780910615,0.125878528273499,1.163361926970205,0.8997447222979248,0.125878528273499,rosenbrock
4,-4.915609239809106,7.459321554568856,9.749533664292633,6.769147790090194,-1.7037565381895456,-1.7037565381895456,-1.7037565381895456,0.0,False,True,0.0,logei,0.0,False,False,,9,13ec4cd2-303a-4629-a719-c8da7e76ba47,missing_low,0.3,0,exact,value,learned,1e-06,"x0,x1,x2,x3",1.0256232505714238,0.8997447222979248,2.729379788760969,6.219465569671584,0.125878528273499,1.554866392417896,0.8997447222979248,0.125878528273499,rosenbrock
5,-0.26594765032590306,5.580005568841807,-0.512283902026299,6.111227243136231,0.7397152362870142,0.7397152362870142,0.7397152362870142,0.0,False,True,0.0,logei,0.0,False,False,,9,13ec4cd2-303a-4629-a719-c8da7e76ba47,missing_low,0.3,0,exact,value,learned,1e-06,"x0,x1,x2,x3",1.0256232505714238,0.8997447222979248,0.2859080142844096,6.505373583955993,0.125878528273499,1.3010747167911987,0.8997447222979248,0.125878528273499,rosenbrock
6,-3.519149920586412,2.353497023878874,-0.6587055356253896,-2.918956220251519,0.9852694343851077,0.9852694343851077,0.9852694343851077,0.0,False,True,0.0,logei,0.23715300002368167,False,False,,9,13ec4cd2-303a-4629-a719-c8da7e76ba47,missing_low,0.3,0,exact,value,learned,1e-06,"x0,x1,x2,x3",1.0256232505714238,0.9852694343851077,0.04035381618631606,6.54572740014231,0.04035381618631606,1.090954566690385,0.9852694343851077,0.04035381618631606,rosenbrock
7,-4.9224861364281045,-5.0,0.24344656144457652,3.5250768606759717,0.6288303198789011,0.6288303198789011,0.6288303198789011,0.0,False,True,0.0,logei,0.2180052999756299,False,False,,9,13ec4cd2-303a-4629-a719-c8da7e76ba47,missing_low,0.3,0,exact,value,learned,1e-06,"x0,x1,x2,x3",1.0256232505714238,0.9852694343851077,0.39679293069252264,6.942520330834832,0.04035381618631606,0.9917886186906903,0.9852694343851077,0.04035381618631606,rosenbrock
8,-5.0,10.0,0.39603335522852334,-5.0,-1.701875378027104,-1.701875378027104,-1.701875378027104,0.0,False,True,0.0,logei,0.23040120000950992,False,False,,9,13ec4cd2-303a-4629-a719-c8da7e76ba47,missing_low,0.3,0,exact,value,learned,1e-06,"x0,x1,x2,x3",1.0256232505714238,0.9852694343851077,2.7274986285985277,9.67001895943336,0.04035381618631606,1.20875236992917,0.9852694343851077,0.04035381618631606,rosenbrock
9,-0.7704447641637484,0.8363688117145799,-1.5812304426179786,2.143073027271672,1.02415233954864,1.02415233954864,1.02415233954864,0.0,False,True,0.0,logei,0.2560959000256844,False,False,,9,13ec4cd2-303a-4629-a719-c8da7e76ba47,missing_low,0.3,0,exact,value,learned,1e-06,"x0,x1,x2,x3",1.0256232505714238,1.02415233954864,0.0014709110227837385,9.671489870456144,0.0014709110227837385,1.074609985606238,1.02415233954864,0.0014709110227837385,rosenbrock
10,3.0056734446789695,4.31761723710294,-5.0,2.0235240265277064,0.7281451664719996,0.7281451664719996,0.7281451664719996,0.0,False,True,0.0,logei,0.31060520000755787,False,False,,9,13ec4cd2-303a-4629-a719-c8da7e76ba47,missing_low,0.3,0,exact,value,learned,1e-06,"x0,x1,x2,x3",1.0256232505714238,1.02415233954864,0.2974780840994242,9.968967954555568,0.0014709110227837385,0.9968967954555568,1.02415233954864,0.0014709110227837385,rosenbrock
