iteration,x0,x1,x2,x3,objective_true,objective_observed,error_applied,error_magnitude,acquisition,fit_time_sec,acq_opt_failed,seed,run_id,error_model,jitter_std,jitter_iteration,oracle_model,objective,observation_noise,known_noise_var,param_columns,y_opt,best_true_so_far,regret_inst_true,regret_cum_true,simple_regret_true,regret_avg_true,inference_value_true,inference_simple_regret_true,dataset
1,-11.339544880377971,31.93417520499429,-11.880966489013176,18.910343057901414,0.1301061399531898,0.1301061399531898,False,0.0,aei,0.0,False,8,873c5c43-ba89-4340-aedd-ec6d62ef3c1c,gaussian,5.0,20,exact,value,learned,1e-06,"x0,x1,x2,x3",20.102447153853433,0.1301061399531898,19.972341013900245,19.972341013900245,19.972341013900245,19.972341013900245,0.1301061399531898,19.972341013900245,ackley
2,24.241537790523218,-7.137866118647384,-4.070973563024257,-8.33952788713616,0.7880635586466374,0.7880635586466374,False,0.0,aei,0.0,False,8,873c5c43-ba89-4340-aedd-ec6d62ef3c1c,gaussian,5.0,20,exact,value,learned,1e-06,"x0,x1,x2,x3",20.102447153853433,0.7880635586466374,19.314383595206795,39.28672460910704,19.314383595206795,19.64336230455352,0.7880635586466374,19.314383595206795,ackley
3,-25.75868910156026,-1.378519995992182,-16.950745819730262,-15.915728990953163,0.10573524957595244,0.10573524957595244,False,0.0,aei,0.0,False,8,873c5c43-ba89-4340-aedd-ec6d62ef3c1c,gaussian,5.0,20,exact,value,learned,1e-06,"x0,x1,x2,x3",20.102447153853433,0.7880635586466374,19.99671190427748,59.283436513384515,19.314383595206795,19.761145504461506,0.7880635586466374,19.314383595206795,ackley
4,-20.661432691299787,-20.062892923007094,20.567010191279458,-5.047308245779984,-0.1606667771837387,-0.1606667771837387,False,0.0,aei,0.0,False,8,873c5c43-ba89-4340-aedd-ec6d62ef3c1c,gaussian,5.0,20,exact,value,learned,1e-06,"x0,x1,x2,x3",20.102447153853433,0.7880635586466374,20.26311393103717,79.54655044442168,19.314383595206795,19.88663761110542,0.7880635586466374,19.314383595206795,ackley
5,-15.995993773950499,5.957409293298014,6.833589194486962,9.624487661416474,2.136355962148398,2.136355962148398,False,0.0,aei,0.0,False,8,873c5c43-ba89-4340-aedd-ec6d62ef3c1c,gaussian,5.0,20,exact,value,learned,1e-06,"x0,x1,x2,x3",20.102447153853433,2.136355962148398,17.966091191705036,97.51264163612672,17.966091191705036,19.502528327225342,2.136355962148398,17.966091191705036,ackley
6,3.355193288994717,7.7357894658960245,8.994690444141836,14.785504900183001,2.1303165518826024,2.1303165518826024,False,0.0,aei,0.5447094999835826,False,8,873c5c43-ba89-4340-aedd-ec6d62ef3c1c,gaussian,5.0,20,exact,value,learned,1e-06,"x0,x1,x2,x3",20.102447153853433,2.136355962148398,17.972130601970832,115.48477223809755,17.966091191705036,19.247462039682926,2.136355962148398,17.966091191705036,ackley
7,-24.876277188645922,10.61143406649715,14.106485431451382,-5.404385817256857,0.03568344615454005,0.03568344615454005,False,0.0,aei,0.5038011999567971,False,8,873c5c43-ba89-4340-aedd-ec6d62ef3c1c,gaussian,5.0,20,exact,value,learned,1e-06,"x0,x1,x2,x3",20.102447153853433,2.136355962148398,20.066763707698893,135.55153594579645,17.966091191705036,19.364505135113777,2.136355962148398,17.966091191705036,ackley
8,-3.9312413855162043,0.8400155153162703,-3.2197441337789683,13.543212979879463,3.8861155017799667,3.8861155017799667,False,0.0,aei,0.47717550001107156,False,8,873c5c43-ba89-4340-aedd-ec6d62ef3c1c,gaussian,5.0,20,exact,value,learned,1e-06,"x0,x1,x2,x3",20.102447153853433,3.8861155017799667,16.216331652073467,151.76786759786992,16.216331652073467,18.97098344973374,3.8861155017799667,16.216331652073467,ackley
9,-7.088359837673938,-2.818109774278038,-7.697829572278614,19.958121609030055,1.7645720919433727,1.7645720919433727,False,0.0,aei,0.4537373000057414,False,8,873c5c43-ba89-4340-aedd-ec6d62ef3c1c,gaussian,5.0,20,exact,value,learned,1e-06,"x0,x1,x2,x3",20.102447153853433,3.8861155017799667,18.33787506191006,170.10574265978,16.216331652073467,18.900638073308887,3.8861155017799667,16.216331652073467,ackley
10,8.719008194223228,-2.9458404586055584,-4.834240025127233,11.644079030488914,3.3976148462289317,3.3976148462289317,False,0.0,aei,0.5491170999594033,False,8,873c5c43-ba89-4340-aedd-ec6d62ef3c1c,gaussian,5.0,20,exact,value,learned,1e-06,"x0,x1,x2,x3",20.102447153853433,3.8861155017799667,16.7048323076245,186.81057496740448,16.216331652073467,18.681057496740447,3.8861155017799667,16.216331652073467,ackley
