iteration,x0,x1,objective_true,objective_observed,error_applied,error_magnitude,acquisition,fit_time_sec,acq_opt_failed,seed,run_id,error_model,jitter_std,jitter_iteration,oracle_model,objective,observation_noise,known_noise_var,param_columns,y_opt,best_true_so_far,regret_inst_true,regret_cum_true,simple_regret_true,regret_avg_true,inference_value_true,inference_simple_regret_true,dataset
1,9.560017096289753,2.076818100791469,1.2331847136995135,1.224876384494053,True,-0.008308329205460652,logei,0.0,False,10,5b263f50-06e1-4616-9a5c-b66a31f1b3fc,gaussian,0.05,0,exact,value,learned,0.0025000000000000005,"x0,x1",1.2500554659000687,1.2331847136995135,0.016870752200555117,0.016870752200555117,0.016870752200555117,0.016870752200555117,1.2331847136995135,0.016870752200555117,branin
2,8.284448852745307,1.4928212308202027,0.980580217349636,0.993354288063233,True,0.012774070713597041,logei,0.0,False,10,5b263f50-06e1-4616-9a5c-b66a31f1b3fc,gaussian,0.05,0,exact,value,learned,0.0025000000000000005,"x0,x1",1.2500554659000687,1.2331847136995135,0.2694752485504327,0.2863460007509878,0.016870752200555117,0.1431730003754939,1.2331847136995135,0.016870752200555117,branin
3,5.1280461643656485,1.3591960402050662,0.6042195728302557,0.5583109965781207,True,-0.04590857625213507,logei,0.0,False,10,5b263f50-06e1-4616-9a5c-b66a31f1b3fc,gaussian,0.05,0,exact,value,learned,0.0025000000000000005,"x0,x1",1.2500554659000687,1.2331847136995135,0.6458358930698129,0.9321818938208007,0.016870752200555117,0.31072729794026693,1.2331847136995135,0.016870752200555117,branin
4,6.890364797811311,8.41747724312279,-2.1028324465741894,-2.145932324973418,True,-0.043099878399228686,logei,0.0,False,10,5b263f50-06e1-4616-9a5c-b66a31f1b3fc,gaussian,0.05,0,exact,value,learned,0.0025000000000000005,"x0,x1",1.2500554659000687,1.2331847136995135,3.352887912474258,4.285069806295058,0.016870752200555117,1.0712674515737646,1.2331847136995135,0.016870752200555117,branin
5,4.255089974049766,9.569260034533663,-2.071428512488231,-1.970037766257611,True,0.10139074623062005,logei,0.0,False,10,5b263f50-06e1-4616-9a5c-b66a31f1b3fc,gaussian,0.05,0,exact,value,learned,0.0025000000000000005,"x0,x1",1.2500554659000687,1.2331847136995135,3.3214839783883,7.606553784683358,0.016870752200555117,1.5213107569366717,1.2331847136995135,0.016870752200555117,branin
6,10.0,2.435650463390336,1.160698948301491,1.153214973412378,True,-0.007483974889112899,logei,0.37638860003789887,False,10,5b263f50-06e1-4616-9a5c-b66a31f1b3fc,gaussian,0.05,0,exact,value,learned,0.0025000000000000005,"x0,x1",1.2500554659000687,1.2331847136995135,0.08935651759857777,7.695910302281936,0.016870752200555117,1.2826517170469893,1.2331847136995135,0.016870752200555117,branin
7,10.0,1.6722817432373762,1.0913584078649934,0.9836578425616018,True,-0.10770056530339156,logei,0.3517337000230327,False,10,5b263f50-06e1-4616-9a5c-b66a31f1b3fc,gaussian,0.05,0,exact,value,learned,0.0025000000000000005,"x0,x1",1.2500554659000687,1.2331847136995135,0.15869705803507528,7.8546073603170115,0.016870752200555117,1.122086765759573,1.2331847136995135,0.016870752200555117,branin
8,9.010821751408736,2.7155481877591385,1.1958225739886945,1.2078439198643953,True,0.012021345875700806,logei,0.37420690001454204,False,10,5b263f50-06e1-4616-9a5c-b66a31f1b3fc,gaussian,0.05,0,exact,value,learned,0.0025000000000000005,"x0,x1",1.2500554659000687,1.2331847136995135,0.05423289191137415,7.908840252228385,0.016870752200555117,0.9886050315285482,1.2331847136995135,0.016870752200555117,branin
9,8.829009379118492,2.6098395519920325,1.1541377679546696,1.2121679167929371,True,0.058030148838267515,logei,0.32765910000307485,False,10,5b263f50-06e1-4616-9a5c-b66a31f1b3fc,gaussian,0.05,0,exact,value,learned,0.0025000000000000005,"x0,x1",1.2500554659000687,1.2331847136995135,0.09591769794539906,8.004757950173785,0.016870752200555117,0.8894175500193094,1.2331847136995135,0.016870752200555117,branin
10,8.581078950918698,2.573368310213172,1.0712934134865955,1.1236259203378176,True,0.05233250685122215,logei,0.42801050003618,False,10,5b263f50-06e1-4616-9a5c-b66a31f1b3fc,gaussian,0.05,0,exact,value,learned,0.0025000000000000005,"x0,x1",1.2500554659000687,1.2331847136995135,0.1787620524134732,8.183520002587258,0.016870752200555117,0.8183520002587258,1.2331847136995135,0.016870752200555117,branin
11,9.76688429532413,2.6236637255324604,1.2222746512332248,1.2747913833473745,True,0.052516732114149756,logei,0.41051430004881695,False,10,5b263f50-06e1-4616-9a5c-b66a31f1b3fc,gaussian,0.05,0,exact,value,learned,0.0025000000000000005,"x0,x1",1.2500554659000687,1.2331847136995135,0.0277808146668439,8.211300817254102,0.016870752200555117,0.7464818924776456,1.2222746512332248,0.0277808146668439,branin
12,10.0,2.764654785737667,1.1733838280206357,1.2022316907428872,True,0.028847862722251483,logei,0.6333136999746785,False,10,5b263f50-06e1-4616-9a5c-b66a31f1b3fc,gaussian,0.05,0,exact,value,learned,0.0025000000000000005,"x0,x1",1.2500554659000687,1.2331847136995135,0.07667163787943299,8.287972455133534,0.016870752200555117,0.6906643712611279,1.2222746512332248,0.0277808146668439,branin
13,10.0,2.7085013929106623,1.1719520813138318,1.172876828125916,True,0.0009247468120843205,logei,0.8955451999790967,False,10,5b263f50-06e1-4616-9a5c-b66a31f1b3fc,gaussian,0.05,0,exact,value,learned,0.0025000000000000005,"x0,x1",1.2500554659000687,1.2331847136995135,0.07810338458623689,8.366075839719771,0.016870752200555117,0.6435442953630593,1.2222746512332248,0.0277808146668439,branin
14,9.664225486304924,2.619834901458855,1.23674482836904,1.2470409530117714,True,0.01029612464273133,logei,0.6499271999928169,False,10,5b263f50-06e1-4616-9a5c-b66a31f1b3fc,gaussian,0.05,0,exact,value,learned,0.0025000000000000005,"x0,x1",1.2500554659000687,1.23674482836904,0.013310637531028569,8.3793864772508,0.013310637531028569,0.5985276055179144,1.2222746512332248,0.0277808146668439,branin
