iteration,x0,x1,x2,x3,x4,objective_true,objective_observed,error_applied,error_magnitude,acquisition,fit_time_sec,acq_opt_failed,seed,run_id,error_model,jitter_std,jitter_iteration,oracle_model,objective,observation_noise,known_noise_var,param_columns,y_opt,best_true_so_far,regret_inst_true,regret_cum_true,simple_regret_true,regret_avg_true,inference_value_true,inference_simple_regret_true,dataset
1,3.0033679477896715,0.6524516488288785,2.6026363654825047,0.4689836211867622,1.6110232157240438,-1.0005901198454061,-1.0178008736035113,True,-0.017210753758105213,logpi,0.0,False,10,e5ff465a-dab1-4dce-8730-8220c551509b,gaussian,0.25,0,exact,value,learned,0.0625,"x0,x1,x2,x3,x4",8.047721166688978,-1.0005901198454061,9.048311286534384,9.048311286534384,9.048311286534384,9.048311286534384,-1.0005901198454061,9.048311286534384,michalewicz
2,0.4270040294696573,2.1646719429357737,2.644428466875382,1.3367759402838328,3.0062717024781365,-0.9041066659867205,-1.2371781352629927,True,-0.3330714692762722,logpi,0.0,False,10,e5ff465a-dab1-4dce-8730-8220c551509b,gaussian,0.25,0,exact,value,learned,0.0625,"x0,x1,x2,x3,x4",8.047721166688978,-0.9041066659867205,8.951827832675699,18.000139119210083,8.951827832675699,9.000069559605041,-1.0005901198454061,9.048311286534384,michalewicz
3,2.5928597954643946,1.0625347409922794,1.8088051076493177,2.3665676041036434,2.598423652312292,-0.4821873194693632,-0.5356079824967445,True,-0.05342066302738124,logpi,0.0,False,10,e5ff465a-dab1-4dce-8730-8220c551509b,gaussian,0.25,0,exact,value,learned,0.0625,"x0,x1,x2,x3,x4",8.047721166688978,-0.4821873194693632,8.529908486158341,26.530047605368424,8.529908486158341,8.843349201789474,-0.4821873194693632,8.529908486158341,michalewicz
4,2.9324834426054185,0.45551426842114484,2.3423093136775615,0.43778531524264847,2.847944080472264,-0.9783677662708578,-0.7639907967436593,True,0.21437696952719842,logpi,0.0,False,10,e5ff465a-dab1-4dce-8730-8220c551509b,gaussian,0.25,0,exact,value,learned,0.0625,"x0,x1,x2,x3,x4",8.047721166688978,-0.4821873194693632,9.026088932959835,35.55613653832826,8.529908486158341,8.889034134582065,-0.4821873194693632,8.529908486158341,michalewicz
5,0.7103594437025119,2.680531730054245,0.9623259560190263,3.0468119599852646,1.6268241612762053,-0.1892230366634753,-0.07405461533214824,True,0.11516842133132707,logpi,0.0,False,10,e5ff465a-dab1-4dce-8730-8220c551509b,gaussian,0.25,0,exact,value,learned,0.0625,"x0,x1,x2,x3,x4",8.047721166688978,-0.1892230366634753,8.236944203352454,43.79308074168071,8.236944203352454,8.758616148336142,-0.1892230366634753,8.236944203352454,michalewicz
6,0.7124395276861158,2.681670449176261,0.9452337191561306,3.048582956328999,1.6238456487920105,-0.20951185908537243,-0.4944917460699638,True,-0.2849798869845914,logpi,0.6334472000016831,False,10,e5ff465a-dab1-4dce-8730-8220c551509b,gaussian,0.25,0,exact,value,learned,0.0625,"x0,x1,x2,x3,x4",8.047721166688978,-0.1892230366634753,8.257233025774351,52.050313767455066,8.236944203352454,8.675052294575844,-0.1892230366634753,8.236944203352454,michalewicz
7,0.7967472829910963,2.612914624897137,0.9826747747274943,3.0324090331297717,1.6599491710069165,-0.13616416941009712,0.30929785526371817,True,0.4454620246738153,logpi,0.38866160000907257,False,10,e5ff465a-dab1-4dce-8730-8220c551509b,gaussian,0.25,0,exact,value,learned,0.0625,"x0,x1,x2,x3,x4",8.047721166688978,-0.13616416941009712,8.183885336099076,60.23419910355414,8.183885336099076,8.60488558622202,-0.13616416941009712,8.183885336099076,michalewicz
8,0.8677882299579089,2.562388379165684,0.9896032278423099,3.0363544639884403,1.678487155069849,0.16154702859800932,0.1661788480433858,True,0.004631819445376495,logpi,0.33097169996472076,False,10,e5ff465a-dab1-4dce-8730-8220c551509b,gaussian,0.25,0,exact,value,learned,0.0625,"x0,x1,x2,x3,x4",8.047721166688978,0.16154702859800932,7.886174138090969,68.12037324164511,7.886174138090969,8.515046655205639,-0.13616416941009712,8.183885336099076,michalewicz
9,0.8347805412726537,2.583668901612533,0.9976130764155571,3.031189890962135,1.672941189132316,0.0696677696337029,0.1634120521068923,True,0.0937442824731894,logpi,0.5319051999831572,False,10,e5ff465a-dab1-4dce-8730-8220c551509b,gaussian,0.25,0,exact,value,learned,0.0625,"x0,x1,x2,x3,x4",8.047721166688978,0.16154702859800932,7.978053397055276,76.09842663870039,7.886174138090969,8.455380737633376,-0.13616416941009712,8.183885336099076,michalewicz
10,0.8429998022778035,2.575341348524865,1.0044868347119498,3.0248362955320345,1.6793940853797573,0.2308769482692772,0.32164024575574396,True,0.09076329748646675,logpi,0.6923224999918602,False,10,e5ff465a-dab1-4dce-8730-8220c551509b,gaussian,0.25,0,exact,value,learned,0.0625,"x0,x1,x2,x3,x4",8.047721166688978,0.2308769482692772,7.816844218419701,83.91527085712009,7.816844218419701,8.39152708571201,0.2308769482692772,7.816844218419701,michalewicz
11,0.8336630183319426,2.5805031517322017,1.0082911554004392,3.020791974346156,1.6794042859557818,0.25172246391482345,0.3509228117659583,True,0.09920034785113485,logpi,0.5114569999859668,False,10,e5ff465a-dab1-4dce-8730-8220c551509b,gaussian,0.25,0,exact,value,learned,0.0625,"x0,x1,x2,x3,x4",8.047721166688978,0.25172246391482345,7.795998702774154,91.71126955989425,7.795998702774154,8.337388141808567,0.25172246391482345,7.795998702774154,michalewicz
12,0.8197716963912569,2.589078512293536,1.0110804661627995,3.016923363337228,1.6779537834997988,0.24621052487835712,-0.13938051089534223,True,-0.38559103577369935,logpi,0.774412399972789,False,10,e5ff465a-dab1-4dce-8730-8220c551509b,gaussian,0.25,0,exact,value,learned,0.0625,"x0,x1,x2,x3,x4",8.047721166688978,0.25172246391482345,7.801510641810621,99.51278020170487,7.795998702774154,8.292731683475406,0.25172246391482345,7.795998702774154,michalewicz
13,0.8699492940512937,2.5570258846696987,1.004509822913328,3.028349340443157,1.6849584016042733,0.3450882090864958,-0.027929328427866162,True,-0.37301753751436195,logpi,0.6117373000015505,False,10,e5ff465a-dab1-4dce-8730-8220c551509b,gaussian,0.25,0,exact,value,learned,0.0625,"x0,x1,x2,x3,x4",8.047721166688978,0.3450882090864958,7.702632957602482,107.21541315930736,7.702632957602482,8.247339473792874,0.25172246391482345,7.795998702774154,michalewicz
14,0.8554123846930115,2.567134142833631,1.003762853127332,3.027003940464336,1.6815840209823725,0.2704477674748641,0.3038428092166246,True,0.0333950417417605,logpi,0.6432158999959938,False,10,e5ff465a-dab1-4dce-8730-8220c551509b,gaussian,0.25,0,exact,value,learned,0.0625,"x0,x1,x2,x3,x4",8.047721166688978,0.3450882090864958,7.777273399214114,114.99268655852147,7.702632957602482,8.213763325608676,0.25172246391482345,7.795998702774154,michalewicz
15,0.8511381427534037,2.5716263756652333,1.0016800051789567,3.0310675388775548,1.6773301351994852,0.1589964406382472,0.09604639493393667,True,-0.06295004570431052,logpi,0.6368996000383049,False,10,e5ff465a-dab1-4dce-8730-8220c551509b,gaussian,0.25,0,exact,value,learned,0.0625,"x0,x1,x2,x3,x4",8.047721166688978,0.3450882090864958,7.888724726050731,122.8814112845722,7.702632957602482,8.192094085638146,0.25172246391482345,7.795998702774154,michalewicz
16,0.8618004816844306,2.5624175139825622,1.004756471111415,3.026876004913465,1.6835700601786527,0.3169351927270598,0.1823862300481957,True,-0.13454896267886407,logpi,0.6626276999595575,False,10,e5ff465a-dab1-4dce-8730-8220c551509b,gaussian,0.25,0,exact,value,learned,0.0625,"x0,x1,x2,x3,x4",8.047721166688978,0.3450882090864958,7.730785973961918,130.6121972585341,7.702632957602482,8.163262328658382,0.25172246391482345,7.795998702774154,michalewicz
17,0.8460423260530475,2.574418866217347,1.0021544944311735,3.028695020318274,1.678046672402733,0.18742425737689344,0.3517954524950041,True,0.16437119511811066,logpi,0.8312886000494473,False,10,e5ff465a-dab1-4dce-8730-8220c551509b,gaussian,0.25,0,exact,value,learned,0.0625,"x0,x1,x2,x3,x4",8.047721166688978,0.3450882090864958,7.860296909312085,138.4724941678462,7.702632957602482,8.145440833402718,0.18742425737689344,7.860296909312085,michalewicz
18,0.8659143574959911,2.559503364539763,1.0055852248131325,3.0274172179604126,1.6846138071110814,0.34103396844169714,0.5300189098311224,True,0.1889849413894253,logpi,0.6378159999730997,False,10,e5ff465a-dab1-4dce-8730-8220c551509b,gaussian,0.25,0,exact,value,learned,0.0625,"x0,x1,x2,x3,x4",8.047721166688978,0.3450882090864958,7.706687198247281,146.1791813660935,7.702632957602482,8.121065631449639,0.34103396844169714,7.706687198247281,michalewicz
19,0.8812485026968867,2.548239884543348,1.0082025400049628,3.027450580129436,1.6892386650214457,0.4518653328954705,0.4106115240317522,True,-0.041253808863718266,logpi,0.6687631999957375,False,10,e5ff465a-dab1-4dce-8730-8220c551509b,gaussian,0.25,0,exact,value,learned,0.0625,"x0,x1,x2,x3,x4",8.047721166688978,0.4518653328954705,7.595855833793507,153.775037199887,7.595855833793507,8.093423010520368,0.34103396844169714,7.706687198247281,michalewicz
20,0.8959120670711787,2.5376679522099437,1.0100484219120007,3.027972545104414,1.6933510454977303,0.5478921438272916,0.44263207808248506,True,-0.10526006574480651,logpi,0.6331357000162825,False,10,e5ff465a-dab1-4dce-8730-8220c551509b,gaussian,0.25,0,exact,value,learned,0.0625,"x0,x1,x2,x3,x4",8.047721166688978,0.5478921438272916,7.499829022861687,161.2748662227487,7.499829022861687,8.063743311137435,0.34103396844169714,7.706687198247281,michalewicz
21,0.9108143340320835,2.5264648269530574,1.0165569078971939,3.0284275324758796,1.697588941016509,0.6466498043351806,0.8684627164366058,True,0.22181291210142517,logpi,0.5304978999774903,False,10,e5ff465a-dab1-4dce-8730-8220c551509b,gaussian,0.25,0,exact,value,learned,0.0625,"x0,x1,x2,x3,x4",8.047721166688978,0.6466498043351806,7.401071362353798,168.6759375851025,7.401071362353798,8.0321875040525,0.6466498043351806,7.401071362353798,michalewicz
22,0.952663459811467,2.4962223211116985,1.0256462557500519,3.0308657417464113,1.7086219059883303,0.8463311780918246,0.8088964899988447,True,-0.037434688092979895,logpi,0.5404007000033744,False,10,e5ff465a-dab1-4dce-8730-8220c551509b,gaussian,0.25,0,exact,value,learned,0.0625,"x0,x1,x2,x3,x4",8.047721166688978,0.8463311780918246,7.201389988597153,175.87732757369966,7.201389988597153,7.994423980622712,0.6466498043351806,7.401071362353798,michalewicz
23,0.9970266697918094,2.4670775052738945,1.0302684066374102,3.0411885989789584,1.7141425385382822,0.9063255590071654,1.2692870503368332,True,0.3629614913296678,logpi,0.5638341999729164,False,10,e5ff465a-dab1-4dce-8730-8220c551509b,gaussian,0.25,0,exact,value,learned,0.0625,"x0,x1,x2,x3,x4",8.047721166688978,0.9063255590071654,7.141395607681813,183.01872318138146,7.141395607681813,7.957335790494846,0.9063255590071654,7.141395607681813,michalewicz
24,1.0343614313809557,2.439438479886329,1.0436133007931203,3.0432157697536435,1.7246775169128725,0.94287106153323,0.6422840754491334,True,-0.3005869860840966,logpi,0.6701137999771163,False,10,e5ff465a-dab1-4dce-8730-8220c551509b,gaussian,0.25,0,exact,value,learned,0.0625,"x0,x1,x2,x3,x4",8.047721166688978,0.94287106153323,7.104850105155748,190.1235732865372,7.104850105155748,7.921815553605717,0.9063255590071654,7.141395607681813,michalewicz
25,1.0215935362426007,2.449029006507914,1.0378957610712212,3.042659926292882,1.7210172762709226,0.9417334979011488,0.696217334172941,True,-0.24551616372820784,logpi,0.5711077000014484,False,10,e5ff465a-dab1-4dce-8730-8220c551509b,gaussian,0.25,0,exact,value,learned,0.0625,"x0,x1,x2,x3,x4",8.047721166688978,0.94287106153323,7.105987668787829,197.22956095532504,7.104850105155748,7.889182438213002,0.9063255590071654,7.141395607681813,michalewicz
26,1.0272287313191006,2.445781135872483,1.0370530822334567,3.0449400951889856,1.7208819030099338,0.940184847825747,1.097687475899181,True,0.15750262807343407,logpi,0.5420246999710798,False,10,e5ff465a-dab1-4dce-8730-8220c551509b,gaussian,0.25,0,exact,value,learned,0.0625,"x0,x1,x2,x3,x4",8.047721166688978,0.94287106153323,7.1075363188632315,204.33709727418827,7.104850105155748,7.859119125930318,0.9063255590071654,7.141395607681813,michalewicz
27,1.0447550859684356,2.4343312936658577,1.0384928952901777,3.0491523104357037,1.7230217644713866,0.9390758218383833,0.9588987879065805,True,0.019822966068197112,logpi,0.4886248999973759,False,10,e5ff465a-dab1-4dce-8730-8220c551509b,gaussian,0.25,0,exact,value,learned,0.0625,"x0,x1,x2,x3,x4",8.047721166688978,0.94287106153323,7.108645344850595,211.44574261903887,7.104850105155748,7.831323800705143,0.9063255590071654,7.141395607681813,michalewicz
28,1.0547774814021778,2.4280699886865125,1.038603540888429,3.0522387083952847,1.7236789768021736,0.9370630136618229,0.793778697914874,True,-0.1432843157469489,logpi,0.5580965999979526,False,10,e5ff465a-dab1-4dce-8730-8220c551509b,gaussian,0.25,0,exact,value,learned,0.0625,"x0,x1,x2,x3,x4",8.047721166688978,0.94287106153323,7.110658153027155,218.556400772066,7.104850105155748,7.805585741859501,0.9063255590071654,7.141395607681813,michalewicz
29,1.037934519071227,2.438518089037893,1.0387393364356108,3.0469503508186566,1.722708807648931,0.9404436956622158,0.5436280852388686,True,-0.3968156104233471,logpi,0.5199188000406139,False,10,e5ff465a-dab1-4dce-8730-8220c551509b,gaussian,0.25,0,exact,value,learned,0.0625,"x0,x1,x2,x3,x4",8.047721166688978,0.94287106153323,7.107277471026762,225.66367824309276,7.104850105155748,7.781506146313544,0.9063255590071654,7.141395607681813,michalewicz
30,1.03366925096198,2.4415321052536307,1.0376899047708645,3.04639661596641,1.7217523725668697,0.940451432429642,0.5105165023322809,True,-0.42993493009736117,logpi,0.4983920999802649,False,10,e5ff465a-dab1-4dce-8730-8220c551509b,gaussian,0.25,0,exact,value,learned,0.0625,"x0,x1,x2,x3,x4",8.047721166688978,0.94287106153323,7.1072697342593365,232.7709479773521,7.104850105155748,7.759031599245071,0.9063255590071654,7.141395607681813,michalewicz
31,1.035935242213803,2.4405144963462035,1.036582101534451,3.0479438003484494,1.7211153700055484,0.9391151930385331,1.3906183226707287,True,0.45150312963219563,logpi,0.4735528000164777,False,10,e5ff465a-dab1-4dce-8730-8220c551509b,gaussian,0.25,0,exact,value,learned,0.0625,"x0,x1,x2,x3,x4",8.047721166688978,0.94287106153323,7.108605973650445,239.87955395100255,7.104850105155748,7.738050127451695,0.9391151930385331,7.108605973650445,michalewicz
32,1.2503455546363504,2.291513066313565,1.067807820169002,3.073133335462626,1.7651924147779114,0.12742514574386982,0.1274592127505112,True,3.4067006641380626e-05,logpi,0.3058191000018269,False,10,e5ff465a-dab1-4dce-8730-8220c551509b,gaussian,0.25,0,exact,value,learned,0.0625,"x0,x1,x2,x3,x4",8.047721166688978,0.94287106153323,7.920296020945108,247.79984997194765,7.104850105155748,7.743745311623364,0.9391151930385331,7.108605973650445,michalewicz
33,1.031743177744499,2.4432290543610136,1.0365025735355238,3.0469964002987453,1.7206395884761283,0.9392212729345456,1.7021927055904378,True,0.7629714326558922,logpi,0.40556419995846227,False,10,e5ff465a-dab1-4dce-8730-8220c551509b,gaussian,0.25,0,exact,value,learned,0.0625,"x0,x1,x2,x3,x4",8.047721166688978,0.94287106153323,7.108499893754432,254.9083498657021,7.104850105155748,7.724495450475821,0.9392212729345456,7.108499893754432,michalewicz
34,1.035224543072098,2.4411058144467646,1.0365140025034276,3.048233287349545,1.720750415134988,0.9391868985536105,0.8428648352274525,True,-0.096322063326158,logpi,0.4794435999938287,False,10,e5ff465a-dab1-4dce-8730-8220c551509b,gaussian,0.25,0,exact,value,learned,0.0625,"x0,x1,x2,x3,x4",8.047721166688978,0.94287106153323,7.108534268135368,262.01688413383744,7.104850105155748,7.706378945112866,0.9392212729345456,7.108499893754432,michalewicz
35,1.035148332443032,2.4411433334276693,1.0365355131481335,3.0481858299660334,1.7207662352010353,0.9392210533109346,0.7223524782257473,True,-0.2168685750851873,logpi,0.4421622999943793,False,10,e5ff465a-dab1-4dce-8730-8220c551509b,gaussian,0.25,0,exact,value,learned,0.0625,"x0,x1,x2,x3,x4",8.047721166688978,0.94287106153323,7.108500113378044,269.1253842472155,7.104850105155748,7.689296692777585,0.9392212729345456,7.108499893754432,michalewicz
36,1.0347305833087856,2.4413647211932137,1.036603515421057,3.0479537394500738,1.7208219933438043,0.9393264080826631,1.4028760231153756,True,0.4635496150327125,logpi,0.4398949000169523,False,10,e5ff465a-dab1-4dce-8730-8220c551509b,gaussian,0.25,0,exact,value,learned,0.0625,"x0,x1,x2,x3,x4",8.047721166688978,0.94287106153323,7.108394758606315,276.2337790058218,7.104850105155748,7.673160527939495,0.9392212729345456,7.108499893754432,michalewicz
37,1.0364155159419044,2.4403952918465466,1.0364919150772351,3.0487034295190916,1.7207568574707837,0.9391367496163348,1.019931572122795,True,0.0807948225064603,logpi,0.48630640003830194,False,10,e5ff465a-dab1-4dce-8730-8220c551509b,gaussian,0.25,0,exact,value,learned,0.0625,"x0,x1,x2,x3,x4",8.047721166688978,0.94287106153323,7.1085844170726435,283.34236342289444,7.104850105155748,7.657901714132282,0.9392212729345456,7.108499893754432,michalewicz
38,1.0367491189369773,2.4402289980686294,1.03641647707353,3.0489164808284968,1.720691387227566,0.9390174980883308,0.565830520299968,True,-0.37318697778836274,logpi,0.4608853000099771,False,10,e5ff465a-dab1-4dce-8730-8220c551509b,gaussian,0.25,0,exact,value,learned,0.0625,"x0,x1,x2,x3,x4",8.047721166688978,0.94287106153323,7.108703668600647,290.4510670914951,7.104850105155748,7.643449133986713,0.9392212729345456,7.108499893754432,michalewicz
39,1.0359201314769573,2.440624160144302,1.0366423171445818,3.048341816965933,1.72089146744106,0.9393575156199682,1.2694151125628426,True,0.3300575969428744,logpi,0.5204425000119954,False,10,e5ff465a-dab1-4dce-8730-8220c551509b,gaussian,0.25,0,exact,value,learned,0.0625,"x0,x1,x2,x3,x4",8.047721166688978,0.94287106153323,7.10836365106901,297.5594307425641,7.104850105155748,7.629728993399079,0.9392212729345456,7.108499893754432,michalewicz
40,1.0368955961411417,2.440072708167566,1.036557566572566,3.0488012334688976,1.7208340721296056,0.9392234671711645,0.9107007208789546,True,-0.028522746292209855,logpi,0.45789709995733574,False,10,e5ff465a-dab1-4dce-8730-8220c551509b,gaussian,0.25,0,exact,value,learned,0.0625,"x0,x1,x2,x3,x4",8.047721166688978,0.94287106153323,7.108497699517814,304.6679284420819,7.104850105155748,7.616698211052048,0.9392212729345456,7.108499893754432,michalewicz
41,1.0368523889398038,2.440101129906555,1.0365530642643188,3.048790456879853,1.720828015414334,0.9392181170242767,1.2100830497320576,True,0.2708649327077809,logpi,0.4617257000063546,False,10,e5ff465a-dab1-4dce-8730-8220c551509b,gaussian,0.25,0,exact,value,learned,0.0625,"x0,x1,x2,x3,x4",8.047721166688978,0.94287106153323,7.1085030496647015,311.7764314917466,7.104850105155748,7.6043032071157715,0.9392212729345456,7.108499893754432,michalewicz
42,1.037560828246281,2.439728950456366,1.0364301129696853,3.049194791287004,1.7207288956613427,0.939026716888958,0.5964608163531003,True,-0.34256590053585767,logpi,0.44866120000369847,False,10,e5ff465a-dab1-4dce-8730-8220c551509b,gaussian,0.25,0,exact,value,learned,0.0625,"x0,x1,x2,x3,x4",8.047721166688978,0.94287106153323,7.10869444980002,318.8851259415466,7.104850105155748,7.592502998608253,0.9392212729345456,7.108499893754432,michalewicz
43,1.0368668873423608,2.4400613044057624,1.0366163709969745,3.0487166737223497,1.7208922213248905,0.9393038623134653,1.1799418666679242,True,0.24063800435445892,logpi,0.5113816999946721,False,10,e5ff465a-dab1-4dce-8730-8220c551509b,gaussian,0.25,0,exact,value,learned,0.0625,"x0,x1,x2,x3,x4",8.047721166688978,0.94287106153323,7.108417304375513,325.9935432459221,7.104850105155748,7.581245191765631,0.9392212729345456,7.108499893754432,michalewicz
44,1.0374093112461098,2.4397683747067127,1.0365384483439593,3.0490058302728844,1.720832426844825,0.9391863815527555,0.5574418608291436,True,-0.38174452072361187,logpi,0.5360064000124112,False,10,e5ff465a-dab1-4dce-8730-8220c551509b,gaussian,0.25,0,exact,value,learned,0.0625,"x0,x1,x2,x3,x4",8.047721166688978,0.94287106153323,7.108534785136223,333.10207803105834,7.104850105155748,7.570501773433144,0.9392212729345456,7.108499893754432,michalewicz
