iteration,x0,x1,x2,x3,objective_true,objective_observed,error_applied,error_magnitude,acquisition,fit_time_sec,acq_opt_failed,seed,run_id,error_model,jitter_std,jitter_iteration,oracle_model,objective,observation_noise,known_noise_var,param_columns,y_opt,best_true_so_far,regret_inst_true,regret_cum_true,simple_regret_true,regret_avg_true,inference_value_true,inference_simple_regret_true,dataset
1,-1.0572495105499535,4.88549159004133,-1.1316024536303493,3.0969404223802606,-0.0270111171670564,-12.065170672328673,True,-12.038159555161617,logei,0.0,False,8,0346e80a-302b-44b7-92dc-f4ce5a403706,gaussian,5.0,0,exact,value,learned,25.0,"x0,x1,x2,x3",0.7642238834584598,-0.0270111171670564,0.7912350006255162,0.7912350006255162,0.7912350006255162,0.7912350006255162,-0.0270111171670564,0.7912350006255162,powell
2,3.8290686052659444,-0.48023674114725434,-0.059063141894810656,-0.6452598721958225,0.36575993958875697,-3.1357103307351313,True,-3.501470270323888,logei,0.0,False,8,0346e80a-302b-44b7-92dc-f4ce5a403706,gaussian,5.0,0,exact,value,learned,25.0,"x0,x1,x2,x3",0.7642238834584598,0.36575993958875697,0.39846394386970285,1.189698944495219,0.39846394386970285,0.5948494722476095,0.36575993958875697,0.39846394386970285,powell
3,-3.037417631745031,0.31068908746445256,-1.8278306942378597,-1.6856927630398322,0.7363068157960224,11.210532990498342,True,10.47422617470232,logei,0.0,False,8,0346e80a-302b-44b7-92dc-f4ce5a403706,gaussian,5.0,0,exact,value,learned,25.0,"x0,x1,x2,x3",0.7642238834584598,0.7363068157960224,0.0279170676624374,1.2176160121576565,0.0279170676624374,0.40587200405255214,0.7363068157960224,0.0279170676624374,powell
4,-2.337415988490266,-2.2552190598612034,3.324449031395189,-0.19314230670196286,0.05099766210755411,3.456439755895304,True,3.40544209378775,logei,0.0,False,8,0346e80a-302b-44b7-92dc-f4ce5a403706,gaussian,5.0,0,exact,value,learned,25.0,"x0,x1,x2,x3",0.7642238834584598,0.7363068157960224,0.7132262213509057,1.9308422335085622,0.0279170676624374,0.48271055837714055,0.7363068157960224,0.0279170676624374,powell
5,-1.6967154535759654,1.3181256658887044,1.4384506645261022,1.821722243541691,0.5981998088701478,6.1438193407966,True,5.5456195319264525,logei,0.0,False,8,0346e80a-302b-44b7-92dc-f4ce5a403706,gaussian,5.0,0,exact,value,learned,25.0,"x0,x1,x2,x3",0.7642238834584598,0.7363068157960224,0.16602407458831203,2.096866308096874,0.0279170676624374,0.4193732616193748,0.7363068157960224,0.0279170676624374,powell
6,-4.0,-0.052346310570087,-2.340492103687066,2.013378234799591,-0.5919849269161599,-3.6065928273193166,True,-3.0146079004031567,logei,0.3242812000098638,False,8,0346e80a-302b-44b7-92dc-f4ce5a403706,gaussian,5.0,0,exact,value,learned,25.0,"x0,x1,x2,x3",0.7642238834584598,0.7363068157960224,1.3562088103746197,3.453075118471494,0.0279170676624374,0.575512519745249,0.7363068157960224,0.0279170676624374,powell
7,-4.0,0.11826566872532772,-1.9283812114179646,-2.752065786124118,0.7358830904395732,-13.640662672272908,True,-14.376545762712482,logei,0.34136830002535135,False,8,0346e80a-302b-44b7-92dc-f4ce5a403706,gaussian,5.0,0,exact,value,learned,25.0,"x0,x1,x2,x3",0.7642238834584598,0.7363068157960224,0.02834079301888659,3.4814159114903807,0.0279170676624374,0.49734513021291155,0.7363068157960224,0.0279170676624374,powell
8,-2.780973049958139,0.18823777175374787,-1.091453274462892,-1.0809684692664456,0.752704691405084,7.019472211088247,True,6.266767519683163,logei,0.4317391000222415,False,8,0346e80a-302b-44b7-92dc-f4ce5a403706,gaussian,5.0,0,exact,value,learned,25.0,"x0,x1,x2,x3",0.7642238834584598,0.752704691405084,0.011519192053375815,3.4929351035437564,0.011519192053375815,0.43661688794296954,0.7363068157960224,0.0279170676624374,powell
9,-3.0226341628683424,0.5785277407787266,-4.0,-3.191684122604637,0.22507114582526028,10.570972229198379,True,10.345901083373118,logei,0.6376655999920331,False,8,0346e80a-302b-44b7-92dc-f4ce5a403706,gaussian,5.0,0,exact,value,learned,25.0,"x0,x1,x2,x3",0.7642238834584598,0.752704691405084,0.5391527376331995,4.032087841176956,0.011519192053375815,0.4480097601307729,0.7363068157960224,0.0279170676624374,powell
10,-3.1238923482062497,2.657170208679383,-4.0,-0.6138262045022839,-0.6171425148674156,-1.9344184706616572,True,-1.3172759557942415,logei,0.5813651999924332,False,8,0346e80a-302b-44b7-92dc-f4ce5a403706,gaussian,5.0,0,exact,value,learned,25.0,"x0,x1,x2,x3",0.7642238834584598,0.752704691405084,1.3813663983258753,5.4134542395028316,0.011519192053375815,0.5413454239502832,0.7363068157960224,0.0279170676624374,powell
