iteration,x0,x1,x2,x3,objective_true,objective_observed,error_applied,error_magnitude,acquisition,fit_time_sec,acq_opt_failed,seed,run_id,error_model,jitter_std,jitter_iteration,oracle_model,objective,observation_noise,known_noise_var,param_columns,y_opt,best_true_so_far,regret_inst_true,regret_cum_true,simple_regret_true,regret_avg_true,inference_value_true,inference_simple_regret_true,dataset
1,0.625095466604667,0.8972138009695755,0.7756856902451935,0.22520718999059186,-0.546201326683265,-0.546201326683265,False,0.0,logpi,0.0,False,7,69f8b683-fc8e-44a0-870f-24eca1615be4,gaussian,1.0,20,exact,value,learned,1e-06,"x0,x1,x2,x3",1.7175746997911816,-0.546201326683265,2.2637760264744466,2.2637760264744466,2.2637760264744466,2.2637760264744466,-0.546201326683265,2.2637760264744466,power_law_practice
2,0.30016628491122543,0.8735534453962619,0.005265304565574724,0.8212284183827663,0.5926518734399763,0.5926518734399763,False,0.0,logpi,0.0,False,7,69f8b683-fc8e-44a0-870f-24eca1615be4,gaussian,1.0,20,exact,value,learned,1e-06,"x0,x1,x2,x3",1.7175746997911816,0.5926518734399763,1.1249228263512054,3.388698852825652,1.1249228263512054,1.694349426412826,0.5926518734399763,1.1249228263512054,power_law_practice
3,0.7970694287520462,0.4679349528437208,0.3030324268193135,0.2784256121007733,-0.311445012039257,-0.311445012039257,False,0.0,logpi,0.0,False,7,69f8b683-fc8e-44a0-870f-24eca1615be4,gaussian,1.0,20,exact,value,learned,1e-06,"x0,x1,x2,x3",1.7175746997911816,0.5926518734399763,2.0290197118304385,5.417718564656091,1.1249228263512054,1.8059061882186969,0.5926518734399763,1.1249228263512054,power_law_practice
4,0.2548695876541246,0.4450763058826466,0.5045482589579533,0.5534973520744925,0.30873777734457825,0.30873777734457825,False,0.0,logpi,0.0,False,7,69f8b683-fc8e-44a0-870f-24eca1615be4,gaussian,1.0,20,exact,value,learned,1e-06,"x0,x1,x2,x3",1.7175746997911816,0.5926518734399763,1.4088369224466033,6.826555487102694,1.1249228263512054,1.7066388717756735,0.5926518734399763,1.1249228263512054,power_law_practice
5,0.9955002834343927,0.7926619192137531,0.6221792294411627,0.9889601476818849,1.3527697990354184,1.3527697990354184,False,0.0,logpi,0.0,False,7,69f8b683-fc8e-44a0-870f-24eca1615be4,gaussian,1.0,20,exact,value,learned,1e-06,"x0,x1,x2,x3",1.7175746997911816,1.3527697990354184,0.3648049007557632,7.191360387858458,0.3648049007557632,1.4382720775716915,1.3527697990354184,0.3648049007557632,power_law_practice
6,1.0,0.7770138662660319,0.6540160418468715,0.999081331861561,1.3750098672566287,1.3750098672566287,False,0.0,logpi,0.35301700001582503,False,7,69f8b683-fc8e-44a0-870f-24eca1615be4,gaussian,1.0,20,exact,value,learned,1e-06,"x0,x1,x2,x3",1.7175746997911816,1.3750098672566287,0.34256483253455294,7.5339252203930105,0.34256483253455294,1.2556542033988352,1.3750098672566287,0.34256483253455294,power_law_practice
7,1.0,0.7618921999875832,0.6820333963958594,1.0,1.3837089473422077,1.3837089473422077,False,0.0,logpi,0.4427466999622993,False,7,69f8b683-fc8e-44a0-870f-24eca1615be4,gaussian,1.0,20,exact,value,learned,1e-06,"x0,x1,x2,x3",1.7175746997911816,1.3837089473422077,0.3338657524489739,7.867790972841984,0.3338657524489739,1.1239701389774264,1.3837089473422077,0.3338657524489739,power_law_practice
8,1.0,0.7414634285522773,0.718534114554923,1.0,1.393462965205013,1.393462965205013,False,0.0,logpi,0.45691100001567975,False,7,69f8b683-fc8e-44a0-870f-24eca1615be4,gaussian,1.0,20,exact,value,learned,1e-06,"x0,x1,x2,x3",1.7175746997911816,1.393462965205013,0.3241117345861686,8.191902707428152,0.3241117345861686,1.023987838428519,1.393462965205013,0.3241117345861686,power_law_practice
9,1.0,0.6986589380687523,0.790978265265456,1.0,1.411455301961868,1.411455301961868,False,0.0,logpi,0.41335839999374,False,7,69f8b683-fc8e-44a0-870f-24eca1615be4,gaussian,1.0,20,exact,value,learned,1e-06,"x0,x1,x2,x3",1.7175746997911816,1.411455301961868,0.3061193978293135,8.498022105257466,0.3061193978293135,0.9442246783619406,1.411455301961868,0.3061193978293135,power_law_practice
10,1.0,0.6156129860379721,0.9261124457018646,1.0,1.443073677843601,1.443073677843601,False,0.0,logpi,0.4512659999891184,False,7,69f8b683-fc8e-44a0-870f-24eca1615be4,gaussian,1.0,20,exact,value,learned,1e-06,"x0,x1,x2,x3",1.7175746997911816,1.443073677843601,0.2745010219475805,8.772523127205046,0.2745010219475805,0.8772523127205046,1.443073677843601,0.2745010219475805,power_law_practice
11,1.0,0.5545784950964702,1.0,1.0,1.4508729183615212,1.4508729183615212,False,0.0,logpi,0.4331948999897577,False,7,69f8b683-fc8e-44a0-870f-24eca1615be4,gaussian,1.0,20,exact,value,learned,1e-06,"x0,x1,x2,x3",1.7175746997911816,1.4508729183615212,0.2667017814296604,9.039224908634706,0.2667017814296604,0.8217477189667914,1.4508729183615212,0.2667017814296604,power_law_practice
12,1.0,0.5241591592426019,1.0,1.0,1.4324120984730557,1.4324120984730557,False,0.0,logpi,0.43452790001174435,False,7,69f8b683-fc8e-44a0-870f-24eca1615be4,gaussian,1.0,20,exact,value,learned,1e-06,"x0,x1,x2,x3",1.7175746997911816,1.4508729183615212,0.2851626013181259,9.324387509952832,0.2667017814296604,0.7770322924960693,1.4508729183615212,0.2667017814296604,power_law_practice
13,1.0,0.6043926618350298,1.0,1.0,1.481078626310693,1.481078626310693,False,0.0,logpi,0.4685629000305198,False,7,69f8b683-fc8e-44a0-870f-24eca1615be4,gaussian,1.0,20,exact,value,learned,1e-06,"x0,x1,x2,x3",1.7175746997911816,1.481078626310693,0.23649607348048862,9.56088358343332,0.23649607348048862,0.7354525833410246,1.481078626310693,0.23649607348048862,power_law_practice
14,1.0,0.7552159176469274,1.0,1.0,1.5721378208917258,1.5721378208917258,False,0.0,logpi,0.416068600025028,False,7,69f8b683-fc8e-44a0-870f-24eca1615be4,gaussian,1.0,20,exact,value,learned,1e-06,"x0,x1,x2,x3",1.7175746997911816,1.5721378208917258,0.14543687889945578,9.706320462332776,0.14543687889945578,0.6933086044523412,1.5721378208917258,0.14543687889945578,power_law_practice
15,1.0,0.9364887920348198,1.0,1.0,1.6802048034703114,1.6802048034703114,False,0.0,logpi,0.40633089997572824,False,7,69f8b683-fc8e-44a0-870f-24eca1615be4,gaussian,1.0,20,exact,value,learned,1e-06,"x0,x1,x2,x3",1.7175746997911816,1.6802048034703114,0.03736989632087018,9.743690358653646,0.03736989632087018,0.6495793572435764,1.6802048034703114,0.03736989632087018,power_law_practice
