iteration,x0,x1,x2,x3,objective_true,objective_observed,error_applied,error_magnitude,acquisition,fit_time_sec,acq_opt_failed,seed,run_id,error_model,jitter_std,jitter_iteration,oracle_model,objective,observation_noise,known_noise_var,param_columns,y_opt,best_true_so_far,regret_inst_true,regret_cum_true,simple_regret_true,regret_avg_true,inference_value_true,inference_simple_regret_true,dataset
1,0.12857020276919962,0.49927786244011496,0.6014983576233575,0.028689008371944547,-0.4634780554781292,-0.6098837311957325,True,-0.14640567571760327,logei,0.0,False,11,aefc25a5-b52d-48c5-9d33-119b3bb954f0,gaussian,0.05,0,exact,value,learned,0.0025000000000000005,"x0,x1,x2,x3",1.290375177799024,-0.4634780554781292,1.7538532332771533,1.7538532332771533,1.7538532332771533,1.7538532332771533,-0.4634780554781292,1.7538532332771533,steering_law
2,0.14792608457745593,0.9282110229603695,0.07042057615419683,0.12977394939929798,-5.277783987635228,-5.337505290679382,True,-0.059721303044153906,logei,0.0,False,11,aefc25a5-b52d-48c5-9d33-119b3bb954f0,gaussian,0.05,0,exact,value,learned,0.0025000000000000005,"x0,x1,x2,x3",1.290375177799024,-0.4634780554781292,6.568159165434253,8.322012398711406,1.7538532332771533,4.161006199355703,-0.4634780554781292,1.7538532332771533,steering_law
3,0.9483284532917751,0.6218835927963828,0.368993123729791,0.5113900218032627,0.18928051892034975,0.24492277431962833,True,0.055642255399278584,logei,0.0,False,11,aefc25a5-b52d-48c5-9d33-119b3bb954f0,gaussian,0.05,0,exact,value,learned,0.0025000000000000005,"x0,x1,x2,x3",1.290375177799024,0.18928051892034975,1.1010946588786743,9.42310705759008,1.1010946588786743,3.14103568586336,0.18928051892034975,1.1010946588786743,steering_law
4,0.6628429525167993,0.2753088157611293,0.13796807286695534,0.7880395945039919,0.7141022450632034,0.7487928627627912,True,0.03469061769958781,logei,0.0,False,11,aefc25a5-b52d-48c5-9d33-119b3bb954f0,gaussian,0.05,0,exact,value,learned,0.0025000000000000005,"x0,x1,x2,x3",1.290375177799024,0.7141022450632034,0.5762729327358206,9.9993799903259,0.5762729327358206,2.499844997581475,0.7141022450632034,0.5762729327358206,steering_law
5,0.6703605841024838,0.5123823134831604,0.8167364359696581,0.5490752688700263,0.3945429821486804,0.3703148742032704,True,-0.02422810794540997,logei,0.0,False,11,aefc25a5-b52d-48c5-9d33-119b3bb954f0,gaussian,0.05,0,exact,value,learned,0.0025000000000000005,"x0,x1,x2,x3",1.290375177799024,0.7141022450632034,0.8958321956503437,10.895212185976245,0.5762729327358206,2.179042437195249,0.7141022450632034,0.5762729327358206,steering_law
6,1.0,0.38495186816250626,0.08219456013958418,0.20059369885104056,0.2976183993398535,0.36173002268495263,True,0.06411162334509912,logei,0.620187500026077,False,11,aefc25a5-b52d-48c5-9d33-119b3bb954f0,gaussian,0.05,0,exact,value,learned,0.0025000000000000005,"x0,x1,x2,x3",1.290375177799024,0.7141022450632034,0.9927567784591704,11.887968964435416,0.5762729327358206,1.981328160739236,0.7141022450632034,0.5762729327358206,steering_law
7,0.837287256263649,0.4386896902651132,0.03224644548955369,1.0,0.6794345321032611,0.7116964834299315,True,0.032261951326670424,logei,0.48705180000979453,False,11,aefc25a5-b52d-48c5-9d33-119b3bb954f0,gaussian,0.05,0,exact,value,learned,0.0025000000000000005,"x0,x1,x2,x3",1.290375177799024,0.7141022450632034,0.6109406456957629,12.498909610131179,0.5762729327358206,1.7855585157330256,0.7141022450632034,0.5762729327358206,steering_law
8,0.17602422813515875,0.20603921308289402,1.0,1.0,1.0324695553501178,1.070610785268098,True,0.03814122991798019,logei,0.480546000006143,False,11,aefc25a5-b52d-48c5-9d33-119b3bb954f0,gaussian,0.05,0,exact,value,learned,0.0025000000000000005,"x0,x1,x2,x3",1.290375177799024,1.0324695553501178,0.25790562244890625,12.756815232580085,0.25790562244890625,1.5946019040725106,1.0324695553501178,0.25790562244890625,steering_law
9,0.0,0.05145276068604383,0.0,0.0,-6.9727973174747,-6.907975122702325,True,0.06482219477237461,logei,0.4780058999895118,False,11,aefc25a5-b52d-48c5-9d33-119b3bb954f0,gaussian,0.05,0,exact,value,learned,0.0025000000000000005,"x0,x1,x2,x3",1.290375177799024,1.0324695553501178,8.263172495273723,21.01998772785381,0.25790562244890625,2.3355541919837566,1.0324695553501178,0.25790562244890625,steering_law
10,0.3075928837300483,0.0,0.9520987018413418,0.0,0.9806529198191116,1.02671651221204,True,0.046063592392928454,logei,0.4334369999705814,False,11,aefc25a5-b52d-48c5-9d33-119b3bb954f0,gaussian,0.05,0,exact,value,learned,0.0025000000000000005,"x0,x1,x2,x3",1.290375177799024,1.0324695553501178,0.3097222579799124,21.329709985833723,0.25790562244890625,2.1329709985833722,1.0324695553501178,0.25790562244890625,steering_law
11,0.4837054024673715,0.0,0.664443855553425,1.0,1.2883407363761363,1.2704519951004436,True,-0.017888741275692732,logei,0.4725624999846332,False,11,aefc25a5-b52d-48c5-9d33-119b3bb954f0,gaussian,0.05,0,exact,value,learned,0.0025000000000000005,"x0,x1,x2,x3",1.290375177799024,1.2883407363761363,0.0020344414228876673,21.33174442725661,0.0020344414228876673,1.9392494933869644,1.2883407363761363,0.0020344414228876673,steering_law
