iteration,x0,x1,x2,x3,x4,x5,objective_true,objective_observed,objective_true_deployed,input_error_l2,input_error_applied,error_applied,error_magnitude,acquisition,fit_time_sec,acq_opt_failed,seed,run_id,error_model,jitter_std,jitter_iteration,oracle_model,objective,observation_noise,known_noise_var,param_columns,y_opt,best_true_so_far,regret_inst_true,regret_cum_true,simple_regret_true,regret_avg_true,inference_value_true,inference_simple_regret_true,dataset
1,-445.7157566769605,-0.8665650718620554,121.79802914802895,-565.5731899536665,-422.48869850705285,513.8532275524435,-1.578649324161848,-1.578649324161848,-0.9762267742847551,394.20386530707,True,True,0.0,qnei,0.0,False,11,c87cef9b-d2e2-4eaa-aa6c-018180e28393,slip,0.15,0,exact,value,learned,1e-06,"x0,x1,x2,x3,x4,x5",2.7538558156589708,-1.578649324161848,4.332505139820819,4.332505139820819,4.332505139820819,4.332505139820819,-0.9762267742847551,3.7300825899437258,griewank
2,-515.4953086149638,-444.2712607208424,537.9941439501301,146.26031135565938,-157.20825152425084,13.668026163915215,-1.7183481852867126,-1.7183481852867126,-0.2974490717811511,407.30977418573246,True,True,0.0,qnei,0.0,False,11,c87cef9b-d2e2-4eaa-aa6c-018180e28393,slip,0.15,0,exact,value,learned,1e-06,"x0,x1,x2,x3,x4,x5",2.7538558156589708,-1.578649324161848,4.472204000945683,8.804709140766501,4.332505139820819,4.402354570383251,-0.9762267742847551,3.7300825899437258,griewank
3,195.41154302015912,-269.6294210866448,-434.4383125596536,345.6475134047902,204.43270092298053,14.858776179792471,0.722696759753602,0.722696759753602,0.9791977447925131,385.7574103024119,True,True,0.0,qnei,0.0,False,11,c87cef9b-d2e2-4eaa-aa6c-018180e28393,slip,0.15,0,exact,value,learned,1e-06,"x0,x1,x2,x3,x4,x5",2.7538558156589708,0.722696759753602,2.031159055905369,10.835868196671871,2.031159055905369,3.6119560655572904,0.9791977447925131,1.7746580708664577,griewank
4,380.08372316358964,58.890322644031585,577.0963671567665,-354.58864640394614,64.47643543827337,-19.650363691934785,1.0433546105925564,1.0433546105925564,0.4139567988793983,227.68299030246573,True,True,0.0,qnei,0.0,False,11,c87cef9b-d2e2-4eaa-aa6c-018180e28393,slip,0.15,0,exact,value,learned,1e-06,"x0,x1,x2,x3,x4,x5",2.7538558156589708,1.0433546105925564,1.7105012050664143,12.546369401738286,1.7105012050664143,3.1365923504345714,0.4139567988793983,2.3398990167795723,griewank
5,-176.0701739274623,109.91436473885221,-317.63852199890334,362.64322053418016,440.8002622108977,-445.48839452657876,-0.6279812335389736,-0.6279812335389736,0.1984878307961768,517.2854673212386,True,True,0.0,qnei,0.0,False,11,c87cef9b-d2e2-4eaa-aa6c-018180e28393,slip,0.15,0,exact,value,learned,1e-06,"x0,x1,x2,x3,x4,x5",2.7538558156589708,1.0433546105925564,3.3818370491979444,15.92820645093623,1.7105012050664143,3.185641290187246,0.4139567988793983,2.3398990167795723,griewank
6,600.0,-40.32441988179922,-511.12362479151795,600.0,600.0,-600.0,-2.808391194664414,-2.808391194664414,-3.7384367130850906,265.57404557489815,True,True,0.0,qnei,0.9844502999912947,False,11,c87cef9b-d2e2-4eaa-aa6c-018180e28393,slip,0.15,0,exact,value,learned,1e-06,"x0,x1,x2,x3,x4,x5",2.7538558156589708,1.0433546105925564,5.562247010323384,21.490453461259612,1.7105012050664143,3.581742243543269,0.4139567988793983,2.3398990167795723,griewank
7,352.77768385883763,-98.67223717668213,90.75610391346194,-289.1520286398867,66.65980006516455,170.5010846063819,1.5162191622161603,1.5162191622161603,1.7515229367612675,300.3951468029169,True,True,0.0,qnei,1.2687371000065468,False,11,c87cef9b-d2e2-4eaa-aa6c-018180e28393,slip,0.15,0,exact,value,learned,1e-06,"x0,x1,x2,x3,x4,x5",2.7538558156589708,1.5162191622161603,1.2376366534428105,22.72809011470242,1.2376366534428105,3.2468700163860604,1.7515229367612675,1.0023328788977033,griewank
8,396.26817334646245,-600.0,83.11250465422637,-271.0762872383398,-16.346312516730794,600.0,-0.6180044163977776,-0.6180044163977776,-0.9082146343920042,328.4879335206535,True,True,0.0,qnei,1.9552563999895938,False,11,c87cef9b-d2e2-4eaa-aa6c-018180e28393,slip,0.15,0,exact,value,learned,1e-06,"x0,x1,x2,x3,x4,x5",2.7538558156589708,1.5162191622161603,3.3718602320567483,26.09995034675917,1.2376366534428105,3.262493793344896,1.7515229367612675,1.0023328788977033,griewank
9,337.9726280030848,204.31723042016606,-446.74533424862085,-535.9466295096663,55.96568437538001,145.8060422725873,-0.19194379406450246,-0.19194379406450246,0.2029840109876427,351.0957081506302,True,True,0.0,qnei,1.3253784999833442,False,11,c87cef9b-d2e2-4eaa-aa6c-018180e28393,slip,0.15,0,exact,value,learned,1e-06,"x0,x1,x2,x3,x4,x5",2.7538558156589708,1.5162191622161603,2.945799609723473,29.04574995648264,1.2376366534428105,3.2273055507202937,1.7515229367612675,1.0023328788977033,griewank
10,438.44221916207977,-130.9302266864949,600.0,8.626187285638945,65.69854209158024,42.404501395201535,0.8502170725759591,0.8502170725759591,0.5493889861139946,353.5284429011202,True,True,0.0,qnei,2.061855900043156,False,11,c87cef9b-d2e2-4eaa-aa6c-018180e28393,slip,0.15,0,exact,value,learned,1e-06,"x0,x1,x2,x3,x4,x5",2.7538558156589708,1.5162191622161603,1.9036387430830115,30.949388699565652,1.2376366534428105,3.0949388699565654,1.7515229367612675,1.0023328788977033,griewank
