iteration,x0,x1,x2,objective_true,objective_observed,objective_true_deployed,input_error_l2,input_error_applied,error_applied,error_magnitude,acquisition,fit_time_sec,acq_opt_failed,seed,run_id,error_model,jitter_std,jitter_iteration,oracle_model,objective,observation_noise,known_noise_var,param_columns,y_opt,best_true_so_far,regret_inst_true,regret_cum_true,simple_regret_true,regret_avg_true,inference_value_true,inference_simple_regret_true,dataset
1,0.8702492039700847,0.28681720908755537,0.6031481500515619,-0.7465573825983632,-0.7465573825983632,-0.39422817498468915,0.15959658668261326,True,True,0.0,logei,0.0,False,9,9e843414-3d3b-4e7e-bd1a-b9cf13966952,slip,0.15,0,exact,value,learned,1e-06,"x0,x1,x2",3.0549009421557276,-0.7465573825983632,3.801458324754091,3.801458324754091,3.801458324754091,3.801458324754091,-0.39422817498468915,3.4491291171404166,hartmann_3
2,0.7775340829201788,0.7160746296035653,0.9153801204905075,1.0610384713675298,1.0610384713675298,1.7378678023125438,0.1998522939719713,True,True,0.0,logei,0.0,False,9,9e843414-3d3b-4e7e-bd1a-b9cf13966952,slip,0.15,0,exact,value,learned,1e-06,"x0,x1,x2",3.0549009421557276,1.0610384713675298,1.9938624707881978,5.795320795542288,1.9938624707881978,2.897660397771144,1.7378678023125438,1.3170331398431838,hartmann_3
3,0.8603936491828846,0.9182376290487624,0.026587734467597213,-0.9871494894612992,-0.9871494894612992,-0.9871025361789454,0.12348878801379964,True,True,0.0,logei,0.0,False,9,9e843414-3d3b-4e7e-bd1a-b9cf13966952,slip,0.15,0,exact,value,learned,1e-06,"x0,x1,x2",3.0549009421557276,1.0610384713675298,4.042050431617027,9.837371227159316,1.9938624707881978,3.2791237423864388,1.7378678023125438,1.3170331398431838,hartmann_3
4,0.4372480001295087,0.48494432697728806,0.06515419737010752,-0.9557516992172652,-0.9557516992172652,-0.9087857119633538,0.18974869357491936,True,True,0.0,logei,0.0,False,9,9e843414-3d3b-4e7e-bd1a-b9cf13966952,slip,0.15,0,exact,value,learned,1e-06,"x0,x1,x2",3.0549009421557276,1.0610384713675298,4.010652641372992,13.848023868532309,1.9938624707881978,3.462005967133077,1.7378678023125438,1.3170331398431838,hartmann_3
5,0.005626050679392924,0.830621436971257,0.9833022442861755,0.6474974660733297,0.6474974660733297,0.28104361833347785,0.09698380542575664,True,True,0.0,logei,0.0,False,9,9e843414-3d3b-4e7e-bd1a-b9cf13966952,slip,0.15,0,exact,value,learned,1e-06,"x0,x1,x2",3.0549009421557276,1.0610384713675298,2.407403476082398,16.255427344614706,1.9938624707881978,3.251085468922941,1.7378678023125438,1.3170331398431838,hartmann_3
6,1.0,0.0,1.0,-0.8972214175043226,-0.8972214175043226,-0.8986706747820983,0.0015898965656392372,True,True,0.0,logei,0.32079450000310317,False,9,9e843414-3d3b-4e7e-bd1a-b9cf13966952,slip,0.15,0,exact,value,learned,1e-06,"x0,x1,x2",3.0549009421557276,1.0610384713675298,3.9521223596600503,20.207549704274754,1.9938624707881978,3.367924950712459,1.7378678023125438,1.3170331398431838,hartmann_3
7,1.0,0.9888794569637152,1.0,-0.3236029850699188,-0.3236029850699188,-0.6419998334457429,0.087538878920709,True,True,0.0,logei,0.9139958000159822,False,9,9e843414-3d3b-4e7e-bd1a-b9cf13966952,slip,0.15,0,exact,value,learned,1e-06,"x0,x1,x2",3.0549009421557276,1.0610384713675298,3.3785039272256463,23.586053631500402,1.9938624707881978,3.369436233071486,1.7378678023125438,1.3170331398431838,hartmann_3
8,0.0,0.5758430412657218,1.0,2.60747551345329,2.60747551345329,1.1944061364896466,0.13559842360326957,True,True,0.0,logei,1.5960501999943517,False,9,9e843414-3d3b-4e7e-bd1a-b9cf13966952,slip,0.15,0,exact,value,learned,1e-06,"x0,x1,x2",3.0549009421557276,2.60747551345329,0.4474254287024375,24.03347906020284,0.4474254287024375,3.004184882525355,1.1944061364896466,1.860494805666081,hartmann_3
9,0.0,0.5452078319219402,1.0,0.3737671822756799,0.3737671822756799,1.1848326639658204,0.24212060988475925,True,True,0.0,logei,1.3684090999886394,False,9,9e843414-3d3b-4e7e-bd1a-b9cf13966952,slip,0.15,0,exact,value,learned,1e-06,"x0,x1,x2",3.0549009421557276,2.60747551345329,2.6811337598800478,26.714612820082888,0.4474254287024375,2.968290313342543,1.1944061364896466,1.860494805666081,hartmann_3
10,0.0,0.6178448288799782,1.0,2.0700229301469766,2.0700229301469766,1.1429489181630186,0.05957861713728656,True,True,0.0,logei,1.2618627000483684,False,9,9e843414-3d3b-4e7e-bd1a-b9cf13966952,slip,0.15,0,exact,value,learned,1e-06,"x0,x1,x2",3.0549009421557276,2.60747551345329,0.984878012008751,27.699490832091637,0.4474254287024375,2.7699490832091636,1.1944061364896466,1.860494805666081,hartmann_3
11,0.0,0.5853767314795548,0.8348216014303736,2.638633445607301,2.638633445607301,2.9797635137937486,0.10055873132477026,True,True,0.0,logei,2.2581584000145085,False,9,9e843414-3d3b-4e7e-bd1a-b9cf13966952,slip,0.15,0,exact,value,learned,1e-06,"x0,x1,x2",3.0549009421557276,2.638633445607301,0.41626749654842676,28.115758328640062,0.41626749654842676,2.5559780298763695,2.9797635137937486,0.07513742836197901,hartmann_3
12,0.04906916536292633,0.7038777485347502,1.0,-0.6367583645452629,-0.6367583645452629,0.8341983782951504,0.29926253867637037,True,True,0.0,logei,6.285983299952932,False,9,9e843414-3d3b-4e7e-bd1a-b9cf13966952,slip,0.15,0,exact,value,learned,1e-06,"x0,x1,x2",3.0549009421557276,2.638633445607301,3.6916593067009904,31.807417635341054,0.41626749654842676,2.650618136278421,2.9797635137937486,0.07513742836197901,hartmann_3
