iteration,x0,x1,objective_true,objective_observed,objective_true_deployed,input_error_l2,input_error_applied,error_applied,error_magnitude,acquisition,fit_time_sec,acq_opt_failed,seed,run_id,error_model,jitter_std,jitter_iteration,oracle_model,objective,observation_noise,known_noise_var,param_columns,y_opt,best_true_so_far,regret_inst_true,regret_cum_true,simple_regret_true,regret_avg_true,inference_value_true,inference_simple_regret_true,dataset
1,8.702492039700847,2.8681720908755537,1.093462604652252,1.093462604652252,1.093462604652252,0.0,False,False,0.0,logei,0.0,False,9,a7955437-f0f5-4656-bb30-371af90eb5f8,slip,0.4,20,exact,value,learned,1e-06,"x0,x1",1.2500554659000687,1.093462604652252,0.15659286124781668,0.15659286124781668,0.15659286124781668,0.15659286124781668,1.093462604652252,0.15659286124781668,branin
2,6.031481500515619,7.775340829201788,-1.7870358936892645,-1.7870358936892645,-1.7870358936892645,0.0,False,False,0.0,logei,0.0,False,9,a7955437-f0f5-4656-bb30-371af90eb5f8,slip,0.4,20,exact,value,learned,1e-06,"x0,x1",1.2500554659000687,1.093462604652252,3.037091359589333,3.1936842208371496,0.15659286124781668,1.5968421104185748,1.093462604652252,0.15659286124781668,branin
3,7.1607462960356525,9.153801204905076,-2.509995580323207,-2.509995580323207,-2.509995580323207,0.0,False,False,0.0,logei,0.0,False,9,a7955437-f0f5-4656-bb30-371af90eb5f8,slip,0.4,20,exact,value,learned,1e-06,"x0,x1",1.2500554659000687,1.093462604652252,3.7600510462232757,6.953735267060425,0.15659286124781668,2.3179117556868083,1.093462604652252,0.15659286124781668,branin
4,8.603936491828847,9.182376290487625,-1.4555553772043401,-1.4555553772043401,-1.4555553772043401,0.0,False,False,0.0,logei,0.0,False,9,a7955437-f0f5-4656-bb30-371af90eb5f8,slip,0.4,20,exact,value,learned,1e-06,"x0,x1",1.2500554659000687,1.093462604652252,2.7056108431044086,9.659346110164833,0.15659286124781668,2.4148365275412083,1.093462604652252,0.15659286124781668,branin
5,0.2658773446759721,4.372480001295087,0.27663796601556684,0.27663796601556684,0.27663796601556684,0.0,False,False,0.0,logei,0.0,False,9,a7955437-f0f5-4656-bb30-371af90eb5f8,slip,0.4,20,exact,value,learned,1e-06,"x0,x1",1.2500554659000687,1.093462604652252,0.9734174998845018,10.632763610049334,0.15659286124781668,2.126552722009867,1.093462604652252,0.15659286124781668,branin
6,10.0,0.0,0.7445238005749768,0.7445238005749768,0.7445238005749768,0.0,False,False,0.0,logei,0.6014675000333227,False,9,a7955437-f0f5-4656-bb30-371af90eb5f8,slip,0.4,20,exact,value,learned,1e-06,"x0,x1",1.2500554659000687,1.093462604652252,0.5055316653250919,11.138295275374427,0.15659286124781668,1.8563825458957377,1.093462604652252,0.15659286124781668,branin
7,6.419797802982175,0.0,0.2766246177679674,0.2766246177679674,0.2766246177679674,0.0,False,False,0.0,logei,0.8940302000264637,False,9,a7955437-f0f5-4656-bb30-371af90eb5f8,slip,0.4,20,exact,value,learned,1e-06,"x0,x1",1.2500554659000687,1.093462604652252,0.9734308481321012,12.111726123506529,0.15659286124781668,1.7302465890723613,1.093462604652252,0.15659286124781668,branin
8,0.865159161846363,0.0,-0.5736158280932446,-0.5736158280932446,-0.5736158280932446,0.0,False,False,0.0,logei,0.8427215999690816,False,9,a7955437-f0f5-4656-bb30-371af90eb5f8,slip,0.4,20,exact,value,learned,1e-06,"x0,x1",1.2500554659000687,1.093462604652252,1.8236712939933133,13.935397417499843,0.15659286124781668,1.7419246771874803,1.093462604652252,0.15659286124781668,branin
9,0.0,10.0,-0.43477340711827467,-0.43477340711827467,-0.43477340711827467,0.0,False,False,0.0,logei,0.5931731999735348,False,9,a7955437-f0f5-4656-bb30-371af90eb5f8,slip,0.4,20,exact,value,learned,1e-06,"x0,x1",1.2500554659000687,1.093462604652252,1.6848288730183434,15.620226290518186,0.15659286124781668,1.735580698946465,1.093462604652252,0.15659286124781668,branin
10,10.0,2.354334536399027,1.1559669503019698,1.1559669503019698,1.1559669503019698,0.0,False,False,0.0,logei,0.7153416000073776,False,9,a7955437-f0f5-4656-bb30-371af90eb5f8,slip,0.4,20,exact,value,learned,1e-06,"x0,x1",1.2500554659000687,1.1559669503019698,0.09408851559809883,15.714314806116285,0.09408851559809883,1.5714314806116285,1.1559669503019698,0.09408851559809883,branin
11,8.723453917249866,0.560243095720809,1.0495663133893791,1.0495663133893791,1.0495663133893791,0.0,False,False,0.0,logei,0.8176255999715067,False,9,a7955437-f0f5-4656-bb30-371af90eb5f8,slip,0.4,20,exact,value,learned,1e-06,"x0,x1",1.2500554659000687,1.1559669503019698,0.20048915251068955,15.914803958626974,0.09408851559809883,1.4468003598751795,1.1559669503019698,0.09408851559809883,branin
12,8.134748435614158,4.979501777104925,0.3718393234224112,0.3718393234224112,0.3718393234224112,0.0,False,False,0.0,logei,5.1258122000144795,False,9,a7955437-f0f5-4656-bb30-371af90eb5f8,slip,0.4,20,exact,value,learned,1e-06,"x0,x1",1.2500554659000687,1.1559669503019698,0.8782161424776574,16.79302010110463,0.09408851559809883,1.3994183417587192,1.1559669503019698,0.09408851559809883,branin
13,10.0,5.752816362342256,0.8142070265719255,0.8142070265719255,0.8142070265719255,0.0,False,False,0.0,logei,0.9429043999989517,False,9,a7955437-f0f5-4656-bb30-371af90eb5f8,slip,0.4,20,exact,value,learned,1e-06,"x0,x1",1.2500554659000687,1.1559669503019698,0.4358484393281432,17.228868540432774,0.09408851559809883,1.3252975800332902,1.1559669503019698,0.09408851559809883,branin
14,10.0,2.245545783450718,1.1486464547860344,1.1486464547860344,1.1486464547860344,0.0,False,False,0.0,logei,0.7297555000404827,False,9,a7955437-f0f5-4656-bb30-371af90eb5f8,slip,0.4,20,exact,value,learned,1e-06,"x0,x1",1.2500554659000687,1.1559669503019698,0.10140901111403422,17.330277551546807,0.09408851559809883,1.2378769679676291,1.1559669503019698,0.09408851559809883,branin
15,7.076629780185102,2.0683229075647467,0.4326491018964924,0.4326491018964924,0.4326491018964924,0.0,False,False,0.0,logei,0.9694311000057496,False,9,a7955437-f0f5-4656-bb30-371af90eb5f8,slip,0.4,20,exact,value,learned,1e-06,"x0,x1",1.2500554659000687,1.1559669503019698,0.8174063640035762,18.147683915550385,0.09408851559809883,1.2098455943700257,1.1559669503019698,0.09408851559809883,branin
16,10.0,3.3504904431796976,1.1703212528202214,1.1703212528202214,1.1703212528202214,0.0,False,False,0.0,logei,1.0424163999850862,False,9,a7955437-f0f5-4656-bb30-371af90eb5f8,slip,0.4,20,exact,value,learned,1e-06,"x0,x1",1.2500554659000687,1.1703212528202214,0.0797342130798473,18.227418128630234,0.0797342130798473,1.1392136330393896,1.1703212528202214,0.0797342130798473,branin
17,6.258871610567162,4.277030980189428,-0.15217349068859276,-0.15217349068859276,-0.15217349068859276,0.0,False,False,0.0,logei,1.8877257999847643,False,9,a7955437-f0f5-4656-bb30-371af90eb5f8,slip,0.4,20,exact,value,learned,1e-06,"x0,x1",1.2500554659000687,1.1703212528202214,1.4022289565886614,19.629647085218895,0.0797342130798473,1.154685122659935,1.1703212528202214,0.0797342130798473,branin
