iteration,x0,x1,x2,x3,objective_true,objective_observed,objective_true_deployed,input_error_l2,input_error_applied,error_applied,error_magnitude,acquisition,fit_time_sec,acq_opt_failed,seed,run_id,error_model,jitter_std,jitter_iteration,oracle_model,objective,observation_noise,known_noise_var,param_columns,y_opt,best_true_so_far,regret_inst_true,regret_cum_true,simple_regret_true,regret_avg_true,inference_value_true,inference_simple_regret_true,dataset
1,-3.8034411236433963,-0.0073946886132230105,1.0393431820631802,-4.826224554271288,-0.6781905365108803,-0.6781905365108803,1.122161253354696,4.342818401650037,True,True,0.0,logei,0.0,False,11,6a79a83a-4baa-4c35-b9d8-f9a81b1b893b,slip,0.4,0,exact,value,learned,1e-06,"x0,x1,x2,x3",3.638939073438052,-0.6781905365108803,4.317129609948932,4.317129609948932,4.317129609948932,4.317129609948932,1.122161253354696,2.5167778200833557,rastrigin
2,-3.6052368939268513,4.384880875114184,-4.398893300181024,-3.791114758151189,-2.3351135372477736,-2.3351135372477736,-2.589411318697764,13.20733178845944,True,True,0.0,logei,0.0,False,11,6a79a83a-4baa-4c35-b9d8-f9a81b1b893b,slip,0.4,0,exact,value,learned,1e-06,"x0,x1,x2,x3",3.638939073438052,-0.6781905365108803,5.974052610685826,10.291182220634758,4.317129609948932,5.145591110317379,1.122161253354696,2.5167778200833557,rastrigin
3,4.590883361707777,1.2480879902349606,-1.3415104130069402,0.11663382326540983,1.4065606657432004,1.4065606657432004,0.16478439894405786,4.970201699599862,True,True,0.0,logei,0.0,False,11,6a79a83a-4baa-4c35-b9d8-f9a81b1b893b,slip,0.4,0,exact,value,learned,1e-06,"x0,x1,x2,x3",3.638939073438052,1.4065606657432004,2.2323784076948514,12.523560628329609,2.2323784076948514,4.174520209443203,0.16478439894405786,3.474154674493994,rastrigin
4,1.667511833772024,-2.300837726606036,-3.7072069338423774,2.949525447720876,-0.592918854691446,-0.592918854691446,0.11464309890972615,3.0459930339945154,True,True,0.0,logei,0.0,False,11,6a79a83a-4baa-4c35-b9d8-f9a81b1b893b,slip,0.4,0,exact,value,learned,1e-06,"x0,x1,x2,x3",3.638939073438052,1.4065606657432004,4.2318579281294975,16.755418556459105,2.2323784076948514,4.188854639114776,0.16478439894405786,3.474154674493994,rastrigin
5,1.744492381209434,0.12679489006756306,3.2433811043292993,0.5025307532290695,-0.3885826875502541,-0.3885826875502541,0.8511273162755029,9.14485247416012,True,True,0.0,logei,0.0,False,11,6a79a83a-4baa-4c35-b9d8-f9a81b1b893b,slip,0.4,0,exact,value,learned,1e-06,"x0,x1,x2,x3",3.638939073438052,1.4065606657432004,4.027521760988306,20.782940317447412,2.2323784076948514,4.156588063489482,0.16478439894405786,3.474154674493994,rastrigin
6,5.12,4.375471074041734,-4.066543567987992,-1.0027927885641152,0.10969582295350253,0.10969582295350253,-0.4648214295127549,6.394279893580886,True,True,0.0,logei,1.6920884000137448,False,11,6a79a83a-4baa-4c35-b9d8-f9a81b1b893b,slip,0.4,0,exact,value,learned,1e-06,"x0,x1,x2,x3",3.638939073438052,1.4065606657432004,3.5292432504845492,24.31218356793196,2.2323784076948514,4.052030594655327,0.16478439894405786,3.474154674493994,rastrigin
7,5.12,-0.12351191541992483,-1.8193931324884838,-2.6195934366378455,-2.0618160910663277,-2.0618160910663277,0.4440269059937623,5.34593661911368,True,True,0.0,logei,1.3309877999708988,False,11,6a79a83a-4baa-4c35-b9d8-f9a81b1b893b,slip,0.4,0,exact,value,learned,1e-06,"x0,x1,x2,x3",3.638939073438052,1.4065606657432004,5.700755164504379,30.01293873243634,2.2323784076948514,4.287562676062334,0.16478439894405786,3.474154674493994,rastrigin
8,5.12,2.603116201331406,-3.054394534539197,5.12,-0.7908277693229011,-0.7908277693229011,-0.9038502318995638,5.338571101899624,True,True,0.0,logei,4.230876600020565,False,11,6a79a83a-4baa-4c35-b9d8-f9a81b1b893b,slip,0.4,0,exact,value,learned,1e-06,"x0,x1,x2,x3",3.638939073438052,1.4065606657432004,4.429766842760953,34.442705575197294,2.2323784076948514,4.305338196899662,0.16478439894405786,3.474154674493994,rastrigin
9,3.28956214385891,0.8328306553922787,-0.9536057590136959,2.4539514970675933,0.46233361379116733,0.46233361379116733,0.8918654080803616,5.321581423134277,True,True,0.0,logei,8.030397900030948,False,11,6a79a83a-4baa-4c35-b9d8-f9a81b1b893b,slip,0.4,0,exact,value,learned,1e-06,"x0,x1,x2,x3",3.638939073438052,1.4065606657432004,3.1766054596468845,37.61931103484418,2.2323784076948514,4.17992344831602,0.16478439894405786,3.474154674493994,rastrigin
10,4.9888471413731335,5.12,-4.368183500785073,1.3761936602480043,-2.042751973169554,-2.042751973169554,-1.6989822878462202,11.499711269781622,True,True,0.0,logei,2.3042693000170402,False,11,6a79a83a-4baa-4c35-b9d8-f9a81b1b893b,slip,0.4,0,exact,value,learned,1e-06,"x0,x1,x2,x3",3.638939073438052,1.4065606657432004,5.681691046607606,43.301002081451784,2.2323784076948514,4.330100208145178,0.16478439894405786,3.474154674493994,rastrigin
