iteration,x0,x1,x2,x3,objective_true,objective_observed,error_applied,error_magnitude,acquisition,fit_time_sec,acq_opt_failed,min_distance_redirect,seed,run_id,error_model,jitter_std,jitter_iteration,oracle_model,objective,observation_noise,known_noise_var,param_columns,y_opt,best_true_so_far,regret_inst_true,regret_cum_true,simple_regret_true,regret_avg_true,inference_value_true,inference_simple_regret_true,dataset
1,0.3269722766055607,0.9872768433379255,0.31871083848551673,0.7885489358200289,0.7183311832444667,0.7183311832444667,False,0.0,pi,0.0,False,False,8,afa558ec-47d4-4dfe-8e93-7c0094f64e1e,none,0.0,0,exact,value,learned,1e-06,"x0,x1,x2,x3",1.7175746997911816,0.7183311832444667,0.999243516546715,0.999243516546715,0.999243516546715,0.999243516546715,0.7183311832444667,0.999243516546715,power_law_practice
2,0.8698965116962161,0.391084806539194,0.4378818731227988,0.37274890308935305,0.009533674457034904,0.009533674457034904,False,0.0,pi,0.0,False,False,8,afa558ec-47d4-4dfe-8e93-7c0094f64e1e,none,0.0,0,exact,value,learned,1e-06,"x0,x1,x2,x3",1.7175746997911816,0.7183311832444667,1.7080410253341467,2.7072845418808615,0.999243516546715,1.3536422709404308,0.7183311832444667,0.999243516546715,power_law_practice
3,0.10695359647277436,0.47896545416271696,0.24135214508468228,0.25714524855112975,-0.12009219113419677,-0.12009219113419677,False,0.0,pi,0.0,False,False,8,afa558ec-47d4-4dfe-8e93-7c0094f64e1e,none,0.0,0,exact,value,learned,1e-06,"x0,x1,x2,x3",1.7175746997911816,0.7183311832444667,1.8376668909253784,4.54495143280624,0.999243516546715,1.5149838109354132,0.7183311832444667,0.999243516546715,power_law_practice
4,0.1847315568344149,0.1938645489043107,0.813827670155021,0.42298418814422634,0.09940957306614018,0.09940957306614018,False,0.0,pi,0.0,False,False,8,afa558ec-47d4-4dfe-8e93-7c0094f64e1e,none,0.0,0,exact,value,learned,1e-06,"x0,x1,x2,x3",1.7175746997911816,0.7183311832444667,1.6181651267250414,6.163116559531281,0.999243516546715,1.5407791398828203,0.7183311832444667,0.999243516546715,power_law_practice
5,0.25592050515822606,0.5909028517654116,0.6042722960584558,0.6468580270601879,0.48123297759725997,0.48123297759725997,False,0.0,pi,0.0,False,False,8,afa558ec-47d4-4dfe-8e93-7c0094f64e1e,none,0.0,0,exact,value,learned,1e-06,"x0,x1,x2,x3",1.7175746997911816,0.7183311832444667,1.2363417221939217,7.399458281725203,0.999243516546715,1.4798916563450406,0.7183311832444667,0.999243516546715,power_law_practice
6,0.3181473340909305,1.0,0.2583277456819125,0.8672923929308151,0.7744740248208908,0.7744740248208908,False,0.0,pi,0.3062631000066176,False,False,8,afa558ec-47d4-4dfe-8e93-7c0094f64e1e,none,0.0,0,exact,value,learned,1e-06,"x0,x1,x2,x3",1.7175746997911816,0.7744740248208908,0.9431006749702908,8.342558956695495,0.9431006749702908,1.3904264927825825,0.7744740248208908,0.9431006749702908,power_law_practice
7,0.4302963683126845,0.9949621930658733,0.36899099069001695,0.9360930926161992,0.9461910493459992,0.9461910493459992,False,0.0,pi,0.41397649998543784,False,True,8,afa558ec-47d4-4dfe-8e93-7c0094f64e1e,none,0.0,0,exact,value,learned,1e-06,"x0,x1,x2,x3",1.7175746997911816,0.9461910493459992,0.7713836504451824,9.113942607140677,0.7713836504451824,1.3019918010200968,0.9461910493459992,0.7713836504451824,power_law_practice
8,0.5359763810794118,1.0,0.5126717159574581,1.0,1.1470808329361597,1.1470808329361597,False,0.0,pi,0.2828457999858074,False,False,8,afa558ec-47d4-4dfe-8e93-7c0094f64e1e,none,0.0,0,exact,value,learned,1e-06,"x0,x1,x2,x3",1.7175746997911816,1.1470808329361597,0.5704938668550219,9.6844364739957,0.5704938668550219,1.2105545592494624,1.1470808329361597,0.5704938668550219,power_law_practice
9,0.6704526800500129,1.0,0.7077698432803731,1.0,1.3438712927746577,1.3438712927746577,False,0.0,pi,0.2717436999664642,False,False,8,afa558ec-47d4-4dfe-8e93-7c0094f64e1e,none,0.0,0,exact,value,learned,1e-06,"x0,x1,x2,x3",1.7175746997911816,1.3438712927746577,0.37370340701652394,10.058139881012224,0.37370340701652394,1.1175710978902471,1.3438712927746577,0.37370340701652394,power_law_practice
10,0.8335623953458393,1.0,0.9181725666836844,1.0,1.5700456402768408,1.5700456402768408,False,0.0,pi,0.31550560001051053,False,False,8,afa558ec-47d4-4dfe-8e93-7c0094f64e1e,none,0.0,0,exact,value,learned,1e-06,"x0,x1,x2,x3",1.7175746997911816,1.5700456402768408,0.1475290595143408,10.205668940526564,0.1475290595143408,1.0205668940526564,1.5700456402768408,0.1475290595143408,power_law_practice
11,0.9457483057992213,1.0,1.0,1.0,1.6856709174348858,1.6856709174348858,False,0.0,pi,0.36486309999600053,False,False,8,afa558ec-47d4-4dfe-8e93-7c0094f64e1e,none,0.0,0,exact,value,learned,1e-06,"x0,x1,x2,x3",1.7175746997911816,1.6856709174348858,0.03190378235629576,10.23757272288286,0.03190378235629576,0.9306884293529872,1.6856709174348858,0.03190378235629576,power_law_practice
12,0.7857325071304073,0.08186166362403702,0.8689060472489193,0.9933230589561584,0.9666064741828324,0.9666064741828324,False,0.0,pi,0.36097840004367754,False,True,8,afa558ec-47d4-4dfe-8e93-7c0094f64e1e,none,0.0,0,exact,value,learned,1e-06,"x0,x1,x2,x3",1.7175746997911816,1.6856709174348858,0.7509682256083492,10.98854094849121,0.03190378235629576,0.9157117457076008,1.6856709174348858,0.03190378235629576,power_law_practice
13,0.009862576712083682,0.9019053929856121,0.9529839857181945,0.9356839329977951,0.9835466568389052,0.9835466568389052,False,0.0,pi,0.553379799996037,False,True,8,afa558ec-47d4-4dfe-8e93-7c0094f64e1e,none,0.0,0,exact,value,learned,1e-06,"x0,x1,x2,x3",1.7175746997911816,1.6856709174348858,0.7340280429522764,11.722568991443486,0.03190378235629576,0.9017360762648836,1.6856709174348858,0.03190378235629576,power_law_practice
14,0.9758967254192169,0.9711066843888458,0.8724515929005806,0.9868850212578671,1.5978169311766677,1.5978169311766677,False,0.0,pi,0.38801449997117743,False,True,8,afa558ec-47d4-4dfe-8e93-7c0094f64e1e,none,0.0,0,exact,value,learned,1e-06,"x0,x1,x2,x3",1.7175746997911816,1.6856709174348858,0.11975776861451393,11.842326760058,0.03190378235629576,0.8458804828612857,1.6856709174348858,0.03190378235629576,power_law_practice
15,0.9973553228126848,0.8578105978693817,0.9137923899480518,0.9981815763195137,1.5786297035967571,1.5786297035967571,False,0.0,pi,0.2242283999803476,False,True,8,afa558ec-47d4-4dfe-8e93-7c0094f64e1e,none,0.0,0,exact,value,learned,1e-06,"x0,x1,x2,x3",1.7175746997911816,1.6856709174348858,0.13894499619442446,11.981271756252426,0.03190378235629576,0.7987514504168284,1.6856709174348858,0.03190378235629576,power_law_practice
16,0.9931175563572743,0.979242414962642,0.91852445503367,0.2787770671900618,-0.022714726847439925,-0.022714726847439925,False,0.0,pi,0.2342769000097178,False,False,8,afa558ec-47d4-4dfe-8e93-7c0094f64e1e,none,0.0,0,exact,value,learned,1e-06,"x0,x1,x2,x3",1.7175746997911816,1.6856709174348858,1.7402894266386215,13.721561182891048,0.03190378235629576,0.8575975739306905,1.6856709174348858,0.03190378235629576,power_law_practice
17,0.9342579683646377,0.9415285686517921,0.8785623045791857,0.7878861329309139,1.327911131034713,1.327911131034713,False,0.0,pi,0.3057237999746576,False,False,8,afa558ec-47d4-4dfe-8e93-7c0094f64e1e,none,0.0,0,exact,value,learned,1e-06,"x0,x1,x2,x3",1.7175746997911816,1.6856709174348858,0.3896635687564687,14.111224751647516,0.03190378235629576,0.8300720442145597,1.6856709174348858,0.03190378235629576,power_law_practice
18,0.9790203784977467,0.12191494445390305,0.16271323689603545,0.9214943388496584,0.6983364438419373,0.6983364438419373,False,0.0,pi,0.42783920001238585,False,False,8,afa558ec-47d4-4dfe-8e93-7c0094f64e1e,none,0.0,0,exact,value,learned,1e-06,"x0,x1,x2,x3",1.7175746997911816,1.6856709174348858,1.0192382559492443,15.13046300759676,0.03190378235629576,0.84058127819982,1.6856709174348858,0.03190378235629576,power_law_practice
19,0.9585419367524768,0.19937895704307418,0.9426795510576643,0.014943104468732038,-4.498158220533805,-4.498158220533805,False,0.0,pi,0.1776213999837637,False,False,8,afa558ec-47d4-4dfe-8e93-7c0094f64e1e,none,0.0,0,exact,value,learned,1e-06,"x0,x1,x2,x3",1.7175746997911816,1.6856709174348858,6.215732920324986,21.346195927921745,0.03190378235629576,1.1234839962064076,1.6856709174348858,0.03190378235629576,power_law_practice
20,0.843782693294826,0.9888890537664153,0.9435395538379145,0.8856307058893162,1.463808760929301,1.463808760929301,False,0.0,pi,0.22815199999604374,False,True,8,afa558ec-47d4-4dfe-8e93-7c0094f64e1e,none,0.0,0,exact,value,learned,1e-06,"x0,x1,x2,x3",1.7175746997911816,1.6856709174348858,0.2537659388618807,21.599961866783627,0.03190378235629576,1.0799980933391813,1.6856709174348858,0.03190378235629576,power_law_practice
21,1.0,0.0,1.0,0.7724447503002664,0.8770273874257222,0.8770273874257222,False,0.0,pi,0.3853111000498757,False,False,8,afa558ec-47d4-4dfe-8e93-7c0094f64e1e,none,0.0,0,exact,value,learned,1e-06,"x0,x1,x2,x3",1.7175746997911816,1.6856709174348858,0.8405473123654594,22.440509179149085,0.03190378235629576,1.0685956751975756,1.6856709174348858,0.03190378235629576,power_law_practice
22,0.0,1.0,0.0,0.3891535551314412,0.06922128737062702,0.06922128737062702,False,0.0,pi,0.29253189999144524,False,False,8,afa558ec-47d4-4dfe-8e93-7c0094f64e1e,none,0.0,0,exact,value,learned,1e-06,"x0,x1,x2,x3",1.7175746997911816,1.6856709174348858,1.6483534124205546,24.08886259156964,0.03190378235629576,1.0949482996168018,1.6856709174348858,0.03190378235629576,power_law_practice
23,1.0,1.0,1.0,0.6277111575428067,1.2111654119786563,1.2111654119786563,False,0.0,pi,0.41573110001627356,False,False,8,afa558ec-47d4-4dfe-8e93-7c0094f64e1e,none,0.0,0,exact,value,learned,1e-06,"x0,x1,x2,x3",1.7175746997911816,1.6856709174348858,0.5064092878125253,24.595271879382164,0.03190378235629576,1.0693596469296593,1.6856709174348858,0.03190378235629576,power_law_practice
24,1.0,1.0,0.0,0.682930058211031,0.7542547878232742,0.7542547878232742,False,0.0,pi,0.23554909997619689,False,False,8,afa558ec-47d4-4dfe-8e93-7c0094f64e1e,none,0.0,0,exact,value,learned,1e-06,"x0,x1,x2,x3",1.7175746997911816,1.6856709174348858,0.9633199119679074,25.55859179135007,0.03190378235629576,1.0649413246395862,1.6856709174348858,0.03190378235629576,power_law_practice
25,0.9369489772767523,0.10384430959278601,0.9907915465142874,0.6221823371581581,0.6730800111927125,0.6730800111927125,False,0.0,pi,0.18471800000406802,False,False,8,afa558ec-47d4-4dfe-8e93-7c0094f64e1e,none,0.0,0,exact,value,learned,1e-06,"x0,x1,x2,x3",1.7175746997911816,1.6856709174348858,1.0444946885984692,26.60308647994854,0.03190378235629576,1.0641234591979416,1.6856709174348858,0.03190378235629576,power_law_practice
26,0.956135473270043,0.9355961077385077,0.04413806015910848,0.9919101439189895,1.0748716277275463,1.0748716277275463,False,0.0,pi,0.3527871999540366,False,False,8,afa558ec-47d4-4dfe-8e93-7c0094f64e1e,none,0.0,0,exact,value,learned,1e-06,"x0,x1,x2,x3",1.7175746997911816,1.6856709174348858,0.6427030720636353,27.245789552012177,0.03190378235629576,1.0479149827696992,1.6856709174348858,0.03190378235629576,power_law_practice
27,0.9804892151730025,0.8492538666849622,0.9670860054038393,0.4954220056884101,0.7961169922263259,0.7961169922263259,False,0.0,pi,0.19933319999836385,False,False,8,afa558ec-47d4-4dfe-8e93-7c0094f64e1e,none,0.0,0,exact,value,learned,1e-06,"x0,x1,x2,x3",1.7175746997911816,1.6856709174348858,0.9214577075648557,28.16724725957703,0.03190378235629576,1.0432313799843345,1.6856709174348858,0.03190378235629576,power_law_practice
28,0.9140349908234923,0.7286944138158693,0.9385447065221314,0.9415884579493115,1.4084435263630872,1.4084435263630872,False,0.0,pi,0.2431288999505341,False,True,8,afa558ec-47d4-4dfe-8e93-7c0094f64e1e,none,0.0,0,exact,value,learned,1e-06,"x0,x1,x2,x3",1.7175746997911816,1.6856709174348858,0.3091311734280944,28.476378433005127,0.03190378235629576,1.0170135154644688,1.6856709174348858,0.03190378235629576,power_law_practice
29,0.02782676951181473,0.12293749476372418,0.9680986723377142,0.780135965618805,0.5446425107861594,0.5446425107861594,False,0.0,pi,0.20147750002797693,False,True,8,afa558ec-47d4-4dfe-8e93-7c0094f64e1e,none,0.0,0,exact,value,learned,1e-06,"x0,x1,x2,x3",1.7175746997911816,1.6856709174348858,1.1729321890050222,29.649310622010148,0.03190378235629576,1.022390021448626,1.6856709174348858,0.03190378235629576,power_law_practice
30,0.02293611084008862,0.9407053563249209,0.01220336624992735,0.08785285662910924,-0.9764480877308364,-0.9764480877308364,False,0.0,pi,0.2800693000317551,False,False,8,afa558ec-47d4-4dfe-8e93-7c0094f64e1e,none,0.0,0,exact,value,learned,1e-06,"x0,x1,x2,x3",1.7175746997911816,1.6856709174348858,2.6940227875220177,32.343333409532164,0.03190378235629576,1.0781111136510722,1.6856709174348858,0.03190378235629576,power_law_practice
31,0.0029892684605519193,0.9227260125276164,0.9742147700759988,0.29351629992700745,-0.23732230988919903,-0.23732230988919903,False,0.0,pi,0.20583680004347116,False,True,8,afa558ec-47d4-4dfe-8e93-7c0094f64e1e,none,0.0,0,exact,value,learned,1e-06,"x0,x1,x2,x3",1.7175746997911816,1.6856709174348858,1.9548970096803806,34.298230419212544,0.03190378235629576,1.1063945296520175,1.6856709174348858,0.03190378235629576,power_law_practice
32,0.02607932510751354,0.24893782341759463,0.1020555082067951,0.9643887844121622,0.7159791277177235,0.7159791277177235,False,0.0,pi,0.2611754999961704,False,False,8,afa558ec-47d4-4dfe-8e93-7c0094f64e1e,none,0.0,0,exact,value,learned,1e-06,"x0,x1,x2,x3",1.7175746997911816,1.6856709174348858,1.001595572073458,35.299825991286,0.03190378235629576,1.1031195622276875,1.6856709174348858,0.03190378235629576,power_law_practice
33,0.2916172205047014,0.4772349029481082,0.9769968183954645,0.9933734117294766,0.9716031304603637,0.9716031304603637,False,0.0,pi,0.3442536000511609,False,False,8,afa558ec-47d4-4dfe-8e93-7c0094f64e1e,none,0.0,0,exact,value,learned,1e-06,"x0,x1,x2,x3",1.7175746997911816,1.6856709174348858,0.7459715693308179,36.04579756061682,0.03190378235629576,1.0922968957762673,1.6856709174348858,0.03190378235629576,power_law_practice
34,0.06347909611981306,0.03497798882473613,0.048571007143821676,0.681558961940229,0.792833323131378,0.792833323131378,False,0.0,pi,0.27001769997878,False,False,8,afa558ec-47d4-4dfe-8e93-7c0094f64e1e,none,0.0,0,exact,value,learned,1e-06,"x0,x1,x2,x3",1.7175746997911816,1.6856709174348858,0.9247413766598036,36.97053893727662,0.03190378235629576,1.0873687922728419,1.6856709174348858,0.03190378235629576,power_law_practice
35,0.9115921329091276,0.05972243713510972,0.006061389511078152,0.5485251080505987,0.30339757846043586,0.30339757846043586,False,0.0,pi,0.4623015000252053,False,False,8,afa558ec-47d4-4dfe-8e93-7c0094f64e1e,none,0.0,0,exact,value,learned,1e-06,"x0,x1,x2,x3",1.7175746997911816,1.6856709174348858,1.4141771213307457,38.38471605860737,0.03190378235629576,1.0967061731030676,1.6856709174348858,0.03190378235629576,power_law_practice
36,0.6963012452112968,0.9859727397132475,0.19362032745797553,0.38021551825083655,0.06840997683634517,0.06840997683634517,False,0.0,pi,0.22852770000463352,False,False,8,afa558ec-47d4-4dfe-8e93-7c0094f64e1e,none,0.0,0,exact,value,learned,1e-06,"x0,x1,x2,x3",1.7175746997911816,1.6856709174348858,1.6491647229548365,40.0338807815622,0.03190378235629576,1.1120522439322835,1.6856709174348858,0.03190378235629576,power_law_practice
37,0.5375076256061397,0.04115063097855409,0.1182767413862924,0.7660356862747615,0.5281201664737103,0.5281201664737103,False,0.0,pi,0.2415356999845244,False,True,8,afa558ec-47d4-4dfe-8e93-7c0094f64e1e,none,0.0,0,exact,value,learned,1e-06,"x0,x1,x2,x3",1.7175746997911816,1.6856709174348858,1.1894545333174713,41.22333531487968,0.03190378235629576,1.1141441976994506,1.6856709174348858,0.03190378235629576,power_law_practice
38,0.01602386178026316,0.0403417296931905,0.5316606715775378,0.006800940299809821,-1.1068325253712452,-1.1068325253712452,False,0.0,pi,0.2390350000350736,False,True,8,afa558ec-47d4-4dfe-8e93-7c0094f64e1e,none,0.0,0,exact,value,learned,1e-06,"x0,x1,x2,x3",1.7175746997911816,1.6856709174348858,2.824407225162427,44.0477425400421,0.03190378235629576,1.159151119474792,1.6856709174348858,0.03190378235629576,power_law_practice
39,0.05399955408893364,0.9885403005085447,0.02473996215077834,0.9882269930919889,0.687923266953925,0.687923266953925,False,0.0,pi,0.23586139996768907,False,True,8,afa558ec-47d4-4dfe-8e93-7c0094f64e1e,none,0.0,0,exact,value,learned,1e-06,"x0,x1,x2,x3",1.7175746997911816,1.6856709174348858,1.0296514328372566,45.07739397287936,0.03190378235629576,1.1558306146892143,1.6856709174348858,0.03190378235629576,power_law_practice
40,0.9482092040789007,0.9158323071803592,0.8134900044334439,0.9334486222034961,1.4577997804228942,1.4577997804228942,False,0.0,pi,0.1954859999823384,False,False,8,afa558ec-47d4-4dfe-8e93-7c0094f64e1e,none,0.0,0,exact,value,learned,1e-06,"x0,x1,x2,x3",1.7175746997911816,1.6856709174348858,0.25977491936828745,45.33716889224765,0.03190378235629576,1.1334292223061913,1.6856709174348858,0.03190378235629576,power_law_practice
41,0.08142545918673216,0.0003663627526512281,0.07086196913963483,0.4629518265173618,0.7105589594146909,0.7105589594146909,False,0.0,pi,0.16396009997697547,False,False,8,afa558ec-47d4-4dfe-8e93-7c0094f64e1e,none,0.0,0,exact,value,learned,1e-06,"x0,x1,x2,x3",1.7175746997911816,1.6856709174348858,1.0070157403764908,46.344184632624135,0.03190378235629576,1.1303459666493691,1.6856709174348858,0.03190378235629576,power_law_practice
42,0.01238845995789739,0.8630425495348727,0.051787283764473835,0.7288122100044097,0.48247462953950093,0.48247462953950093,False,0.0,pi,0.1715964000322856,False,False,8,afa558ec-47d4-4dfe-8e93-7c0094f64e1e,none,0.0,0,exact,value,learned,1e-06,"x0,x1,x2,x3",1.7175746997911816,1.6856709174348858,1.2351000702516806,47.57928470287582,0.03190378235629576,1.1328401119732336,1.6856709174348858,0.03190378235629576,power_law_practice
43,0.736739475243189,0.9512267763967548,0.9914707955491252,0.8314383107703371,1.3407013817806508,1.3407013817806508,False,0.0,pi,0.19128309999359772,False,False,8,afa558ec-47d4-4dfe-8e93-7c0094f64e1e,none,0.0,0,exact,value,learned,1e-06,"x0,x1,x2,x3",1.7175746997911816,1.6856709174348858,0.3768733180105308,47.95615802088635,0.03190378235629576,1.115259488857822,1.6856709174348858,0.03190378235629576,power_law_practice
44,0.009226051345165298,0.8128023832885217,0.9787381393958228,0.645933604120713,0.606643783864289,0.606643783864289,False,0.0,pi,0.35562129999743775,False,False,8,afa558ec-47d4-4dfe-8e93-7c0094f64e1e,none,0.0,0,exact,value,learned,1e-06,"x0,x1,x2,x3",1.7175746997911816,1.6856709174348858,1.1109309159268927,49.06708893681324,0.03190378235629576,1.115161112200301,1.6856709174348858,0.03190378235629576,power_law_practice
45,0.13246272205990461,0.0074511352523379815,0.9846511662200423,0.9562439460466544,0.6816253681952957,0.6816253681952957,False,0.0,pi,0.26529330003540963,False,False,8,afa558ec-47d4-4dfe-8e93-7c0094f64e1e,none,0.0,0,exact,value,learned,1e-06,"x0,x1,x2,x3",1.7175746997911816,1.6856709174348858,1.0359493315958859,50.10303826840913,0.03190378235629576,1.1134008504090918,1.6856709174348858,0.03190378235629576,power_law_practice
46,0.9872504155466183,0.9777608672126047,0.002902196543286162,0.34858489800241965,-0.012090165291941807,-0.012090165291941807,False,0.0,pi,0.4268416999839246,False,False,8,afa558ec-47d4-4dfe-8e93-7c0094f64e1e,none,0.0,0,exact,value,learned,1e-06,"x0,x1,x2,x3",1.7175746997911816,1.6856709174348858,1.7296648650831234,51.83270313349225,0.03190378235629576,1.1267978942063532,1.6856709174348858,0.03190378235629576,power_law_practice
47,0.015362769530425036,0.024581344895657886,0.048906905548272595,0.18377392290889183,0.6380092353805934,0.6380092353805934,False,0.0,pi,0.3057759999646805,False,False,8,afa558ec-47d4-4dfe-8e93-7c0094f64e1e,none,0.0,0,exact,value,learned,1e-06,"x0,x1,x2,x3",1.7175746997911816,1.6856709174348858,1.0795654644105883,52.91226859790284,0.03190378235629576,1.1257929488915497,1.6856709174348858,0.03190378235629576,power_law_practice
