iteration,x0,x1,objective_true,objective_observed,error_applied,error_magnitude,acquisition,fit_time_sec,acq_opt_failed,seed,run_id,error_model,jitter_std,jitter_iteration,oracle_model,objective,observation_noise,known_noise_var,param_columns,y_opt,best_true_so_far,regret_inst_true,regret_cum_true,simple_regret_true,regret_avg_true,inference_value_true,inference_simple_regret_true,dataset
1,466.94575066007076,-299.3338264789536,2.331166856074644,2.331166856074644,False,0.0,ts,0.0,False,10,90a82fb8-1c56-40f4-bd41-cb75c3793820,gaussian,0.05,20,exact,value,learned,1e-06,"x0,x1",3.2050455310550587,2.331166856074644,0.8738786749804146,0.8738786749804146,0.8738786749804146,0.8738786749804146,2.331166856074644,0.8738786749804146,eggholder
2,336.3275625211195,-359.13510596401125,0.9168162679127149,0.9168162679127149,False,0.0,ts,0.0,False,10,90a82fb8-1c56-40f4-bd41-cb75c3793820,gaussian,0.05,20,exact,value,learned,1e-06,"x0,x1",3.2050455310550587,2.331166856074644,2.2882292631423438,3.1621079381227584,0.8738786749804146,1.5810539690613792,2.331166856074644,0.8738786749804146,eggholder
3,13.111927231042387,-372.8183254830012,0.8759976497847213,0.8759976497847213,False,0.0,ts,0.0,False,10,90a82fb8-1c56-40f4-bd41-cb75c3793820,gaussian,0.05,20,exact,value,learned,1e-06,"x0,x1",3.2050455310550587,2.331166856074644,2.3290478812703377,5.4911558193930965,0.8738786749804146,1.8303852731310322,2.331166856074644,0.8738786749804146,eggholder
4,193.5733552958783,349.94966969577365,0.3280943587556729,0.3280943587556729,False,0.0,ts,0.0,False,10,90a82fb8-1c56-40f4-bd41-cb75c3793820,gaussian,0.05,20,exact,value,learned,1e-06,"x0,x1",3.2050455310550587,2.331166856074644,2.876951172299386,8.368106991692482,0.8738786749804146,2.0920267479231205,2.331166856074644,0.8738786749804146,eggholder
5,-76.27878665730395,467.892227536247,0.4420618529814177,0.4420618529814177,False,0.0,ts,0.0,False,10,90a82fb8-1c56-40f4-bd41-cb75c3793820,gaussian,0.05,20,exact,value,learned,1e-06,"x0,x1",3.2050455310550587,2.331166856074644,2.762983678073641,11.131090669766124,0.8738786749804146,2.2262181339532248,2.331166856074644,0.8738786749804146,eggholder
6,173.13904905491134,-376.972580991119,-0.37855050123840994,-0.37855050123840994,False,0.0,ts,0.2535755999851972,False,10,90a82fb8-1c56-40f4-bd41-cb75c3793820,gaussian,0.05,20,exact,value,learned,1e-06,"x0,x1",3.2050455310550587,2.331166856074644,3.583596032293469,14.714686702059593,0.8738786749804146,2.452447783676599,2.331166856074644,0.8738786749804146,eggholder
7,512.0,-452.15092551081386,-1.0976260629426777,-1.0976260629426777,False,0.0,ts,0.2895433999947272,False,10,90a82fb8-1c56-40f4-bd41-cb75c3793820,gaussian,0.05,20,exact,value,learned,1e-06,"x0,x1",3.2050455310550587,2.331166856074644,4.3026715939977365,19.01735829605733,0.8738786749804146,2.716765470865333,2.331166856074644,0.8738786749804146,eggholder
8,-188.18693421038296,-309.5454172847672,-0.4986115244054214,-0.4986115244054214,False,0.0,ts,0.2581484999973327,False,10,90a82fb8-1c56-40f4-bd41-cb75c3793820,gaussian,0.05,20,exact,value,learned,1e-06,"x0,x1",3.2050455310550587,2.331166856074644,3.70365705546048,22.72101535151781,0.8738786749804146,2.8401269189397262,2.331166856074644,0.8738786749804146,eggholder
9,512.0,-328.05975086907443,1.0821777873848477,1.0821777873848477,False,0.0,ts,0.3093098999815993,False,10,90a82fb8-1c56-40f4-bd41-cb75c3793820,gaussian,0.05,20,exact,value,learned,1e-06,"x0,x1",3.2050455310550587,2.331166856074644,2.122867743670211,24.84388309518802,0.8738786749804146,2.760431455020891,2.331166856074644,0.8738786749804146,eggholder
10,-350.4133479532124,77.77195560105676,0.06688176198356292,0.06688176198356292,False,0.0,ts,0.2875283000175841,False,10,90a82fb8-1c56-40f4-bd41-cb75c3793820,gaussian,0.05,20,exact,value,learned,1e-06,"x0,x1",3.2050455310550587,2.331166856074644,3.138163769071496,27.982046864259516,0.8738786749804146,2.7982046864259518,2.331166856074644,0.8738786749804146,eggholder
11,344.61409358394883,-236.7345199535533,-0.510248758798518,-0.510248758798518,False,0.0,ts,0.3023139000288211,False,10,90a82fb8-1c56-40f4-bd41-cb75c3793820,gaussian,0.05,20,exact,value,learned,1e-06,"x0,x1",3.2050455310550587,2.331166856074644,3.715294289853577,31.697341154113094,0.8738786749804146,2.881576468555736,2.331166856074644,0.8738786749804146,eggholder
12,261.1716409955523,-344.3995376424538,-1.229125571821375,-1.229125571821375,False,0.0,ts,0.2922668000101112,False,10,90a82fb8-1c56-40f4-bd41-cb75c3793820,gaussian,0.05,20,exact,value,learned,1e-06,"x0,x1",3.2050455310550587,2.331166856074644,4.434171102876434,36.131512256989524,0.8738786749804146,3.010959354749127,2.331166856074644,0.8738786749804146,eggholder
13,430.7575834412285,-307.1817714565374,0.9585380633619638,0.9585380633619638,False,0.0,ts,0.36654750001616776,False,10,90a82fb8-1c56-40f4-bd41-cb75c3793820,gaussian,0.05,20,exact,value,learned,1e-06,"x0,x1",3.2050455310550587,2.331166856074644,2.246507467693095,38.378019724682616,0.8738786749804146,2.9521553634371243,2.331166856074644,0.8738786749804146,eggholder
14,223.95028781950236,224.62005829430024,1.0349083302374098,1.0349083302374098,False,0.0,ts,0.3013018000056036,False,10,90a82fb8-1c56-40f4-bd41-cb75c3793820,gaussian,0.05,20,exact,value,learned,1e-06,"x0,x1",3.2050455310550587,2.331166856074644,2.170137200817649,40.548156925500265,0.8738786749804146,2.896296923250019,2.331166856074644,0.8738786749804146,eggholder
