iteration,x0,x1,x2,x3,objective_true,objective_observed,error_applied,error_magnitude,acquisition,fit_time_sec,acq_opt_failed,seed,run_id,error_model,jitter_std,jitter_iteration,oracle_model,objective,observation_noise,known_noise_var,param_columns,y_opt,best_true_so_far,regret_inst_true,regret_cum_true,simple_regret_true,regret_avg_true,inference_value_true,inference_simple_regret_true,dataset
1,0.8702492039700847,0.28681720908755537,0.6031481500515619,0.7775340829201788,0.9656064429703742,0.820459442128358,True,-0.14514700084201626,ts,0.0,False,9,ad63cbe7-5d64-4e52-b591-0c13af8c78e7,gaussian,0.25,0,exact,value,learned,0.0625,"x0,x1,x2,x3",3.0593887562558817,0.9656064429703742,2.0937823132855073,2.0937823132855073,2.0937823132855073,2.0937823132855073,0.9656064429703742,2.0937823132855073,stevens
2,0.7160746296035653,0.9153801204905075,0.8603936491828846,0.9182376290487624,2.2789126054337765,2.058385949064464,True,-0.22052665636931268,ts,0.0,False,9,ad63cbe7-5d64-4e52-b591-0c13af8c78e7,gaussian,0.25,0,exact,value,learned,0.0625,"x0,x1,x2,x3",3.0593887562558817,2.2789126054337765,0.7804761508221052,2.8742584641076125,0.7804761508221052,1.4371292320538063,2.2789126054337765,0.7804761508221052,stevens
3,0.026587734467597213,0.4372480001295087,0.48494432697728806,0.06515419737010752,-1.8234589136171075,-1.711523923020842,True,0.11193499059626544,ts,0.0,False,9,ad63cbe7-5d64-4e52-b591-0c13af8c78e7,gaussian,0.25,0,exact,value,learned,0.0625,"x0,x1,x2,x3",3.0593887562558817,2.2789126054337765,4.882847669872989,7.757106133980601,0.7804761508221052,2.5857020446602004,2.2789126054337765,0.7804761508221052,stevens
4,0.005626050679392924,0.830621436971257,0.9833022442861755,0.7846098526726796,0.6820016884416973,0.6513453136919998,True,-0.030656374749697513,ts,0.0,False,9,ad63cbe7-5d64-4e52-b591-0c13af8c78e7,gaussian,0.25,0,exact,value,learned,0.0625,"x0,x1,x2,x3",3.0593887562558817,2.2789126054337765,2.377387067814184,10.134493201794786,0.7804761508221052,2.5336233004486965,2.2789126054337765,0.7804761508221052,stevens
5,0.31560348997827314,0.7053337045894538,0.2991810731982467,0.7407484828757487,0.23144022521995936,0.3910362503508027,True,0.15959602513084334,ts,0.0,False,9,ad63cbe7-5d64-4e52-b591-0c13af8c78e7,gaussian,0.25,0,exact,value,learned,0.0625,"x0,x1,x2,x3",3.0593887562558817,2.2789126054337765,2.8279485310359225,12.962441732830708,0.7804761508221052,2.5924883465661415,2.2789126054337765,0.7804761508221052,stevens
6,1.0,1.0,0.23638832574120502,1.0,1.8783255319398378,1.828608114026827,True,-0.04971741791301065,ts,0.3735820999718271,False,9,ad63cbe7-5d64-4e52-b591-0c13af8c78e7,gaussian,0.25,0,exact,value,learned,0.0625,"x0,x1,x2,x3",3.0593887562558817,2.2789126054337765,1.181063224316044,14.143504957146753,0.7804761508221052,2.3572508261911254,2.2789126054337765,0.7804761508221052,stevens
7,1.0,1.0,1.0,0.8031654986878243,2.799000930201349,2.7209777665511155,True,-0.07802316365023376,ts,0.3197398000047542,False,9,ad63cbe7-5d64-4e52-b591-0c13af8c78e7,gaussian,0.25,0,exact,value,learned,0.0625,"x0,x1,x2,x3",3.0593887562558817,2.799000930201349,0.2603878260545325,14.403892783201286,0.2603878260545325,2.0576989690287553,2.799000930201349,0.2603878260545325,stevens
8,0.9844535135528251,1.0,1.0,1.0,3.039480017833006,2.9564703913087604,True,-0.08300962652424548,ts,0.28107809997163713,False,9,ad63cbe7-5d64-4e52-b591-0c13af8c78e7,gaussian,0.25,0,exact,value,learned,0.0625,"x0,x1,x2,x3",3.0593887562558817,3.039480017833006,0.01990873842287577,14.423801521624162,0.01990873842287577,1.8029751902030202,3.039480017833006,0.01990873842287577,stevens
9,1.0,1.0,1.0,0.9973631830392015,3.0560192966011757,3.0710478186975703,True,0.015028522096394603,ts,0.2503584999940358,False,9,ad63cbe7-5d64-4e52-b591-0c13af8c78e7,gaussian,0.25,0,exact,value,learned,0.0625,"x0,x1,x2,x3",3.0593887562558817,3.0560192966011757,0.0033694596547060307,14.427170981278868,0.0033694596547060307,1.6030189979198743,3.0560192966011757,0.0033694596547060307,stevens
10,1.0,1.0,1.0,1.0,3.0593887562558817,2.8975205855740787,True,-0.16186817068180304,ts,0.2995716000441462,False,9,ad63cbe7-5d64-4e52-b591-0c13af8c78e7,gaussian,0.25,0,exact,value,learned,0.0625,"x0,x1,x2,x3",3.0593887562558817,3.0593887562558817,0.0,14.427170981278868,0.0,1.4427170981278867,3.0560192966011757,0.0033694596547060307,stevens
