iteration,x0,x1,x2,x3,objective_true,objective_observed,error_applied,error_magnitude,acquisition,fit_time_sec,acq_opt_failed,rater_id,seed,run_id,error_model,jitter_std,jitter_iteration,oracle_model,objective,observation_noise,known_noise_var,param_columns,y_opt,best_true_so_far,regret_inst_true,regret_cum_true,simple_regret_true,regret_avg_true,inference_value_true,inference_simple_regret_true,dataset
1,0.12857020276919962,0.49927786244011496,0.6014983576233575,0.028689008371944547,-0.4634780554781292,-0.4634780554781292,False,0.0,qnei,0.0,False,0,11,d2faf725-a55d-4588-b5ea-473b14d4a641,none,0.0,0,exact,value,learned,1e-06,"x0,x1,x2,x3",1.290375177799024,-0.4634780554781292,1.7538532332771533,1.7538532332771533,1.7538532332771533,1.7538532332771533,-0.4634780554781292,1.7538532332771533,steering_law
2,0.14792608457745593,0.9282110229603695,0.07042057615419683,0.12977394939929798,-5.277783987635228,-5.277783987635228,False,0.0,qnei,0.0,False,0,11,d2faf725-a55d-4588-b5ea-473b14d4a641,none,0.0,0,exact,value,learned,1e-06,"x0,x1,x2,x3",1.290375177799024,-0.4634780554781292,6.568159165434253,8.322012398711406,1.7538532332771533,4.161006199355703,-0.4634780554781292,1.7538532332771533,steering_law
3,0.9483284532917751,0.6218835927963828,0.368993123729791,0.5113900218032627,0.18928051892034975,0.18928051892034975,False,0.0,qnei,0.0,False,0,11,d2faf725-a55d-4588-b5ea-473b14d4a641,none,0.0,0,exact,value,learned,1e-06,"x0,x1,x2,x3",1.290375177799024,0.18928051892034975,1.1010946588786743,9.42310705759008,1.1010946588786743,3.14103568586336,0.18928051892034975,1.1010946588786743,steering_law
4,0.6628429525167993,0.2753088157611293,0.13796807286695534,0.7880395945039919,0.7141022450632034,0.7141022450632034,False,0.0,qnei,0.0,False,0,11,d2faf725-a55d-4588-b5ea-473b14d4a641,none,0.0,0,exact,value,learned,1e-06,"x0,x1,x2,x3",1.290375177799024,0.7141022450632034,0.5762729327358206,9.9993799903259,0.5762729327358206,2.499844997581475,0.7141022450632034,0.5762729327358206,steering_law
5,0.6703605841024838,0.5123823134831604,0.8167364359696581,0.5490752688700263,0.3945429821486804,0.3945429821486804,False,0.0,qnei,0.0,False,0,11,d2faf725-a55d-4588-b5ea-473b14d4a641,none,0.0,0,exact,value,learned,1e-06,"x0,x1,x2,x3",1.290375177799024,0.7141022450632034,0.8958321956503437,10.895212185976245,0.5762729327358206,2.179042437195249,0.7141022450632034,0.5762729327358206,steering_law
6,1.0,0.38457119656265454,0.07364931294405769,0.08907960407031698,0.22281452461139276,0.22281452461139276,False,0.0,qnei,0.6729653999791481,False,0,11,d2faf725-a55d-4588-b5ea-473b14d4a641,none,0.0,0,exact,value,learned,1e-06,"x0,x1,x2,x3",1.290375177799024,0.7141022450632034,1.0675606531876312,11.962772839163875,0.5762729327358206,1.9937954731939793,0.7141022450632034,0.5762729327358206,steering_law
7,0.8270573549203296,0.4458324128308842,0.0,1.0,0.6510692146662403,0.6510692146662403,False,0.0,qnei,0.8212808999815024,False,0,11,d2faf725-a55d-4588-b5ea-473b14d4a641,none,0.0,0,exact,value,learned,1e-06,"x0,x1,x2,x3",1.290375177799024,0.7141022450632034,0.6393059631327837,12.60207880229666,0.5762729327358206,1.8002969717566657,0.7141022450632034,0.5762729327358206,steering_law
8,0.07948077043993754,0.20369321105882074,1.0,1.0,1.0286582299275713,1.0286582299275713,False,0.0,qnei,0.6881817000103183,False,0,11,d2faf725-a55d-4588-b5ea-473b14d4a641,none,0.0,0,exact,value,learned,1e-06,"x0,x1,x2,x3",1.290375177799024,1.0286582299275713,0.2617169478714527,12.863795750168112,0.2617169478714527,1.607974468771014,1.0286582299275713,0.2617169478714527,steering_law
9,0.0,0.00927266353253435,0.0,0.0,-6.293165790166875,-6.293165790166875,False,0.0,qnei,0.6312382000032812,False,0,11,d2faf725-a55d-4588-b5ea-473b14d4a641,none,0.0,0,exact,value,learned,1e-06,"x0,x1,x2,x3",1.290375177799024,1.0286582299275713,7.583540967965899,20.44733671813401,0.2617169478714527,2.27192630201489,1.0286582299275713,0.2617169478714527,steering_law
10,0.2817088945726484,0.0,0.9946048658705228,0.0,0.9843003731645902,0.9843003731645902,False,0.0,qnei,0.6206596000120044,False,0,11,d2faf725-a55d-4588-b5ea-473b14d4a641,none,0.0,0,exact,value,learned,1e-06,"x0,x1,x2,x3",1.290375177799024,1.0286582299275713,0.3060748046344338,20.753411522768445,0.2617169478714527,2.0753411522768443,1.0286582299275713,0.2617169478714527,steering_law
11,0.4271622634946301,0.0,0.7248070815393717,1.0,1.2884910638971396,1.2884910638971396,False,0.0,qnei,0.7505812000017613,False,1,11,d2faf725-a55d-4588-b5ea-473b14d4a641,none,0.0,0,exact,value,learned,1e-06,"x0,x1,x2,x3",1.290375177799024,1.2884910638971396,0.0018841139018843656,20.75529563667033,0.0018841139018843656,1.886845057879121,1.2884910638971396,0.0018841139018843656,steering_law
12,0.29019201278366746,1.0,0.9253295229544641,1.0,0.045273106382937495,0.045273106382937495,False,0.0,qnei,0.7750222000177018,False,1,11,d2faf725-a55d-4588-b5ea-473b14d4a641,none,0.0,0,exact,value,learned,1e-06,"x0,x1,x2,x3",1.290375177799024,1.2884910638971396,1.2451020714160865,22.000397708086417,0.0018841139018843656,1.8333664756738681,1.2884910638971396,0.0018841139018843656,steering_law
13,0.6786901705168739,0.0,0.45839342859432003,1.0,1.2878697127129841,1.2878697127129841,False,0.0,qnei,0.784427999984473,False,1,11,d2faf725-a55d-4588-b5ea-473b14d4a641,none,0.0,0,exact,value,learned,1e-06,"x0,x1,x2,x3",1.290375177799024,1.2884910638971396,0.002505465086039882,22.002903173172456,0.0018841139018843656,1.6925310133209581,1.2884910638971396,0.0018841139018843656,steering_law
14,0.5955780015362151,0.0,0.5522800621415511,0.0,0.9509731078394621,0.9509731078394621,False,0.0,qnei,0.9717376999906264,False,1,11,d2faf725-a55d-4588-b5ea-473b14d4a641,none,0.0,0,exact,value,learned,1e-06,"x0,x1,x2,x3",1.290375177799024,1.2884910638971396,0.3394020699595619,22.342305243132017,0.0018841139018843656,1.5958789459380012,1.2884910638971396,0.0018841139018843656,steering_law
