iteration,x0,x1,x2,x3,objective_true,objective_observed,error_applied,error_magnitude,acquisition,fit_time_sec,acq_opt_failed,rater_id,seed,run_id,error_model,jitter_std,jitter_iteration,oracle_model,objective,observation_noise,known_noise_var,param_columns,y_opt,best_true_so_far,regret_inst_true,regret_cum_true,simple_regret_true,regret_avg_true,inference_value_true,inference_simple_regret_true,dataset
1,0.9560017096289753,0.20768181007914688,0.8284448852745308,0.14928212308202027,0.16226965084128867,0.1725830115503895,True,0.010313360709100827,qnei,0.0,False,0,10,6706910d-04be-4495-8f1d-d04e06d0c08e,gaussian,0.25,0,exact,value,learned,0.0625,"x0,x1,x2,x3",3.0593887562558817,0.16226965084128867,2.897119105414593,2.897119105414593,2.897119105414593,2.897119105414593,0.16226965084128867,2.897119105414593,stevens
2,0.5128046164365648,0.13591960402050662,0.6890364797811311,0.841747724312279,0.33701318528678437,0.2550381425873334,True,-0.08197504269945094,qnei,0.0,False,0,10,6706910d-04be-4495-8f1d-d04e06d0c08e,gaussian,0.25,0,exact,value,learned,0.0625,"x0,x1,x2,x3",3.0593887562558817,0.33701318528678437,2.7223755709690973,5.61949467638369,2.7223755709690973,2.809747338191845,0.33701318528678437,2.7223755709690973,stevens
3,0.4255089974049766,0.9569260034533662,0.8253329063847983,0.338215312471576,0.9585980075205853,0.9873338165720462,True,0.028735809051460892,qnei,0.0,False,0,10,6706910d-04be-4495-8f1d-d04e06d0c08e,gaussian,0.25,0,exact,value,learned,0.0625,"x0,x1,x2,x3",3.0593887562558817,0.9585980075205853,2.1007907487352964,7.720285425118986,2.1007907487352964,2.573428475039662,0.9585980075205853,2.1007907487352964,stevens
4,0.5757605479445136,0.7533018647084769,0.8271039370247955,0.9334384708515814,1.826720419953148,2.2892332409438887,True,0.46251282099074076,qnei,0.0,False,0,10,6706910d-04be-4495-8f1d-d04e06d0c08e,gaussian,0.25,0,exact,value,learned,0.0625,"x0,x1,x2,x3",3.0593887562558817,1.826720419953148,1.2326683363027338,8.95295376142172,1.2326683363027338,2.23823844035543,1.826720419953148,1.2326683363027338,stevens
5,0.1449946949362273,0.7455802110439375,0.13935139386782236,0.9065287561129268,-0.18332295143431807,-0.021907495614939154,True,0.1614154558193789,qnei,0.0,False,0,10,6706910d-04be-4495-8f1d-d04e06d0c08e,gaussian,0.25,0,exact,value,learned,0.0625,"x0,x1,x2,x3",3.0593887562558817,1.826720419953148,3.2427117076901997,12.195665469111919,1.2326683363027338,2.4391330938223836,1.826720419953148,1.2326683363027338,stevens
6,0.7488295558378536,0.7633793288630734,0.9462300668835273,1.0,2.338753187867598,2.2066637074029343,True,-0.13208948046466373,qnei,0.5160731999785639,False,0,10,6706910d-04be-4495-8f1d-d04e06d0c08e,gaussian,0.25,0,exact,value,learned,0.0625,"x0,x1,x2,x3",3.0593887562558817,2.338753187867598,0.7206355683882837,12.916301037500203,0.7206355683882837,2.152716839583367,1.826720419953148,1.2326683363027338,stevens
7,0.25571847484980714,0.6728167437744828,0.9509999093940528,1.0,1.4098977602783282,1.5163247414505607,True,0.10642698117223248,qnei,0.6929959999979474,False,0,10,6706910d-04be-4495-8f1d-d04e06d0c08e,gaussian,0.25,0,exact,value,learned,0.0625,"x0,x1,x2,x3",3.0593887562558817,2.338753187867598,1.6494909959775534,14.565792033477756,0.7206355683882837,2.080827433353965,1.826720419953148,1.2326683363027338,stevens
8,0.8644653420274193,0.724395800862084,0.7430282860933916,1.0,2.1677499568102014,2.4741768464253893,True,0.3064268896151878,qnei,0.6008406999753788,False,0,10,6706910d-04be-4495-8f1d-d04e06d0c08e,gaussian,0.25,0,exact,value,learned,0.0625,"x0,x1,x2,x3",3.0593887562558817,2.338753187867598,0.8916387994456803,15.457430832923436,0.7206355683882837,1.9321788541154294,2.1677499568102014,0.8916387994456803,stevens
9,1.0,0.8685530371715143,0.760352347476668,1.0,2.567916058774555,2.864534046017203,True,0.296617987242648,qnei,0.5892936000018381,False,0,10,6706910d-04be-4495-8f1d-d04e06d0c08e,gaussian,0.25,0,exact,value,learned,0.0625,"x0,x1,x2,x3",3.0593887562558817,2.567916058774555,0.4914726974813268,15.948903530404763,0.4914726974813268,1.7721003922671958,2.567916058774555,0.4914726974813268,stevens
10,1.0,1.0,0.7763693125549351,1.0,2.7620012016277338,3.091811517325366,True,0.3298103156976322,qnei,0.8581635999726132,False,0,10,6706910d-04be-4495-8f1d-d04e06d0c08e,gaussian,0.25,0,exact,value,learned,0.0625,"x0,x1,x2,x3",3.0593887562558817,2.7620012016277338,0.2973875546281479,16.24629108503291,0.2973875546281479,1.6246291085032911,2.7620012016277338,0.2973875546281479,stevens
11,1.0,1.0,0.7355892383414261,0.8755707529613456,2.5424824567310305,2.9316210196684565,True,0.389138562937426,qnei,0.6338048999896273,False,1,10,6706910d-04be-4495-8f1d-d04e06d0c08e,gaussian,0.25,0,exact,value,learned,0.0625,"x0,x1,x2,x3",3.0593887562558817,2.7620012016277338,0.5169062995248512,16.763197384557763,0.2973875546281479,1.5239270349597966,2.7620012016277338,0.2973875546281479,stevens
12,1.0,1.0,0.6991785235018471,1.0,2.6529754817607394,3.5683375887485735,True,0.9153621069878342,qnei,0.7610366000444628,False,1,10,6706910d-04be-4495-8f1d-d04e06d0c08e,gaussian,0.25,0,exact,value,learned,0.0625,"x0,x1,x2,x3",3.0593887562558817,2.7620012016277338,0.4064132744951423,17.169610659052907,0.2973875546281479,1.430800888254409,2.6529754817607394,0.4064132744951423,stevens
13,0.7604893958295765,1.0,0.643139028765096,1.0,2.2518063485672726,2.4420922436061083,True,0.19028589503883575,qnei,0.6789993999991566,False,1,10,6706910d-04be-4495-8f1d-d04e06d0c08e,gaussian,0.25,0,exact,value,learned,0.0625,"x0,x1,x2,x3",3.0593887562558817,2.7620012016277338,0.8075824076886091,17.977193066741517,0.2973875546281479,1.382861005133963,2.6529754817607394,0.4064132744951423,stevens
14,1.0,1.0,0.615270308478502,1.0,2.529840981363639,2.88580961064621,True,0.3559686292825712,qnei,1.034359100041911,False,1,10,6706910d-04be-4495-8f1d-d04e06d0c08e,gaussian,0.25,0,exact,value,learned,0.0625,"x0,x1,x2,x3",3.0593887562558817,2.7620012016277338,0.5295477748922428,18.50674084163376,0.2973875546281479,1.321910060116697,2.6529754817607394,0.4064132744951423,stevens
15,1.0,0.0,0.0,0.0,-2.659841721785871,-2.3198039002794344,True,0.3400378215064368,qnei,0.5059143000398763,False,1,10,6706910d-04be-4495-8f1d-d04e06d0c08e,gaussian,0.25,0,exact,value,learned,0.0625,"x0,x1,x2,x3",3.0593887562558817,2.7620012016277338,5.719230478041753,24.225971319675516,0.2973875546281479,1.6150647546450343,2.6529754817607394,0.4064132744951423,stevens
