iteration,x0,x1,x2,x3,objective_true,objective_observed,error_applied,error_magnitude,acquisition,fit_time_sec,acq_opt_failed,rater_id,seed,run_id,error_model,jitter_std,jitter_iteration,oracle_model,objective,observation_noise,known_noise_var,param_columns,y_opt,best_true_so_far,regret_inst_true,regret_cum_true,simple_regret_true,regret_avg_true,inference_value_true,inference_simple_regret_true,dataset
1,9.560017096289753,2.076818100791469,8.284448852745307,1.4928212308202027,-0.059373050959702744,-0.059373050959702744,False,0.0,qnei,0.0,False,0,10,6184f7ab-b98b-4b16-9aff-f5821ff7a762,none,0.0,0,exact,value,learned,1e-06,"x0,x1,x2,x3",5.402837764670362,-0.059373050959702744,5.462210815630065,5.462210815630065,5.462210815630065,5.462210815630065,-0.059373050959702744,5.462210815630065,hicks_law
2,5.1280461643656485,1.3591960402050662,6.890364797811311,8.41747724312279,-0.35355090833254604,-0.35355090833254604,False,0.0,qnei,0.0,False,1,10,6184f7ab-b98b-4b16-9aff-f5821ff7a762,none,0.0,0,exact,value,learned,1e-06,"x0,x1,x2,x3",5.402837764670362,-0.059373050959702744,5.756388673002908,11.218599488632972,5.462210815630065,5.609299744316486,-0.059373050959702744,5.462210815630065,hicks_law
3,4.255089974049766,9.569260034533663,8.253329063847982,3.38215312471576,-0.9640967137952154,-0.9640967137952154,False,0.0,qnei,0.0,False,2,10,6184f7ab-b98b-4b16-9aff-f5821ff7a762,none,0.0,0,exact,value,learned,1e-06,"x0,x1,x2,x3",5.402837764670362,-0.059373050959702744,6.366934478465577,17.58553396709855,5.462210815630065,5.8618446556995165,-0.059373050959702744,5.462210815630065,hicks_law
4,5.757605479445136,7.533018647084769,8.271039370247955,9.334384708515813,-1.7041718247559223,-1.7041718247559223,False,0.0,qnei,0.0,False,3,10,6184f7ab-b98b-4b16-9aff-f5821ff7a762,none,0.0,0,exact,value,learned,1e-06,"x0,x1,x2,x3",5.402837764670362,-0.059373050959702744,7.1070095894262835,24.692543556524832,5.462210815630065,6.173135889131208,-0.059373050959702744,5.462210815630065,hicks_law
5,1.449946949362273,7.455802110439374,1.3935139386782236,9.065287561129269,0.2787424296685079,0.2787424296685079,False,0.0,qnei,0.0,False,4,10,6184f7ab-b98b-4b16-9aff-f5821ff7a762,none,0.0,0,exact,value,learned,1e-06,"x0,x1,x2,x3",5.402837764670362,0.2787424296685079,5.124095335001853,29.816638891526686,5.124095335001853,5.963327778305337,0.2787424296685079,5.124095335001853,hicks_law
6,0.0,8.141250896060036,0.0,4.462647325117482,2.1773935451140582,2.1773935451140582,False,0.0,qnei,1.2443689000210725,False,0,10,6184f7ab-b98b-4b16-9aff-f5821ff7a762,none,0.0,0,exact,value,learned,1e-06,"x0,x1,x2,x3",5.402837764670362,2.1773935451140582,3.2254442195563033,33.04208311108299,3.2254442195563033,5.507013851847165,2.1773935451140582,3.2254442195563033,hicks_law
7,0.0,8.046474018384743,0.0,1.3303157420403149,2.888633515194911,2.888633515194911,False,0.0,qnei,0.5731120000127703,False,1,10,6184f7ab-b98b-4b16-9aff-f5821ff7a762,none,0.0,0,exact,value,learned,1e-06,"x0,x1,x2,x3",5.402837764670362,2.888633515194911,2.5142042494754504,35.556287360558436,2.5142042494754504,5.079469622936919,2.888633515194911,2.5142042494754504,hicks_law
8,0.0,2.564115652911982,0.0,0.0,4.354627396814675,4.354627396814675,False,0.0,qnei,0.8485961999977008,False,2,10,6184f7ab-b98b-4b16-9aff-f5821ff7a762,none,0.0,0,exact,value,learned,1e-06,"x0,x1,x2,x3",5.402837764670362,4.354627396814675,1.0482103678556864,36.604497728414124,1.0482103678556864,4.5755622160517655,4.354627396814675,1.0482103678556864,hicks_law
9,0.0,0.0,0.0,0.0,5.402837764670362,5.402837764670362,False,0.0,qnei,0.6452489000512287,False,3,10,6184f7ab-b98b-4b16-9aff-f5821ff7a762,none,0.0,0,exact,value,learned,1e-06,"x0,x1,x2,x3",5.402837764670362,5.402837764670362,0.0,36.604497728414124,0.0,4.067166414268236,5.402837764670362,0.0,hicks_law
10,3.7097473337753852,0.0,0.0,0.0,4.124749557688665,4.124749557688665,False,0.0,qnei,0.6359188000205904,False,4,10,6184f7ab-b98b-4b16-9aff-f5821ff7a762,none,0.0,0,exact,value,learned,1e-06,"x0,x1,x2,x3",5.402837764670362,5.402837764670362,1.278088206981697,37.882585935395824,0.0,3.7882585935395823,5.402837764670362,0.0,hicks_law
11,7.402940750587782,0.6310073664123628,8.725443097165694,2.653915045214191,0.29890813592748106,0.29890813592748106,False,0.0,qnei,0.7635400000144728,False,0,10,6184f7ab-b98b-4b16-9aff-f5821ff7a762,none,0.0,0,exact,value,learned,1e-06,"x0,x1,x2,x3",5.402837764670362,5.402837764670362,5.103929628742881,42.986515564138706,0.0,3.907865051285337,5.402837764670362,0.0,hicks_law
12,0.6237098341694569,6.060840095148729,2.58150051602465,8.073419513192437,0.5198762430771074,0.5198762430771074,False,0.0,qnei,0.7521317999926396,False,1,10,6184f7ab-b98b-4b16-9aff-f5821ff7a762,none,0.0,0,exact,value,learned,1e-06,"x0,x1,x2,x3",5.402837764670362,5.402837764670362,4.882961521593254,47.86947708573196,0.0,3.9891230904776633,5.402837764670362,0.0,hicks_law
13,7.9305570873317075,0.6428081433793953,9.273815754226266,6.913785982710411,-0.43989101358272376,-0.43989101358272376,False,0.0,qnei,0.5819295999826863,False,2,10,6184f7ab-b98b-4b16-9aff-f5821ff7a762,none,0.0,0,exact,value,learned,1e-06,"x0,x1,x2,x3",5.402837764670362,5.402837764670362,5.842728778253085,53.71220586398504,0.0,4.131708143383465,5.402837764670362,0.0,hicks_law
14,4.509776243672452,5.383729999357652,9.635098885273202,1.7083456549505627,-0.30519299600728944,-0.30519299600728944,False,0.0,qnei,0.678929399990011,False,3,10,6184f7ab-b98b-4b16-9aff-f5821ff7a762,none,0.0,0,exact,value,learned,1e-06,"x0,x1,x2,x3",5.402837764670362,5.402837764670362,5.7080307606776515,59.42023662466269,0.0,4.244302616047335,5.402837764670362,0.0,hicks_law
15,7.673201545974554,2.7419058334511917,2.330200976752378,3.6790762471146667,0.26786208171143594,0.26786208171143594,False,0.0,qnei,0.8812478000181727,False,4,10,6184f7ab-b98b-4b16-9aff-f5821ff7a762,none,0.0,0,exact,value,learned,1e-06,"x0,x1,x2,x3",5.402837764670362,5.402837764670362,5.134975682958926,64.55521230762162,0.0,4.303680820508108,5.402837764670362,0.0,hicks_law
16,0.4322715955383283,9.600935352356078,4.725739734491485,1.756877972098989,0.8837093574517633,0.8837093574517633,False,0.0,qnei,0.6968340000021271,False,0,10,6184f7ab-b98b-4b16-9aff-f5821ff7a762,none,0.0,0,exact,value,learned,1e-06,"x0,x1,x2,x3",5.402837764670362,5.402837764670362,4.519128407218599,69.07434071484022,0.0,4.317146294677514,5.402837764670362,0.0,hicks_law
17,1.3561541374088315,3.074349907357712,9.802185934797855,6.108928869956357,-0.04297269601210483,-0.04297269601210483,False,0.0,qnei,0.6992448999662884,False,1,10,6184f7ab-b98b-4b16-9aff-f5821ff7a762,none,0.0,0,exact,value,learned,1e-06,"x0,x1,x2,x3",5.402837764670362,5.402837764670362,5.445810460682466,74.52015117552268,0.0,4.383538304442511,5.402837764670362,0.0,hicks_law
18,3.336751121557,7.201101737835021,0.49504000484665633,5.067612695790159,0.638557395195442,0.638557395195442,False,0.0,qnei,0.5787838000105694,False,2,10,6184f7ab-b98b-4b16-9aff-f5821ff7a762,none,0.0,0,exact,value,learned,1e-06,"x0,x1,x2,x3",5.402837764670362,5.402837764670362,4.764280369474919,79.2844315449976,0.0,4.404690641388756,5.402837764670362,0.0,hicks_law
19,0.12795358749783992,3.0504220845637264,3.8973220791062237,6.290616881971486,1.201056663992042,1.201056663992042,False,0.0,qnei,0.8894466999918222,False,3,10,6184f7ab-b98b-4b16-9aff-f5821ff7a762,none,0.0,0,exact,value,learned,1e-06,"x0,x1,x2,x3",5.402837764670362,5.402837764670362,4.2017811006783194,83.48621264567592,0.0,4.39401119187768,5.402837764670362,0.0,hicks_law
20,8.51985501753127,1.4468655541255326,3.49030778879597,0.31881412766479045,1.3393381575901175,1.3393381575901175,False,0.0,qnei,0.7612312000128441,False,4,10,6184f7ab-b98b-4b16-9aff-f5821ff7a762,none,0.0,0,exact,value,learned,1e-06,"x0,x1,x2,x3",5.402837764670362,5.402837764670362,4.063499607080244,87.54971225275617,0.0,4.377485612637808,5.402837764670362,0.0,hicks_law
21,1.3049626899085776,9.735927029557722,6.6626279809679065,6.020921518849526,-0.5304662719630898,-0.5304662719630898,False,0.0,qnei,0.932834500039462,False,0,10,6184f7ab-b98b-4b16-9aff-f5821ff7a762,none,0.0,0,exact,value,learned,1e-06,"x0,x1,x2,x3",5.402837764670362,5.402837764670362,5.9333040366334515,93.48301628938961,0.0,4.451572204256648,5.402837764670362,0.0,hicks_law
22,6.591986268051032,7.313595154127892,3.595464091819256,8.234489443312864,-1.1070536802603892,-1.1070536802603892,False,0.0,qnei,0.8814461000147276,False,1,10,6184f7ab-b98b-4b16-9aff-f5821ff7a762,none,0.0,0,exact,value,learned,1e-06,"x0,x1,x2,x3",5.402837764670362,5.402837764670362,6.509891444930751,99.99290773432035,0.0,4.5451321697418345,5.402837764670362,0.0,hicks_law
23,0.6781398854922327,4.238156151442276,9.812713009944812,0.43105806378760714,1.3509257137118276,1.3509257137118276,False,0.0,qnei,0.5579266999848187,False,2,10,6184f7ab-b98b-4b16-9aff-f5821ff7a762,none,0.0,0,exact,value,learned,1e-06,"x0,x1,x2,x3",5.402837764670362,5.402837764670362,4.051912050958534,104.04481978527889,0.0,4.523687816751256,5.402837764670362,0.0,hicks_law
24,2.5332277644989776,2.5518017474240704,8.562468089436969,3.2238526059740256,0.26597011314243935,0.26597011314243935,False,0.0,qnei,0.6826146999956109,False,3,10,6184f7ab-b98b-4b16-9aff-f5821ff7a762,none,0.0,0,exact,value,learned,1e-06,"x0,x1,x2,x3",5.402837764670362,5.402837764670362,5.136867651527922,109.18168743680681,0.0,4.549236976533617,5.402837764670362,0.0,hicks_law
25,6.946354863035582,2.0936466741490776,7.280344650356643,6.794753770630272,-0.6752044280668177,-0.6752044280668177,False,0.0,qnei,0.7192285999772139,False,4,10,6184f7ab-b98b-4b16-9aff-f5821ff7a762,none,0.0,0,exact,value,learned,1e-06,"x0,x1,x2,x3",5.402837764670362,5.402837764670362,6.078042192737179,115.25972962954398,0.0,4.610389185181759,5.402837764670362,0.0,hicks_law
26,9.013296290303733,8.795784808678448,4.279929443572282,3.1060922131129622,-0.9167385837637122,-0.9167385837637122,False,0.0,qnei,0.5669690999784507,False,0,10,6184f7ab-b98b-4b16-9aff-f5821ff7a762,none,0.0,0,exact,value,learned,1e-06,"x0,x1,x2,x3",5.402837764670362,5.402837764670362,6.319576348434074,121.57930597797805,0.0,4.676127152999156,5.402837764670362,0.0,hicks_law
27,3.4544281936694965,1.8114385677700073,5.047395271063232,8.340888553799845,-0.008977457317499172,-0.008977457317499172,False,0.0,qnei,0.8497583999997005,False,1,10,6184f7ab-b98b-4b16-9aff-f5821ff7a762,none,0.0,0,exact,value,learned,1e-06,"x0,x1,x2,x3",5.402837764670362,5.402837764670362,5.411815221987861,126.99112119996592,0.0,4.703374859257997,5.402837764670362,0.0,hicks_law
28,8.142922512691724,5.5361223908914425,5.78654512508603,7.771377271940658,-1.3410893555912964,-1.3410893555912964,False,0.0,qnei,0.7608186000143178,False,2,10,6184f7ab-b98b-4b16-9aff-f5821ff7a762,none,0.0,0,exact,value,learned,1e-06,"x0,x1,x2,x3",5.402837764670362,5.402837764670362,6.743927120261658,133.73504832022758,0.0,4.776251725722413,5.402837764670362,0.0,hicks_law
29,9.47036199511173,4.46211499443964,4.044576299599183,3.308003976884498,-0.4737744384850073,-0.4737744384850073,False,0.0,qnei,0.6906053000129759,False,3,10,6184f7ab-b98b-4b16-9aff-f5821ff7a762,none,0.0,0,exact,value,learned,1e-06,"x0,x1,x2,x3",5.402837764670362,5.402837764670362,5.876612203155369,139.61166052338294,0.0,4.814195190461481,5.402837764670362,0.0,hicks_law
30,7.433892363907859,1.1087781667932672,1.2595731193392645,4.946717878348325,0.8860946738387584,0.8860946738387584,False,0.0,qnei,0.8366190999513492,False,4,10,6184f7ab-b98b-4b16-9aff-f5821ff7a762,none,0.0,0,exact,value,learned,1e-06,"x0,x1,x2,x3",5.402837764670362,5.402837764670362,4.5167430908316035,144.12840361421453,0.0,4.804280120473818,5.402837764670362,0.0,hicks_law
31,7.380235428081648,6.004654191108642,5.4472075503261745,8.912743290136076,-1.3849332215507542,-1.3849332215507542,False,0.0,qnei,0.5738178000319749,False,0,10,6184f7ab-b98b-4b16-9aff-f5821ff7a762,none,0.0,0,exact,value,learned,1e-06,"x0,x1,x2,x3",5.402837764670362,5.402837764670362,6.7877709862211155,150.91617460043565,0.0,4.868263696788246,5.402837764670362,0.0,hicks_law
32,3.0315284938681675,2.2875296870280417,6.706096029443613,7.788467097496597,-0.20536287927168762,-0.20536287927168762,False,0.0,qnei,0.7073377000051551,False,1,10,6184f7ab-b98b-4b16-9aff-f5821ff7a762,none,0.0,0,exact,value,learned,1e-06,"x0,x1,x2,x3",5.402837764670362,5.402837764670362,5.608200643942049,156.5243752443777,0.0,4.891386726386803,5.402837764670362,0.0,hicks_law
33,8.671537838981696,5.236305581699937,0.8785489528395063,9.105897604798773,-0.40616087562397346,-0.40616087562397346,False,0.0,qnei,0.6311660000355914,False,2,10,6184f7ab-b98b-4b16-9aff-f5821ff7a762,none,0.0,0,exact,value,learned,1e-06,"x0,x1,x2,x3",5.402837764670362,5.402837764670362,5.808998640294335,162.33337388467203,0.0,4.919193148020365,5.402837764670362,0.0,hicks_law
34,9.364340205188617,9.647646894721763,4.99158058785048,4.212400655137904,-1.3149819825956928,-1.3149819825956928,False,0.0,qnei,0.72277509997366,False,3,10,6184f7ab-b98b-4b16-9aff-f5821ff7a762,none,0.0,0,exact,value,learned,1e-06,"x0,x1,x2,x3",5.402837764670362,5.402837764670362,6.717819747266054,169.05119363193808,0.0,4.97209393035112,5.402837764670362,0.0,hicks_law
35,1.8705520913426266,7.91970922427061,2.149932686346374,3.456543606206486,0.5494741436371596,0.5494741436371596,False,0.0,qnei,0.6679080000030808,False,4,10,6184f7ab-b98b-4b16-9aff-f5821ff7a762,none,0.0,0,exact,value,learned,1e-06,"x0,x1,x2,x3",5.402837764670362,5.402837764670362,4.853363621033202,173.90455725297127,0.0,4.968701635799179,5.402837764670362,0.0,hicks_law
36,0.6183642630213959,6.0525597626390955,4.865653967017229,0.05509188317729952,1.8913495819598654,1.8913495819598654,False,0.0,qnei,0.594897500006482,False,0,10,6184f7ab-b98b-4b16-9aff-f5821ff7a762,none,0.0,0,exact,value,learned,1e-06,"x0,x1,x2,x3",5.402837764670362,5.402837764670362,3.5114881827104965,177.41604543568178,0.0,4.928223484324494,5.402837764670362,0.0,hicks_law
37,6.4870244957663825,1.162700389577771,7.907606580469384,5.095163551861344,-0.18820460526268357,-0.18820460526268357,False,0.0,qnei,0.7139631999889389,False,1,10,6184f7ab-b98b-4b16-9aff-f5821ff7a762,none,0.0,0,exact,value,learned,1e-06,"x0,x1,x2,x3",5.402837764670362,5.402837764670362,5.591042369933045,183.00708780561482,0.0,4.94613750825986,5.402837764670362,0.0,hicks_law
