iteration,x0,x1,x2,x3,objective_true,objective_observed,error_applied,error_magnitude,acquisition,fit_time_sec,acq_opt_failed,rater_id,seed,run_id,error_model,jitter_std,jitter_iteration,oracle_model,objective,observation_noise,known_noise_var,param_columns,y_opt,best_true_so_far,regret_inst_true,regret_cum_true,simple_regret_true,regret_avg_true,inference_value_true,inference_simple_regret_true,dataset
1,0.625095466604667,0.8972138009695755,0.7756856902451935,0.22520718999059186,-0.44300571206653283,-0.44300571206653283,False,0.0,logei,0.0,False,0,7,cb5e311d-1bc6-4ed3-9be4-6bacf858e596,none,0.0,0,exact,value,learned,1e-06,"x0,x1,x2,x3",1.290375177799024,-0.44300571206653283,1.7333808898655567,1.7333808898655567,1.7333808898655567,1.7333808898655567,-0.44300571206653283,1.7333808898655567,steering_law
2,0.30016628491122543,0.8735534453962619,0.005265304565574724,0.8212284183827663,-1.6789703354766992,-1.6789703354766992,False,0.0,logei,0.0,False,1,7,cb5e311d-1bc6-4ed3-9be4-6bacf858e596,none,0.0,0,exact,value,learned,1e-06,"x0,x1,x2,x3",1.290375177799024,-0.44300571206653283,2.969345513275723,4.70272640314128,1.7333808898655567,2.35136320157064,-0.44300571206653283,1.7333808898655567,steering_law
3,0.7970694287520462,0.4679349528437208,0.3030324268193135,0.2784256121007733,0.20951670616831453,0.20951670616831453,False,0.0,logei,0.0,False,2,7,cb5e311d-1bc6-4ed3-9be4-6bacf858e596,none,0.0,0,exact,value,learned,1e-06,"x0,x1,x2,x3",1.290375177799024,0.20951670616831453,1.0808584716307095,5.783584874771989,1.0808584716307095,1.9278616249239964,0.20951670616831453,1.0808584716307095,steering_law
4,0.2548695876541246,0.4450763058826466,0.5045482589579533,0.5534973520744925,0.2016846240186062,0.2016846240186062,False,0.0,logei,0.0,False,3,7,cb5e311d-1bc6-4ed3-9be4-6bacf858e596,none,0.0,0,exact,value,learned,1e-06,"x0,x1,x2,x3",1.290375177799024,0.20951670616831453,1.0886905537804177,6.872275428552407,1.0808584716307095,1.7180688571381018,0.20951670616831453,1.0808584716307095,steering_law
5,0.9955002834343927,0.7926619192137531,0.6221792294411627,0.9889601476818849,0.2515146882902269,0.2515146882902269,False,0.0,logei,0.0,False,4,7,cb5e311d-1bc6-4ed3-9be4-6bacf858e596,none,0.0,0,exact,value,learned,1e-06,"x0,x1,x2,x3",1.290375177799024,0.2515146882902269,1.0388604895087972,7.911135918061204,1.0388604895087972,1.5822271836122408,0.2515146882902269,1.0388604895087972,steering_law
6,1.0,0.5003198994858182,0.5061266569952134,0.7037580317110106,0.49420342522119026,0.49420342522119026,False,0.0,logei,0.6845671000191942,False,0,7,cb5e311d-1bc6-4ed3-9be4-6bacf858e596,none,0.0,0,exact,value,learned,1e-06,"x0,x1,x2,x3",1.290375177799024,0.49420342522119026,0.7961717525778338,8.707307670639038,0.7961717525778338,1.4512179451065064,0.49420342522119026,0.7961717525778338,steering_law
7,1.0,0.854058830076528,0.45445398727801667,0.0,-0.5224029100284056,-0.5224029100284056,False,0.0,logei,0.6614182000048459,False,1,7,cb5e311d-1bc6-4ed3-9be4-6bacf858e596,none,0.0,0,exact,value,learned,1e-06,"x0,x1,x2,x3",1.290375177799024,0.49420342522119026,1.8127780878274296,10.520085758466468,0.7961717525778338,1.5028693940666382,0.49420342522119026,0.7961717525778338,steering_law
8,1.0,0.5599886178442642,0.7474916242199184,1.0,0.5296826904221286,0.5296826904221286,False,0.0,logei,0.8267964000115171,False,2,7,cb5e311d-1bc6-4ed3-9be4-6bacf858e596,none,0.0,0,exact,value,learned,1e-06,"x0,x1,x2,x3",1.290375177799024,0.5296826904221286,0.7606924873768954,11.280778245843363,0.7606924873768954,1.4100972807304204,0.5296826904221286,0.7606924873768954,steering_law
9,0.9473086976823639,0.24680571980768398,0.4909050404392109,1.0,0.9757197349170973,0.9757197349170973,False,0.0,logei,0.7696820000419393,False,3,7,cb5e311d-1bc6-4ed3-9be4-6bacf858e596,none,0.0,0,exact,value,learned,1e-06,"x0,x1,x2,x3",1.290375177799024,0.9757197349170973,0.3146554428819267,11.59543368872529,0.3146554428819267,1.2883815209694767,0.9757197349170973,0.3146554428819267,steering_law
10,0.8578186064477301,0.0,0.4491647877844688,0.7329890080741003,1.2099858603243578,1.2099858603243578,False,0.0,logei,0.6604480000096373,False,4,7,cb5e311d-1bc6-4ed3-9be4-6bacf858e596,none,0.0,0,exact,value,learned,1e-06,"x0,x1,x2,x3",1.290375177799024,1.2099858603243578,0.08038931747466616,11.675823006199956,0.08038931747466616,1.1675823006199955,1.2099858603243578,0.08038931747466616,steering_law
