iteration,x0,x1,x2,x3,objective_true,objective_observed,error_applied,error_magnitude,acquisition,fit_time_sec,acq_opt_failed,rater_id,seed,run_id,error_model,jitter_std,jitter_iteration,oracle_model,objective,observation_noise,known_noise_var,param_columns,y_opt,best_true_so_far,regret_inst_true,regret_cum_true,simple_regret_true,regret_avg_true,inference_value_true,inference_simple_regret_true,dataset
1,0.9560017096289753,0.20768181007914688,0.8284448852745308,0.14928212308202027,0.16226965084128867,0.8500303101429514,True,0.6877606593016627,logei,0.0,False,0,10,0c9907be-e758-4a02-ba53-c8da21a19b4c,gaussian,1.0,0,exact,value,learned,1.0,"x0,x1,x2,x3",3.0593887562558817,0.16226965084128867,2.897119105414593,2.897119105414593,2.897119105414593,2.897119105414593,0.16226965084128867,2.897119105414593,stevens
2,0.5128046164365648,0.13591960402050662,0.6890364797811311,0.841747724312279,0.33701318528678437,-0.8604451517398641,True,-1.1974583370266485,logei,0.0,False,1,10,0c9907be-e758-4a02-ba53-c8da21a19b4c,gaussian,1.0,0,exact,value,learned,1.0,"x0,x1,x2,x3",3.0593887562558817,0.33701318528678437,2.7223755709690973,5.61949467638369,2.7223755709690973,2.809747338191845,0.16226965084128867,2.897119105414593,stevens
3,0.4255089974049766,0.9569260034533662,0.8253329063847983,0.338215312471576,0.9585980075205853,-3.027757942941367,True,-3.9863559504619523,logei,0.0,False,2,10,0c9907be-e758-4a02-ba53-c8da21a19b4c,gaussian,1.0,0,exact,value,learned,1.0,"x0,x1,x2,x3",3.0593887562558817,0.9585980075205853,2.1007907487352964,7.720285425118986,2.1007907487352964,2.573428475039662,0.16226965084128867,2.897119105414593,stevens
4,0.5757605479445136,0.7533018647084769,0.8271039370247955,0.9334384708515814,1.826720419953148,4.922019123410224,True,3.0952987034570763,logei,0.0,False,3,10,0c9907be-e758-4a02-ba53-c8da21a19b4c,gaussian,1.0,0,exact,value,learned,1.0,"x0,x1,x2,x3",3.0593887562558817,1.826720419953148,1.2326683363027338,8.95295376142172,1.2326683363027338,2.23823844035543,1.826720419953148,1.2326683363027338,stevens
5,0.1449946949362273,0.7455802110439375,0.13935139386782236,0.9065287561129268,-0.18332295143431807,2.148326060923643,True,2.331649012357961,logei,0.0,False,4,10,0c9907be-e758-4a02-ba53-c8da21a19b4c,gaussian,1.0,0,exact,value,learned,1.0,"x0,x1,x2,x3",3.0593887562558817,1.826720419953148,3.2427117076901997,12.195665469111919,1.2326683363027338,2.4391330938223836,1.826720419953148,1.2326683363027338,stevens
6,0.7686893233728231,0.8579089606620027,0.7055630075577307,1.0,2.168029691943169,2.320944453242511,True,0.15291476129934178,logei,0.6418260000064038,False,0,10,0c9907be-e758-4a02-ba53-c8da21a19b4c,gaussian,1.0,0,exact,value,learned,1.0,"x0,x1,x2,x3",3.0593887562558817,2.168029691943169,0.8913590643127125,13.087024533424632,0.8913590643127125,2.181170755570772,1.826720419953148,1.2326683363027338,stevens
7,0.41824471340042685,0.6804748881406152,1.0,0.9356889141278779,1.6996205078419395,1.94102241252401,True,0.24140190468207057,logei,0.8027525000507012,False,1,10,0c9907be-e758-4a02-ba53-c8da21a19b4c,gaussian,1.0,0,exact,value,learned,1.0,"x0,x1,x2,x3",3.0593887562558817,2.168029691943169,1.3597682484139422,14.446792781838575,0.8913590643127125,2.0638275402626536,1.826720419953148,1.2326683363027338,stevens
8,0.5398724610320915,0.7648684589398903,0.6445098242296019,0.9282313152727842,1.5221419744625047,-1.2033749876842903,True,-2.725516962146795,logei,0.8025117000215687,False,2,10,0c9907be-e758-4a02-ba53-c8da21a19b4c,gaussian,1.0,0,exact,value,learned,1.0,"x0,x1,x2,x3",3.0593887562558817,2.168029691943169,1.537246781793377,15.984039563631951,0.8913590643127125,1.9980049454539939,1.826720419953148,1.2326683363027338,stevens
9,0.7355847353996172,0.9367854895631242,0.8426603096667024,1.0,2.4166681443783156,4.745217127649746,True,2.3285489832714306,logei,0.7924084000405855,False,3,10,0c9907be-e758-4a02-ba53-c8da21a19b4c,gaussian,1.0,0,exact,value,learned,1.0,"x0,x1,x2,x3",3.0593887562558817,2.4166681443783156,0.6427206118775661,16.626760175509517,0.6427206118775661,1.8474177972788353,1.826720419953148,1.2326683363027338,stevens
10,0.6441687505700024,0.2374195498217261,0.8424247797398563,1.0,1.1869897113859038,3.026154849853664,True,1.83916513846776,logei,1.0140966000035405,False,4,10,0c9907be-e758-4a02-ba53-c8da21a19b4c,gaussian,1.0,0,exact,value,learned,1.0,"x0,x1,x2,x3",3.0593887562558817,2.4166681443783156,1.8723990448699779,18.499159220379497,0.6427206118775661,1.8499159220379497,1.826720419953148,1.2326683363027338,stevens
11,0.4031376371398418,1.0,0.8290855793937012,0.9985298666361786,1.9633348934955748,3.9787099736409712,True,2.0153750801453967,logei,0.6143845000187866,False,0,10,0c9907be-e758-4a02-ba53-c8da21a19b4c,gaussian,1.0,0,exact,value,learned,1.0,"x0,x1,x2,x3",3.0593887562558817,2.4166681443783156,1.096053862760307,19.595213083139804,0.6427206118775661,1.781383007558164,1.826720419953148,1.2326683363027338,stevens
12,1.0,0.8305263123895527,0.8246645969800257,0.9151850036389492,2.495456432635589,1.367930663751551,True,-1.127525768884038,logei,0.8188962999847718,False,1,10,0c9907be-e758-4a02-ba53-c8da21a19b4c,gaussian,1.0,0,exact,value,learned,1.0,"x0,x1,x2,x3",3.0593887562558817,2.495456432635589,0.5639323236202927,20.159145406760096,0.5639323236202927,1.6799287838966748,1.826720419953148,1.2326683363027338,stevens
13,0.6052498820017307,1.0,0.8440874748388832,0.9713595430760705,2.2733594441010037,1.6031246342902354,True,-0.6702348098107682,logei,0.9310967000201344,False,2,10,0c9907be-e758-4a02-ba53-c8da21a19b4c,gaussian,1.0,0,exact,value,learned,1.0,"x0,x1,x2,x3",3.0593887562558817,2.495456432635589,0.786029312154878,20.945174718914974,0.5639323236202927,1.6111672860703825,1.826720419953148,1.2326683363027338,stevens
14,0.41341185478023995,0.6931025207379282,0.8476774024866457,0.9409356742419327,1.5166630563401224,4.166912197298143,True,2.650249140958021,logei,0.9999663999769837,False,3,10,0c9907be-e758-4a02-ba53-c8da21a19b4c,gaussian,1.0,0,exact,value,learned,1.0,"x0,x1,x2,x3",3.0593887562558817,2.495456432635589,1.5427256999157593,22.487900418830733,0.5639323236202927,1.6062786013450523,1.826720419953148,1.2326683363027338,stevens
15,0.3787218388728671,0.7602697500937496,0.8418194213228629,0.9235506945131071,1.5212076143044841,2.7282674652206214,True,1.2070598509161372,logei,0.9005350000225008,False,4,10,0c9907be-e758-4a02-ba53-c8da21a19b4c,gaussian,1.0,0,exact,value,learned,1.0,"x0,x1,x2,x3",3.0593887562558817,2.495456432635589,1.5381811419513975,24.02608156078213,0.5639323236202927,1.6017387707188087,1.826720419953148,1.2326683363027338,stevens
16,0.710750538987522,0.708844678536943,0.833822939133137,0.9430538863684987,1.985022536813564,-0.036253859400618094,True,-2.021276396214182,logei,0.9749861999880522,False,0,10,0c9907be-e758-4a02-ba53-c8da21a19b4c,gaussian,1.0,0,exact,value,learned,1.0,"x0,x1,x2,x3",3.0593887562558817,2.495456432635589,1.0743662194423176,25.10044778022445,0.5639323236202927,1.568777986264028,1.826720419953148,1.2326683363027338,stevens
