iteration,x0,x1,x2,x3,objective_true,objective_observed,error_applied,error_magnitude,acquisition,fit_time_sec,acq_opt_failed,rater_id,seed,run_id,error_model,jitter_std,jitter_iteration,oracle_model,objective,observation_noise,known_noise_var,param_columns,y_opt,best_true_so_far,regret_inst_true,regret_cum_true,simple_regret_true,regret_avg_true,inference_value_true,inference_simple_regret_true,dataset
1,0.3269722766055607,0.9872768433379255,0.31871083848551673,0.7885489358200289,-0.4877275304971995,1.0687594160532732,True,1.5564869465504727,qnei,0.0,False,0,8,816bc9a4-8dbb-4808-9118-e2f76f2c9155,gaussian,1.0,0,exact,value,learned,1.0,"x0,x1,x2,x3",3.5354125437868587,-0.4877275304971995,4.023140074284058,4.023140074284058,4.023140074284058,4.023140074284058,-0.4877275304971995,4.023140074284058,yerkes_dodson
2,0.8698965116962161,0.391084806539194,0.4378818731227988,0.37274890308935305,1.3151842961552374,0.21124059151369567,True,-1.1039437046415417,qnei,0.0,False,1,8,816bc9a4-8dbb-4808-9118-e2f76f2c9155,gaussian,1.0,0,exact,value,learned,1.0,"x0,x1,x2,x3",3.5354125437868587,1.3151842961552374,2.2202282476316215,6.243368321915679,2.2202282476316215,3.1216841609578396,-0.4877275304971995,4.023140074284058,yerkes_dodson
3,0.10695359647277436,0.47896545416271696,0.24135214508468228,0.25714524855112975,0.022085249182448828,-5.553987640955113,True,-5.576072890137562,qnei,0.0,False,2,8,816bc9a4-8dbb-4808-9118-e2f76f2c9155,gaussian,1.0,0,exact,value,learned,1.0,"x0,x1,x2,x3",3.5354125437868587,1.3151842961552374,3.5133272946044096,9.756695616520089,2.2202282476316215,3.252231872173363,-0.4877275304971995,4.023140074284058,yerkes_dodson
4,0.1847315568344149,0.1938645489043107,0.813827670155021,0.42298418814422634,-0.39592459991381745,1.0192400226410094,True,1.415164622554827,qnei,0.0,False,3,8,816bc9a4-8dbb-4808-9118-e2f76f2c9155,gaussian,1.0,0,exact,value,learned,1.0,"x0,x1,x2,x3",3.5354125437868587,1.3151842961552374,3.9313371437006763,13.688032760220764,2.2202282476316215,3.422008190055191,-0.4877275304971995,4.023140074284058,yerkes_dodson
5,0.25592050515822606,0.5909028517654116,0.6042722960584558,0.6468580270601879,1.4160382762479908,1.4043854355120144,True,-0.011652840735976389,qnei,0.0,False,4,8,816bc9a4-8dbb-4808-9118-e2f76f2c9155,gaussian,1.0,0,exact,value,learned,1.0,"x0,x1,x2,x3",3.5354125437868587,1.4160382762479908,2.119374267538868,15.807407027759632,2.119374267538868,3.1614814055519265,1.4160382762479908,2.119374267538868,yerkes_dodson
6,0.4861434427418947,0.39934564382085264,0.8495556172436316,0.6410283093613706,1.4162648590845348,4.795670437430945,True,3.37940557834641,qnei,1.4562179999775253,False,0,8,816bc9a4-8dbb-4808-9118-e2f76f2c9155,gaussian,1.0,0,exact,value,learned,1.0,"x0,x1,x2,x3",3.5354125437868587,1.4162648590845348,2.119147684702324,17.926554712461957,2.119147684702324,2.9877591187436594,1.4162648590845348,2.119147684702324,yerkes_dodson
7,0.6606085938033226,0.36982232655304403,1.0,0.7813537807914386,-0.10860507319375354,-1.1940524446239307,True,-1.085447371430177,qnei,1.2454568999819458,False,1,8,816bc9a4-8dbb-4808-9118-e2f76f2c9155,gaussian,1.0,0,exact,value,learned,1.0,"x0,x1,x2,x3",3.5354125437868587,1.4162648590845348,3.644017616980612,21.57057232944257,2.119147684702324,3.0815103327775097,1.4162648590845348,2.119147684702324,yerkes_dodson
8,0.4049571819200421,0.3557052614989247,0.8550816372811902,0.5748774032968657,1.257958891238099,-2.604856981651648,True,-3.8628158728897466,qnei,1.5564327000174671,False,2,8,816bc9a4-8dbb-4808-9118-e2f76f2c9155,gaussian,1.0,0,exact,value,learned,1.0,"x0,x1,x2,x3",3.5354125437868587,1.4162648590845348,2.2774536525487594,23.848025981991327,2.119147684702324,2.981003247748916,1.4162648590845348,2.119147684702324,yerkes_dodson
9,0.7940975476478576,0.5249887315517725,0.6772846493773844,0.7410609487731942,0.5692444906629137,4.073732587229895,True,3.504488096566981,qnei,1.2006957000121474,False,3,8,816bc9a4-8dbb-4808-9118-e2f76f2c9155,gaussian,1.0,0,exact,value,learned,1.0,"x0,x1,x2,x3",3.5354125437868587,1.4162648590845348,2.966168053123945,26.81419403511527,2.119147684702324,2.9793548927905857,0.5692444906629137,2.966168053123945,yerkes_dodson
10,0.9304523309809384,0.9721851905535508,0.6899074153538448,0.7179350908509003,-0.9663995319973209,-0.030653189697478544,True,0.9357463422998423,qnei,1.015090600005351,False,4,8,816bc9a4-8dbb-4808-9118-e2f76f2c9155,gaussian,1.0,0,exact,value,learned,1.0,"x0,x1,x2,x3",3.5354125437868587,1.4162648590845348,4.50181207578418,31.31600611089945,2.119147684702324,3.131600611089945,0.5692444906629137,2.966168053123945,yerkes_dodson
11,0.7371212853998764,0.3951128049251606,0.6739215763951562,1.0,0.11543184352801163,2.4097675254388067,True,2.294335681910795,qnei,1.0058852000511251,False,0,8,816bc9a4-8dbb-4808-9118-e2f76f2c9155,gaussian,1.0,0,exact,value,learned,1.0,"x0,x1,x2,x3",3.5354125437868587,1.4162648590845348,3.419980700258847,34.7359868111583,2.119147684702324,3.1578169828325726,0.5692444906629137,2.966168053123945,yerkes_dodson
12,0.8896042015884063,0.4877035278057851,0.7004114572878113,0.5702794488709773,1.1805406916340513,0.7030278358016602,True,-0.4775128558323911,qnei,1.0446278000017628,False,1,8,816bc9a4-8dbb-4808-9118-e2f76f2c9155,gaussian,1.0,0,exact,value,learned,1.0,"x0,x1,x2,x3",3.5354125437868587,1.4162648590845348,2.354871852152807,37.0908586633111,2.119147684702324,3.0909048886092587,1.4162648590845348,2.119147684702324,yerkes_dodson
13,0.6357463818719368,0.27276410244424326,0.5830983560377301,0.7630068820512257,0.7807108028880795,-1.570916639533983,True,-2.3516274424220627,qnei,1.0590548999607563,False,2,8,816bc9a4-8dbb-4808-9118-e2f76f2c9155,gaussian,1.0,0,exact,value,learned,1.0,"x0,x1,x2,x3",3.5354125437868587,1.4162648590845348,2.754701740898779,39.845560404209884,2.119147684702324,3.065043108016145,1.4162648590845348,2.119147684702324,yerkes_dodson
14,0.3959812939813928,0.40989579942982124,0.9721694642099072,0.8674451320671761,0.24822385662946103,2.4632992908506726,True,2.2150754342212116,qnei,1.9345088000409305,False,3,8,816bc9a4-8dbb-4808-9118-e2f76f2c9155,gaussian,1.0,0,exact,value,learned,1.0,"x0,x1,x2,x3",3.5354125437868587,1.4162648590845348,3.2871886871573976,43.13274909136728,2.119147684702324,3.080910649383377,1.4162648590845348,2.119147684702324,yerkes_dodson
15,0.4929583196046988,0.4071824117179495,0.7885397342372733,0.43160837222790777,1.9543153122154682,0.9941414081542777,True,-0.9601739040611905,qnei,1.9944065000163391,False,4,8,816bc9a4-8dbb-4808-9118-e2f76f2c9155,gaussian,1.0,0,exact,value,learned,1.0,"x0,x1,x2,x3",3.5354125437868587,1.9543153122154682,1.5810972315713905,44.71384632293867,1.5810972315713905,2.9809230881959112,1.4162648590845348,2.119147684702324,yerkes_dodson
16,0.6406304879672903,0.40685368347396245,0.5574590222729388,0.6836585919683206,1.936876160418298,1.3765352125149402,True,-0.5603409479033579,qnei,3.37197889998788,False,0,8,816bc9a4-8dbb-4808-9118-e2f76f2c9155,gaussian,1.0,0,exact,value,learned,1.0,"x0,x1,x2,x3",3.5354125437868587,1.9543153122154682,1.5985363833685606,46.31238270630723,1.5810972315713905,2.894523919144202,1.4162648590845348,2.119147684702324,yerkes_dodson
17,0.528738177576308,0.40464255389472226,0.8182373606652364,0.731838777126968,0.9971893200759737,-0.9124513315189613,True,-1.909640651594935,qnei,3.0143237999873236,False,1,8,816bc9a4-8dbb-4808-9118-e2f76f2c9155,gaussian,1.0,0,exact,value,learned,1.0,"x0,x1,x2,x3",3.5354125437868587,1.9543153122154682,2.538223223710885,48.85060593001812,1.5810972315713905,2.873565054706948,1.4162648590845348,2.119147684702324,yerkes_dodson
18,1.0,0.5166243922415096,0.8267434660676496,0.7828103217646175,-0.3434613842547183,-5.221808130917585,True,-4.878346746662866,qnei,2.397724999987986,False,2,8,816bc9a4-8dbb-4808-9118-e2f76f2c9155,gaussian,1.0,0,exact,value,learned,1.0,"x0,x1,x2,x3",3.5354125437868587,1.9543153122154682,3.878873928041577,52.7294798580597,1.5810972315713905,2.9294155476699832,1.4162648590845348,2.119147684702324,yerkes_dodson
19,0.5293180255760237,0.49865704979847136,0.9628090023885699,0.6467755518081273,1.5664394161872297,3.2415601025134944,True,1.6751206863262647,qnei,3.470151400018949,False,3,8,816bc9a4-8dbb-4808-9118-e2f76f2c9155,gaussian,1.0,0,exact,value,learned,1.0,"x0,x1,x2,x3",3.5354125437868587,1.9543153122154682,1.968973127599629,54.69845298565933,1.5810972315713905,2.878865946613649,1.4162648590845348,2.119147684702324,yerkes_dodson
20,0.4543705287800858,0.29853114408561854,0.6407945675734453,0.6546531065325205,1.5420891042551712,2.8385153108647203,True,1.296426206609549,qnei,2.8068358000018634,False,4,8,816bc9a4-8dbb-4808-9118-e2f76f2c9155,gaussian,1.0,0,exact,value,learned,1.0,"x0,x1,x2,x3",3.5354125437868587,1.9543153122154682,1.9933234395316874,56.691776425191016,1.5810972315713905,2.8345888212595507,1.4162648590845348,2.119147684702324,yerkes_dodson
21,0.5042298884393196,1.0,0.7192087548505725,0.7531751491985177,0.12060139655494387,0.7048772507680845,True,0.5842758542131407,qnei,1.5597492000088096,False,0,8,816bc9a4-8dbb-4808-9118-e2f76f2c9155,gaussian,1.0,0,exact,value,learned,1.0,"x0,x1,x2,x3",3.5354125437868587,1.9543153122154682,3.414811147231915,60.10658757242293,1.5810972315713905,2.8622184558296633,1.4162648590845348,2.119147684702324,yerkes_dodson
22,0.6407365935861221,0.0,0.22055167979974735,0.5923580183636021,0.21062802304478342,-1.923551782125518,True,-2.134179805170301,qnei,0.9479080999735743,False,1,8,816bc9a4-8dbb-4808-9118-e2f76f2c9155,gaussian,1.0,0,exact,value,learned,1.0,"x0,x1,x2,x3",3.5354125437868587,1.9543153122154682,3.3247845207420754,63.43137209316501,1.5810972315713905,2.883244186052955,1.4162648590845348,2.119147684702324,yerkes_dodson
23,0.6596578329455344,0.4145151511360244,0.6599866704210928,0.4529195599782029,2.0288160934453083,-0.259987788496999,True,-2.2888038819423073,qnei,1.01540129998466,False,2,8,816bc9a4-8dbb-4808-9118-e2f76f2c9155,gaussian,1.0,0,exact,value,learned,1.0,"x0,x1,x2,x3",3.5354125437868587,2.0288160934453083,1.5065964503415503,64.93796854350656,1.5065964503415503,2.823389936674198,1.4162648590845348,2.119147684702324,yerkes_dodson
24,0.46732144903443196,0.6794790643566231,0.9056496728904494,0.6686627952582433,0.7360224655793394,3.011838264252186,True,2.2758157986728467,qnei,1.1663779000518844,False,3,8,816bc9a4-8dbb-4808-9118-e2f76f2c9155,gaussian,1.0,0,exact,value,learned,1.0,"x0,x1,x2,x3",3.5354125437868587,2.0288160934453083,2.7993900782075194,67.73735862171408,1.5065964503415503,2.82238994257142,1.4162648590845348,2.119147684702324,yerkes_dodson
25,0.7322373578832599,0.10544644107972372,0.6669567984283509,0.5702906796287522,0.37468090973254087,0.6100552263619747,True,0.23537431662943387,qnei,1.1241666999994777,False,4,8,816bc9a4-8dbb-4808-9118-e2f76f2c9155,gaussian,1.0,0,exact,value,learned,1.0,"x0,x1,x2,x3",3.5354125437868587,2.0288160934453083,3.1607316340543177,70.8980902557684,1.5065964503415503,2.835923610230736,1.4162648590845348,2.119147684702324,yerkes_dodson
26,0.5929584951623085,0.5977107121576076,0.6237743560564485,0.6181674402772708,2.231274149456864,4.475658220115727,True,2.2443840706588625,qnei,0.9428446999518201,False,0,8,816bc9a4-8dbb-4808-9118-e2f76f2c9155,gaussian,1.0,0,exact,value,learned,1.0,"x0,x1,x2,x3",3.5354125437868587,2.231274149456864,1.3041383943299945,72.20222865009839,1.3041383943299945,2.7770087942345536,1.4162648590845348,2.119147684702324,yerkes_dodson
27,0.6998144045188276,0.6704194590644523,0.6125744452438772,0.2469936250152003,0.6076551189792562,-3.3064965765436938,True,-3.91415169552295,qnei,0.8382794999633916,False,1,8,816bc9a4-8dbb-4808-9118-e2f76f2c9155,gaussian,1.0,0,exact,value,learned,1.0,"x0,x1,x2,x3",3.5354125437868587,2.231274149456864,2.9277574248076026,75.129986074906,1.3041383943299945,2.7825920768483705,1.4162648590845348,2.119147684702324,yerkes_dodson
28,0.5328879973171129,0.5597497550103234,0.7233557010879474,0.6321981823570738,1.9897133853908648,-1.901814290184502,True,-3.891527675575367,qnei,1.508521199983079,False,2,8,816bc9a4-8dbb-4808-9118-e2f76f2c9155,gaussian,1.0,0,exact,value,learned,1.0,"x0,x1,x2,x3",3.5354125437868587,2.231274149456864,1.5456991583959938,76.67568523330199,1.3041383943299945,2.7384173297607854,1.4162648590845348,2.119147684702324,yerkes_dodson
29,0.7346007032154341,0.5666125216679139,0.1539432896755669,0.5376073093861192,1.04288747617155,2.992883632855037,True,1.9499961566834867,qnei,0.9769169999635778,False,3,8,816bc9a4-8dbb-4808-9118-e2f76f2c9155,gaussian,1.0,0,exact,value,learned,1.0,"x0,x1,x2,x3",3.5354125437868587,2.231274149456864,2.4925250676153086,79.1682103009173,1.3041383943299945,2.7299382862385273,1.4162648590845348,2.119147684702324,yerkes_dodson
30,0.7510515202799861,0.554134310441545,1.0,0.5231565218810067,0.952383663335434,0.8287305710959697,True,-0.1236530922394643,qnei,1.2266431999742053,False,4,8,816bc9a4-8dbb-4808-9118-e2f76f2c9155,gaussian,1.0,0,exact,value,learned,1.0,"x0,x1,x2,x3",3.5354125437868587,2.231274149456864,2.5830288804514248,81.75123918136872,1.3041383943299945,2.725041306045624,1.4162648590845348,2.119147684702324,yerkes_dodson
31,0.63810831199932,0.49226627322386673,0.5254326446498944,0.5563229218659047,2.9278648326725247,3.8827806509299574,True,0.9549158182574327,qnei,0.8913286000024527,False,0,8,816bc9a4-8dbb-4808-9118-e2f76f2c9155,gaussian,1.0,0,exact,value,learned,1.0,"x0,x1,x2,x3",3.5354125437868587,2.9278648326725247,0.6075477111143339,82.35878689248305,0.6075477111143339,2.6567350610478404,1.4162648590845348,2.119147684702324,yerkes_dodson
32,0.26520503678475305,0.37499249805592316,0.22982564653589266,1.0,-0.4260974427240558,-0.4321337435559309,True,-0.006036300831875119,qnei,1.4883179999887943,False,1,8,816bc9a4-8dbb-4808-9118-e2f76f2c9155,gaussian,1.0,0,exact,value,learned,1.0,"x0,x1,x2,x3",3.5354125437868587,2.9278648326725247,3.9615099865109142,86.32029687899397,0.6075477111143339,2.6975092774685616,1.4162648590845348,2.119147684702324,yerkes_dodson
33,0.9658268097874761,0.551181374659269,0.3577755606489236,0.5073169106812967,1.5368228915110875,-0.46370490914951157,True,-2.000527800660599,qnei,1.0668166999821551,False,2,8,816bc9a4-8dbb-4808-9118-e2f76f2c9155,gaussian,1.0,0,exact,value,learned,1.0,"x0,x1,x2,x3",3.5354125437868587,2.9278648326725247,1.9985896522757711,88.31888653126974,0.6075477111143339,2.676329894886962,1.4162648590845348,2.119147684702324,yerkes_dodson
34,0.017157992013955316,0.2330563395752976,0.4973609849247999,0.7891240609813545,-0.19242644773591805,2.0767131250049014,True,2.2691395727408192,qnei,0.9694824000471272,False,3,8,816bc9a4-8dbb-4808-9118-e2f76f2c9155,gaussian,1.0,0,exact,value,learned,1.0,"x0,x1,x2,x3",3.5354125437868587,2.9278648326725247,3.7278389915227765,92.04672552279251,0.6075477111143339,2.7072566330233094,1.4162648590845348,2.119147684702324,yerkes_dodson
35,0.48234813441023927,0.5152547273376428,0.11259617753607724,0.6835030809677053,1.407243410679371,0.959539756269898,True,-0.447703654409473,qnei,1.1464917000266723,False,4,8,816bc9a4-8dbb-4808-9118-e2f76f2c9155,gaussian,1.0,0,exact,value,learned,1.0,"x0,x1,x2,x3",3.5354125437868587,2.9278648326725247,2.1281691331074875,94.1748946559,0.6075477111143339,2.6907112758828573,1.4162648590845348,2.119147684702324,yerkes_dodson
36,0.7547757910648681,0.7388818098992143,0.4408989705378556,0.5365778146005226,1.289755121381662,-0.19812683869045977,True,-1.4878819600721218,qnei,1.1059184999903664,False,0,8,816bc9a4-8dbb-4808-9118-e2f76f2c9155,gaussian,1.0,0,exact,value,learned,1.0,"x0,x1,x2,x3",3.5354125437868587,2.9278648326725247,2.2456574224051966,96.4205520783052,0.6075477111143339,2.6783486688418114,1.4162648590845348,2.119147684702324,yerkes_dodson
37,0.9848714993990502,0.35403743749104555,0.0,0.4981123843891326,0.18309905380132588,1.1119203506345323,True,0.9288212968332065,qnei,1.1768489999813028,False,1,8,816bc9a4-8dbb-4808-9118-e2f76f2c9155,gaussian,1.0,0,exact,value,learned,1.0,"x0,x1,x2,x3",3.5354125437868587,2.9278648326725247,3.3523134899855327,99.77286556829074,0.6075477111143339,2.696563934278128,1.4162648590845348,2.119147684702324,yerkes_dodson
38,0.6378860815838521,0.39493000228002767,0.0,0.5648218590866769,1.2031711812985648,-3.078286626372761,True,-4.281457807671326,qnei,1.2778671000269242,False,2,8,816bc9a4-8dbb-4808-9118-e2f76f2c9155,gaussian,1.0,0,exact,value,learned,1.0,"x0,x1,x2,x3",3.5354125437868587,2.9278648326725247,2.332241362488294,102.10510693077903,0.6075477111143339,2.6869764981783955,1.4162648590845348,2.119147684702324,yerkes_dodson
39,1.0,0.35956412686100886,0.4739392855708658,0.494077512503536,1.6005346643405676,5.349769698758548,True,3.7492350344179806,qnei,1.0607285999576561,False,3,8,816bc9a4-8dbb-4808-9118-e2f76f2c9155,gaussian,1.0,0,exact,value,learned,1.0,"x0,x1,x2,x3",3.5354125437868587,2.9278648326725247,1.934877879446291,104.03998481022532,0.6075477111143339,2.6676919182109056,1.6005346643405676,1.934877879446291,yerkes_dodson
40,0.8242257161168597,0.3940036364064519,0.5018085704344419,0.5377204112740394,1.8996843854021888,2.1397678363095447,True,0.24008345090735594,qnei,0.9142681000521407,False,4,8,816bc9a4-8dbb-4808-9118-e2f76f2c9155,gaussian,1.0,0,exact,value,learned,1.0,"x0,x1,x2,x3",3.5354125437868587,2.9278648326725247,1.63572815838467,105.67571296860999,0.6075477111143339,2.6418928242152497,1.4162648590845348,2.119147684702324,yerkes_dodson
41,1.0,0.18719851121917216,0.6532510898012808,0.4046407993443983,0.035794856499505534,1.9882861886980119,True,1.9524913321985062,qnei,1.2738453000201844,False,0,8,816bc9a4-8dbb-4808-9118-e2f76f2c9155,gaussian,1.0,0,exact,value,learned,1.0,"x0,x1,x2,x3",3.5354125437868587,2.9278648326725247,3.499617687287353,109.17533065589734,0.6075477111143339,2.6628129428267644,1.4162648590845348,2.119147684702324,yerkes_dodson
42,0.0,0.635625795045651,0.6966707858553103,0.7923972321782289,-0.3700770421757847,-0.5757413842276851,True,-0.20566434205190037,qnei,1.2498806999647059,False,1,8,816bc9a4-8dbb-4808-9118-e2f76f2c9155,gaussian,1.0,0,exact,value,learned,1.0,"x0,x1,x2,x3",3.5354125437868587,2.9278648326725247,3.9054895859626435,113.08082024185998,0.6075477111143339,2.692400481949047,1.4162648590845348,2.119147684702324,yerkes_dodson
43,0.7473693383426203,0.04968931847447147,0.5452748070994109,1.0,-0.3901644690509736,-5.527725087561798,True,-5.1375606185108245,qnei,1.405481299967505,False,2,8,816bc9a4-8dbb-4808-9118-e2f76f2c9155,gaussian,1.0,0,exact,value,learned,1.0,"x0,x1,x2,x3",3.5354125437868587,2.9278648326725247,3.9255770128378322,117.00639725469782,0.6075477111143339,2.721079005923205,1.4162648590845348,2.119147684702324,yerkes_dodson
44,1.0,0.4258701915017902,0.41670087459942595,0.46440410928084785,1.7208603362368557,3.1478794619883566,True,1.4270191257515008,qnei,1.1009347999934107,False,3,8,816bc9a4-8dbb-4808-9118-e2f76f2c9155,gaussian,1.0,0,exact,value,learned,1.0,"x0,x1,x2,x3",3.5354125437868587,2.9278648326725247,1.814552207550003,118.82094946224782,0.6075477111143339,2.700476124141996,1.4162648590845348,2.119147684702324,yerkes_dodson
45,0.3997710381467455,0.708182537213268,0.2950668630768378,1.0,0.10768722233865245,-0.46028707813957725,True,-0.5679743004782297,qnei,0.9444733000127599,False,4,8,816bc9a4-8dbb-4808-9118-e2f76f2c9155,gaussian,1.0,0,exact,value,learned,1.0,"x0,x1,x2,x3",3.5354125437868587,2.9278648326725247,3.4277253214482064,122.24867478369603,0.6075477111143339,2.7166372174154674,1.4162648590845348,2.119147684702324,yerkes_dodson
46,1.0,0.3640831113538066,0.44012124558483917,0.5611253205746426,1.4273285604021253,2.479575301894304,True,1.0522467414921786,qnei,0.9997665000264533,False,0,8,816bc9a4-8dbb-4808-9118-e2f76f2c9155,gaussian,1.0,0,exact,value,learned,1.0,"x0,x1,x2,x3",3.5354125437868587,2.9278648326725247,2.1080839833847334,124.35675876708076,0.6075477111143339,2.7034077992843644,1.4162648590845348,2.119147684702324,yerkes_dodson
