iteration,x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,objective_true,objective_observed,error_applied,error_magnitude,acquisition,fit_time_sec,acq_opt_failed,rater_id,seed,run_id,error_model,jitter_std,jitter_iteration,oracle_model,objective,observation_noise,known_noise_var,param_columns,y_opt,best_true_so_far,regret_inst_true,regret_cum_true,simple_regret_true,regret_avg_true,inference_value_true,inference_simple_regret_true,dataset
1,7.404984079401693,-4.263655818248893,2.062963001031237,5.550681658403576,4.321492592071305,8.307602409810151,7.207872983657694,8.36475258097525,-9.468245310648056,-1.2550399974098259,-0.30111346045423915,0.568215037462527,-3.320047258956322,True,-3.8882622964188487,logei,0.0,False,0,9,b91fc9a2-51d1-4438-abdb-c0cea2a48e4e,gaussian,1.0,0,exact,value,learned,1.0,"x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10",2.6244803317786123,0.568215037462527,2.056265294316085,2.056265294316085,2.056265294316085,2.056265294316085,0.568215037462527,2.056265294316085,levy_10
2,-8.69691605259785,-9.887478986412141,6.612428739425141,9.666044885723512,5.692197053453592,-3.687930200434537,4.106674091789076,-4.016378536035066,4.814969657514974,-4.40505560503426,5.65181830656263,-1.043746709453171,-5.976347906343776,True,-4.932601196890605,logei,0.0,False,0,9,b91fc9a2-51d1-4438-abdb-c0cea2a48e4e,gaussian,1.0,0,exact,value,learned,1.0,"x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10",2.6244803317786123,0.568215037462527,3.6682270412317832,5.724492335547868,2.056265294316085,2.862246167773934,0.568215037462527,2.056265294316085,levy_10
3,9.754814937891535,9.72477098560477,7.6572513399335165,8.256201035678359,4.164138282063449,1.0899375452701747,8.46476416140441,-8.205384402913749,-2.5973690971998504,2.118778870185258,-0.4454020616262877,-0.2721350099698567,-4.510370155778341,True,-4.238235145808485,logei,0.0,False,0,9,b91fc9a2-51d1-4438-abdb-c0cea2a48e4e,gaussian,1.0,0,exact,value,learned,1.0,"x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10",2.6244803317786123,0.568215037462527,2.896615341748469,8.621107677296337,2.056265294316085,2.873702559098779,0.568215037462527,2.056265294316085,levy_10
4,5.857157609944565,-6.098272130419069,-8.754930051666731,-7.469631855201635,9.255631698343254,-7.344509255411391,-5.478033452736573,-2.458872580875626,2.468432826815919,5.641922613386054,-8.427022124614377,-1.3651369152315098,-4.272571520132707,True,-2.907434604901197,logei,0.0,False,0,9,b91fc9a2-51d1-4438-abdb-c0cea2a48e4e,gaussian,1.0,0,exact,value,learned,1.0,"x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10",2.6244803317786123,0.568215037462527,3.989617247010122,12.610724924306458,2.056265294316085,3.1526812310766146,0.568215037462527,2.056265294316085,levy_10
5,8.624749062860705,5.255834486975727,-3.580717645513869,-6.213359611435381,1.9190577557406634,1.8937845352297913,-4.650632823390415,-6.612143738873215,5.32934514960316,3.453505051614414,6.004987014651622,0.09938149183251282,-1.5275741641779688,True,-1.6269556560104816,logei,0.0,False,0,9,b91fc9a2-51d1-4438-abdb-c0cea2a48e4e,gaussian,1.0,0,exact,value,learned,1.0,"x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10",2.6244803317786123,0.568215037462527,2.5250988399460996,15.135823764252558,2.056265294316085,3.0271647528505117,0.09938149183251282,2.5250988399460996,levy_10
6,10.0,6.1157389253794765,-4.569092988274821,-7.785669300001315,-0.052395071715048834,6.7731755606088395,-5.058528612773993,-3.223848398873234,3.510077729216394,2.9179722489061177,8.940747456161205,0.27108304653184606,-1.563117114684257,True,-1.8342001612161032,logei,0.27747670002281666,False,0,9,b91fc9a2-51d1-4438-abdb-c0cea2a48e4e,gaussian,1.0,0,exact,value,learned,1.0,"x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10",2.6244803317786123,0.568215037462527,2.3533972852467664,17.489221049499324,2.056265294316085,2.914870174916554,0.09938149183251282,2.5250988399460996,levy_10
7,9.247495202179492,9.334517918507014,-3.0753334530437537,-8.655589879942662,-0.7402966223658565,0.5408683901337141,-8.804181538435712,-10.0,10.0,3.254750552399911,10.0,-2.5788043387812603,-6.162284813788471,True,-3.5834804750072107,logei,0.35730890004197136,False,0,9,b91fc9a2-51d1-4438-abdb-c0cea2a48e4e,gaussian,1.0,0,exact,value,learned,1.0,"x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10",2.6244803317786123,0.568215037462527,5.2032846705598725,22.692505720059195,2.056265294316085,3.241786531437028,0.09938149183251282,2.5250988399460996,levy_10
8,9.550079877564064,5.481049502866174,-3.400581212162813,-4.799576349132746,3.359074531651907,2.205424572691352,-1.9994086765459704,-7.634917728867185,3.829715527788807,4.367261444119776,4.241339589255741,0.6248361917662283,-3.4799547504232256,True,-4.104790942189454,logei,0.6641671999823302,False,0,9,b91fc9a2-51d1-4438-abdb-c0cea2a48e4e,gaussian,1.0,0,exact,value,learned,1.0,"x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10",2.6244803317786123,0.6248361917662283,1.9996441400123839,24.69214986007158,1.9996441400123839,3.0865187325089476,0.09938149183251282,2.5250988399460996,levy_10
9,8.663366564622548,5.5230927016811355,-3.9927021142865278,-7.4620274217685,0.5622811455254542,3.2528831583470126,-6.140531512659063,-5.135617730535391,5.564648335033303,2.867123167885159,7.8324874665014415,0.16919896424929665,-3.605537395273018,True,-3.7747363595223145,logei,0.499270600033924,False,0,9,b91fc9a2-51d1-4438-abdb-c0cea2a48e4e,gaussian,1.0,0,exact,value,learned,1.0,"x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10",2.6244803317786123,0.6248361917662283,2.4552813675293157,27.147431227600897,1.9996441400123839,3.0163812475112106,0.09938149183251282,2.5250988399460996,levy_10
10,10.0,7.219010024857834,-4.169210744390694,-7.431220561446955,-0.6254584630686066,8.586588629322941,-4.207144351386543,-3.1829175824849893,2.9382458149321837,2.8240298797434527,10.0,0.21544763760441513,-5.110225709689944,True,-5.325673347294359,logei,0.47582340001827106,False,0,9,b91fc9a2-51d1-4438-abdb-c0cea2a48e4e,gaussian,1.0,0,exact,value,learned,1.0,"x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10",2.6244803317786123,0.6248361917662283,2.409032694174197,29.556463921775094,1.9996441400123839,2.9556463921775094,0.09938149183251282,2.5250988399460996,levy_10
